,train_index,train_sentence,geraint_sentence,train_label
1518,snips-train-11363,Show the latest animated movies movie times for the nearest movie house,SHOW THE LATEST ARLIMATED MOVIES MOVIE TIMES FOR THE NEAREST MOVIE HOUSE,SearchScreeningEvent
1519,snips-train-11364,I would like to see a schedule for movies at the nearest movie house .,I WOULD LIKE TO SEE A SHADUOF FORMOVIES AT THE NEAREST MOVIE HOUSE,SearchScreeningEvent
1520,snips-train-11365,I'd like to see showings for All the Way Home at Kerasotes Theatres .,I'D LIKE TO SEE SHIRINGS FOR ALL THE WAY HOME AT CARASUTES THEATRES,SearchScreeningEvent
1521,snips-train-11366,Show movie schedule at Amco Entertainment,SHOW MOVY SHADUE AT HUMCOE ENTERTAINMENT,SearchScreeningEvent
1522,snips-train-11367,find a movie theatre with animated movies that is closest to me,FIND A MODY THEATRE WITH OURLY MATED MOVIES THAT IS CLOSEST TO ME,SearchScreeningEvent
1523,snips-train-11368,give me the movie times for movies showing in the neighborhood,GIVE ME THE MOVI TIMES FOR MOVIES SHOWING IN THE NEIGHBOURHOOD,SearchScreeningEvent
1524,snips-train-11369,What are movie times for movies playing in the neighborhood ?,WHAT ARE MOVIE TIMES FOR MOVIES PLAYING IN THE NEIGHBOURHOOD,SearchScreeningEvent
1525,snips-train-1137,Add Sweet Black Angel to my Diarios de Bicicleta playlist,ADSWEET BLACK ANGEL TO MY DAOSTERICICRETAPLAIST,AddToPlaylist
1526,snips-train-11370,what films are on the movie schedule for ten at a close by theater,WHAT FILMS ARE ON THE MOVI SHAGULE FOR TAMER TO CLOSE BY THEATRE,SearchScreeningEvent
1527,snips-train-11371,Please tell me the current and local movie times,PLEASE TELL ME THE CURRENT AND LOCAL MOVE TIMES,SearchScreeningEvent
1528,snips-train-11372,Show movie schedules at AMC Theaters,SHOW MOVI SHADUNS AT A AMCE THEATRES,SearchScreeningEvent
1529,snips-train-11373,What's the nearest movie theatre playing Testament of Orpheus ?,WHAT'S THE MEREST MOVI THEATRE PLAYING TASTAMENT OF ORPHEUS,SearchScreeningEvent
1530,snips-train-11374,I'd like to see the current showtimes for His Kind of Woman,I'D LIKE TO SEE THE CURRANT SHOW TIMES FOR HIS KIND OF WOMAN,SearchScreeningEvent
1531,snips-train-11375,What are the movie schedules at the IMAX Corporation,WHAT ARE THE MUVICH AGES OF THE IMAX CORPORATION,SearchScreeningEvent
1532,snips-train-11376,When is Longwave going to be playing?,WHEN HIS LONG WAY OF GOING TO BE PLAYING,SearchScreeningEvent
1533,snips-train-11377,Can I get the showtimes for animated movie in the neighbourhood ?,CAN I GET TE SHOW TIMES FOR ALIMATED MOVI IN THE NEIGHBORHOOD,SearchScreeningEvent
1534,snips-train-11378,show movie times for animated movies nearby,SHOW MOVI TIMES FOR ANIMATED MOVIS MERE BY,SearchScreeningEvent
1535,snips-train-11379,What time is Truth About Kerry playing at movie house,WHAT TIME IS TRUTH ABOUT CARRY PLAYING AT MOVIE HOUSE,SearchScreeningEvent
1536,snips-train-1138,Add Every Song Is a Cry for Love to my playlist Soul 'n' The City,AD EVERY SONG IS A CRY FOR LOVE TO MY PLAILEST SO IN THE CITY,AddToPlaylist
1537,snips-train-11380,Where is The Penthouse playing,WHERE IS THE PANTAS PLAYING,SearchScreeningEvent
1538,snips-train-11381,"i want to see Love, Speed and Thrills at the nearest cinema",I WANT TO SEE LOVE SPEED AND THRILLS IT THE NEAREST CINEMO,SearchScreeningEvent
1539,snips-train-11382,I'd like to know the movie times for movies nearby me,I'D LIKE TO KNOW THE MOUVI TIMES FOR MOVE IS MER BY ME,SearchScreeningEvent
1540,snips-train-11383,What films are scheduled at the closest cinema ?,WHAT FILMS ARE SHADOWD OT THE CLOSEST SIMEMA,SearchScreeningEvent
1541,snips-train-11384,where can i watch Key to the City,WHERE CAN I WATCH KEYT OF THE CITY,SearchScreeningEvent
1542,snips-train-11385,Is Love and Other Troubles playing,IS LOVE AND OTHER TROUBLES PLAYING,SearchScreeningEvent
1543,snips-train-11386,What time is The Ladies Diplomat playing?,WHAT TIME IS THE LADY'S DIPLOMAT PLAYING,SearchScreeningEvent
1544,snips-train-11387,What movies are playing at the closest cinema,WHAT MUVIES ARE PLAYING AT THE CLOSEST SINEMA,SearchScreeningEvent
1545,snips-train-11388,I need an animated movies in the area for dinner time,I MEED AMANIMATED MOVIES IN THE AREA FOR DINNER TIME,SearchScreeningEvent
1546,snips-train-11389,Can i get the showtimes for films in the area .,COME I GET THE SHIRE TIMES FOR FORAMS IN THE AREA,SearchScreeningEvent
1547,snips-train-1139,Can you put the album onto Cierra La Puerta ?,CAN YOU PUT THE ALBAMON SESIER A LAPETE,AddToPlaylist
1548,snips-train-11390,find films closest to a cinema,FINE FILMS CLOSEST TO A CINIMO,SearchScreeningEvent
1549,snips-train-11391,find movie times,FIND MOVEI TIMES,SearchScreeningEvent
1550,snips-train-11392,when can i see We and Our Mountains,WHEN CAN I SEE WE AND OUR MOUNTAINS,SearchScreeningEvent
1551,snips-train-11393,"What time is Careful, He Might Hear You playing at the cinema",WHAT TIME IS CAREFUL WE MIGHT HEAR YOU PRAYING AT THESINIMA,SearchScreeningEvent
1552,snips-train-11394,find Wild at Heart,FIND WILD WITH HOT,SearchScreeningEvent
1553,snips-train-11395,Is The Lady and the Highwayman playing at 7 A.M. at Dipson Theatres ?,IS THE LADY IN THE HIGHWAYMENT PLAYING AT SEVEN A AMADIPS AND THEATRS,SearchScreeningEvent
1554,snips-train-11396,What time is Goodbye Mothers playing?,WHAT TIME IS GOOD BYE MOTHERS PLAYING,SearchScreeningEvent
1555,snips-train-11397,Is You Will Meet a Tall Dark Stranger at Bow Tie Cinemas,IS YOU WILL MEET A TALL DARK STRANGER AT BOTH HI SYNEMAS,SearchScreeningEvent
1556,snips-train-11398,Find time for the movie schedule,FIND TIME FOR THE MOUVI CHADIU,SearchScreeningEvent
1557,snips-train-11399,Is Hercules and Xena The Battle for Mount Olympus playing at the closest cinema,IS HERCULES AND ZEMA THE BATTLE FOR MOUNT OLYMPUS PLAYING AT THE CLOSEST CINEMA,SearchScreeningEvent
1558,snips-train-114,Add Jermaine Fagan to spring music,AB GERMAINFACAN TO SPRING MUSIC,AddToPlaylist
1559,snips-train-1140,Add Written in Red to my cleaning the house playlist.,ABDRIT MIMRA TO MY KEENING THE HOUSE PRAYLIST,AddToPlaylist
1560,snips-train-11400,Recite the movie schedule .,RECITE THE MOUVI CHADEU,SearchScreeningEvent
1561,snips-train-11401,Which animated movies are playing today at KB Theatres ?,WHICH HARMIMATED MOVE ESA PLAYING TO DAY AT CABI THEATRES,SearchScreeningEvent
1562,snips-train-11402,what time is The Clutching Hand playing at Amco Entertainment,WHAT TIME IS THE CLUTCHING HAM PLAYING AT HUMCOE ENTERTAINMENT,SearchScreeningEvent
1563,snips-train-11403,Which films are playing at the closest movie house ?,WHICH FILMS A PLAYING AT THE CLOSEST MOVIE HOUSE,SearchScreeningEvent
1564,snips-train-11404,can i get the showtimes for films in the neighbourhood,CAN I GETER SHIRT TIMES FOR TOAMS IN THE NEIGHBOURHOOD,SearchScreeningEvent
1565,snips-train-11405,show nearest movie theatre to watch Black Jesus,SHOW ME RUST MOVI THEATRE TO WATCH BLACK JESUS,SearchScreeningEvent
1566,snips-train-11406,what films are showing in the neighborhood,WHAT FILMS ARE SHOWING IN THE NEIGHBOURHOOD,SearchScreeningEvent
1567,snips-train-11407,When is Scaramouche playing?,WHEN THIS SCAURAMUSH PLAYING,SearchScreeningEvent
1568,snips-train-11408,I'd like to watch Dirty Laundry at the movie house,I'D LIKE TO WATCH DIRTI LAUNDRY AT THE MOVIE HOUSE,SearchScreeningEvent
1569,snips-train-11409,What movies are playing in the area,WHAK MOVIES ARE PLAYING IN THE AREA,SearchScreeningEvent
1570,snips-train-1141,add this peter iwers album to my ntc gym strong,AW TIS PETERI WAS ALBUN TO MAY EN TO SEE JIM STRONG,AddToPlaylist
1571,snips-train-11410,Can I know what animated movies are scheduled in the neighbourhood ?,CAN I KNOW WHAT ARLIMATED MOVIES ARE SHADELED IN THE NEIGHBOURHOOD,SearchScreeningEvent
1572,snips-train-11411,what animated movie are at the theater in the neighborhood,WHAT UNIMATED MOVEY ARE AT THE THEATRE IN THE NEIGHBOURHOOD,SearchScreeningEvent
1573,snips-train-11412,what time is The Bodyguard at Malco Theatres playing,WHAT TIME AS THE BODY GUARD OF MALCO THEATRE'S PLAYING,SearchScreeningEvent
1574,snips-train-11413,Give me the showtimes for animated movies at the nearest cinema .,GIVE ME THE SHOWTIMES FOR ALIMATED MOVIES AT THE NEAREST CINEMA,SearchScreeningEvent
1575,snips-train-11414,What time is The Bride’s Journey playing at Star Theatres ?,WHAT TIME IS THE BRIDE'S JOURNEY PLAYING AT STARF THEATRES,SearchScreeningEvent
1576,snips-train-11415,Advise me on the movie schedule of films that will be playing at 073132 pm at a place close by .,ADVISE ME ON THE MOVY SHADUER FILMS THAT WILL BE PLAYING AT O SAVEN THREE ONE HREE TWO P AM MATTER PLACE CLOSE BY,SearchScreeningEvent
1577,snips-train-11416,Find the schedule for Vanishing of the Bees at a movie house .,FIND THE SHADU OF THE VANISHING OF THE BEES AT TOMUVI HOUSE,SearchScreeningEvent
1578,snips-train-11417,Where is the nearest movie theatre I can go watch films today?,WHEREAS THE NEARUST MOVE E THEATRE I CAN GO WATCH FILMS TO DAY,SearchScreeningEvent
1579,snips-train-11418,What time is Phil Ochs There but for Fortune playing at the movie house,WHAT TIME IS PILO STARE BUT FOR FORTUNE PLAYING AT THE MOVIE HOUSE,SearchScreeningEvent
1580,snips-train-11419,What time is Sontha Ooru playing,WHAT TIME IS SENT FOR REPLAYING,SearchScreeningEvent
1581,snips-train-1142,add artist to my friendesemana playlist,ADOTIS TO MY FRIEND DESIMANO PLAILIST,AddToPlaylist
1582,snips-train-11420,show movie times,SHOW MOVERY TIMES,SearchScreeningEvent
1583,snips-train-11421,Show a movie schedule with Bow Tie Cinemas,SHOWE U RICHADUL WITH BU ICE INIMUS,SearchScreeningEvent
1584,snips-train-11422,Are any animated movies playing at Magic Johnson Theatres ?,ARANIANIMATED MOVIES PLAYING AT MAGIC JOHNSON THEATRS,SearchScreeningEvent
1585,snips-train-11423,Is there a movie theatre showing Last Cab to Darwin today?,IS THERE A MOUVI THEATRE SHOWING LOST CAP TO DALWIN TO DAY,SearchScreeningEvent
1586,snips-train-11424,find a Loews Cineplex with films,FIND A LOD SIMER PLAXS WITH FILMS,SearchScreeningEvent
1587,snips-train-11425,Can you let me know where I can watch The Nest ?,CAN YOU LET ME KNOW WHERE I CAN WATCH THE NEST,SearchScreeningEvent
1588,snips-train-11426,What are the local movie times,YET OTHE LOCO MOVE TIMES,SearchScreeningEvent
1589,snips-train-11427,What time is Swarna Trishna playinh at Loews Cineplex,WHAT TIME IS SWANATRISTA PREINGLOS INEPLEX,SearchScreeningEvent
1590,snips-train-11428,Can you give me the movie schedules for films close by ?,CAN YE GIVE ME THE MOVY SHAGUMS FOR FIAMS CLOSE BY,SearchScreeningEvent
1591,snips-train-11429,What time is film showing at Southern Theatres,WHAT TIME IS FRILM SHURING ITS SOUTHERN THEATRES,SearchScreeningEvent
1592,snips-train-1143,put donnie g don gorilla on my classical romance playlist,PUT DONNIGI DON GERILLA ON MY CLASSICAL ROMANCE PLAILIST,AddToPlaylist
1593,snips-train-11430,Where is the nearest cinema playing Compound Fracture,WHERE IS THE NEAREST SIMIME PLAYING COMPOUND FACTURE,SearchScreeningEvent
1594,snips-train-11431,What is the local movie times,WHAT IS THE LOCOMOVETE TIMES,SearchScreeningEvent
1595,snips-train-11432,Show movies in the neighborhood,SHOW MOVIES IN THE NEIGHBOURHOOD,SearchScreeningEvent
1596,snips-train-11433,Will you show me a schedule for movies around here ?,WILL YOU SHOW ME A SHADU OF TE MOVE IS ROUND HERE,SearchScreeningEvent
1597,snips-train-11434,find National Amusements showing The Trouble with Harry,FIND NATIONAL AMUSEMENTS SHOWING THE TROUBLE WITH HURRY,SearchScreeningEvent
1598,snips-train-11435,Find movie times .,FIND MOVEI TIMES,SearchScreeningEvent
1599,snips-train-11436,Tell me when Howling II Your Sister Is a Werewolf is playing.,TELL ME WHEN HOWLING TO YOUR SISTER IS AWARE WILL FIZ PLAYING,SearchScreeningEvent
1600,snips-train-11437,What are the movie times for animated movies playing close by,WHAT ARE THE MOVIE TIMES FOR ANIMATED MOVIES PLAYING CLOSE BY,SearchScreeningEvent
1601,snips-train-11438,whats the movie schedules for General Cinema Corporation,WHAT'S THE MOURICHAGULS FOR GENERAL SINEMER CORPORATION,SearchScreeningEvent
1602,snips-train-11439,What time is High Schools playing,WHAT TIME IS HIGH SCHOOLS PLAYING,SearchScreeningEvent
1603,snips-train-1144,add artist to my playlist primavera sound 2016 barcelona,ADOTIST TO MY PLAYLESS PRIMA VIRA SOUND TWENTY SIXTEEN BASULONA,AddToPlaylist
1604,snips-train-11440,find Alamo Drafthouse Cinema with animated movies,FIND ALAMODRAFT HOUSE SINIMA WITH ANIMATED MOVIES,SearchScreeningEvent
1605,snips-train-11441,What animated movies are at Dipson Theatres,WHAT HARMLEMATED MOVIES ORE A DIPS AND THEATRES,SearchScreeningEvent
1606,snips-train-11442,will Dick Tracy e il gas misterioso start twenty one hours from now,ILL DICK CHASEE E EEL GASMY STARRIOSSER START TWENTY ONE HOURS FROM NOW,SearchScreeningEvent
1607,snips-train-11443,What time is cinema playing The Village Priest ?,WHAT TIME IS SINAMA PLAYING THE VILLAGE PRIEST,SearchScreeningEvent
1608,snips-train-11444,What cinema is the closest showing movies,WHAT CINAMA IS THE CLOSEST SHOWING MOVIES,SearchScreeningEvent
1609,snips-train-11445,find movie times,FIND MOVEI TIMES,SearchScreeningEvent
1610,snips-train-11446,is Transcending Fear at Malco Theatres,IS TRANSCENDING FEAR OF MALCO THEATRE'S,SearchScreeningEvent
1611,snips-train-11447,When can I go see The Untold Story ?,WHEN CAN I GO SI THI ANTOLD STORY,SearchScreeningEvent
1612,snips-train-11448,Which animated movies are playing at Fox Theatres ?,WHICH HAMIMATED MOUVIES ARE PLAYING AT FOX THEATRES,SearchScreeningEvent
1613,snips-train-11449,I'd like to watch May Blossom,I'D LIKE TO WATCH MAY BLOSSOM,SearchScreeningEvent
1614,snips-train-1145,"I want to add Aprite le finestre to my playlist entitled This Is Earth, Wind & Fire",I WANT TO ADD OUR PRETAIL OR FRENASTRUATES AN MY PLAILIST INTITLE THIS IS EARTH WIND AND FIRE,AddToPlaylist
1615,snips-train-11450,Show the movie schedules at KB Theatres,SHOW THEM AURIE CHADUS OF CABI THEATRES,SearchScreeningEvent
1616,snips-train-11451,find movie times,FIND MOVEI TIMES,SearchScreeningEvent
1617,snips-train-11452,find Goodrich Quality Theaters films,FIND GOOGIDGE QUALITY THEATRES FILMS,SearchScreeningEvent
1618,snips-train-11453,Is I Was an American Spy playing at 11 a.m. at Southern Theatres,AS I WAS AN AMERICAN SPY PLAYING AT ELEVEN AAM AT SOUVERN THEATRES,SearchScreeningEvent
1619,snips-train-11454,Which movies are playing at AMC Theaters ?,WHICH MOVISA PLAYING AT AM C THEATRES,SearchScreeningEvent
1620,snips-train-11455,What are the movie schedule for the movies in the neighborhood,WHAT ARE THE MOVI SHADOW FOR THE MOVIES IN THE NEIGHBOURHOOD,SearchScreeningEvent
1621,snips-train-11456,Show me the movie times for Caribbean Cinemas in 1 second .,SHOW ME THE MOUVI TIMES FOR CARABEAN CYNIMES IN ONE SECOND,SearchScreeningEvent
1622,snips-train-11457,I'm wondering what movies will be laying around here .,I'M WONDERING WHAT MOVE IES WILL BE LYING AROUND HERE,SearchScreeningEvent
1623,snips-train-11458,movie schedule at Cinemark Theatres,MOVI SHADUETS SINTEMAC THEATRES,SearchScreeningEvent
1624,snips-train-11459,What movies are in the neighbourhood,WHAT  MOVE IS OLL IN THE NEIGHBOURHOOD,SearchScreeningEvent
1625,snips-train-1146,"put this song in my funk playlist, please",PUT THIS SONG IN MY THRANK PLAYLIST PLEASE,AddToPlaylist
1626,snips-train-11460,When is Game in the Sand playing at the movie house ?,WHEN IS CAME IN THE SAND PLAYING AT THE MOVIE HOUSE,SearchScreeningEvent
1627,snips-train-11461,Give me the showtimes for Sign of the Anchor .,GIVE ME THE SHOW TIMES FOR SIGN OF THE ANCER,SearchScreeningEvent
1628,snips-train-11462,when is Our Story showing next at North American Cinemas,WHEN ISAR STORY SHOWING NECS TO TH NORTH AMERICAN CINAMAS,SearchScreeningEvent
1629,snips-train-11463,I'd like to watch movies at KB Theatres,I'D LIKE TO WATCH MOVIES AT CABI THEATRES,SearchScreeningEvent
1630,snips-train-11464,Find the nearest movie house that's showing movies,ONE THE NEAREST MOVIE HOUSE THAT SHOWING MOVIES,SearchScreeningEvent
1631,snips-train-11465,Which is the nearest cinema showing A Cooler Climate that starts now ?,WHICH IS THE MEREST SYNAM SHOWING A COOLER CLIMATE THAT STARTS NOW,SearchScreeningEvent
1632,snips-train-11466,Where and at what time can I see Paragraphe 78,WHERE AN AT WHAT TIME CAN I SEE PARAGRAPH OR SEVENTY EIGHT,SearchScreeningEvent
1633,snips-train-11467,What is the nearest cinema showing Love in Mandya ?,WHAT IS THE NEAREST SYNAM A SHOWING LOVE IN LANTIA,SearchScreeningEvent
1634,snips-train-11468,Will you please pull up movie schedules for me?,WILL YOU PLEASE PULL UP MOVI SHAGELS FOR ME,SearchScreeningEvent
1635,snips-train-11469,What movies are playing at Southern Theatres,WHAT MOVIES ARE PLAYING AT SOUTHERN THEATRES,SearchScreeningEvent
1636,snips-train-1147,Add this artist to my garage jams,AUBISOTEST TO MY GAWREG CHARMS,AddToPlaylist
1637,snips-train-11470,What time will Paris by Night aired,WHAT TIME WILL POWERR SPY MY TEAD,SearchScreeningEvent
1638,snips-train-11471,What's today's movie schedule,WHAT'S TO DAYS MOVE E CHADIEU,SearchScreeningEvent
1639,snips-train-11472,I'd like to watch Health Warning at the closest movie house,I'D LIKE TO WATCH HALF WARNING AT THE CLOSEST MOVIE HOUSE,SearchScreeningEvent
1640,snips-train-11473,What are the morning movie schedules for movies in the neighborhood ?,WHAT ARE THE MORNING MOVY SHADOWS FFOR MOVIES IN THE NEIGHBOURHOOD,SearchScreeningEvent
1641,snips-train-11474,find movie times at National Amusements,FIND MOVI TIMES OF NATIONAL AMUSEMENTS,SearchScreeningEvent
1642,snips-train-11475,I want to know the animated movies playing at Malco Theatres,I WANT TO KNOW THE AMLIMATED MOVIES PLAYING AT MALCO THEATRES,SearchScreeningEvent
1643,snips-train-11476,I'd like to see Snowball Express,I'D LIKE TO SEE SNUWBALL EXPRESS,SearchScreeningEvent
1644,snips-train-11477,What is the closest movie house playing House of the Dead 2,WHAT IS THE CLOSEST MOVE HOUSE PLAYING HOUSE OF THE DEAD TO,SearchScreeningEvent
1645,snips-train-11478,ticket for The Perfect Man at Dickinson Theatres at 10 A.M.,CHIQKUETT FOR THE PERFECT MOME DICKENSON THEATRES OF TAMA M,SearchScreeningEvent
1646,snips-train-11479,When is The Life and Death of King Richard II playing at Mann Theatres ?,WHEN IS THE LIFE AND DEATH OF KING RICHARD THE SECOND PLAYING AT MAM THEATRES,SearchScreeningEvent
1647,snips-train-1148,add Nana Kitade to my modern psychedelia playlist,ADNANAKITADAY TO MY MODERN PSYCA DELIA CLAILIST,AddToPlaylist
1648,snips-train-11480,Find the schedule for The Band of Honest Men at the nearest movie theatre .,FIND THE SHADOU FOR THE BAND OF HONEST MANAT THE NEAREST MOVING THEATRE,SearchScreeningEvent
1649,snips-train-11481,what time can I expect films to start at the Bow Tie Cinemas,WHAT TIME CAN I EXPECT FILMS TO START AT THE BROTI SIMIMERS,SearchScreeningEvent
1650,snips-train-11482,What movies are showing at the Showcase Cinemas,WHAT MOVEIES ARE SHOWING UT TO SHOW CASE SYNYMAS,SearchScreeningEvent
1651,snips-train-11483,find KB Theatres with movies,WIND CABE THEATRES WITH MOVIES,SearchScreeningEvent
1652,snips-train-11484,Find the movie schedule for films in the area .,FIND A MOVE SHADO FOR FILMS IN THE AREA,SearchScreeningEvent
1653,snips-train-11485,What time is Rites of Spring playing at Marcus Corporation,WHAT TIME HAS RITES OF SPRING PLAYING AT MARCUS CORPORATION,SearchScreeningEvent
1654,snips-train-11486,Find the schedule for Idols of Clay at a movie house .,FIND THE SHADUEL FORIDERS OF CLAA TAMOVIE HOUSE,SearchScreeningEvent
1655,snips-train-11487,find films with movie schedules that are nearby,FINE FRILMS WITH MOVI SHAGELS THATURNEO BY,SearchScreeningEvent
1656,snips-train-11488,Where is My Dearest Enemy playing,WHERE IS MY DEAREST STANDE ME PLAYING,SearchScreeningEvent
1657,snips-train-11489,Show me the schedule for ArcLight Hollywood for animated movies,SHOW ME THE SHADUL FOR ARQUITE HOEYWOOD FOR AMIMATED MOVIES,SearchScreeningEvent
1658,snips-train-1149,put live and rare into dancehall official,PUT LIVEN BERIN TO DANCE SOR OFFICIAL,AddToPlaylist
1659,snips-train-11490,find movies around here,FIND MOVIES AROUND HERE,SearchScreeningEvent
1660,snips-train-11491,Where is the nearest movie theatre playing The Sword of Many Lovers ?,WHERE IS THE NEAREST MOVING THEATRE PLAYING THE SWORD OF MANY LOVERS,SearchScreeningEvent
1661,snips-train-11492,What time are the animated movies starting at the nearest movie house ?,WHAT TIME ARE THE ALIMATED MOVIES STARTING AT THE NEAREST MOVIE HOUSE,SearchScreeningEvent
1662,snips-train-11493,SHOW movie schedule,SHO MUVI SHADIEU,SearchScreeningEvent
1663,snips-train-11494,what are the movies movie times nearby,WHAT ARE THE MOVIES MOVE TIMES NEARBY,SearchScreeningEvent
1664,snips-train-11495,Fine the movie schedule for Warren Theatres .,FIND A MOVI SHAGULS THO WARREN THEATRES,SearchScreeningEvent
1665,snips-train-11496,Show me showtimes at the cinema for Chain of Events .,SHOW ME SURE TIMES AT THE SYNEM OF A CHAIN OF EVENTS,SearchScreeningEvent
1666,snips-train-11497,Which animated movies are showing close by ?,WHICH HARMIMATED MOVIES ARE SHOWING CLOSE BY,SearchScreeningEvent
1667,snips-train-11498,What time is Mighty Morphin Power Rangers The Movie at Magic Johnson Theatres ?,WHAT TIME HAS MIGHTY MORPHIN POWER RANGES THE MOVIED MAGIC JOHNSON THEATRES,SearchScreeningEvent
1668,snips-train-11499,Can i get the movie schedule for eleven hours from now ?,CAM I GET THE MOVY SHADOW FOR ELEVEN HOURS FROM NO,SearchScreeningEvent
1669,snips-train-115,add Black Ribbons to the autumn playlis,ARE BLACK RIBBONS TO THE AUTUMN PLAILEYS,AddToPlaylist
1670,snips-train-1150,add the ragged curtain onto the playlist called party through the decades,OUB THE RAGGED CURTAIN ON TO THE PRAYLIST CARLED PARTY THROUGH THE DACADES,AddToPlaylist
1671,snips-train-11500,Find the movie schedules for animated movies in the neighbourhood .,FIND THE MOVEE SHAGELS FOR ANIMATED MOVIES IN THE NEIGHBOURHOOD,SearchScreeningEvent
1672,snips-train-11501,show me the movie schedule for the Cooper Foundation,SHOW ME REMOVE THE SHADOW FOR E COUP OF FOUNDATION,SearchScreeningEvent
1673,snips-train-11502,What time are animated movies playing in the area,WHAT TIME AR AMOMATED MOVIS PLAYING IN THE AREA,SearchScreeningEvent
1674,snips-train-11503,What animated movies are at the closest movie house near brunch,WHAT URNOMATED MOVIES AR AT THE CLOSEST MOVE HOUSE NEAR BRANCH,SearchScreeningEvent
1675,snips-train-11504,Provide me the movie schedules,PROVIDE ME THEMOVEI SHAGGELS,SearchScreeningEvent
1676,snips-train-11505,find Invisible Child at Southern Theatres,FIND INVISIBLE CHILD AT SEVEN THEATRES,SearchScreeningEvent
1677,snips-train-11506,When is The Naked Eye playing at the closest movie theatre,WHEN AS THE NAKED I PLAYING AT THE CLOSEST MOVI THEATRE,SearchScreeningEvent
1678,snips-train-11507,Where can I find the movie schedules ?,WHERE CAN I FIND A MOVIE SHAGGELES,SearchScreeningEvent
1679,snips-train-11508,What movies are scheduled at the nearest movie theatre ?,WHAT MOVEES ARE SHADOWS ATTHE NEAREST MOVI THEATRE,SearchScreeningEvent
1680,snips-train-11509,What time is Cabin Fever Spring Fever playing,WHAT TIME IS CABIN FEVERS SPRING FEVER CLAYING,SearchScreeningEvent
1681,snips-train-1151,put the mike oldfield album onto my La Mejor Música para tus Fiestas playlist,PUT THE MICHAEL DRID ALGAM ONTO MYLAMA HOMUSICA PARATUS FIESTA'S PLAILIST,AddToPlaylist
1682,snips-train-11510,What time is Hitman City playing,WHAT TIME IS HEATS MAN CITY PLAYING,SearchScreeningEvent
1683,snips-train-11511,What are the timings for Starship Troopers 2 ?,WHAT ARTHE THIMINGS FRISTASHIP TROPERS TOO,SearchScreeningEvent
1684,snips-train-11512,I'd like to watch films anywhere nearby,I'D LIKE TO WATCH FROAMS ANYWHERE NEAR BY,SearchScreeningEvent
1685,snips-train-11513,Can i get the movie times for Fox Theatres ?,CAN I GET THE MOVE ME TIMES FOR FOX THEATRES,SearchScreeningEvent
1686,snips-train-11514,What films are playing at Goodrich Quality Theaters,WHAT FILMS ARE PLAYING AT GOODH QUALITY THEATRES,SearchScreeningEvent
1687,snips-train-11515,find films at Magic Johnson Theatres,FINE FROMS OF MAGIC JOHMSONTHEATRES,SearchScreeningEvent
1688,snips-train-11516,Which films are playing at the closest cinema ?,WHICH  FFILMS A PLAYING AT THE CLOSEST CINAMA,SearchScreeningEvent
1689,snips-train-11517,What movies are playing at the closest movie house ?,WHAT MOVIES ARE PLAYING AT THE CLOSEST MOVIE HOUSE,SearchScreeningEvent
1690,snips-train-11518,Find me the movie times for the Marcus Corporation,FIND ME THE MOVIE TIMES FOR THE MARQES CORPORATION,SearchScreeningEvent
1691,snips-train-11519,what's the movie schedule at National Amusements,WHAT'S THE MOFI SHADUED NATIONAL AMUSEMENTS,SearchScreeningEvent
1692,snips-train-1152,Add an album by Liza Oumarova to the Steampunk playlist.,ADDAN ALBUM BY LIZA UMEROVER TO THE STEAMPUNK PLAYLIST,AddToPlaylist
1693,snips-train-11520,I'm wondering when I can see Beating Heart at the nearest cinema .,I'M WONDERING WHEN I CAN SEE BEATIN HEART AT THE NEAREST CYNAMA,SearchScreeningEvent
1694,snips-train-11521,What Pacific Theatres are playing animated movies,WHAT POCIFIC THEATRES AF PLAIN ANIMATED MOVIES,SearchScreeningEvent
1695,snips-train-11522,What animated movies are playing at the Douglas Theatre Company,WHAT ANIMATED MOVEES ARE PLAYING AT THE DOUGLAS THEATO COMPANY,SearchScreeningEvent
1696,snips-train-11523,Find the movie schedule for B&B Theatres .,FIND A MOVI SHAGULE FOR BIAN BE THEATRES,SearchScreeningEvent
1697,snips-train-11524,Find movie schedules .,FIND MOVI SHADULS,SearchScreeningEvent
1698,snips-train-11525,Can I get the movie times for films in the neighborhood ?,COME I GET TO MOVE ME TIMES FOR FOAMS IN THE NEIGHBOURHOOD,SearchScreeningEvent
1699,snips-train-11526,find movie times,FIND MOVEI TIMES,SearchScreeningEvent
1700,snips-train-11527,Is Mentioned in Confidence at the cinema,IS MENTIONED IN CONFIDENCE OF POSIMIMA,SearchScreeningEvent
1701,snips-train-11528,When is Blood and Ice Cream-trilogie playing at the nearest movie theatre ?,WHEN HIS BLOOD AND ICE CREAMD TRELOTY PLAYING AT THE NEAREST MOVI THEATRE,SearchScreeningEvent
1702,snips-train-11529,What is the local movie schedule,WHAT IS THE LOCO MU VICHADIEU,SearchScreeningEvent
1703,snips-train-1153,Add artist Matt Noveskey to journey,ARDOTIST MADNEVRESKETS ER JOURNEY,AddToPlaylist
1704,snips-train-11530,When is Cooper Foundation on the movie schedule ?,WHEN HIS CRUPER FOUNDECHNON DE MUVI CHADIEU,SearchScreeningEvent
1705,snips-train-11531,What movies can I see in the area ?,WHAT MOVIS CAN I SEE IN ME AREA,SearchScreeningEvent
