,train_index,train_sentence,matthew_sentence,train_label
1813,snips-train-11629,I'd like to watch movies close by,I'D LIKE TO WATCH MOVIES CLOSE BY,SearchScreeningEvent
1814,snips-train-1163,Add a track to my hands up playlist.,ODD A TRACK TO MY HANDS UP PLOYLIST,AddToPlaylist
1815,snips-train-11630,Can you pull up showings for Pop Goes the Easel at the local movie theatre ?,CAN YOU PULL UP SHORNGS FOR POP GOES THE EASEL AT THE LOCAL MOVI THEATR,SearchScreeningEvent
1816,snips-train-11631,Where is Walt The Man Behind the Myth playing,WHERE AS WALT THE MAN BEHIND THEM ITH PLAYING,SearchScreeningEvent
1817,snips-train-11632,Is Unsettled Land playing at the movie theatre,IS UNSETTLED LAMP PLAYING AT THE MOVI THEATRE,SearchScreeningEvent
1818,snips-train-11633,find Dickinson Theatres showing From Bondage to Freedom,FINE DICKENSON THEATRES SHOWING FROM BONDAGE TO FREEDOM,SearchScreeningEvent
1819,snips-train-11634,What animated movies are there nearby ?,WHAT ANIMATE IT MOVE EACH OTHER NEAR BY,SearchScreeningEvent
1820,snips-train-11635,What's the closest cinema playing Chuckys Baby now ?,WHAT'S THE CLOSEST SINEM OF PLAYING CHARKEY'S BABY NOW,SearchScreeningEvent
1821,snips-train-11636,What are the movie schedules for movies showing in the neighbourhood ?,WHAT ARE THE MOVI SCHEDULES FOR MOVIES SHOWING IN THE NEIGHBOURHOOD,SearchScreeningEvent
1822,snips-train-11637,What movie theatre is palying The Hurricane five hours from now,WHAT MOVING THEATRE IS PALLAYING THE HURRICANE FIVE HOURS FROM NOW,SearchScreeningEvent
1823,snips-train-11638,What are the movie schedules,WHAT ARE THE MOVI SCEDULS,SearchScreeningEvent
1824,snips-train-11639,Can you tell me the movies that are going to be scheduled at the closest movie house ?,CAN YOU TELL ME THE MOVIES THAT ARE GOING TO BE SCHEDDULED AT THE CLOSEST MOVIE HOUSE,SearchScreeningEvent
1825,snips-train-1164,add potje met vet to my electronic gaming playlis,AB PARTIER MET VEPTOMA ELATRONIC GAMING PLALIS,AddToPlaylist
1826,snips-train-11640,What animated movies are playing in the area and what is the movie schedule,WHAT ANIMATED MOVIES ARE PLYING IN THE ARI AND WHAT IS THE MOVIE SCHEDULE,SearchScreeningEvent
1827,snips-train-11641,What movie theatre has A Matter of Wife... And Death,WHAT MOVE HE THEOTRE HOWS A MATTER OF WIFE AND DATH,SearchScreeningEvent
1828,snips-train-11642,Where is The Wilderness Trail playing,WRERE'S THE WILDERNESSTRIAL PLYING,SearchScreeningEvent
1829,snips-train-11643,What is the local movie schedule,WHAT IS THE YAK E MOVY SCIRDUL,SearchScreeningEvent
1830,snips-train-11644,List films at Pacific Theatres,LUST FILMS OF PACIFIC THEATRES,SearchScreeningEvent
1831,snips-train-11645,find movie times,FINE MOVIE TIMES,SearchScreeningEvent
1832,snips-train-11646,find the closest cinema with animated movies,FIND THE CLOSEST CINEMA WITH ANIMATED MOVIES,SearchScreeningEvent
1833,snips-train-11647,Can you let me know when Talk of the Devil is playing at the movie theatre ?,CAN YOU LET ME KNOW WHEN TALK OF THE DEVIL IS PLAYING AT THE MOVI THEATRE,SearchScreeningEvent
1834,snips-train-11648,find the closest movie theatre for films,FIND THE CLOSEST MOVING THEATRE FOR FILMS,SearchScreeningEvent
1835,snips-train-11649,show me movie times for Southern Theatres,SHOW ME MOVING TIMES FOR SOUTHERN THEATERS,SearchScreeningEvent
1836,snips-train-1165,Add song to top 100 country tracks on spotify,AND SONG TO TOP ONE HUNDRED COUNTRY TRACKS ON SPODEFY,AddToPlaylist
1837,snips-train-11650,What is the closest movie house playing films,WHAT IS THE CLOSEST MOVING HOUSE PLAYING FILMS,SearchScreeningEvent
1838,snips-train-11651,What time is Tommy and Quadrophenia Live playing at Marcus Corporation,WHAT TIME IS TOMMY AND QUADROPHENALE IF PLAYING AT MARCAR'S CORPORATION,SearchScreeningEvent
1839,snips-train-11652,"What time is Atlantis, terre engloutie playing?",WHAT TIME IS OUT LOUD US TEARING LU T PLAYING,SearchScreeningEvent
1840,snips-train-11653,She me what movies are playing at 1 o'clock at the nearest movie theatre,SHE MAY WHAT MOVIES ARE PLAYING AT ONE O'CLOCK AT THE NEAREST MOVIE THEATRE,SearchScreeningEvent
1841,snips-train-11654,give me the movie schedule for animated movies showing in the neighborhood,GIVE ME THE MOVIE SCHEDUL FOR ANIMATED MOVIE SHOWING IN THE NEIGHBOURHOOD,SearchScreeningEvent
1842,snips-train-11655,What time is In Old New Mexico showing today?,WHAT TIME IS AN OLD NEW MEXICO SHON TO BE,SearchScreeningEvent
1843,snips-train-11656,Find me Third Man on the Mountain at a cinema,FIND ME THRIRD MEN ON THE MOUNTAIN AT ACINAMA,SearchScreeningEvent
1844,snips-train-11657,Is Gods of Metal playing,HIS GORGE OF METAL PLAYING,SearchScreeningEvent
1845,snips-train-11658,What time is The Christmas Toy playing at Loews Cineplex,WHAT TIME IS THE CHRISTMAS TOUR PLAYING AT LONSINACLACS,SearchScreeningEvent
1846,snips-train-11659,What time is Socrates playing at the cinema ?,WHAT TIME IS SOCRILYS PLAYING AT THE CINEMA,SearchScreeningEvent
1847,snips-train-1166,Add track to my Digster Future Hits,ADD TRACK TO MY DISTER FUTURE HITS,AddToPlaylist
1848,snips-train-11660,Where is They Always Return at Dawn playing,WHEREAS THEY ALWAYS RETURN AT DAUNT PLAYING,SearchScreeningEvent
1849,snips-train-11661,What is the nearest movie house playing The Miracle Rider,WHAT IS THE NEAREST MOVIE HOUSE PLAYING THE MIRACLE RIDER,SearchScreeningEvent
1850,snips-train-11662,show the movie schedule for 9 pm at Cobb Theatres,SHOWED THE MOOVI SCIDUL FOR NINE P M AT COB THEATRS,SearchScreeningEvent
1851,snips-train-11663,Find movie schedules for United Paramount Theatres .,FINED MOVI SCHEDULES FOR UNITED PARAMOUNT THEATRS,SearchScreeningEvent
1852,snips-train-11664,find The Broken,FOUNDE BREAKEM,SearchScreeningEvent
1853,snips-train-11665,What movies are playing at Warren Theatres ?,WHAT MOVIES ARE PLAYING AT WARRANT THEATERS,SearchScreeningEvent
1854,snips-train-11666,What is on the movie schedule for four AM at Landmark Theatres,WHAT IS ON THE MOVI SCEDUL FOR FOUR A M AT LAMDMARKED THEATRES,SearchScreeningEvent
1855,snips-train-11667,What cinema is Health Warning playing in eleven hours ?,WHAT SUNIM IS HALF WARNING PLAYING IN ELEVEN HOURS,SearchScreeningEvent
1856,snips-train-11668,can I get the movie schedules for Goodrich Quality Theaters,CAN I GET THE MOVING SCEDULES FOR GOOD RICH QUALITY THEATERS,SearchScreeningEvent
1857,snips-train-11669,Find the movie schedule for close by films .,FINE THE MOVY SCHEDULE FOR CLOSE BY FILMS,SearchScreeningEvent
1858,snips-train-1167,add Harry J to my dubstep dangles dirty,OUT HURRY JADE MO DOVE STEP TANGLES TURTY,AddToPlaylist
1859,snips-train-11670,what time is Twin Peaks Fire Walk with Me showing,WHAT TIME HAS TWINPEAKS FIRE WALK WITH ME SHIRWIN,SearchScreeningEvent
1860,snips-train-11671,could you please show me movie schedules,COULD YOU PLEASE SHOW ME MOVE SCHEDULS,SearchScreeningEvent
1861,snips-train-11672,show movie times of Regal Entertainment Group,SHOW MOVI TARMS OF WEGAL ENTERTAINMENT GROUP,SearchScreeningEvent
1862,snips-train-11673,Find movie times for nine PM .,FINED MOVIN TIMES FOR NINE P M,SearchScreeningEvent
1863,snips-train-11674,Find the schedule for The Tale of Sweeney Todd at seven o'clock .,FIND THE SCEDUL FOR THE TALE OF SWEENY TOT AT SEVEN O'CLOCK,SearchScreeningEvent
1864,snips-train-11675,find The Dead Matter at Speakeasy Theaters,FINE E DEAD MATTER AT SPEA EASY THEATERS,SearchScreeningEvent
1865,snips-train-11676,What time is 26 Years Diary showing in the movie house ?,WHAT TIME IS TWENTY SIX YEARS DIARY SHOWING IN THE MOVE HOUSE,SearchScreeningEvent
1866,snips-train-11677,where can i watch animated movies around here,WORK AND I WANCH ANIMATED MOVIES AROUND HERE,SearchScreeningEvent
1867,snips-train-11678,movie times at Consolidated Theatres,MOVE TIMES AT CONSOLIDATED THEATRES,SearchScreeningEvent
1868,snips-train-11679,What are the movie times for Malco Theatres,WHAT ARE THE MOVI TIMES FOR MALCO THEATRS,SearchScreeningEvent
1869,snips-train-1168,Add another track to my Women of Latin Music playlist,ADD ANOTHER ATTRACT TO MY WOMEN OF LATIN USIC PLOYWUST,AddToPlaylist
1870,snips-train-11680,show movie times now,SHORE MOVIE TIMES NOW,SearchScreeningEvent
1871,snips-train-11681,find The Branded Woman,FIND A BRANDED WOMAN,SearchScreeningEvent
1872,snips-train-11682,What time is Chandranath playing MJR Theatres,WHAT TIME HAS CHANDRAMOUTH PLAYING EMG ARE THEATRES,SearchScreeningEvent
1873,snips-train-11683,Find the movie schedule .,FIND THE MEVY SCURDULE,SearchScreeningEvent
1874,snips-train-11684,Find me showtimes for animated movies in the neighbourhood .,FINDLY SHORT TIMES FOR ANIMATED MOVIES IN THE NEIGHBORHOOD,SearchScreeningEvent
1875,snips-train-11685,Fine movie times for animated movies in the neighborhood .,FINE MOVING TIMES FOR ANIMATED MOVIES IN THE NEIGHBORHOOD,SearchScreeningEvent
1876,snips-train-11686,Find movie times .,FINE MOVIE TIMES,SearchScreeningEvent
1877,snips-train-11687,What are the movie times for films playing in the area ?,WHAT ARE THE MOVING TIMES FOR FILMS PLAYING IN THE AREA,SearchScreeningEvent
1878,snips-train-11688,Can I get the showtimes for films at Malco Theatres .,CAN I GET THE SHORE TIMES FOR FILMS AT MALCO THEATRES,SearchScreeningEvent
1879,snips-train-11689,Is The Ghost Breakers playing at Plitt Theatres in two hours,IS THE GHOST BREAKER'S PLAYING OF PLAT THEATRES IN TWO HOURS,SearchScreeningEvent
1880,snips-train-1169,Add this tune by rod argent to propuesta alternativa playlist,ABVIS TUNE BY ROD ARGIN TO PROPE WEST HALL TYRANATIVA PLAYLIST,AddToPlaylist
1881,snips-train-11690,Where theater is playing The Ranger and the Lady at 10 AM,WHERE THEATRE S PLAYING THE RANGER AND MALADY OF TANAM,SearchScreeningEvent
1882,snips-train-11691,what's the movie schedules for Magic Johnson Theatres,WHAT'S THE MOVI SCHEDULES FOR MAGIC JOHNSON THEATERS,SearchScreeningEvent
1883,snips-train-11692,what time can i see Girls to Marry,WHAT TOD CAN OUR SEGLS TO MALLY,SearchScreeningEvent
1884,snips-train-11693,what movies are showing in the neighbourhood,WHAT MOVIES ARE SHOWING IN THE NEIGHBOURHOOD,SearchScreeningEvent
1885,snips-train-11694,What animated movies are playing at the nearest movie theatre ?,WHAT ANIMATED MOVIES ARE PLAYING AT THE NEAREST MOVING THEATR,SearchScreeningEvent
1886,snips-train-11695,What are the movie schedules for the Dipson Theatres,WHAT ERE THE MOVI SCHEDULES FOR THE DIPSEN THEATERS,SearchScreeningEvent
1887,snips-train-11696,find animated movies nearby,FINE ANIMATED MOVIES NEAR BY,SearchScreeningEvent
1888,snips-train-11697,Please tell me movie times,PLEASE TELL ME MORY TIMES,SearchScreeningEvent
1889,snips-train-11698,List movies by movie times in the neighbourhood,LIST MOVIES BY MOVING TIMES IN THE NEIGHBOURHOOD,SearchScreeningEvent
1890,snips-train-11699,Find the schedule for films in the neighborhood .,FIND E SCHEDUL FOR FILMS IN THE NEIGHBORHOOD,SearchScreeningEvent
1891,snips-train-117,add No Secrets to power gaming playlist,ADD NO SECRETS TO POWER GAMING PLAYLIST,AddToPlaylist
1892,snips-train-1170,find lesley's epic classical playlist and add this tune,FINE LESLIE'S UPPER CLASSICAL PLAYLIST AN AT THIS TOO,AddToPlaylist
1893,snips-train-11700,What animated movies are playing AMC Theaters,WHAT ANIMATED MOVIES ARE PLAYING A M C THEATERS,SearchScreeningEvent
1894,snips-train-11701,What movie theatre is the closest that is playing Cheat You Fair The Story of Maxwell Street right now,WHAT MOVIG THEATRE IS THE CLOSEST THAT IS PLAIN CHEAT YOUFFAR THE STORY OF MAX WELL STREET RIGHT NOW,SearchScreeningEvent
1895,snips-train-11702,Where is Among the Great Apes with Michelle Yeoh playing and when,WORS AMONG THE GRATAPES WITH MICHEL YEL PLAYING AND WEM,SearchScreeningEvent
1896,snips-train-11703,Where and when can I see The Image Makers,WHERE IN WHEN CAN I SEE THE IMAGE MAKERS,SearchScreeningEvent
1897,snips-train-11704,can I get the movie times,CAN I GET THEM MOVI TIMES,SearchScreeningEvent
1898,snips-train-11705,find movies with movie schedules in the neighborhood,FINE MOVIES WITH MOVIE SCURDULS IN THE NEIGHBOURHOOD,SearchScreeningEvent
1899,snips-train-11706,find Plitt Theatres showing animated movies,FINE BLIT THEATRES SHOWING ANIMATED MOVIES,SearchScreeningEvent
1900,snips-train-11707,Show movie schedules with movies in the neighborhood,SHOW MOVISH SCHEDULES WITH MOVIES IN THE NEIGHBOURHOOD,SearchScreeningEvent
1901,snips-train-11708,what are the movie times for Consolidated Theatres,WHAT ARE THE MOVI TIMES FOR CONSOLIDATED THEATERES,SearchScreeningEvent
1902,snips-train-11709,What movies are playing at the nearest cinema,WHAT MOVIES ARE PLAYING AT THE NEAREST CCINEMA,SearchScreeningEvent
1903,snips-train-1171,Add So Far to my Retrovisor playlist.,ADD SO FAR TO MY RETORO BY SORE PLOYWIST,AddToPlaylist
1904,snips-train-11710,I want to know what movies are showing at the nearest movie house .,I WANT TO KNOW WHAT MOVIES ARE SHOWING OF THE NEAREST MOVIE HOUSE,SearchScreeningEvent
1905,snips-train-11711,I want to go see A Simple Noodle Story in seventeen seconds at Goodrich Quality Theaters .,I WANT TO GO SEE A SIMPLE NUTLE STORY IN SEVENTEEN SECONDS OF GEDRICH QUALITY THEATRES,SearchScreeningEvent
1906,snips-train-11712,is Tomorrow at Dawn at Harkins Theatres,IS TOMORROW I DAWN AN HEARKENS THEATRS,SearchScreeningEvent
1907,snips-train-11713,Which films are playing at Consolidated Theatres ?,WHICH FILMS ARE PLAYING AT CONSOLIDATED THEATRES,SearchScreeningEvent
1908,snips-train-11714,whats the closest movie house showing Medal of Honor,WHAT'S THE CLOSEST MOVIE HOUSE SHOWING METAL OF HONOUR,SearchScreeningEvent
1909,snips-train-11715,where can i watch Willy Wonka & the Chocolate Factory,WORK AN I WATCHWOLLY WALKER OF A CHOCOLATE FACTORY,SearchScreeningEvent
1910,snips-train-11716,Where is the closest cinema that features animated movies,WERES THE CLOSEST SYNTIM ON THE FEATURES ANIMATED MOVIES,SearchScreeningEvent
1911,snips-train-11717,Please show me the movie schedule for animated movies playing in the neighborhood .,PLEASE SHOW ME THE MOVI SCHEDULE FOR ANIMATED MOVIES PLAYING IN THE NEIGHBORHOOD,SearchScreeningEvent
1912,snips-train-11718,What movie schedules at Consolidated Theatres,WHAT MOVIN SCHEDULES AT CONSOLIDATED THEATRES,SearchScreeningEvent
1913,snips-train-11719,Where does The Return of the Whistler play at the Bow Tie Cinemas at 030148 A.M.,WHERE DOES THE RETURN OF THE WHISTLER PLAY AT THE BEAU TISENAMAS AT OTHREE O ONE FOUR EIGHT E M,SearchScreeningEvent
1914,snips-train-1172,Add tune to my hot 50,ADD TUNE TO MY HOT FIFTY,AddToPlaylist
1915,snips-train-11720,What is the local movie schedule,WHAT IS THE YAK E MOVY SCIRDUL,SearchScreeningEvent
1916,snips-train-11721,Tell me the films playing at the closest movie house to me,TELL ME THE FILM'S PLAYING OF THE CLOSEST MOVI HOUSE TO ME,SearchScreeningEvent
1917,snips-train-11722,What is the closest movie theatre that is playing animated movies,WHAT IS THE CLOSEST MOVI THEATRE THAT IS PLAYING ANIMATED MOVIES,SearchScreeningEvent
1918,snips-train-11723,Tell me the closest movie house playing Black Rage,TELL ME THE CLOSEST MOVIE HOUSE PLAYING BLACK RAGE,SearchScreeningEvent
1919,snips-train-11724,I'd like to watch I Wish at the nearest movie theatre,I'D LIKE TO WATCH OUR WISH AT THE NEAREST MOVING THEATR,SearchScreeningEvent
1920,snips-train-11725,Is Lord Jim at the movie house,IS LORD JIM AT THE MOVIE HOUSE,SearchScreeningEvent
1921,snips-train-11726,movie schedules for animated movies playing in the neighbourhood,MOVI SCHEDULES FOR ANIMATED MOVIES PLAYING IN THE NEIGHBOURHOOD,SearchScreeningEvent
1922,snips-train-11727,I want to watch Looney Tunes Platinum Collection Volume 1 at a movie theatre,I WANT TO WATCH LUNEY TURN'S PLATNOM COLLECTION VOLUME WANTED A MOVE A THEATRE,SearchScreeningEvent
1923,snips-train-11728,Show the movie schedule,SHULL THE MOOTHER SCURDULE,SearchScreeningEvent
1924,snips-train-11729,Find the movie schedule for animated movies in the area .,FIND THE MOVIN SCIRDUL FOR ENIMATED MVIES IN THE AREA,SearchScreeningEvent
1925,snips-train-1173,The Sleep Machine Rainforest playlist needs another tune,THE SLEEP MACHINE RAMFOREST PLAYLESS NEEDS ANOTHER TWO,AddToPlaylist
1926,snips-train-11730,is One Night Surprise at the cinema,IS ONE MIGHT SURPRISE AT THE CINEMA,SearchScreeningEvent
1927,snips-train-11731,Find the movie schedule for animated movies close by .,FIND THE MOVIE SCIRDUAL FOR ANIMATED MOVIES CLOSE BY,SearchScreeningEvent
1928,snips-train-11732,I'm wondering when I can see Hurry Sundown .,I'M WONDERING WHEN I CAN SEE HURRY SUNDOWN,SearchScreeningEvent
1929,snips-train-11733,Find the movie schedule for the Douglas Theatre Company .,FIND THE MOVIE SCIDUL FOR THE DOUGLAS THEATRE COMPANY,SearchScreeningEvent
1930,snips-train-11734,Find the schedule for Metallica Through the Never .,FIND A SCIRDUL FOR METALICA THROUGH THE EVER,SearchScreeningEvent
1931,snips-train-11735,Is Goodbye Mr. Chips showing twelve minutes from now,IS GOOD BYE MISTER CHIPP SHOWING TWELVE MINUTES FROM NOW,SearchScreeningEvent
1932,snips-train-11736,Find the movie schedule for Amco Entertainment 1 minute from now .,FIND E MOVIN SCIDUL FOR AMGA ENTERTAINMENT ONE MOTE FROM NOW,SearchScreeningEvent
1933,snips-train-11737,"show me the schedule of A Man, a Woman, and a Bank in nearest Neighborhood Cinema Group",SHOW ME THE SCHEDULE OF AMAM A WOMAN AND A BANK IN NEAREST NEIGHBORHOOD SENT HIM A GROUP,SearchScreeningEvent
1934,snips-train-11738,"Can I get the showtimes for the closest cinema showing I’m a Cyborg, But That’s OK .",CAN I GET THE SHIL TIMES FOR THE CLOSEST CENOFA SHORING OF A SIGHBOARD BUT THAT'S O KE,SearchScreeningEvent
1935,snips-train-11739,What films are in the neighborhood,WHAT FILMS ARE IN THE NEIGHBORHOOD,SearchScreeningEvent
1936,snips-train-1174,Add another artist to my soul bpm playlist,ADD ANOTHER ARTIST TO MY SOUL B P MPLAYLIST,AddToPlaylist
1937,snips-train-11740,What movies are currently playing at the Caribbean Cinemas,WHAT MOVIES ARE CURRENTLY PLAYING OUT THE CORIBIAN CINNIMAS,SearchScreeningEvent
1938,snips-train-11741,What are the movie times for movies around here,WHAT ARE THE MOVI TIMES FOR MOVIES AROUND HERE,SearchScreeningEvent
1939,snips-train-11742,What's the closest movie house that's showing animated movies ?,WHAT'S THE CLOSEST MOVIE HOUSE THAT SHOWING ANIMATED MOVIES,SearchScreeningEvent
1940,snips-train-11743,What time does Military history of African Americans play,WHAT TIME DOES MILITARY HISTORY OF AFRICAN AMERICANS PLAY,SearchScreeningEvent
1941,snips-train-11744,find a brunch time cinema nearest with The President Is Coming,FONDER BRUNCH TIM SENTAMEN UREST WITH THE PRESIDENT IS COMING,SearchScreeningEvent
1942,snips-train-11745,Find the schedule for movies at Plitt Theatres .,FIND THE SCEDULE FOR MOVIES AT PLUT THEATRES,SearchScreeningEvent
1943,snips-train-11746,find nearby movies,FINE NEAR BY MOVIES,SearchScreeningEvent
1944,snips-train-11747,Give me the showtime for Bobby Yeah playing at the cinema,GIVE ME THE SHORE TIME FOR BOBBY YAW PLAYING AT THE CINAMA,SearchScreeningEvent
1945,snips-train-11748,What animated movies are showing in the area ?,WHAT ANIMATED MOVIES ARE SHOWING IN THE AROEA,SearchScreeningEvent
1946,snips-train-11749,Show me the movie schedules for Santikos Theatres .,SHOW ME THE MOVI SCHEDULES FOR SANTICOS THEATRES,SearchScreeningEvent
1947,snips-train-1175,Add ramble on to Halloween Teens,ADGRAM BELONGED TO HOWAN WENTINS,AddToPlaylist
1948,snips-train-11750,What is the movie schedule in five minutes for movies playing in the neighborhood,WHAT IS THE MOVIE SCEDULE IN FIVE MINUTES FOR MOVIES PLAYING IN THE NEIGHBOURHOOD,SearchScreeningEvent
1949,snips-train-11751,When is Man in Outer Space playing at Megaplex Theatres,WHEN IS MEN IN OUTER SPACE PLAYING AT MAGOPLUX  THEATRES,SearchScreeningEvent
1950,snips-train-11752,I need a schedule for the cinema that is showing The Shiralee,I NEED A SCADULE FOR THE SENTIMENT THAT AS SHURING MACHIRILY,SearchScreeningEvent
1951,snips-train-11753,I'd like to watch The Wedding Ring at the movie theatre,I'D LIKE TO WATCH THE WEDDING RING AT THE MOVINE THEATRE,SearchScreeningEvent
1952,snips-train-11754,What movies are currently at Star Theatres ?,WHAT MOVIES ARE CURRENTLY AT STAR THEATRES,SearchScreeningEvent
1953,snips-train-11755,Find the movie schedules for nearby movies .,FIND THE MEVIS SCHEDULES FOR NEAR BY MOVIES,SearchScreeningEvent
1954,snips-train-11756,Can i get the movie schedule for films nearby .,CAN I GET THEM MOVING SCHEDULE FOR FILMS NEAR BY,SearchScreeningEvent
1955,snips-train-11757,where is the nearest movie theatre showing movies,WHERE IS THE NEAREST MOVITHEATRE SHORN MOVIES,SearchScreeningEvent
1956,snips-train-11758,I want a list of films that are going to be shown in the neighborhood .,I WANT A LIST OF FILMS THAT ARE GOING TO BE SHOWN IN THE NEIGHBOURHOOD,SearchScreeningEvent
1957,snips-train-11759,what movies are playing at the Alamo Drafthouse Cinema,WHAT MOVIES ARE PLAYING AT THE ALUM O DRAFT HOUSE CINIMA,SearchScreeningEvent
1958,snips-train-1176,add 3 Natsu Natsu Mini Berryz to my rock classics playlist,ADD THREE NOT SO NOT SO MANY BERRIERS TO MY RAW CLASSICS PLOYWIST,AddToPlaylist
1959,snips-train-11760,Please find the movie schedule for animated movies playing in the neighbourhood,PLEASE FIND THEM UNVY SCEDUL FOR ANIMATED MOVIS PLAYING IN THE NEIGHBOURHOOD,SearchScreeningEvent
1960,snips-train-11761,Show movie schedules for Marcus Corporation,SHOWED EVISH SCEDULES FOR MARKER'S CORPORATION,SearchScreeningEvent
1961,snips-train-11762,Give me the current showtimes for Tarass Boulba .,GIVE ME THE CURRENT SHORE TIMES FOR TORASPOB,SearchScreeningEvent
1962,snips-train-11763,Which cinema can I go to to see Lilly the Witch The Dragon and the Magic Book ?,WHICH SINIMER CAN I GO TO TO SEE LILY THE WHICH THE DRAGON ON THE MAGIC BOOK,SearchScreeningEvent
1963,snips-train-11764,find movie schedules for Loews Cineplex,FINED MOVI SCHEDULES FOR LOS SENOPLAX,SearchScreeningEvent
1964,snips-train-11765,What time will the Amco Entertainment be plying The Teeth of the Tiger,WHAT TIME WILL THE ANCU ENTERTAINMENT BE PLYING THE TIETH OF THE TIGER,SearchScreeningEvent
1965,snips-train-11766,Go to movie times at IMAX Corporation,GO TO MOVI TIMES AT ARMAX' CORPORATION,SearchScreeningEvent
1966,snips-train-11767,Where can I watch The Sword of Ali Baba at two p.m. ?,WHERE CAN I WATCH THE SORT OF OLIVAUBAR TWO P M,SearchScreeningEvent
1967,snips-train-11768,I'd like to watch Mission to Mir,I'D LIKE TO WANT MISSHINGO MIR,SearchScreeningEvent
1968,snips-train-11769,I want to know the films playing at the closest movie house .,I ONE OR KNO THE FILM'S PLAYING OF THE CLOSEST MOVIE HOUSE,SearchScreeningEvent
1969,snips-train-1177,put jtr on the Top Classical playlist,PUT J T ARM OF TOP CLASSICAL PLOYWIST,AddToPlaylist
1970,snips-train-11770,Is The Strange Case of the End of Civilization as We Know It playing at the movie theatre,IS THE STRANGE CASE OF THE END OF CIVILIZATION AS WE KNOW IT PLAYING AT THE MOVI THEATRE,SearchScreeningEvent
1971,snips-train-11771,What time is My Son Shall Be Armenian playing at Plitt Theatres,WHAT TIME IS MY SON SHALL BE ARMENIAN PLAYING AT BIT THEATRES,SearchScreeningEvent
1972,snips-train-11772,Please tell me what the movie schedule looks like for the AMC Theatres in twenty one hours,PLEASE TELL ME WHAT THE MOVI SCHEDULE LOOKS LIKE FOR THE A M C THEATRES IN TWENTY ONE HOURS,SearchScreeningEvent
1973,snips-train-11773,is The Sleeping Beauty playing at 8 A.M. at Cobb Theatres,IS THE SLEEPING BEAUTY PLAYING AT A A M AT COB THEATRES,SearchScreeningEvent
1974,snips-train-11774,Find the movie schedule for animated movies in the neighbourhood .,FIND THE MOVIE SCIRDULE FOR ANIMATED MOVIES IN THE NEIGHBOURHOOD,SearchScreeningEvent
1975,snips-train-11775,Whats the closest cinema that shows movies at 12 A.M.,WHAT'S THE CLOSEST CINNAMEN THAT SHOWS MOVIES OF TWELVE A M,SearchScreeningEvent
1976,snips-train-11776,What time is Balkan Rhapsodies 78 Measures of War playing at Malco Theatres ?,WHAT THOMAS BALK AND RAPSIDY SEVENTY EIGHT MEASURES OF WAR APPLYING AT MALACO THEATERS,SearchScreeningEvent
1977,snips-train-11777,Where is the closest cinema playing Soapsuds and Sapheads,WERES THE CLOSEST SIN ON E PLAYING SOAP SUCS AN SAPHEADS,SearchScreeningEvent
1978,snips-train-11778,Show me when Scandalous John is playing.,SHOW ME WHAT SCANVALOUS JOHN IS PLAYING,SearchScreeningEvent
1979,snips-train-11779,Find movie times for close by movies .,FINE MOVIE TIMES FOR CLOSE BY MOVIES,SearchScreeningEvent
1980,snips-train-1178,Add Eef Barzelay to the Trad Folk playlist.,OUDE FARSALEY TO THE TRAD FOLK PLAYWIST,AddToPlaylist
1981,snips-train-11780,What films are playing now at the closest movie house ?,WHAT FILMS ARE PLAYING NOW AT THE CLOSEST MOVIE HOUSE,SearchScreeningEvent
1982,snips-train-11781,I'd like to watch Apocalypse 2024,I'D LIKE TO WANCH A POCALOPES TWENTY TWENTY FOUR,SearchScreeningEvent
1983,snips-train-11782,Is the films 19 hours from now playing at Landmark Theatres,IS THE FILM'S NINETEEN HOURS FROM NOW PLAYING AT LAND MARK THEATRES,SearchScreeningEvent
1984,snips-train-11783,"Where can I watch Portrait of a Woman, Nude in 1 hour ?",WORK ON OUR WATCH PORTRAIT OF A WOMAN MUD IN ONE OUL,SearchScreeningEvent
1985,snips-train-11784,What time is Tasher Desh playing at the nearest movie house,WHAT TIME IS TASHERDUSH PLAYING AF THE NEAREST MOVIE HOUSE,SearchScreeningEvent
1986,snips-train-11785,Find the movie times for animated movies around here .,FIND THE MOVI TIMES FOR ANIMATED MOVIES AROUND HERE,SearchScreeningEvent
1987,snips-train-11786,Find the movie schedule for animated movies in the area .,FIND THE MOVIN SCIRDUL FOR ENIMATED MVIES IN THE AREA,SearchScreeningEvent
1988,snips-train-11787,What movies are playing nearby ?,WHAT MOVIES ARE PLAYING NEAR BY,SearchScreeningEvent
1989,snips-train-11788,Where is The Toxic Avenger II playing,WORES THE TALK SIRCO VAND YOUR TOO PLAYING,SearchScreeningEvent
1990,snips-train-11789,I want to see a list of local movie times .,I WANT TO SEE A LIST OF UNCAL MOUVY TIMES,SearchScreeningEvent
1991,snips-train-1179,Add alexia to women of classical,ADDA LUXIA TO WOMEN OF CLASSICAL,AddToPlaylist
1992,snips-train-11790,When will the Blonde Ambition be playing,ONE WILL THE BLOND AMBITION BE PLAYING,SearchScreeningEvent
1993,snips-train-11791,Can you give me a local and current movie schedule,CAN YOU GIVE ME A LOCAL AND CARNT MOVY SCHEDULE,SearchScreeningEvent
1994,snips-train-11792,Find movie times .,FINE MOVIE TIMES,SearchScreeningEvent
