,train_index,train_sentence,kendra_sentence,train_label
2748,snips-train-12470,Give me the schedule for What a Wonderful Place at Cinemark Theatres,GIVE ME THE SCHEDULE FOR WHAT A WONDERFUL PLACE AT CINEMARCH THEATRES,SearchScreeningEvent
2749,snips-train-12471,find a cinema nearest with Sulle Sathya,FIND A CENTIMEN NEAREST WITH SULE SATIA,SearchScreeningEvent
2750,snips-train-12472,in the area find some films,IN THE AREA FINE SOME FILMS,SearchScreeningEvent
2751,snips-train-12473,Where is the closest cinema playing I Prefer the Sound of the Sea,WHERE AS THE CLOSEST SENTIMENT PLAYING I PREFER THE SOUND OF THE SEA,SearchScreeningEvent
2752,snips-train-12474,find a movie house for Kickboxer 5 – Redemption,FIND A MOVIE HOUSE FOR KICK BOX OR FIVE REDEMPTION,SearchScreeningEvent
2753,snips-train-12475,find The Flying Ace,FINED THE FLYING ACE,SearchScreeningEvent
2754,snips-train-12476,Show me the nearest movie house showing The Luckiest Girl in the World,SHOW ME THE NEAREST MOVIE HOUSE SHOWING THE LUCKIEST GIRL IN THE WORLD,SearchScreeningEvent
2755,snips-train-12477,When is Purple Heart scheduled at the nearest movie house ?,WHEN IS PURPLE HEART SCHEDULED AT THE NEAREST MOVIE HOUSE,SearchScreeningEvent
2756,snips-train-12478,Please find movie schedules,PLEASE FINE MOVI SCHEDRULS,SearchScreeningEvent
2757,snips-train-12479,When is The Bleeding House playing at Amco Entertainment ?,WHEN IS THE BLEEDING HOUSE PLAYING AT AMCO ENTERTAINMENT,SearchScreeningEvent
2758,snips-train-1248,add tune to my metal crash course playlist,ADD TUNE TO MY METAL CRASH COARSE PLAOLIST,AddToPlaylist
2759,snips-train-12480,find animated movies at the nearest movie theatre,FIND ANIMATED MOVIES AT THE NEAREST MOVIE THEATRE,SearchScreeningEvent
2760,snips-train-12481,Show me the movie schedule for movies around here,SHOW ME THE MOVIE SCHEDULE FOR MOVIES AROUND HERE,SearchScreeningEvent
2761,snips-train-12482,Find the movie schedule at twelve AM .,FIND THEIR MOVIE SCHEDRUL AT TWELVE A M,SearchScreeningEvent
2762,snips-train-12483,Show me movie schedules for today.,SHOW ME MOVI SCHADULS FFOR TO DAY,SearchScreeningEvent
2763,snips-train-12484,What time is A Man for Burning playing,WHAT TIME IS AMAN FOR BURNING PLAYING,SearchScreeningEvent
2764,snips-train-12485,Find the schedule for To Shoot an Elephant at the nearest movie theatre .,FIND THE SCHEDULE FOR TO SHOOT AN ELEPHAT AT THE NEAREST MOVIE THEATRE,SearchScreeningEvent
2765,snips-train-12486,What time is The Graduates of Malibu High playing at Cobb Theatres,WHAT TIME IS THE GRADUATES OF MALABOU HIGH PLAYING AT COB THEATRES,SearchScreeningEvent
2766,snips-train-12487,What are the movie schedule now,OTE ARE THE MOVI SCHEDULE NOW,SearchScreeningEvent
2767,snips-train-12488,Is The Young Guard playing at the closest cinema,IS THE YOUNG GUARD PLAYING AT THE CLOSEST CENAMA,SearchScreeningEvent
2768,snips-train-12489,when this evening is Casa Amor Exclusive for Ladies playing and where,WHEN THIS EVENING IS COSA MORE EXCLUSIVE FOR LADIES PLAYING AND WAR,SearchScreeningEvent
2769,snips-train-1249,add banking violence and the inner life today to my retro gaming playlist,ADD BANKING VIOLENCE AND THE INNER LIFE TO DAY TO MY RATRO GAMING PLAOLEST,AddToPlaylist
2770,snips-train-12490,find movie times for films close by,FIND MOVIE TIMES FOR FILMS CLOSE BY,SearchScreeningEvent
2771,snips-train-12491,Give me movie times,GIVE ME MOVIE TIMES,SearchScreeningEvent
2772,snips-train-12492,Please tell me the movie schedules,PLEASE TELL ME THE MOVI SCHEDRILS,SearchScreeningEvent
2773,snips-train-12493,What time is The Phoenix Project playing,WHAT TIME IS THE PHOENIX PROJECT PLAYING,SearchScreeningEvent
2774,snips-train-12494,Where is the nearest cinema that is playing Pioneers of the West,WHERE IS THE NEAREST CENNIME THAT IS PLAYING PIONEERS OF THE WEST,SearchScreeningEvent
2775,snips-train-12495,What time is are movies at the closest movie theatre,WHAT TIME IS OUR MOVIES AT THE CLOSEST MOVIE THEATRE,SearchScreeningEvent
2776,snips-train-12496,What is the movie schedule looking like,WHAT IS THE MOVI SCHEDURIL LOOKING LIKE,SearchScreeningEvent
2777,snips-train-12497,Where the Sky Meets the Land time playing,WHERE THE SKY MEETS THE LAND TIME PLAYING,SearchScreeningEvent
2778,snips-train-12498,find the nearest animated movies at a movie theatre,FIND THE NEAREST ANIMATED MOVIES ATAMUVIE THEATRE,SearchScreeningEvent
2779,snips-train-12499,Give me the movie schedule for the Great Escape Theatres,GIVE ME THE MOVIE SCHEDULE FOR THE GREAT ESAPE THEATRES,SearchScreeningEvent
2780,snips-train-125,put a xiang xiang track onto women of the blues,PUT A SCHJONG SCHJONG TRACK ONTO WOMEN OF THE BLUES,AddToPlaylist
2781,snips-train-1250,Add this lbc crew tune to my Rock Argentino Vol I playlist,ADD THIS EL B C CRUTUNTO MY ROCK HARHANTENO VOLUME I PLAY ALEST,AddToPlaylist
2782,snips-train-12500,find movie times,FINED MOVIE TIMES,SearchScreeningEvent
2783,snips-train-12501,what movies are close by,WHAT MOVIES ARE CLOSE BY,SearchScreeningEvent
2784,snips-train-12502,What movies are playing at the closest movie theatre,WHAT MOVIES ARE PLAYING AT THE CLOSEST MOVIE THEATRE,SearchScreeningEvent
2785,snips-train-12503,I'd like to see movie schedules for animated movies around here,I'D LIKE TO SEE MOVIE SCHADULS FOR ANIMATED MOVIES AROUND HERE,SearchScreeningEvent
2786,snips-train-12504,Find the movie schedule .,FINE THE MOVIE SCADREL,SearchScreeningEvent
2787,snips-train-12505,can i have the movie schedules,CAN I HAVE THE MOVI SCHEDRULS,SearchScreeningEvent
2788,snips-train-12506,Is The Divine Jetta at Marcus Corporation,IS THE DIVINE JEDTA AT MARCUS CORPORATION,SearchScreeningEvent
2789,snips-train-12507,what films are at the closest movie theatre,WHAT FILMS ARE AT THE CLOSEST MOVIE THEATRE,SearchScreeningEvent
2790,snips-train-12508,Find the schedule for The Nightmare six hours from now at the nearest cinema .,FIND THE SCHEDULE OR THE NIGHTMARE SIX HOURS FROM NOW AT THE NEAREST SENAMA,SearchScreeningEvent
2791,snips-train-12509,What Are the showings for The Natural History of Parking Lots movie house,WHAT ARE THE SHOWINGS FOR THE NATURAL HISTORY OF PARKING LOTS MOVIE HOUSE,SearchScreeningEvent
2792,snips-train-1251,add artist to Novedades Pop,ADD ARTIST TO NO VEDADES POP,AddToPlaylist
2793,snips-train-12510,Show me the movie times for films nearby .,SHOW ME THE MOVI TIMES FOR FILMS NEAR BY,SearchScreeningEvent
2794,snips-train-12511,Whaere is Bloody Bloody Bible Camp playing in the cinema,WOER IS BLOODY BLOOD DE BIBLE CAMP PLAYING IN THE CENAMA,SearchScreeningEvent
2795,snips-train-12512,I'd like to see movie schedules for Kerasotes Theatres,I'D LIKE TO SEE MOVI SCHEDRULS FOR CARISOTAS THEATRS,SearchScreeningEvent
2796,snips-train-12513,i want the movie schedules for movies around here,I WANT THE MOVIE SCHADULS FOR MOVIES AROUND HERE,SearchScreeningEvent
2797,snips-train-12514,What films are playing at Dipson Theatres and when,WHAT FILMS ARE PLAYING AT DIPSUM THEATRES AND WHEN,SearchScreeningEvent
2798,snips-train-12515,What are the showtimes for Boy of Mine,WHAT ARE THE SHOW TIMES FOR BOY OF MINE,SearchScreeningEvent
2799,snips-train-12516,Will I be able to watch Camping-car at movie house at 6 pm ?,WILL I BE ABLE TO WATCH CAMP IN CAR AT MOVIE HOUSE AT SIX P M,SearchScreeningEvent
2800,snips-train-12517,find movies at Amco Entertainment starting in 8 seconds from now,FINE MOVIES AT AMCO ENTERTAINMENT STARTING IN EIGHT SECONDS FROM NOW,SearchScreeningEvent
2801,snips-train-12518,Please tell me the movie schedules ?,PLEASE TELL ME THE MOVI SCHEDULS,SearchScreeningEvent
2802,snips-train-12519,Find movie times for close by films .,FIND MOVIE TIMES FOR CLOSE BY FOMS,SearchScreeningEvent
2803,snips-train-1252,Add Warm and Beautiful to the ironing playlist.,ADD WARM AND BEAUTIFUL TO THE IRONING PLAYOLEST,AddToPlaylist
2804,snips-train-12520,What is the movie schedule for animated movies playing in the neighborhood ?,WHAT IS THE MOVIE SCHEDULE FORANIMATED MOVIES PLAYING IN THE NEIGHBORHOOD,SearchScreeningEvent
2805,snips-train-12521,Is Prophecy playing at Malco Theatres,IS PROPHECY PLAYING AT MALCO THEATRES,SearchScreeningEvent
2806,snips-train-12522,What time is The Grey Zone playing?,WHAT TIME IS THE GREY ZONE PLAYING,SearchScreeningEvent
2807,snips-train-12523,What movies are playing at Dipson Theatres,WHAT MOVIES ARE PLAYING AT DIPS AN THEATRES,SearchScreeningEvent
2808,snips-train-12524,Give me the movie schedules at Showcase Cinemas .,GIVE ME THE MOVI SCHEDRULS AT CHOKE SENAMUS,SearchScreeningEvent
2809,snips-train-12525,Show me the closest movie house playing An Unfinished Life at eight pm .,SHOW ME THE CLOSEST MOVY HOUSE PLAYING AN UNFINISHED LIFE AT EIGHT P M,SearchScreeningEvent
2810,snips-train-12526,What time is Mon Amour Shesher Kobita Revisited playing,WHAT TIME IS MON A MORE SHESSHIRE COPETI REVISITED PLAYING,SearchScreeningEvent
2811,snips-train-12527,I'd like to watch films at the nearest cinema at 8 am,I'D LIKE TO WATCH FILMS AT THE NEAREST CENNAMENT AT A T M,SearchScreeningEvent
2812,snips-train-12528,She me movie schedules for the movies close by at sunset,SHE ME MOVIE SCHADURULS FOR THE MOVIES CLOSE BY AT SUNSET,SearchScreeningEvent
2813,snips-train-12529,Find the movie schedule for Fox Theatres at supper time.,FIND THEM MOVIE SCHEDULE FOR FOX THEATRES AT SUPPER TIME,SearchScreeningEvent
2814,snips-train-1253,I want maximilian mutzke added to Acoustic Concentration,I WANT MAXIMILIAN MUTES CADDED TO A COUSTIC CONCENTRATION,AddToPlaylist
2815,snips-train-12530,When will The Flower and the Angry Waves be showing?,WHEN WILL THE FLOWER AND THE ANGRY WAVES BE SHOWING,SearchScreeningEvent
2816,snips-train-12531,find Noon movie times at IMAX Corporation,FIND NOON MOVIE TIMES AT IMAX CORPORATION,SearchScreeningEvent
2817,snips-train-12532,find Blood and Bones,FINE BLOOD AND BONES,SearchScreeningEvent
2818,snips-train-12533,Let me know when The Maiden Danced to Death will be screened at a cinema .,LET ME KNOW WHERE THE MAIDEN DANCE TO DEATH WILL BE SCREENED AT OSENEMA,SearchScreeningEvent
2819,snips-train-12534,Can I get the movie schedules for Loews Cineplex in six hours seventeen minutes and eighteen seconds .,CAN I GET THE MOVI SCHADULES FOR LOSE CINIPLEX IN SIX HOURS SEVENTEEN MINUTES AND EIGHTEEN SECONDS,SearchScreeningEvent
2820,snips-train-12535,find movies that are nearby,FINE MOVIES THAT ARE NEAR BY,SearchScreeningEvent
2821,snips-train-12536,what films are showing at Cooper Foundation,WHAT FILMS ARE SHOWING AT COOPER FOUNDATION,SearchScreeningEvent
2822,snips-train-12537,When does Of Stars and Men play?,WHENN DOES OF STARS AND MAN PLAY,SearchScreeningEvent
2823,snips-train-12538,Find the schedule for films at Cobb Theatres .,FIND THE SCHEDULE FOR FILMS AT COMTHEATRES,SearchScreeningEvent
2824,snips-train-12539,give me the movie schedules for Warren Theatres,GIVE ME THE MOVI SCHADULS FOR WARRAN THEATRES,SearchScreeningEvent
2825,snips-train-1254,Add artist to laundry,ADARTUS TO LAUNDRY,AddToPlaylist
2826,snips-train-12540,find animated movies nearest at a movie house,FIND ANIMATED MOVIES NEAREST AT TA MOVIE HOUSE,SearchScreeningEvent
2827,snips-train-12541,When is The Jailbird showing at United Paramount Theatres,WHEN IS THE JAIL BIRD SHOWING AT THE UNITED PARAMOUNT THEATRES,SearchScreeningEvent
2828,snips-train-12542,When is The Stain playing at Loews Cineplex ?,WHEN IS THE STAIN PLAYING AT LO CINOPLAX,SearchScreeningEvent
2829,snips-train-12543,What animated movies are playing at the closest movie theatre,WHAT ANIMATED MOVIES ARE PLAYING AT THE CLOSEST MOVIE THEATRE,SearchScreeningEvent
2830,snips-train-12544,What movies are playing Douglas Theatre Company,WHAT MOVIES ARE PLAYING DOUGLAS THEATRE COMPANY,SearchScreeningEvent
2831,snips-train-12545,Check films screened at the closest cinema,CHECK FILM SCREENED AT THE CLOSEST CINEMA,SearchScreeningEvent
2832,snips-train-12546,I want the nearest movie house with The Debtors,I WANT THE NEAREST MOVIE HOUSE WITH THE DEBTORS,SearchScreeningEvent
2833,snips-train-12547,Find me showtimes for How I Unleashed World War II .,FIND ME SHOW TIMES FOR HOW I UNLEASHED WORLD WOR TOO,SearchScreeningEvent
2834,snips-train-12548,find movie schedules in Warren Theatres,FINE MOVI SCHADULES IN WARRAN THEATRES,SearchScreeningEvent
2835,snips-train-12549,find the closest showing of The Taste of Others at a cinema,FIND THE CLOSEST SHOWING OF THE TASTE OF OTHERS AT ASENAMA,SearchScreeningEvent
2836,snips-train-1255,Add a song to my playlist Independent Music Monday,ADD A SONG TO MY PLAYLIST INDEPENDENT MUSIC MONDAY,AddToPlaylist
2837,snips-train-12550,Show the movie schedule of animated movies close by,SHOW THE MOVIE SCHEDULE OF ANIMATED MOVIES CLOSE BY,SearchScreeningEvent
2838,snips-train-12551,find films in Cinemark Theatres,FIND FILMS IN CENEMARC THEATRES,SearchScreeningEvent
2839,snips-train-12552,Where is the closest movie house playing films now,WHERE IS THE CLOSEST MOVIE HOUSE PLAYING FILMS NOW,SearchScreeningEvent
2840,snips-train-12553,what is playing for movies at B&B Theatres,WHAT IS PLAYING FFOR MOVIES AT B AND B THEATRES,SearchScreeningEvent
2841,snips-train-12554,Is A Man Called Hero playing during brunch at the cinema,IS A MAN CALLED HERO PLAYING DURING BRUNCHE AT THE SENAMA,SearchScreeningEvent
2842,snips-train-12555,Please tell me movie times,PLEASE TELL ME MOVIE TIMES,SearchScreeningEvent
2843,snips-train-12556,show me movie times at my local theater.,SHOW ME MOVIE TIMES AT MY LOCAL THEATRE,SearchScreeningEvent
2844,snips-train-12557,Showtimes for the Alamo Drafthouse Cinema for todays movies .,SHOW TIMES FOR THE ALMO DRAFT HOUSE SENEMOFOR TEDE'S MOVIES,SearchScreeningEvent
2845,snips-train-12558,I'd like to see a movies at the nearest movie house,I'D LIKE TO SEE A MOVIES AT THE NEAREST MOVIE HOUSE,SearchScreeningEvent
2846,snips-train-12559,I need a movie schedule for nearby animated movies,I NEED A MOVIE SCHEDUL FOR NEAR BY ANIMATED MOVIES,SearchScreeningEvent
2847,snips-train-1256,Add Yuna Ito to the hot rods & horror shows playlist.,ADD UNIT ITO TO THE HOT TRODS AND HORROR SHOWS PLAOLEST,AddToPlaylist
2848,snips-train-12560,What time are films showing at KB Theatres,WHAT TIME ARE FILMS SHOWING AT K B THEATRES,SearchScreeningEvent
2849,snips-train-12561,Is Cradle Robbers playing at the nearest movie theatre,IS CRADLE ROBBERS PLAYING AT THE NEAREST MOVIE THEATRE,SearchScreeningEvent
2850,snips-train-12562,What are the movie schedules at Loews Cineplex Entertainment,HONE ARE THE MOVI SCHEDULES AT LOS CCINOPLEX ENTERTAINMENT,SearchScreeningEvent
2851,snips-train-12563,Find movie times for Alamo Drafthouse Cinema at 1037 P.M. .,FIND MOVIE TIMES OR ALUMO DRAFT HOUSE CENIMEN AT ONE THOUSAND THIRTY SEVEN P M,SearchScreeningEvent
2852,snips-train-12564,Can I get the movie schedule for Loews Cineplex Entertainment ?,CAN I GET THE MOVIE SCHEDULE FORLOW'S CINIPLEX ENTERTAINMENT,SearchScreeningEvent
2853,snips-train-12565,What time is Phera playing,WHAT TIME IS FERRA PLAYING,SearchScreeningEvent
2854,snips-train-12566,what movies are around here,WHAT MOVIES ARE AROUND HERE,SearchScreeningEvent
2855,snips-train-12567,find Dipson Theatres with Swiss Army Man at 8 p.m.,FINE DIPSON THEATRES WITH SWISS ARMY MAN AT TA P M,SearchScreeningEvent
2856,snips-train-12568,What time are movies showing around here,WHAT TIME ORE MOVIES SHOWING AROUND HERE,SearchScreeningEvent
2857,snips-train-12569,Let me have the movie schedules for General Cinema Corporation,LET ME HAVE THE MOVI SCHEDULES FOR GENERAL CYNOF ECORPORATION,SearchScreeningEvent
2858,snips-train-1257,this track should go into my playlist called This Is Beethoven,THIS TRACK SHOULD GO AN TO MY PLAYALIST CALLED THIS IS BATHOVEN,AddToPlaylist
2859,snips-train-12570,Is Blood Is Not Fresh Water playing at this movie theatre at 2 AM ?,IS BLOOD IS NOT FRESH WATER PLAYING AT THIS MOVIE THEATRE AT TWO A M,SearchScreeningEvent
2860,snips-train-12571,movie schedule for Harkins Theatres,MOVIE SCHEDULE FOR HEARKENS THEATRES,SearchScreeningEvent
2861,snips-train-12572,Please check the movie schedule .,PLEASE CHECK THE MOVI SCHADREL,SearchScreeningEvent
2862,snips-train-12573,show movie schedules close by movies,SHOW MOVIE SCHEDRULS CLOSE BY MOVIES,SearchScreeningEvent
2863,snips-train-12574,When is Em4Jay playing at the movie theatre ?,ONE IS NFORED J PLAYING AT THE MOVI THEATRE,SearchScreeningEvent
2864,snips-train-12575,when is Nattbuss 807 playing at a movie theatre near me,WHEN IS NAT BUS EIGHT HUNDRED SEVEN PLAYING AT A MOVI THEATRE NEAR ME,SearchScreeningEvent
2865,snips-train-12576,Can i get the showtimes for films at Dickinson Theatres ?,CAN I GET THE SHOW TIMES FOR FILMS AT TIKENS AND THEATRES,SearchScreeningEvent
2866,snips-train-12577,find Death Is Called Engelchen at Neighborhood Cinema Group,FIND DEATH IS CALLED DENGEL CANAT NEIGHBORHOOD SENAMAGROUP,SearchScreeningEvent
2867,snips-train-12578,Find the movie schedule for Pacific Theatres .,FIND THEM MOVIE SCHEDULE FOR PACIFIC THEATRES,SearchScreeningEvent
2868,snips-train-12579,I want movie times for Fox Theatres,I WANT MOVIE TIMES FOR FOX THEATRES,SearchScreeningEvent
2869,snips-train-1258,Add the Proof album to Cierra La Puerta playlist,ADD THE PROOF ALBUM TO SIERRA LAWKWAR TE PLAYOLIST,AddToPlaylist
2870,snips-train-12580,What films are playing at 11 A.M. at Dickinson Theatres,WHAT FILMS ARE PLAYING AT ELEVEN A M MAT DICKENS AND THEATRS,SearchScreeningEvent
2871,snips-train-12581,List movie times at General Cinema Corporation,LIST MOVIE TIMES AT GENERAL SYN OF ECORPORATION,SearchScreeningEvent
2872,snips-train-12582,find a movie theatre with Beware of Bachelors,FIND A MOVIE THEATRE WITH BEWARE OF BACHELORS,SearchScreeningEvent
2873,snips-train-12583,What movies are playing at the nearest movie house,WHAT MOVIES ARE PLAYING AT THE NEAREST MOVIE HOUSE,SearchScreeningEvent
2874,snips-train-12584,I want to go see The Trouble with Girls,I WANT TO GO SEE THE TROUBLE WITH GIRLS,SearchScreeningEvent
2875,snips-train-12585,I'd like to know what films are scheduled at Alamo Drafthouse Cinema .,I'D LIKE TO KNOW WHAT FILMS ARE SCHEDULED AT ALEMO DRAFT HOUSE CENEMA,SearchScreeningEvent
2876,snips-train-12586,is Traffic at the movie theatre,IS TRAFFIC AT THE MOVI THEATRE,SearchScreeningEvent
2877,snips-train-12587,Is Rented Lips playing at the nearest cinema,ISRENDED LIPS PLAYING AT THE NEAREST CENEMA,SearchScreeningEvent
2878,snips-train-12588,Show me movie schedule for animated movie around here at eleven a.m.,SHOW ME MOVY SCHEDULE FOR ANIMATED MOVE YOU ROUND HERE AT ELEVEN A M,SearchScreeningEvent
2879,snips-train-12589,what movies are playing in the area ?,WHAT MOVIES ARE PLAYING IN THE AREA,SearchScreeningEvent
2880,snips-train-1259,Add Yma Sumac to this is animal collective,ADDIMA SUMAC TO THIS IS ANIMAL COLLECTIVE,AddToPlaylist
2881,snips-train-12590,What time are films showing in the neighborhood,WHAT TIME OUR FILMS SHOWING IN THE NEIGHBORHOOD,SearchScreeningEvent
2882,snips-train-12591,Show the movie schedule for Cooper Foundation at 9 o'clock,SHOW THE MOVY SCHEDULE FOR COOPER FOUNDATION AT NINE O'CLOCK,SearchScreeningEvent
2883,snips-train-12592,Show movie schedules of film nearby,SHOW MOVIE SCHEDRULS OF FILM NEAR BY,SearchScreeningEvent
2884,snips-train-12593,What time is The Queen of Moulin Rouge playing?,WHAT TIME IS THE QUEEN OF MILAN RUGE PLAYING,SearchScreeningEvent
2885,snips-train-12594,Are there any films around here,ARE THERE ANY FILMS AROUND HERE,SearchScreeningEvent
2886,snips-train-12595,Where can I see Young Goethe in Love ?,WHERE CAN I SEE YOUNG GUDDHA IN LOVE,SearchScreeningEvent
2887,snips-train-12596,can i have the movie schedules,CAN I HAVE THE MOVI SCHEDRULS,SearchScreeningEvent
2888,snips-train-12597,What time does A King in New York play in Malco Theatres,WHAT TIME DOES A KING IN NEW YORK PLAY IN MALCO THEATRES,SearchScreeningEvent
2889,snips-train-12598,find Regal Entertainment Group animated movies,FINE REGAL ENTERTAINMENT GREW PANOMATED MOOVIES,SearchScreeningEvent
2890,snips-train-12599,what is the schedule for The Fox and the Child in cinema,WHAT IS E SCHEDULE F TE FOX AND THE CHILD IN SENAMA,SearchScreeningEvent
2891,snips-train-126,add this artist to sunshine reggae,ADD THIS ARTIST TO SUNSHINE REGEE,AddToPlaylist
2892,snips-train-1260,Add this raffaele riefoli tune to Deathcore,ADD THIS RAPAL A REFULLY TUNED TO DEATH CORPS,AddToPlaylist
2893,snips-train-12600,Find the movie times for movies playing in the neighborhood,FIND THEM MOVIE TIMES FOR MOVIES PLAYING IN THE NEIGHBOURHOOD,SearchScreeningEvent
2894,snips-train-12601,Check the movie timings for Cracked Nuts at Southern Theatres .,CHECK THE MOVIE TIMINGS FOR CRACKED NUTS AT SOUTHERN THEATRES,SearchScreeningEvent
2895,snips-train-12602,what animated movies are showing in the neighbourhood,WHAT ANIMATED MOVIES ARE SHOWING IN THE NEIGHBORHOOD,SearchScreeningEvent
2896,snips-train-12603,"When is Have Sword, Will Travel playing at the closest movie theatre ?",WHEN IS HAVE SWORD WILL TRAVEL PLAYING AT THE CLOSEST MOVI THEATRE,SearchScreeningEvent
2897,snips-train-12604,can you find me a showing for Before the Music Dies in one second ?,CAN YOU FIND ME A SHOWING FOR BEORE THE MUSIC DIES IN ONE SECOND,SearchScreeningEvent
2898,snips-train-12605,What time is Ghostbusters - Acchiappafantasmi playing at IMAX Corporation,WHAT TIME IS GHOST BOSTERS ACHIOPIPHANTAS ME PLAYING AT IMAX CORPORATION,SearchScreeningEvent
2899,snips-train-12606,Is Dummy playing at two a.m. ?,IS DAMMI PLAYING AT TWO A M,SearchScreeningEvent
2900,snips-train-12607,Find the movie times for Caribbean Cinemas .,FIND THE MOVI TIMES FOR CORIBIAN SENAMUS,SearchScreeningEvent
2901,snips-train-12608,Is Brother at United Paramount Theatres,HIS BROTHER AT UNITED PARAMOUNT THEATRES,SearchScreeningEvent
2902,snips-train-12609,which is the nearest movie house playing The Diary of Anne Frank,WHICH IS THE NEAREST MOVIE HOUSE PLAYING E DIARY OF AN FRANK,SearchScreeningEvent
2903,snips-train-1261,Add the fire and the wind to my Digster Future Hits playlist.,ADD THE FIRE AND THE WIND TO MY DIGSTER FUTURE HITS PLAYALIST,AddToPlaylist
2904,snips-train-12610,Give me some info on when Hands Across the Border will be laying at the cinema .,GIVE ME SOME INFO ON HENE HANDS ACROSS THE BORDER WILL BE LAYING AT THE SENAMA,SearchScreeningEvent
2905,snips-train-12611,Can you give me the movie schedules at Mann Theatres ?,AN YOU GIVE ME THE MOVI SCHEDULS AT MAN THEATRES,SearchScreeningEvent
2906,snips-train-12612,Is Live Forever The Rise and Fall of Brit Pop playing at the closest cinema in 1 minute,ISLIVE FOREVER THE RISE AND FALL BRIT POP PLAYING AT THE CLOSEST CINIMA IN  ONE MINUTE,SearchScreeningEvent
2907,snips-train-12613,What films are showing in the area ?,WHAT FILMS ARE SHOWING IN THE AREA,SearchScreeningEvent
2908,snips-train-12614,What animated movies are playing at IMAX Corporation,WHAT ANIMATED MOVIES ARE PLAYING AT I MAX CORPORATION,SearchScreeningEvent
2909,snips-train-12615,give me a list showtimes for The Night of Taneyamagahara,GIVE ME A LIST SHOW TIMES FOR THE KNIGHT OF TONIAMA GAHERA,SearchScreeningEvent
2910,snips-train-12616,show movie times for movies in the area,SHOW MOVIE TIMES FOR MOVIES IN THE AREA,SearchScreeningEvent
2911,snips-train-12617,Is Tomorrow at Seven being played at Douglas Theatre Company ?,IS TORMORROW AT SEVEN BEING PLAYED AT DOUGLAS THEATRE COMPANY,SearchScreeningEvent
2912,snips-train-12618,When is The Sea of Grass playing at the movie theatre,WHEN IS THE SEA OF GRASS PLAYING AT THE MOVIE THEATRE,SearchScreeningEvent
2913,snips-train-12619,what movies are on the movie schedules for five hours from now in the neighbourhood,WHAT MOVIES ARE ON THE MOVI SCHEDULES FOR FIVE HOURS FROM NOW IN THE NEIGHBOURHOOD,SearchScreeningEvent
2914,snips-train-1262,Put sleeping with ghosts into my 90s Indie playlist.,PUT SLEEPING WITH GHOSTS INTO MY NINETIES INDY PLAYOLEST,AddToPlaylist
2915,snips-train-12620,What films are playing at Pacific Theatres,WHAT FILMS ARE PLAYING AT PACIFIC THEATRES,SearchScreeningEvent
2916,snips-train-12621,What films are there playing at Cobb Theatres ?,WHAT FILMS ARE THERE PLAYING AT COB THEATRES,SearchScreeningEvent
2917,snips-train-12622,find seven AM movies at Dipson Theatres,FINE SAVEN A M MOVIES ADIPS AND THEATRES,SearchScreeningEvent
2918,snips-train-12623,Where is Project A Part II playing?,WHERE IS PROJECT APART TO PLAYING,SearchScreeningEvent
2919,snips-train-12624,what time is Tom y Jerry showing at Alamo Drafthouse Cinema,WHAT TIME IS TOMME JERRY SHOWING AT ALIMO DRAFT HOUSE CENEMA,SearchScreeningEvent
2920,snips-train-12625,What films are at National Amusements,WHAT FILMS ART NATIONAL AMUSEMENTS,SearchScreeningEvent
2921,snips-train-12626,What is the 7 A.M. movie schedules at Amco Entertainment,WHAT IS THE SEVEN A M MOVI SCHEDRULS ADAM CO ENTERTAINMENT,SearchScreeningEvent
2922,snips-train-12627,Please give me the movie schedule for Pacific Theatres,PLEASE GIVE ME THE MOVI SCHEDULE FOR PACIFIC THEATRES,SearchScreeningEvent
2923,snips-train-12628,What are the movie schedules,HONE ARE THE MOVI SCHADRELS,SearchScreeningEvent
2924,snips-train-12629,What movies are scheduled at Plitt Theatres ?,WHAT MOVIES ARE SCHADRILED AT PLET THEATRES,SearchScreeningEvent
2925,snips-train-1263,ad artist to sxsw latin my playlist,ADARTIST TO AS EXS W LATIN MY PLAYALIST,AddToPlaylist
2926,snips-train-12630,What are the movie times at the Malco Theatres ?,WHAT ARE THE MOVIE TIMES AT THE MALCO THEATRES,SearchScreeningEvent
2927,snips-train-12631,show me the movie schedules,SHOW ME THE MOVI SCHEDRULS,SearchScreeningEvent
2928,snips-train-12632,What are some movies playing in the neighbourhood ?,WHAT ARE SOME MOVIES PLAYING IN THE NEIGHBORHOOD,SearchScreeningEvent
2929,snips-train-12633,Show me the movie times for what's playing now,SHOW ME THE MOVI TIMES FOR WHAT'S PLAYING NOW,SearchScreeningEvent
2930,snips-train-12634,Is The Suicide Shop playing at Southern Theatres,IS THE SUICIDE SHOP PLAYING AT SOUTHERN THEATRES,SearchScreeningEvent
2931,snips-train-12635,Show me the closest movie house that plays That Night in Rio,SHOW ME THE CLOSEST MOVIE HOUSE THAT PLAYS THAT NIGHT IN REO,SearchScreeningEvent
2932,snips-train-12636,find films scheudle in the neighborhood at 2,FIND FILMS SHUDO IN THE NEIGHBOURHOOD AT TO,SearchScreeningEvent
2933,snips-train-12637,Find the schedule for movie times for movies around here .,FIND THE SCHEDULE FOR MOVIE TIMES FOR MOVIES AROUND HERE,SearchScreeningEvent
