,train_index,train_sentence,kimberly_sentence,train_label
861,snips-train-10772,I am looking for the work Nikki,I AM LOOKING FOR THE WORK KNICKY,SearchCreativeWork
862,snips-train-10773,Show me the book Playlist The Very Best of Dolly Parton,SHOW ME THE BOOK PLAYLESS THE VERY BEST OF DOLLY PARDON,SearchCreativeWork
863,snips-train-10774,What is the TV show Journal of Personality and Social Psychology ?,WHAT IS THE TI VISHO JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,SearchCreativeWork
864,snips-train-10775,show creativity of The Greatest Movie Ever Sold,SHOW CREATIVITY OF THE GREATEST MOVI EVER SOLD,SearchCreativeWork
865,snips-train-10776,Show me The Advocate,SHOW ME THE ADVOCATE,SearchCreativeWork
866,snips-train-10777,find me a game called Thesis Eleven,FIND ME A GAME CALLED THESIS ELEVEN,SearchCreativeWork
867,snips-train-10778,How do I see the TV series To See the Invisible Man ?,HOW DO I SEE THE T V SERIOUS TO SEE THE INVISIBLE MAN,SearchCreativeWork
868,snips-train-10779,Show the Feed the Kitty painting,SHOW THE FEED THE KIDY PAINTING,SearchCreativeWork
869,snips-train-1078,put paula abdul on Musica Española 2017,PUT PAULA ABDOLON MUZICA ES PONOLA TWENTY SEVENTEEN,AddToPlaylist
870,snips-train-10780,I want to listen to Keep the Faith,I WANT TO LISTEN TO KEEP THE FAITH,SearchCreativeWork
871,snips-train-10781,find a game called So Long Self,FIND A GAME CALLED SO LONGSELF,SearchCreativeWork
872,snips-train-10782,I want to listen to the soundtrack Adobe Digital Editions,I WANT TO LISTEN TO THE SOUND TRACK OF DOBE DIGINAL EDITIONS,SearchCreativeWork
873,snips-train-10783,Play the soundtrack for The Lord of the Rings Conquest,PLAY THE SOUND TRACK FOR THE LORD OF THE RING'S CONQUEST,SearchCreativeWork
874,snips-train-10784,Looking for video game For Those Who Would Walk with the Gods,LOOKING FOR VIDIO GAME FOR THOSE WHO WOULD WALK WITH THE GODS,SearchCreativeWork
875,snips-train-10785,Find a painting called Satisfaction Is the Death of Desire .,FIND A PAINTING CALLED SATISFACTION IS THE DEATH OF DESIRE,SearchCreativeWork
876,snips-train-10786,Where can I listen to Willy and the Poor Boys,WHERE CAN I LISTEN TO WILLY AND THE POOR BOYS,SearchCreativeWork
877,snips-train-10787,I'm looking for River Disturbance,I'M LOOKING FOR RIVER DISTURBANCE,SearchCreativeWork
878,snips-train-10788,Find a photograph called Shout It Out .,FIND A PHOTOGRAPH CALLED SHOUT IT OUT,SearchCreativeWork
879,snips-train-10789,Find the Steady as She Goes saga,FIND THE STEADY AS SHE GOES SAGA,SearchCreativeWork
880,snips-train-1079,add maschi e altri to my this is john williams,AD MASKY EALTRY TO MY THIS IS JOHN WILLIAMS,AddToPlaylist
881,snips-train-10790,Please get me the Critical Condition show .,PLEASE GET ME THE CRITICAL CONDITION SHOW,SearchCreativeWork
882,snips-train-10791,Please get me the AiON show .,PLEASE GET ME THE EYE ON SHOW,SearchCreativeWork
883,snips-train-10792,play Myth II Soulblighter,PLAM IF TOO SOUL BLIGHTER,SearchCreativeWork
884,snips-train-10793,Find me the Travel Weekly,FIND ME THE TRAVEL WEEKLY,SearchCreativeWork
885,snips-train-10794,I'm looking for an album called The Orchestrion Project .,I'M LOOKING FOR AN ALBUM CALLED THE ORCHESTRION PROJECT,SearchCreativeWork
886,snips-train-10795,I want Sugarfoot,I WANT SUGAR FOOT,SearchCreativeWork
887,snips-train-10796,Show me the picture Gas Wars,SHOW ME THE PICTURE GAS WARS,SearchCreativeWork
888,snips-train-10797,"find The Most Important People , a television show",FIND THE MOST IMPORTANT PEOPLE A TELIVISION SHOW,SearchCreativeWork
889,snips-train-10798,find Becoming Royston,FIND BECOMING ROYSTON,SearchCreativeWork
890,snips-train-10799,Find the TV series From the Top,FIND THE T V CERIES FROM THE TOP,SearchCreativeWork
891,snips-train-108,Add another tune to my Soft Rock playlist.,ADD ANOTHER TUNE TO MY SOFT ROCK PLAY LEST,AddToPlaylist
892,snips-train-1080,Add this track by horace andy to acoustic soul,ADD THIS TRACK BY HORACE ANDY TO A COUSTIC SOUL,AddToPlaylist
893,snips-train-10800,I want to read the book Crash Landing,I WANT TO READ THE BOOK CRASH LANDING,SearchCreativeWork
894,snips-train-10801,I'd like to see Completely Well,I'D LIKE TO SEE COMPLETELY WELL,SearchCreativeWork
895,snips-train-10802,Can you help me find the We No Who U R game ?,CAN YOU HELP ME FIND THE WE KNOW WHO YOU ARE GAME,SearchCreativeWork
896,snips-train-10803,I want to watch The Original Recordings,I WANT TO WATCH THE ORIGINAL RECORDINGS,SearchCreativeWork
897,snips-train-10804,I'm looking for the video game Masterful Mystery Tour,I AM LOOKING FOR THE VIDIO GAME MASTERFUL MYSTERY TOUR,SearchCreativeWork
898,snips-train-10805,I'm looking for the trailer of Highlands Today,I'M LOOKING FOR THE TRAILER OF HIGHLANDS TO DAY,SearchCreativeWork
899,snips-train-10806,show me the picture Sex and Drugs and Jesus Christ,SHOW ME THE PICTURE SEXC AND DRUGS AND JESUS CHRIST,SearchCreativeWork
900,snips-train-10807,I'd like to see the saga Song of the Saurials,I'D LIKE TO SEE THE SOGA SONG OF THE SORIALS,SearchCreativeWork
901,snips-train-10808,show creativity of The Album saga,SHOW CREATIVITY OF THE ALBAMSAGA,SearchCreativeWork
902,snips-train-10809,Where can I purchase the TV show Time for Heroes,WHERE CAN I PURCHASE THE TI VISHO TIME FOR HEROES,SearchCreativeWork
903,snips-train-1081,Add something by ritchie valens to my playlist virales de siempre,ADD SOMETHING BY RICHY VALANS TO MY PLALEST VERALESTUSIEMPRE,AddToPlaylist
904,snips-train-10810,What is the painting Forever Malcolm Young ?,WHAT IS THE PAINTING FOR EVER NAL COMIANG,SearchCreativeWork
905,snips-train-10811,Can you find me the movie The Countess ?,CAN YOU FIND ME THE MOVIE THE COUNTESS,SearchCreativeWork
906,snips-train-10812,Find a picture of A Breed Apart,FIND A PICTURE OF A BREED APART,SearchCreativeWork
907,snips-train-10813,Find Just South of Heaven,FIND JUST SOUTH OF HEAVEN,SearchCreativeWork
908,snips-train-10814,Can you find the song Bleach Hell Chapter,CAN YOU FIND THIS SONG BLEACH HELL CHAPTER,SearchCreativeWork
909,snips-train-10815,Find the show The Sword of the Lictor,FIND THE SHOW THE SWORD OF THE LICTOR,SearchCreativeWork
910,snips-train-10816,Where can I find the Ricky Skaggs discography,WHERE CAN I FIND THE RICKY SCAGS DISCOGRA FEE,SearchCreativeWork
911,snips-train-10817,show me Convicted,SHOW ME CONVICTED,SearchCreativeWork
912,snips-train-10818,Find the Sing When You’re Winning TV show,FIND THE SING WHEN YOUR WINNING T V SHOW,SearchCreativeWork
913,snips-train-10819,Find a soundtrack called Meet The Vogues .,FIND A SOUND TRACK CALLED MEAT THE VOGUES,SearchCreativeWork
914,snips-train-1082,add paulinho da viola to my Radio Rock song list,ADD PAOULINIO DE VIOLA TO MY RADIO ROC SONGLIST,AddToPlaylist
915,snips-train-10820,Find a movie called No. 1 In Heaven .,FIND A MOVIE CALLED NUMBER ONE IN HEAVEN,SearchCreativeWork
916,snips-train-10821,Please find the show Kim Hyun-joong discography,PLEASE FIND THE SHO KIM YON JUNGDICE COGRAFI,SearchCreativeWork
917,snips-train-10822,Give me a link to the saga called Copper – Justice is brutal,GIVE ME A LINK TO THE SOGA CALLED COPPER JUSTICE IS BRUTAL,SearchCreativeWork
918,snips-train-10823,Show me a video game made by TMPGEnc .,SHOW ME A VIDIO GAME MADE BYGANK,SearchCreativeWork
919,snips-train-10824,Find me The Wild Boys,FIND ME THE WILD BOYS,SearchCreativeWork
920,snips-train-10825,Please search for The Legend of Korra book .,PLEASE SEARCH FOR THE LEGEND OF CORE BOOK,SearchCreativeWork
921,snips-train-10826,Find a TV show called The God Boy .,FIND ATI VESIO CALLED THE GOD BOY,SearchCreativeWork
922,snips-train-10827,Can you help me find the Author! Author ! trailer ?,CAN YOU HELP ME FIND THE AUTHOR AUTHOR DRAYLER,SearchCreativeWork
923,snips-train-10828,where can I find the game A Little Bit of Mambo,WHERE CAN I FIND THE GAME A LITTLE BIT OF MOMBO,SearchCreativeWork
924,snips-train-10829,Can you pull up My Name Is Brain Brian,CAN YOU PULL UP MY NAME IS BRAN BRYAN,SearchCreativeWork
925,snips-train-1083,add artist to acoustic soul,ADARTIST TO A COUSTIC SOUL,AddToPlaylist
926,snips-train-10830,Show me the saga My Darling,SHOW ME THE SAGA MY DARLING,SearchCreativeWork
927,snips-train-10831,Where can I find the painting of Without Condition,WHERE CAN I FIND THE PAINTING OF WITHOUT CONDITION,SearchCreativeWork
928,snips-train-10832,find Journal of the Society for American Music,FIND JOURNAL OF THE SOCIETY FOR AMERICAN MUSIC,SearchCreativeWork
929,snips-train-10833,I want watch The Sun And The Moon,I WANT WATCH THE SUN AND THE MOON,SearchCreativeWork
930,snips-train-10834,show More Questions Than Answers trailer,SHOW MORE QUESTIONS THAN ANSWERS DRAELER,SearchCreativeWork
931,snips-train-10835,I'm looking for Sherlock Holmes contre Arsène Lupin .,I AM LOOKING FOR A SHERLOCK HOMES CONTERA AR SEN LUPIN,SearchCreativeWork
932,snips-train-10836,"find To Each His Own Cinema , an album",FINE TO EACH HIS OWN CENAMA AN ALBUM,SearchCreativeWork
933,snips-train-10837,Can you find me the My Father My King game ?,CAN YOU FIND ME THE MY FATHER MY KING GAME,SearchCreativeWork
934,snips-train-10838,I need to find the saga Trail of the Yukon,I NEED TO FIND THE SAGA TRAIL OF THE UKON,SearchCreativeWork
935,snips-train-10839,Where can I purchase the TV series The Mating Season,WHERE CAN I PURCHASE THE T V CYRAS THE MADING SEASON,SearchCreativeWork
936,snips-train-1084,add Get Happy to cherry's Las Canciones Más Lindas Del Mundo,ADD GET HAPPY TO CHARITY'S LOSS CONCIONA MAS SLINDAS DEL MUNDO,AddToPlaylist
937,snips-train-10840,Find Pursuit of Radical Rhapsody,FINED PURSUIT OF RADICAL RHAPSODY,SearchCreativeWork
938,snips-train-10841,Look for the TV series All Around Performance Horse Weekly,LOOK FOR THE TE V CERIES ALL AROUND PERFORMANCE HORSE WEAKLY,SearchCreativeWork
939,snips-train-10842,Find me the Show Girl soundtrack,FIND ME THE SHOW GIRL SOUND TRACK,SearchCreativeWork
940,snips-train-10843,Find Merry Arizona 97 Desert Stars Shine at Christmas,FINE MERRY ARIZONA NINETY SEVEN DESERT STARS SHIN AT CHRISTMAS,SearchCreativeWork
941,snips-train-10844,find a picture called How Much Wood Would a Woodchuck Chuck,FIND A PICTURE CALLED HOW MUCH WOOD WOUD A WOODCHUCK CHUCK,SearchCreativeWork
942,snips-train-10845,Play the Electrochemical and Solid State Letters song,PLAY THE ELECTROCHEMICAL AND SOLID STATE LETTERS SONG,SearchCreativeWork
943,snips-train-10846,Find The Mary Van Note Show,FIND THE MERY VAN NOTE SHOW,SearchCreativeWork
944,snips-train-10847,Where to buy book Charlie Countryman deve morire,WHERE TO BUY BOOK CHARLIE COUNTRYMAN DEVI MORERE,SearchCreativeWork
945,snips-train-10848,I want to play the game Guitar Heaven ... The Greatest Guitar Classics of All Time,I WANT TO PLAY THE GAME GUITAR HEAVAN THE GREATEST GUITAR CLASSICS OF ALL TIME,SearchCreativeWork
946,snips-train-10849,I want to listen to the song First Time for Everything,I WANT TO LISTEN TO THIS SONG FIRST TIME FOR EVERYTHING,SearchCreativeWork
947,snips-train-1085,Add circus to my Post Garage Wave Revival list,ADD CIRCUS TO MY POST GARAGE WAVE REVIVAL LIST,AddToPlaylist
948,snips-train-10850,Find a novel called Downward to the Earth .,FIND A NOVEL CALLED DOWNWARD TO THE EARTH,SearchCreativeWork
949,snips-train-10851,Play a trailer for Give It All,PLAY A TRAILER FORGIVE IT ALL,SearchCreativeWork
950,snips-train-10852,Show The Man from London video game,SHOW THE MAN FROM LONDON VIDIO GAME,SearchCreativeWork
951,snips-train-10853,Find the TV show titled The Three Leaps of Wang Lun,FIND THE T V SHOW TITLE THE THREE LEAPS OF WANG LAN,SearchCreativeWork
952,snips-train-10854,What is the Read All About It picture ?,WHAT IS THE READ ALL ABOUT IT PICTURE,SearchCreativeWork
953,snips-train-10855,I want to watch the show Food Force,I WANT TO WATCH THE SHOW FOOD FORCE,SearchCreativeWork
954,snips-train-10856,Search for the television show Me and my guitar,SEARCH FOR THE TELEVISIONS SHOW ME AND MY GUITAR,SearchCreativeWork
955,snips-train-10857,Where can I find Police Story 3 Supercop,WHERE CAN I FIND POLICE STORY THREE SOUPER COP,SearchCreativeWork
956,snips-train-10858,find the book Time and Again,FIND THE BOOK TIME AND AGAIN,SearchCreativeWork
957,snips-train-10859,I need to see Cristo in India,I NEED TO SEE CRISTO IN INDIA,SearchCreativeWork
958,snips-train-1086,Add album to my Country Hits,ADD ALBUM TO MY COUNTRY HEADS,AddToPlaylist
959,snips-train-10860,Find me an album called Rejoicing with the Light,FIND ME AN ALBUM CALLED REJOICING WITH TE LIGHT,SearchCreativeWork
960,snips-train-10861,Find All About Aubrey .,FIND ALL ABOUT AWBRY,SearchCreativeWork
961,snips-train-10862,find the trailer for The Spooky Sisters,FIND THE TRAILER FFOR THE SPOOKY SISTERS,SearchCreativeWork
962,snips-train-10863,"find Mother Earth , a TV show",FIND MOTHER EARTH ATI VI SHO,SearchCreativeWork
963,snips-train-10864,Show the Day the Earth Caught Fire movie,SHOW THE DAY THE EARTH CAUGHT FIRE MOVIE,SearchCreativeWork
964,snips-train-10865,I want to play the game The Carny,I WANT TO PLAY THE GAME THE CARNEY,SearchCreativeWork
965,snips-train-10866,show creativity of painting of Me Too,SHOW CREATIVITY OF PAINTING OF ME TOO,SearchCreativeWork
966,snips-train-10867,find Karol The Pope,FIND CAROL THE POPE,SearchCreativeWork
967,snips-train-10868,find a soundtrack called Pax Warrior,FIND A SOUND TRACK CALLED PACX'S WARRIOR,SearchCreativeWork
968,snips-train-10869,Can I see the show Heroes of Might & Magic 4 ?,CAN I SEE THE SHOWL HEROES OF MIGHT AND MAGIC FOR,SearchCreativeWork
969,snips-train-1087,will you add Pat Kirtley to my covered in punk playlist,WILL YE AD PAT CURTLY TO MY COVERD IN PUNK PLAY LIST,AddToPlaylist
970,snips-train-10870,play the Discografia de The Pretty Reckless saga,PLAY THE DIS COGRA FIA DO THE PRETTY RECKLESS SAGA,SearchCreativeWork
971,snips-train-10871,Can you search for Twilight Is Gone ?,CAN YOU SEARCH FOR A TWILIGHT IS GONE,SearchCreativeWork
972,snips-train-10872,looking for Liberalism and the Limits of Justice,LOOKING FFOR A LIBERALISM IN THE LIMITS OF JUSTICE,SearchCreativeWork
973,snips-train-10873,Please pull up Nothing Feels Good,PLEASE PULL UP NOTHING FEELS GOOD,SearchCreativeWork
974,snips-train-10874,I'd like to watch the TV series called Fires of Life,I'D LIKE TO WATCH THE TE V CERIES CALLED FIRES OF LIFE,SearchCreativeWork
975,snips-train-10875,Find a novel called A Perfect Day .,FIND A NOVEL CALLED A PERFECT DAY,SearchCreativeWork
976,snips-train-10876,I need info on the video game Iron Fist,I NEED INFUL ON THE VIDIO GAME IRON FIST,SearchCreativeWork
977,snips-train-10877,Find trailer of Jazz Impressions of the U.S.A.,FIND TRAILER OF JAS IMPRESSIONS OF THE U S A,SearchCreativeWork
978,snips-train-10878,I'd like to see the show Onion SportsDome,I'D LIKE TO SEE THE SHOW ONION SPORT STOME,SearchCreativeWork
979,snips-train-10879,find Word of Mouth for me,FINE WORD OF MOUTH FOR ME,SearchCreativeWork
980,snips-train-1088,add Butterfly House to nu metal,ADD BUTTERFLY HOUSE TO NEW METAL,AddToPlaylist
981,snips-train-10880,find Carry me in your dreams,FIND CARRY ME IN YOUR DREAMS,SearchCreativeWork
982,snips-train-10881,What is the TV show This Is Halloween ?,WHAT IS THE TE V SHOW THIS IS HALLO EN,SearchCreativeWork
983,snips-train-10882,I'm looking for the work titled Converging Conspiracies,I'M LOOKING FOR THE WORK TITLED CONVERGING CONSPIRACIES,SearchCreativeWork
984,snips-train-10883,find a novel called Chemistry - An European Journal,FIND A NOVEL CALLED CHEMISTRY ON EUROPEAN JOURNAL,SearchCreativeWork
985,snips-train-10884,find a Love song,FIND A LOVE SONG,SearchCreativeWork
986,snips-train-10885,Play me East Side Story,PLAY ME EAST SIDE STORY,SearchCreativeWork
987,snips-train-10886,help me find the work Unite and Win,HELP ME FIND THE WORK UNITE AND WHEN,SearchCreativeWork
988,snips-train-10887,find Friendship Way,FIND FRIENDSHIP WAY,SearchCreativeWork
989,snips-train-10888,find the trailer for Live at Hull,FIND THE TRAILER FOR ALIVE AT HOWL,SearchCreativeWork
990,snips-train-10889,find the trailer for Hotel on the Corner of Bitter and Sweet,FIND THE TRAYLER FOR HOTEL ON THE CORNER OF BITTER AND SWEET,SearchCreativeWork
991,snips-train-1089,Add lapponia to my flamenco pa ti playlist.,ADD LAPONIA TO MY FLAMENCO POTI PLAYLEST,AddToPlaylist
992,snips-train-10890,Please search for the Puppet on a String video game .,PLEASE SEARCH FOR THE PUPPET ON A STRING VIDIO GAME,SearchCreativeWork
993,snips-train-10891,Find I Could Fall in Love .,FIND I COULD FALL IN LOVE,SearchCreativeWork
994,snips-train-10892,find a television show called Sensation Comics,FIND A TELIVISION SHO CALLED SENSATION COMEX,SearchCreativeWork
995,snips-train-10893,Where can I find the TV show MetaboLights,WHERE CAN I FIND THE T VICHO METRABO LIGHTS,SearchCreativeWork
996,snips-train-10894,find Innocent world,FIND INNOCENT WORLD,SearchCreativeWork
997,snips-train-10895,I want to listen to the song Only the Greatest,I WANT TO LISTEN TO THIS SONG ONLY THE GREATEST,SearchCreativeWork
998,snips-train-10896,I need a painting called Brubeck Plays Brubeck,I NEED A PAINTING CALLED BRUBAC PLACE BRUBAC,SearchCreativeWork
999,snips-train-10897,"find Bells Break Their Towers , a video game",FIND BELLS BREAK THEIR TOWERS OVIDIO GAME,SearchCreativeWork
1000,snips-train-10898,Show me the I Can Hear the Sea movie,SHOW ME THE IECAN HEAR THE SEA MOVIN,SearchCreativeWork
1001,snips-train-10899,I'm trying to find Annunciation .,I'M TRYING TO FIND ANUNCIATION,SearchCreativeWork
1002,snips-train-109,put this album on my road trip playlist,PUT THIS ALBAM ON MY ROAD TRIP PLAYLEST,AddToPlaylist
1003,snips-train-1090,add album to my I Love My 90's R&B,ADD ALBUM TO MY IY LOVE MY NINEDY SAR AND B,AddToPlaylist
1004,snips-train-10900,Show me Interesting Times The Secret of My Success,SHOW ME INTERESTING TIMES THE SECRET OF MY SUCCESS,SearchCreativeWork
1005,snips-train-10901,look for the creative work Meltdown – Days of Destruction,LOOK FOR THE CREATIVE WORK MELT DOWN DAYS OF DESTRUCTION,SearchCreativeWork
1006,snips-train-10902,Find a TV show called Studies in Logic .,FIND A T VISIO CALLED STUDIES IN LOGIC,SearchCreativeWork
1007,snips-train-10903,I want to watch the movie Godslayer,I WANT TO WATCH THE MOVIE GOD SLAYER,SearchCreativeWork
1008,snips-train-10904,find a painting called The Other Bank,FIND A PAINTING CALLED THE OTHER BANK,SearchCreativeWork
1009,snips-train-10905,Get me the Elvis’ Christmas Album TV show .,GET ME THE ELDEST CHRISTMAS ALBUM TE V SHOW,SearchCreativeWork
1010,snips-train-10906,Where to get the movie Fear of a Black Hat,WHERE TO GET THE MOVY FEAR OF A BLACK HAT,SearchCreativeWork
1011,snips-train-10907,Look for the novel Behind closed doors,LOOK FOR THE NOVEL BEHIND CLOSED DOORS,SearchCreativeWork
1012,snips-train-10908,Can I see the TV show The Closer I Get ?,CAN I SEE THE T V SHOW THE CLOSER I GET,SearchCreativeWork
1013,snips-train-10909,Find a painting called The Legend of Tashan Dorrsett .,FIND A PAINTING CALLED THE LEGEND OF TESHAN DORSET,SearchCreativeWork
1014,snips-train-1091,Add some fujimoto yae to my Women of Rock list,ADD SOME FU GI MORO YE TO MY WOMEN OF ROCKLIST,AddToPlaylist
1015,snips-train-10910,I'm looking for the show Sex and Candy,I AM LOOKING FOR THE SHOWSECX AND CANDY,SearchCreativeWork
1016,snips-train-10911,Where can I listen to the song The Imposter ?,WHERE CAN I LISTEN TO THE SONG THE IMPOSTOR,SearchCreativeWork
1017,snips-train-10912,Show me the The Defenestration of Ermintrude Inch TV series,SHOW ME THTHE DEFENISTRATION OF ERMENTRUD ANTI V CERES,SearchCreativeWork
1018,snips-train-10913,"find Attack Surface Analyzer , a painting",FIND ATTACK SURFACE ANALYZER A PAINTING,SearchCreativeWork
1019,snips-train-10914,Where can I buy the movie The Teahouse Fire ?,WHERE CAN I BUY THE MOVIE THE TEA HOUSE FIRE,SearchCreativeWork
1020,snips-train-10915,look for the saga called Death in Paradise,LOOK FOR THE SOGA CAL DEATH IN PARADISE,SearchCreativeWork
1021,snips-train-10916,I'd like to hear the soundtrack for Just Once in My Life .,I'D LIKE TO HEAR THE SOUND TRACK FOR JUST WANTS IN MY LIFE,SearchCreativeWork
1022,snips-train-10917,find a book called The Mad Magician,FIND A BOOK CALLED THE MAD MAGICIAN,SearchCreativeWork
1023,snips-train-10918,Get me the Trick or Treats soundtrack .,GAT ME THE TRICK OR TREAT'S SOUND TRACK,SearchCreativeWork
1024,snips-train-10919,When is City of Angels playing?,WHEN IS CITY OF ANGELS PLAYING,SearchCreativeWork
1025,snips-train-1092,Add future to This Is Al Green,ADD FUTURE TO THIS IS ALGREEN,AddToPlaylist
1026,snips-train-10920,show painting of Waiting for Snow in Havana,SHOW PAINTING OF WATING FOR SNOW IN HUVANNA,SearchCreativeWork
1027,snips-train-10921,Show me the photograph of Minutes to Midnight,SHOW ME THE PHOTOGRAPH OF MINUTES TO MIDNIGHT,SearchCreativeWork
1028,snips-train-10922,Where is the TV show Bomberman Land Touch! 2,WHEREIS THE T VI SHO BALMER MANLAND TOUCH TWO,SearchCreativeWork
1029,snips-train-10923,What is Party All Night,WHAT IS PARTY ALL NIGHT,SearchCreativeWork
1030,snips-train-10924,Please search for the TV series titled I Need Romance .,PLEASE SEARCH FOR THE TE V CERIES TITLED I NEED ROMANCE,SearchCreativeWork
1031,snips-train-10925,painting of Live from the El Rey Theatre,PAINTING OF LIVE FROM THE ELRAY THEATRE,SearchCreativeWork
1032,snips-train-10926,Show me NCAA College Football 2K3,SHOW ME N C DOUBLE A COLLEGE FOOTBALL TWO CATHEREE,SearchCreativeWork
1033,snips-train-10927,i want to play the video game called China Seas,I WANT TO PLAY THE VIDIO GAME CALLED CHINA SES,SearchCreativeWork
1034,snips-train-10928,show creativity of Your Body Above Me,SHOW CREATIVITY OF YOUR BODY ABOVE ME,SearchCreativeWork
1035,snips-train-10929,Find Show-Ya 20th Anniversary The Best .,FIND SHOW YOU TWENTIETH ANNIVERSARY THE BEST,SearchCreativeWork
1036,snips-train-1093,Add I Hate Myself and I Want to Die to my Six string peacefulness,ADD I HATE MYSELF AND I WANT TO DIE TO MY SICK STRING PEACEFULNESS,AddToPlaylist
1037,snips-train-10930,Help me search UFC on Fox show .,HELP ME SEARCH YOU F C ON FOX SHOW,SearchCreativeWork
1038,snips-train-10931,Look for a photograph of I Wanna Sex You Up,LOOK FOR A PHOTOGRAPH IF I WANESSEX YOU UP,SearchCreativeWork
1039,snips-train-10932,show creative video game The Boat Is Full,SHOW CREATIVE VIDIO GAME THE BOAT IS FULL,SearchCreativeWork
1040,snips-train-10933,Find a novel called Industry .,FIND A NOVEL CALLED INDUSTRY,SearchCreativeWork
1041,snips-train-10934,find A Pet of the Cairo Zoo,FINE DE PET OF THE CAIRO ZOO,SearchCreativeWork
1042,snips-train-10935,Please get me the British Journal of Dermatology game .,PLEASE GET ME THE BRITISH JOURNAL OF DERMITOLOGY GAME,SearchCreativeWork
1043,snips-train-10936,search for Space on My Hands,SEARCH FOR SPACE ON MY HANDS,SearchCreativeWork
1044,snips-train-10937,I want The Complete Global Albums Collection,I WANT THE COMPLETE GLOBAL ALBAM'S COLLECTION,SearchCreativeWork
1045,snips-train-10938,"find Waiting for Touchdown , a book",FIND WAITING FOR TOUCHDOWN A BOOK,SearchCreativeWork
1046,snips-train-10939,Please look up the Power and Love movie .,PLEASE LOOK UP THE POWER AND LOVE MOVIE,SearchCreativeWork
1047,snips-train-1094,my té para tres needs Brave and Crazy added on.,MY TAPE PERROWTRACE NEEDS BRAVE AND CRAZY ADADON,AddToPlaylist
1048,snips-train-10940,I want to watch TV series The Practical Pig,I WANT TO WATCH T V CERIES THE PRACTICAL PIG,SearchCreativeWork
1049,snips-train-10941,I want to read the book Between a Rock and a Hard Place,I WANT TO READ THE BOOK BETWEEN A ROCK AND A HARD PLACE,SearchCreativeWork
1050,snips-train-10942,Find City of Light .,FINE CITY OF LIGHT,SearchCreativeWork
1051,snips-train-10943,Find a trailer called Colony 7 .,FIND A TRAILER CALLED COLONY SEVEN,SearchCreativeWork
1052,snips-train-10944,Can you find me the Naked City – Justice with a Bullet album ?,CAN YOU FIND ME THE NAKED CITY JUSTICE WITHER BULLE TALBAM,SearchCreativeWork
1053,snips-train-10945,find the TV series Shaun the Sheep,FIND THE T V CERES SHON THE SHEEP,SearchCreativeWork
1054,snips-train-10946,find a show called Big Broadcast of 1938,FINED AS SHO CALLED BIG BROADCAST OF NINETEEN THIRTY EIGHT,SearchCreativeWork
1055,snips-train-10947,Look up the Searchlights painting,LOOK UP THE SEARCH LIGHTS PAINTING,SearchCreativeWork
1056,snips-train-10948,Where can I purchase a copy of the painting called Glimpses of World History ?,WHERE CAN I PURCHASE A COPY OF THE PAINTING CALLED GLIMPSES OF WORLD HISTORY,SearchCreativeWork
1057,snips-train-10949,show me the television show Operation Thunderbolt,SHOW ME THE TELEVISAN SHOW OPERATION THUNDERBOLT,SearchCreativeWork
1058,snips-train-1095,add this tune to my Dance playlist,ADD THIS TUNE TO MY DANCE PLAY LEST,AddToPlaylist
1059,snips-train-10950,Find a TV series called Manufacturing Consent .,FIND A T V CERES CALLED MANUFACTURING CONSENT,SearchCreativeWork
1060,snips-train-10951,read the Background to Danger book,READ THE BACKGROUND TO DANGER BOOK,SearchCreativeWork
1061,snips-train-10952,find a novel called Best Hits Live Save the Children Speed Live 2003,FIND A NOVEL CALLED BEST HITS LIVE SAVE THE CHILDREN SPEED LIVE TWO THOUSAND THREE,SearchCreativeWork
1062,snips-train-10953,show creativity in Cross Currents,SHOW CREATIVITY IN CROSS CURRENTS,SearchCreativeWork
1063,snips-train-10954,Find Stained Glass Windows .,FINE STAINED GLASS WINDOWS,SearchCreativeWork
1064,snips-train-10955,Find a painting called Voices in My Head .,FIND A PAINTING CALLED VOICES IN MY HEAD,SearchCreativeWork
1065,snips-train-10956,Can you help me find Preaching to the Perverted ?,CAN YOU HELP ME FIND PREACHING TO THE PERVERTED,SearchCreativeWork
1066,snips-train-10957,Please look up Amrithavaahini,PLEASE LOOK A PALM RIT HAVINY,SearchCreativeWork
1067,snips-train-10958,Where can I watch the trailer for Home Economics,WHERE CAN I WATCH THE TRAILER FOR HOME ECONOMICS,SearchCreativeWork
1068,snips-train-10959,What Can I watch watch the television show Catch,WHAT CAN I WATCH WATCH THE TELEVISON SHO HATCH,SearchCreativeWork
1069,snips-train-1096,Add house of pain to my 90s Indie playlist,ADD HOUSE OF PAIN TO MY NINETYS INDY PLAY LEST,AddToPlaylist
1070,snips-train-10960,look for the show named Chestnut Mare,LOOK FOR THE SHOWN NAMEE CHESTNUT MARE,SearchCreativeWork
1071,snips-train-10961,search for trailer Jazz Impressions of the U.S.A.,SEARCH FOR DAULAR JAS IMPRESSIONS OF THE U S A,SearchCreativeWork
1072,snips-train-10962,show Crafty Hands saga,SHOW CRAFTY HAND SAGA,SearchCreativeWork
1073,snips-train-10963,I want to watch the television show Champion,I WANT TO WATCH THE TELEVISION SHOW CHAMPION,SearchCreativeWork
