,train_index,train_sentence,joey_sentence,train_label
939,snips-train-10842,Find me the Show Girl soundtrack,FIND ME VESI GIRL SOUND TRACK,SearchCreativeWork
940,snips-train-10843,Find Merry Arizona 97 Desert Stars Shine at Christmas,FIND MERY EROZONA NINETY SEVEN DESERTS STARS SHINE AT CHRISTMAS,SearchCreativeWork
941,snips-train-10844,find a picture called How Much Wood Would a Woodchuck Chuck,FIND A PICTURE CALLED HOW MUCH WOOD WOULD A WOODCHURK CHUCK,SearchCreativeWork
942,snips-train-10845,Play the Electrochemical and Solid State Letters song,PLAY THE ELECTROCHEMICAL AND SOLID STATE LETTERS SONG,SearchCreativeWork
943,snips-train-10846,Find The Mary Van Note Show,FIND THE MERRY VAN NOTIO,SearchCreativeWork
944,snips-train-10847,Where to buy book Charlie Countryman deve morire,WERE TO BUY BOOKCHARLEY COUNTRYMAN DEVEMORYRY,SearchCreativeWork
945,snips-train-10848,I want to play the game Guitar Heaven ... The Greatest Guitar Classics of All Time,I WANT TO PLAY THE GAME GUITAR HEAVEN THE GREATEST GITAR CLASSICS OF ALL TIME,SearchCreativeWork
946,snips-train-10849,I want to listen to the song First Time for Everything,I WANT LISTEN TO THE SONG FIRST TIME FOR EVERYTHING,SearchCreativeWork
947,snips-train-1085,Add circus to my Post Garage Wave Revival list,ADD CIRCUS TO MY POST GARANGE WAVE REVIVE A LIST,AddToPlaylist
948,snips-train-10850,Find a novel called Downward to the Earth .,FIND A NOVEL CALLED DOWNWARD TO THE EARTH,SearchCreativeWork
949,snips-train-10851,Play a trailer for Give It All,PLAY A TRAILER FORGIVE IT ALL,SearchCreativeWork
950,snips-train-10852,Show The Man from London video game,SHOW THE MAN FROM LONDON VIDIOL GAME,SearchCreativeWork
951,snips-train-10853,Find the TV show titled The Three Leaps of Wang Lun,FIND THE T V SHOW TITLED THE THREE LEAPS OF WANGLAN,SearchCreativeWork
952,snips-train-10854,What is the Read All About It picture ?,WHAT IS THE REED ALL ABOUT IT PICTURE,SearchCreativeWork
953,snips-train-10855,I want to watch the show Food Force,I WANT TO WATCH THE SHUR FOOD FORCE,SearchCreativeWork
954,snips-train-10856,Search for the television show Me and my guitar,SEARCH FOR THE TELEVISION SHOW ME AND MY GUITAR,SearchCreativeWork
955,snips-train-10857,Where can I find Police Story 3 Supercop,WORK IN I FINE POLICE STORY THREE SUPER CUP,SearchCreativeWork
956,snips-train-10858,find the book Time and Again,FIND THE BOOK TIME AND AGAIN,SearchCreativeWork
957,snips-train-10859,I need to see Cristo in India,I NEED TO SEE CHRYSO IN INDIA,SearchCreativeWork
958,snips-train-1086,Add album to my Country Hits,ADD ALBUM TO MY CONTRARY HINTS,AddToPlaylist
959,snips-train-10860,Find me an album called Rejoicing with the Light,FIND ME ANALBUM CALLED REJOICING WITH DELIGHT,SearchCreativeWork
960,snips-train-10861,Find All About Aubrey .,FIND ALL ABROAD I BU,SearchCreativeWork
961,snips-train-10862,find the trailer for The Spooky Sisters,FIND THE TRAILER FOR THE SPOOKY SISTERS,SearchCreativeWork
962,snips-train-10863,"find Mother Earth , a TV show",FIND MOTHER EARTH ATI V SHOW,SearchCreativeWork
963,snips-train-10864,Show the Day the Earth Caught Fire movie,SHOW THE DAVY EARTH CAUGHT FIRE MOODY,SearchCreativeWork
964,snips-train-10865,I want to play the game The Carny,I WANT TO PLAY THE GAME MA CANEY,SearchCreativeWork
965,snips-train-10866,show creativity of painting of Me Too,SHOW CLEAR ATIVITY OF PAINTING OF ME TOO,SearchCreativeWork
966,snips-train-10867,find Karol The Pope,FOUND CARNY TE PENT,SearchCreativeWork
967,snips-train-10868,find a soundtrack called Pax Warrior,FIND A SOUND TRACK CALLED PACK'S WARRIOR,SearchCreativeWork
968,snips-train-10869,Can I see the show Heroes of Might & Magic 4 ?,CAN I SEE THE SHOW HEARERS OF MIGHT AND MAGIC FOR,SearchCreativeWork
969,snips-train-1087,will you add Pat Kirtley to my covered in punk playlist,WILL YOU ADD PAG CURTY TO MY COVERDIN PONK POILIST,AddToPlaylist
970,snips-train-10870,play the Discografia de The Pretty Reckless saga,PLAY THE DISKOGRAL FIADA THE PRETTY RECKUESS SAGA,SearchCreativeWork
971,snips-train-10871,Can you search for Twilight Is Gone ?,CAN YOU SEARCH FOR TWILIGHT IS GONE,SearchCreativeWork
972,snips-train-10872,looking for Liberalism and the Limits of Justice,LOOKING FOR LIBERALISM AND THE LIMITS OF JUSTICE,SearchCreativeWork
973,snips-train-10873,Please pull up Nothing Feels Good,PLEASE POUR UP NOTHING FEELS GOOD,SearchCreativeWork
974,snips-train-10874,I'd like to watch the TV series called Fires of Life,I'D LIKE TO WATCH THE T V CERIES CALLED FIRES OF LIFE,SearchCreativeWork
975,snips-train-10875,Find a novel called A Perfect Day .,FIND A NOVEL CALLED A PERFECT DARE,SearchCreativeWork
976,snips-train-10876,I need info on the video game Iron Fist,I NEED INFORM THE VIDIO GAME IRON FIST,SearchCreativeWork
977,snips-train-10877,Find trailer of Jazz Impressions of the U.S.A.,FIND DRAMA OF JAS IMPRESSIONS OF THE U S A,SearchCreativeWork
978,snips-train-10878,I'd like to see the show Onion SportsDome,I'D LIKE TO SEE THE SHOW ON UNSPORT STONE,SearchCreativeWork
979,snips-train-10879,find Word of Mouth for me,FIND WORD OF MOUTH FOR ME,SearchCreativeWork
980,snips-train-1088,add Butterfly House to nu metal,AD BUTTERFLY HOUSE TO MIDDLE,AddToPlaylist
981,snips-train-10880,find Carry me in your dreams,FOND CARRYING ME IN YOUR DREAMS,SearchCreativeWork
982,snips-train-10881,What is the TV show This Is Halloween ?,WHAT IS THE T V SHOW THIS ISHALLO EN,SearchCreativeWork
983,snips-train-10882,I'm looking for the work titled Converging Conspiracies,I'M LOOKING FOR THE WORK TITLED CONVERGING CONSPIRACIES,SearchCreativeWork
984,snips-train-10883,find a novel called Chemistry - An European Journal,FIND A NOVEL CALLED CHEMISTRY AND EUROPEAN JOURNAL,SearchCreativeWork
985,snips-train-10884,find a Love song,FIND A LOAV SONG,SearchCreativeWork
986,snips-train-10885,Play me East Side Story,PLAY ME EAST SIGN STORY,SearchCreativeWork
987,snips-train-10886,help me find the work Unite and Win,HELP YO FIND THE WORK UNITE AND WHIN,SearchCreativeWork
988,snips-train-10887,find Friendship Way,FINE FIRNSHIP WERE,SearchCreativeWork
989,snips-train-10888,find the trailer for Live at Hull,FIND THE TRAILER FOR LIVE AT HOME,SearchCreativeWork
990,snips-train-10889,find the trailer for Hotel on the Corner of Bitter and Sweet,FIND THE TRAILER FOR HOTEL ON THE CORNER OF BITTER AND SWEET,SearchCreativeWork
991,snips-train-1089,Add lapponia to my flamenco pa ti playlist.,ADD LAPONDIA TO MY FOMENCOPATI POLIST,AddToPlaylist
992,snips-train-10890,Please search for the Puppet on a String video game .,PLEASE SEARCH FOR THE PULPET ON A STRING VIDIAL GAME,SearchCreativeWork
993,snips-train-10891,Find I Could Fall in Love .,FOND I COULD FALL IN LOVE,SearchCreativeWork
994,snips-train-10892,find a television show called Sensation Comics,FIND A TELEVISION SHORE CALLED SENSATION COMICS,SearchCreativeWork
995,snips-train-10893,Where can I find the TV show MetaboLights,WHERE CAN I FIND A T V SHOW METAUBO LIGHTS,SearchCreativeWork
996,snips-train-10894,find Innocent world,FIND INNOCENT WORLD,SearchCreativeWork
997,snips-train-10895,I want to listen to the song Only the Greatest,I WANT TO LISTEN TO THE SONG ONLY THE GREATEST,SearchCreativeWork
998,snips-train-10896,I need a painting called Brubeck Plays Brubeck,I NEED A PAINTING CALLED BUBIC PLAYS BRUBIC,SearchCreativeWork
999,snips-train-10897,"find Bells Break Their Towers , a video game",FINE BELLS BREAK THEIR TOWERS A VIDIAL GAME,SearchCreativeWork
1000,snips-train-10898,Show me the I Can Hear the Sea movie,SHOW ME THE I CAN HEAR THE SEA MOVING,SearchCreativeWork
1001,snips-train-10899,I'm trying to find Annunciation .,I'M TRYING TO FIND ENUNCIATION,SearchCreativeWork
1002,snips-train-109,put this album on my road trip playlist,PUT THIS ALBE MONMY RO TRIPOILEST,AddToPlaylist
1003,snips-train-1090,add album to my I Love My 90's R&B,ADD ALBUM TO MY I LOVE MY NIN BES AR AND B,AddToPlaylist
1004,snips-train-10900,Show me Interesting Times The Secret of My Success,SHOW ME INTERUSTING TIMES THE SECRET OF MY SUCCESS,SearchCreativeWork
1005,snips-train-10901,look for the creative work Meltdown – Days of Destruction,LOOK FOR THE CREATIVE WORK MELDOWN DAYS OF DESTRUCTION,SearchCreativeWork
1006,snips-train-10902,Find a TV show called Studies in Logic .,FIND A T V SHO CALLED STUDIES IN LOGIC,SearchCreativeWork
1007,snips-train-10903,I want to watch the movie Godslayer,I WANT TO WATCH YE MOVI GODSLAYER,SearchCreativeWork
1008,snips-train-10904,find a painting called The Other Bank,FIND A PAINTING CALLED THE OTHER BANK,SearchCreativeWork
1009,snips-train-10905,Get me the Elvis’ Christmas Album TV show .,GET ME VEOLDRES CHRISTMAS ALBUM T V SHOW,SearchCreativeWork
1010,snips-train-10906,Where to get the movie Fear of a Black Hat,WORK TO GET THEM OOU FEAR OF A BLACK HAT,SearchCreativeWork
1011,snips-train-10907,Look for the novel Behind closed doors,LOOK FOR THE NOVEL BEHIND THE CLOSED DOORS,SearchCreativeWork
1012,snips-train-10908,Can I see the TV show The Closer I Get ?,CAM I SEE THE T V SHOW THE CLOSERRA YET,SearchCreativeWork
1013,snips-train-10909,Find a painting called The Legend of Tashan Dorrsett .,FIND A PAINTING CALLED THE LEGEND OF TISHAN DORZET,SearchCreativeWork
1014,snips-train-1091,Add some fujimoto yae to my Women of Rock list,ADD SOME FRUGIMODOYE TO MY WOMEN OF ROCK LIST,AddToPlaylist
1015,snips-train-10910,I'm looking for the show Sex and Candy,I'M LOOKING FOR THE SHOW SEX AND CANDY,SearchCreativeWork
1016,snips-train-10911,Where can I listen to the song The Imposter ?,WORK AND I LISTEN TO THE SONG THE IMPOSTOR,SearchCreativeWork
1017,snips-train-10912,Show me the The Defenestration of Ermintrude Inch TV series,SHOW ME THE THE DEVENISTRATION OF VERMANT RUDIN T V CERIES,SearchCreativeWork
1018,snips-train-10913,"find Attack Surface Analyzer , a painting",FIND ATTACKS SURFACE ANEWISER A PAINTING,SearchCreativeWork
1019,snips-train-10914,Where can I buy the movie The Teahouse Fire ?,WHERE CAN I BYTHEM REIVE A TEA HOUSE FIRE,SearchCreativeWork
1020,snips-train-10915,look for the saga called Death in Paradise,LOOK FOR THE SONG CALLED DEATH IN PARADISE,SearchCreativeWork
1021,snips-train-10916,I'd like to hear the soundtrack for Just Once in My Life .,I'D LIKE TO HEAR THES EMTRACK FOR JUST WANTS OF MY LIFE,SearchCreativeWork
1022,snips-train-10917,find a book called The Mad Magician,FIND A BOOK CALLED THE MAD MAGICIAN,SearchCreativeWork
1023,snips-train-10918,Get me the Trick or Treats soundtrack .,GET ME VE TRUCORTRET SOUND TRAC,SearchCreativeWork
1024,snips-train-10919,When is City of Angels playing?,WHEN A CITY OF ANGOLS PLAYING,SearchCreativeWork
1025,snips-train-1092,Add future to This Is Al Green,ADD FUTURE TO THE SUZAL DREANG,AddToPlaylist
1026,snips-train-10920,show painting of Waiting for Snow in Havana,SHOW PAINTING OF WAITING FOR SNOW IN HUVANNA,SearchCreativeWork
1027,snips-train-10921,Show me the photograph of Minutes to Midnight,SHOW ME THE PHOTOGRAPH OF MINUTES TO MIDNIGHT,SearchCreativeWork
1028,snips-train-10922,Where is the TV show Bomberman Land Touch! 2,WHEREIS THE T V SHOBALMER AND LAND TOUCH TWO,SearchCreativeWork
1029,snips-train-10923,What is Party All Night,WHAT IS PARTY ALL NIGHT,SearchCreativeWork
1030,snips-train-10924,Please search for the TV series titled I Need Romance .,PLEASE SEARCH FOR THE T V SERIOUS TITLED I NEED ROMANCE,SearchCreativeWork
1031,snips-train-10925,painting of Live from the El Rey Theatre,PAINTING OF LIFE FROM THE ELRAY THEATRE,SearchCreativeWork
1032,snips-train-10926,Show me NCAA College Football 2K3,SHOW ME AND SEE DOUBLE A COLLEGE FOT BOLTUKE THREE,SearchCreativeWork
1033,snips-train-10927,i want to play the video game called China Seas,I WANT TO PLAY THE VIDIO GAME CALLED CHINASES,SearchCreativeWork
1034,snips-train-10928,show creativity of Your Body Above Me,SHOALL CREATIVITY OF YOUR BONNY ABOVE ME,SearchCreativeWork
1035,snips-train-10929,Find Show-Ya 20th Anniversary The Best .,FINE SHOW YOUR TWENTIETH ANNIVERSARY THE BEST,SearchCreativeWork
1036,snips-train-1093,Add I Hate Myself and I Want to Die to my Six string peacefulness,ADD I HATE MYSELF AND I WANT TO DIE TO MY SIX STRING PEACEFULNESS,AddToPlaylist
1037,snips-train-10930,Help me search UFC on Fox show .,HELP ME SEARCH YOU A SEA ON FOX SHOW,SearchCreativeWork
1038,snips-train-10931,Look for a photograph of I Wanna Sex You Up,LOOK FOR A PHOTOGRAPH EF I WAN A SICH YOU UP,SearchCreativeWork
1039,snips-train-10932,show creative video game The Boat Is Full,SHIL CREATIVE VIDIO GAME THE BOAT IS FULL,SearchCreativeWork
1040,snips-train-10933,Find a novel called Industry .,FIND A NOVEL CALLED INDUSTRY,SearchCreativeWork
1041,snips-train-10934,find A Pet of the Cairo Zoo,FIND A PET OF THECARO YOU,SearchCreativeWork
1042,snips-train-10935,Please get me the British Journal of Dermatology game .,PLEASE GIVE ME THE BRITISH JOURNAL OF DERMOTOLOGY GAME,SearchCreativeWork
1043,snips-train-10936,search for Space on My Hands,SEARCH FOR SPACE ON MY HANDS,SearchCreativeWork
1044,snips-train-10937,I want The Complete Global Albums Collection,I WANT TE COMPLETE GLOBEWALBAM'S COLLECTION,SearchCreativeWork
1045,snips-train-10938,"find Waiting for Touchdown , a book",FIND WAITING FOR TOUCH DOWN A BOOK,SearchCreativeWork
1046,snips-train-10939,Please look up the Power and Love movie .,PLEASE LOOK UP THE POWER AND LOVE MOVIE,SearchCreativeWork
1047,snips-train-1094,my té para tres needs Brave and Crazy added on.,MIGHTY PAIR TRACE NEEDS BRAVEEN CRAZE ADDED ON,AddToPlaylist
1048,snips-train-10940,I want to watch TV series The Practical Pig,I WANT TO WATCH TI V SERIES THE PRACTICAL BIRG,SearchCreativeWork
1049,snips-train-10941,I want to read the book Between a Rock and a Hard Place,I WALKED TO READ THE BOOK BETWEEN THE ROCK AND A HARD PLACE,SearchCreativeWork
1050,snips-train-10942,Find City of Light .,FINE CITY OF LIGHT,SearchCreativeWork
1051,snips-train-10943,Find a trailer called Colony 7 .,FIND A TRAILOR CALLED CON USEVEN,SearchCreativeWork
1052,snips-train-10944,Can you find me the Naked City – Justice with a Bullet album ?,CAN YOU FIND ME THE NAKED CITY JUSTICE WITH A BULLAT ALGAM,SearchCreativeWork
1053,snips-train-10945,find the TV series Shaun the Sheep,FIND THE T V CYRIE SHRAW IN THE SHEEP,SearchCreativeWork
1054,snips-train-10946,find a show called Big Broadcast of 1938,FIND A SHORE CALLED BIG BROADCAST OF NINETEEN THIRTY EIGHT,SearchCreativeWork
1055,snips-train-10947,Look up the Searchlights painting,LOOK AT THE SEARCH LIDES PAINTING,SearchCreativeWork
1056,snips-train-10948,Where can I purchase a copy of the painting called Glimpses of World History ?,WHERE CAN I PURCHASE A COPY OF THE PAINTING CALLED GLIMPSES OF WORLD HISTORY,SearchCreativeWork
1057,snips-train-10949,show me the television show Operation Thunderbolt,SHOW ME THE TELEVISION SHOW OPERATION THUNDERBOLT,SearchCreativeWork
1058,snips-train-1095,add this tune to my Dance playlist,ADD THIS TUNE TO MY DANCE PAILIST,AddToPlaylist
1059,snips-train-10950,Find a TV series called Manufacturing Consent .,FIND A T V SERIES CALLED MANUFACTURING CONCERNED,SearchCreativeWork
1060,snips-train-10951,read the Background to Danger book,READ THE BACKGROUND TO DANGER BOOK,SearchCreativeWork
1061,snips-train-10952,find a novel called Best Hits Live Save the Children Speed Live 2003,FIND A NOVEL CALLED BEST HINTS LIVES SAVE THE CHILDREN SPEED LIVE TWO THOUSAND THREE,SearchCreativeWork
1062,snips-train-10953,show creativity in Cross Currents,SHARL CREATIVITY AND CROSS CARRANTS,SearchCreativeWork
1063,snips-train-10954,Find Stained Glass Windows .,FINE STAINED GLASS WINDOWS,SearchCreativeWork
1064,snips-train-10955,Find a painting called Voices in My Head .,FIND A PAINTING CALLED VOICES IN MY HEAD,SearchCreativeWork
1065,snips-train-10956,Can you help me find Preaching to the Perverted ?,CAN YOU HELP ME FIND PREACHING TO THE PERVERTED,SearchCreativeWork
1066,snips-train-10957,Please look up Amrithavaahini,PLEASE LOOK A PAMRIGT HAVOIIMI,SearchCreativeWork
1067,snips-train-10958,Where can I watch the trailer for Home Economics,WORKING I WATCH THE TRAILER FOR HOME ECONOMICS,SearchCreativeWork
1068,snips-train-10959,What Can I watch watch the television show Catch,WHAT CAN I WATCH WATCH THE TELLOFAS YOUSHALL CATCH,SearchCreativeWork
1069,snips-train-1096,Add house of pain to my 90s Indie playlist,AD HOUSE OF PAIN TO MY NINETY'S ENDY PLAILIST,AddToPlaylist
1070,snips-train-10960,look for the show named Chestnut Mare,LOOK FOR THE SHOWN NAMED CHESTNUT MAYOR,SearchCreativeWork
1071,snips-train-10961,search for trailer Jazz Impressions of the U.S.A.,SEARCH FOR TRAILOR GAS IMPRESSIONS OF THE U S A,SearchCreativeWork
1072,snips-train-10962,show Crafty Hands saga,SHOARL CRAFTY HAIND SONDAR,SearchCreativeWork
1073,snips-train-10963,I want to watch the television show Champion,I WANT TO WATCH THE TELOVISION SHORE CHAMPION,SearchCreativeWork
1074,snips-train-10964,Look for the High Noon TV show,LOOK FOR THE HIGH NOON T V SHOW,SearchCreativeWork
1075,snips-train-10965,I'm looking for the CineExport painting .,I'M LOOKING FOR THE SENY EXPORT PAINTING,SearchCreativeWork
1076,snips-train-10966,"find Bullet and a Target , a television show",FINE BOLET AND A TARGIT A TONOVIGIN SIO,SearchCreativeWork
1077,snips-train-10967,Find Spirit of the Bush .,FINE SPIRIT OF THE BUSH,SearchCreativeWork
1078,snips-train-10968,Download The Red Eagle TV show,DOWNLO THE READEGLE T V SHOW,SearchCreativeWork
1079,snips-train-10969,Find Clash of the Codes .,FINE CLASH OF VERCONS,SearchCreativeWork
1080,snips-train-1097,Add big generator to my Country Icon playlist,ADBID GENERATOR TO MY COUNTRY ICON POOIST,AddToPlaylist
1081,snips-train-10970,Find a game called An Aerial Joy Ride .,FIND A GAME CALMED AN AERIAL JOY RIDE,SearchCreativeWork
1082,snips-train-10971,Please find me The Purple Vigilantes book .,PLEASE FIND ME IN THE PURPLE VIGILANTES BOOK,SearchCreativeWork
1083,snips-train-10972,find a TV show called Shake Hands with Beef,FIND A T V SHO CALLED SHAKE HANDS WITH BEEF,SearchCreativeWork
1084,snips-train-10973,Find me the song 2 Fast 2 Furious,FINDMY THE SONG TOO FAST TOO FURIOUS,SearchCreativeWork
1085,snips-train-10974,Can you find the book Beatmania IIDX 10th Style,CAN YOU FIND THE BOOK BEAT MANIO EATS TENTH STYLE,SearchCreativeWork
1086,snips-train-10975,Pull up the trailer for 2000 Years – The Millennium Concert,PULL UP THE TRAILER FOR TWO THOUSAND YEARS THE MNILLENNIUM CONCERT,SearchCreativeWork
1087,snips-train-10976,Find Darker than black .,FINE DARKRO IN BLARK,SearchCreativeWork
1088,snips-train-10977,Play The News Virginian song,PLAY THE NEWS OF VIRGINIAN SONG,SearchCreativeWork
1089,snips-train-10978,Show the Chemdex.com photograph,SHOW THE SCHINDICS DAT CALM PHOTOGRAPH,SearchCreativeWork
1090,snips-train-10979,find The Inspector for me,FUNG THE INSPECTOR FOR ME,SearchCreativeWork
1091,snips-train-1098,add Fred Knoblock to my lo-fi love playlist,OUD FRED NOB LAR TOO MINDLY FI LOVE PLAILIST,AddToPlaylist
1092,snips-train-10980,Find the show We Chase the Waves,FIND THE SHOW WHICH IS THE WAYS,SearchCreativeWork
1093,snips-train-10981,"Can you find me the work titled, A Little Curious ?",CAN YOU FIND ME THE WORK TITLED A LITTLE CURIOUS,SearchCreativeWork
1094,snips-train-10982,find the game titled IParty with Victorious,FIND THE GAME TITLE DY PARTY WITH VICTORIOUS,SearchCreativeWork
1095,snips-train-10983,Show me the photograph Johnny Cash The Complete Columbia Album Collection,SHOW ME THE PHOTOGRAPH JOHNNY CASH THE COMPLETE COLUMBIA ALBUM COLLECTION,SearchCreativeWork
1096,snips-train-10984,where can I watch the TV show Terrorists The Kids They Sentenced,WHERE CAN I WATCH THE T V SHOW TERRASTS THE KIDS THEY SENTENCED,SearchCreativeWork
1097,snips-train-10985,Where can I purchase Paradise Tonight online?,WHERE CAN I PURCHASE PARADISE TO NIGHT ON MINE,SearchCreativeWork
1098,snips-train-10986,Can you find me The Real McCoy novel ?,CAN YOU FIND ME VEREAL MAKONOV,SearchCreativeWork
1099,snips-train-10987,show me God Bless the Child photograph,SHOW ME GOD BLESS THE CHILD PHOTOGRAPH,SearchCreativeWork
1100,snips-train-10988,"Please find the movie , A Jingle with Jillian .",PLEASE FIND THE MOVIE A JENGAL WITH JOIAN,SearchCreativeWork
1101,snips-train-10989,show creativity of Night of the Hunter,SHOW CREATIVITY OF NIGHT OF THE HAUNTER,SearchCreativeWork
1102,snips-train-1099,Add tune to this is trey songz,ADD TUNPITISIS TRESONGS,AddToPlaylist
1103,snips-train-10990,Play the Seamus Heaney Collected Poems song,PLAY THE SHAME A SEENE COLLECTED POEMS SONG,SearchCreativeWork
1104,snips-train-10991,Look for the album called The Tale of Mr. Jeremy Fisher,LOOK FOR THE ALBUM CALLED THETALE OF MISTER JERAMY FISHER,SearchCreativeWork
1105,snips-train-10992,find the Putrid Death Sorcery soundtrack,FIING THE PUTRI DEATH SORCERY SOUND TRACK,SearchCreativeWork
1106,snips-train-10993,Find me the show Krypto the Superdog,FINALLY I THE SHIW CREPT OVERE SINCRA DOG,SearchCreativeWork
1107,snips-train-10994,Find a show called The Inheritors,FIND A SHORE CALLED THE INHERITORS,SearchCreativeWork
1108,snips-train-10995,find the show The Best of The Township Idols,FIND THE SURE THE BEST OF THE TOWNSHIP HIDELS,SearchCreativeWork
1109,snips-train-10996,Find a soundtrack called I Still Believe in You .,FIND A SOUND TRACK CALLED A STILL BELIEVE IN YOU,SearchCreativeWork
1110,snips-train-10997,Buy novel Brokeback Mountain,BY NOVEL BROKE BACK MOUNTAIN,SearchCreativeWork
1111,snips-train-10998,find a soundtrack called Fast as You,FIND A SOUND TRACK CALLED FAST AS YOU,SearchCreativeWork
1112,snips-train-10999,Please search the Abby saga .,PLEASE SEARCH THE ABBEY SONGA,SearchCreativeWork
1113,snips-train-11,add this album to the playlist called dishwashing,ADD THIS ALBOM TO THE PLALIST CALLED DISH WASHING,AddToPlaylist
1114,snips-train-110,Add Guy Warren to my bossa nova dinner playlist.,ADD GUY WARN TO MY BASONOVAR DINNER PLAILIST,AddToPlaylist
1115,snips-train-1100,Add this track to the playlist Korean OSTs,ADD THIS TRACT TO THE PLAALUNCHED COREAN NOESTES,AddToPlaylist
1116,snips-train-11000,Show me the album Til the Morning,SHURLY THE ALBUMTOVEN WARNING,SearchCreativeWork
1117,snips-train-11001,Please locate Sad Love Story novel for me.,THESE LOCATE SAD LOVE STORY NOVEL FOR ME,SearchCreativeWork
1118,snips-train-11002,Look for the Thorns saga,YEK FOR THE TOREIGN SONDER,SearchCreativeWork
1119,snips-train-11003,I'm looking for the show called The Origin of the Milky Way,I'M LOOKING FOR THE SHOCALLED THE ORIGIN OF THE MILKY WAY,SearchCreativeWork
1120,snips-train-11004,Get me a Johnny Cool photograph,GET ME A JOHNNY COOL PHOTOGRAPH,SearchCreativeWork
1121,snips-train-11005,Look up the Fair Warning saga,LOOK UP THE FAIR WARNING SOLDIER,SearchCreativeWork
1122,snips-train-11006,can you get me the trailer of The Multiversity ?,CAN YOU GET ME THE TRAILER OF THE MOLTIVERSITY,SearchCreativeWork
1123,snips-train-11007,show creative album Heredity,SHIN CREATIVE ALBUM HEREDITY,SearchCreativeWork
1124,snips-train-11008,"Can you find me the work, Frisbee The Life and Death of a Hippie Preacher ?",CAN YOU FIND ME THE WORK FRISBE THE LIFE AND DEATH OF THE HIPPY PREACHER,SearchCreativeWork
1125,snips-train-11009,search for the painting Smart Money,SEARCH FOR THE PAINTING SMARD MONEY,SearchCreativeWork
1126,snips-train-1101,Add this album to sheri's playlist journey,ADD THIS ALBUM TO SHERY'S PLAYLESS JOURNEY,AddToPlaylist
1127,snips-train-11010,Please look up the Falls Church News-Press album .,PLEASE LOOK UP THE FALSE CHURCH NUS PRESSALBLE,SearchCreativeWork
1128,snips-train-11011,Look for the Girl in Mirror movie,YEK FOR THE GROING A MUROL NEVY,SearchCreativeWork
1129,snips-train-11012,What is the TV show Comfort ?,WHAT IS THE TV SHOW COMFORT,SearchCreativeWork
1130,snips-train-11013,search for television show Windows Live TV,SEARCH FOR TELLAVISION SHOW WINDOWS LIVE K V,SearchCreativeWork
1131,snips-train-11014,I want to watch the TV show Tales from Space About a Blob,I WANT TO WATCH YOU T V SHOE TALS FROM SPACE ABOUT TOBOP,SearchCreativeWork
1132,snips-train-11015,Play me the soundtrack for Nothing Personal .,PLAY ME THE SOUND TRACK FOR NOTHING PERSONAL,SearchCreativeWork
1133,snips-train-11016,Find Beavis and Butt-head,FINE BEAVERS AND BOTHEAD,SearchCreativeWork
1134,snips-train-11017,I want to see the trailer for No One,I WANT TO SEE THE TRAILER FOR NO ONE,SearchCreativeWork
1135,snips-train-11018,Find Reverence for me,FIND REVERENCE FOR ME,SearchCreativeWork
1136,snips-train-11019,Show me the Caribbean Blue television show,SHOW ME THE CALIBIAN BLUE TALIVISION SHOW,SearchCreativeWork
1137,snips-train-1102,add adele onto funtime activity playlist,ADDED ONON TO FONTINE ACTIVITY PLAALIST,AddToPlaylist
1138,snips-train-11020,Show The Kindness of Women picture,SHOW THE KINDNESS OF WOMEN PICTURE,SearchCreativeWork
1139,snips-train-11021,Find Family Feud novel,FINE FAMILY FEWD NOVEL,SearchCreativeWork
1140,snips-train-11022,Look up the Rock the Blind photograph,LOOK AT THE WAK E BLIND PHATOGRAPH,SearchCreativeWork
1141,snips-train-11023,Go to BioRuby,GO TO BYN RUBY,SearchCreativeWork
1142,snips-train-11024,Please search the Irv Gotti Presents The Murderers picture .,PLEASE SEARCH THE OF GOD E PRESENTS THE MORDOOUS PICTURE,SearchCreativeWork
1143,snips-train-11025,find a saga called Shame on You,FIND A SANG RECALLED SHAME ON YOU,SearchCreativeWork
1144,snips-train-11026,I'm looking for you to get me Jack of Shadows .,I'M LOOKING FOR YOU TO GET ME JACK OF SHADOWS,SearchCreativeWork
1145,snips-train-11027,I want to view the picture In Old Monterey .,I WANT TO VIEW THE PICTURE IN OLD MOCKERY,SearchCreativeWork
1146,snips-train-11028,Find a show called Star Trek Starfleet Academy Starship Bridge Simulator .,FIND A SHOARE CALLED STARTRACK STAR FLEET TO CADEMY STARSHIP A BRIDGE SIMULATOR,SearchCreativeWork
1147,snips-train-11029,Where to buy Unarchigal,WER TO BUY ON ARCHIGLE,SearchCreativeWork
1148,snips-train-1103,add dark days in paradise to my gym playlist,HAD DARK DAYS AND PARADISE TO MY JIM PLAYLIST,AddToPlaylist
1149,snips-train-11030,Show me the trailer A Self Made Hero,SHOW ME THE TRAIL A RAY SELF MADE HERO,SearchCreativeWork
1150,snips-train-11031,"I want to see the book , The Mailroom Hollywood History from the Bottom Up",I WANT TO SEE THE BOOK THE MILLN HOW HE WOULD HISTORY FROM THE BOTTOM UP,SearchCreativeWork
1151,snips-train-11032,Find a song called In Your Eyes .,FIND OF SONG COLDIN RISE,SearchCreativeWork
