,train_index,train_sentence,raveena_sentence,train_label
3260,snips-train-12931,What is the movie schedule for animated movies in the area,WHAT IS THE MOVIE SHEDU FOR ANIMATED MOVIES IN THE AREA,SearchScreeningEvent
3261,snips-train-12932,What time is The Toll of the Sea playing,WHAT TIME IS THE TOL OF THE SEA PLAIN,SearchScreeningEvent
3262,snips-train-12933,Find the schedule for Brick .,FIND THE SHADEW FOR BRICK,SearchScreeningEvent
3263,snips-train-12934,find Cinemark Theatres with films,FINE CENIMO THEATRES WITH FILMS,SearchScreeningEvent
3264,snips-train-12935,what movie is playing at Showcase Cinemas,WHAT MOVI IS PLAYING AND CHOKI SENAMARS,SearchScreeningEvent
3265,snips-train-12936,What times is the 7 Faces of Dr. Lao showing at United Paramount Theatres,WHAT TIMES IS THE SEVEN FACES OF DOCTOR LAUSHOWING AT UNITED PARAMONT THEATRES,SearchScreeningEvent
3266,snips-train-12937,find The Terror Within,FIND THE PERAL WITHIN,SearchScreeningEvent
3267,snips-train-12938,What are the movie times for the Marcus Corporation,WHAT ARE THE MOVI TIMES FOR THE MOCKES CORPERATION,SearchScreeningEvent
3268,snips-train-12939,where is Wild America showing at zero P.M.,WHEREIS WHILE AMERICA SHOWING AT ZERO P M,SearchScreeningEvent
3269,snips-train-1294,add kurious jorge to my synth pop,ABCURIOUS HO HE TO MY CINT POP,AddToPlaylist
3270,snips-train-12940,What are the movie times for films nearby ?,WHAT ARE THE MOVI TIMES ULFILMS NEARBY,SearchScreeningEvent
3271,snips-train-12941,When can I watch Prince Daewon at movie house ?,WHEN CAN I WATCH PRINCE STAY ONE AT MOVIE HOUSE,SearchScreeningEvent
3272,snips-train-12942,find Set the Thames on Fire for seventeen,FINE SET THE TAMS ON FILE FOR SEVENTEEN,SearchScreeningEvent
3273,snips-train-12943,What cinema is playing The Edge,WHAT SONEMA IS PLAYING THE EDGE,SearchScreeningEvent
3274,snips-train-12944,What time is Southern Theatres showing Ukraine Is Not a Brothel ?,WHAT TIME IS SOUTHERN HERTOIS SHOWING EW CRANE AS NOT A BROTTLE,SearchScreeningEvent
3275,snips-train-12945,I want to see movie times at Neighborhood Cinema Group .,I WANT TO SEE MOVI TIMES AT NEIGHBORHOODS SINAMORE GROUP,SearchScreeningEvent
3276,snips-train-12946,What animated movies are playing at KB Theatres,WHAT ANIMATED MOUVIES ARE PLAYING AT CABETHEATRES,SearchScreeningEvent
3277,snips-train-12947,what films are playing at the closest movie house,WHAT FILMS ARE PLAYING AT THE CLOSEST MMOVIE HOUSE,SearchScreeningEvent
3278,snips-train-12948,Is Fighting With Buffalo Bill playing at the closest movie house,IS FIGHTING WITH BUFFALO BILL PLAYING AT THE CLOSEST MOVIE HOUSE,SearchScreeningEvent
3279,snips-train-12949,When are the movie schedules,WHEN ARE THE MOVISHADULES,SearchScreeningEvent
3280,snips-train-1295,Include Kunnon syy in my Trap Land playlist.,INCLUDE CUNONSI IN MY TRAPLAND PLAILEST,AddToPlaylist
3281,snips-train-12950,what movie theatre is showing If the Huns Came to Melbourne,WHAT MOVI THETR IS SHOWING IF THE HANDS CAME TO MELBURN,SearchScreeningEvent
3282,snips-train-12951,Find the schedule for The Kentuckians .,FIND THE SHADULE FOR THE KINTUCKIANS,SearchScreeningEvent
3283,snips-train-12952,find movie schedules for AMC Theaters,FINE MOVI CHADULES FFOR EAN SETEATRES,SearchScreeningEvent
3284,snips-train-12953,what's the closest movie house showing The Hard Way,WARDS THE CLOSEST MOVI HOUSE SHOWING THE HARD WAY,SearchScreeningEvent
3285,snips-train-12954,what movies are showing nearby,WHAT MOVIES ARE SHOWING NEARBY,SearchScreeningEvent
3286,snips-train-12955,What time is Between Tears and Smiles playing,WHAT TIME IS BETWEEN TEARS AND SMILES PLAYING,SearchScreeningEvent
3287,snips-train-12956,I'd like to watch The Holy Office at Cooper Foundation,I'D LIKE TO WATCH THE HOLY OFFICE AT COOPER FOUNDATION,SearchScreeningEvent
3288,snips-train-12957,What time is Death Nurse showing,WHAT TIME IS DEADNURS SHOWING,SearchScreeningEvent
3289,snips-train-12958,When is The Pirate Fairy playing at AMC Theaters ?,WHEN IS THE PIRATE FERY PLAIN ATIAN SETETOS,SearchScreeningEvent
3290,snips-train-12959,what time is The Eddy Duchin Story playing,WHAT TIME IS THE EDDI DUCHON STORY PLAIN,SearchScreeningEvent
3291,snips-train-1296,Add lari white song to my Soulful Disco playlist,AD LARRI WHITE SON TO MY SOUL FOR DISCO PLALIST,AddToPlaylist
3292,snips-train-12960,Where is The Beach of Lost Children playing,WHERE IS THE BEACH OF LOST CHILDREN PLAIN,SearchScreeningEvent
3293,snips-train-12961,Find movie schedules for movies in the area .,FINE MOVIE CHABULES FOR MOVIES IN THE AREA,SearchScreeningEvent
3294,snips-train-12962,is The Slut playing at 0727 A.M. at Harkins Theatres,IS THE SLOGT PLAYING AT ZERO SEVEN TWO SEVEN A M AT HARKINS THEATRES,SearchScreeningEvent
3295,snips-train-12963,Show me movie times,SHOW ME MOVE TIMES,SearchScreeningEvent
3296,snips-train-12964,what's the closest movie house showing animated movies,WAS THE CLOSEST MOVIE HOUSE SHOWING ANIMATED MOURIES,SearchScreeningEvent
3297,snips-train-12965,What time is Murph the Surf playing,WHAT TIME IS MOVE TE SERVE PLAIN,SearchScreeningEvent
3298,snips-train-12966,Please shoe me the movie schedule for today.,PLEASE SHOW ME THE MOVI SHADOU FOR TO DAY,SearchScreeningEvent
3299,snips-train-12967,What time are the animated movies playing at Mann Theatres ?,WHAT TIME ARE THE ANIMATED MOVIES PLAYING ATMENTHEATRES,SearchScreeningEvent
3300,snips-train-12968,What movies are playing at the closest movie theatre,WHAT MOVIES ARE PLAYING AT THE CLOSEST MOVI THEDER,SearchScreeningEvent
3301,snips-train-12969,Find a movie schedule for 12 hours from now .,FIND A MOVY SHADEW FOR TWELVE HOURS FROM NOW,SearchScreeningEvent
3302,snips-train-1297,put this tune by ross the boss onto nação reggae,PUT THES TENE BY ROSS THE BOS ONTENASAL RAGGI,AddToPlaylist
3303,snips-train-12970,Is Liberator playing at the IMAX Corporation at 11 ?,HIS LIBERATO PLAYING AT THE IMAX COPERATION AT ELEVEN,SearchScreeningEvent
3304,snips-train-12971,what animated movies are playing at Fox Theatres,WHAT ANIMATED MOVIES ARE PLAYING AT FOX TAITERS,SearchScreeningEvent
3305,snips-train-12972,Give ma list of films at Harkins Theatres,GIVE MALLEST OF FILMS AT HARKINS THEATRES,SearchScreeningEvent
3306,snips-train-12973,When is Robotix playing?,WHEN IS RHOUBOTIC SPLAIN,SearchScreeningEvent
3307,snips-train-12974,Showtimes for animated movies fro Goodrich Quality Theaters .,SHORE TIMES FOR ANIMATED MOVIES FROGUDRICH QUALITY TEATERS,SearchScreeningEvent
3308,snips-train-12975,find a movie schedule in the neighborhood for films,FIND A MOOVY SHEGELIN THE NEIGHBORHOOD FOR FILMS,SearchScreeningEvent
3309,snips-train-12976,Show movie times and movies in the area,SHOW MOVE TIMES AND MOVIES IN THE AREA,SearchScreeningEvent
3310,snips-train-12977,Is The Johnstown Flood playing,IS DE JOHNSTOWN FLOOD PLAYING,SearchScreeningEvent
3311,snips-train-12978,What are the movie schedules for films in the area ?,WHAT ARE THE MOVY SHABUS FORFILMS IN THE AREA,SearchScreeningEvent
3312,snips-train-12979,I'd like to watch Heartbreak at Pacific Theatres at two pm,I'D LIKE TO WATCH HEART BRICK AT PACIFOCTAATRE'S AT TWO P M,SearchScreeningEvent
3313,snips-train-1298,add tune to punk español,AD DUNE TO PONCRES PANIOL,AddToPlaylist
3314,snips-train-12980,When can I see The Crew of the Dora,WHEN CAN I SEE THE CREW OF THE DORA,SearchScreeningEvent
3315,snips-train-12981,where can i watch Wartime Romance in the morning,WEC AN I WATCH FORTIME ROMANCE IN THE MORNING,SearchScreeningEvent
3316,snips-train-12982,what time is Mulawin The Movie showing at the nearest movie house,WHAT TIME IS MELOWING THE MOVIE SHOWING AT THE NEAREST MOVIE HOUSE,SearchScreeningEvent
3317,snips-train-12983,Find movie schedules for close by films .,FINE MOVY SHADULS FOR CLOSE BY FILMS,SearchScreeningEvent
3318,snips-train-12984,find movie schedule in Pacific Theatres,FINE MOVI SHEGULIN PACIFOCTHEATRES,SearchScreeningEvent
3319,snips-train-12985,What animated movies are on the movie schedule close by ?,WHAT ANIMATED MOVIES ARE ON THE MOVIE SHEDO CLOSE BY,SearchScreeningEvent
3320,snips-train-12986,What is the nearest cinema playing The Oak,WHAT IS THE NEAREST CENAMAR PLAYING THE OAK,SearchScreeningEvent
3321,snips-train-12987,I'd like to watch Sherlock Holmes à New York at KB Theatres,I'D LIKE TO WATCH SHERLOCK HOLMBES ON NEW YORK AT GA B TEATRE'S,SearchScreeningEvent
3322,snips-train-12988,For the Star Theatres is The Belles of St. Clements playing in 8 minutes,FOR THE STAR TEATERS IS THE BELLS OF SAINT CLEMENTS PLAYING IN EIGHT MINUTES,SearchScreeningEvent
3323,snips-train-12989,what time can i see The Half Naked Truth,WHAT TIME CAN I SEE THE HALF NAKED TRUTH,SearchScreeningEvent
3324,snips-train-1299,Please include Emily Remler in Indie Bluegrass,PLEASE INCLUDE THEMILIREMLER AND INTHE BLUE GROSS,AddToPlaylist
3325,snips-train-12990,Can i get the showtimes for movies around here ?,CAN I GET THE SHOR TIMES FFOR MOVIES AROUND HERE,SearchScreeningEvent
3326,snips-train-12991,what time is The Graduate showing at Caribbean Cinemas,WHAT TIME IS THE GRADUATE SHOWING AT CARIBIAN CINIMARS,SearchScreeningEvent
3327,snips-train-12992,When can I catch a screening of Shivers in Summer ?,WHEN CAN I CATCH A SCREENING OF SHIVERS IN SUMMER,SearchScreeningEvent
3328,snips-train-12993,What time is High Spirits playing?,WHAT TIME IS HIGH SPIRITS PLAIN,SearchScreeningEvent
3329,snips-train-12994,What cinema is playing Great Guy,WHATSINEMA IS PLAIN GREED GAY,SearchScreeningEvent
3330,snips-train-12995,find The Watcher at United Paramount Theatres,FIND THE WATCHER AT UNITED PARAMONT PEETES,SearchScreeningEvent
3331,snips-train-12996,What are the movie schedules for any animated movies playing in the neighbourhood ?,WHAT ARE THE MOVIE CHEDULES FOR ANY ANIMATED MOVIES PLAYING IN THE NEIGHBOURHOOD,SearchScreeningEvent
3332,snips-train-12997,I'd like to see Forgetting the Girl .,I'D LIKE TO SEE FORGETTING THE GIRL,SearchScreeningEvent
3333,snips-train-12998,show me the movie schedule,SHOW ME THE MOUVI CHEBU,SearchScreeningEvent
3334,snips-train-12999,find a movie schedule,FIND MOVI SHEDU,SearchScreeningEvent
3335,snips-train-13,add megon mcdonough indie songs for slackers to my playlist artist,AD MAGUN MC DONNA IN THESE SONGS FOR SLACKERS TO MY PLAILEST ARTEST,AddToPlaylist
3336,snips-train-130,add pangaea to my Gold Edition playlist,AD PANGYE TO MY GOLD ADDITION PLAYLIST,AddToPlaylist
3337,snips-train-1300,Add Metal Gear Solid 2 Sons of Liberty Soundtrack 2 The Other Side to edna st vincent millay,AD METALGARE SOLID TO SONS OF LIBERTY SOUND TRACK TO THE OTHER SIDE TO ADNOR SAINT VINCENT MILA,AddToPlaylist
3338,snips-train-13000,Show me movie times for one minute from now,SHOW ME MOVY TIMES FOR ONE MINUTE FROM NOW,SearchScreeningEvent
3339,snips-train-13001,Find movie schedules for Bow Tie Cinemas .,FINE MOVY SHADULES FOR BOAD DIES AND MARS,SearchScreeningEvent
3340,snips-train-13002,What time is The Night Before the Premiere playing at the movie house,WHAT TIME IS THE NIGHT BEFORE THE PRIMIRY PLAYING AT THE MOVIE HOUSE,SearchScreeningEvent
3341,snips-train-13003,What is the movie schedule,WHAT IS THE MOVISHEDO,SearchScreeningEvent
3342,snips-train-13004,List movie schedule .,LIST MOVI SHEBU,SearchScreeningEvent
3343,snips-train-13005,Which animated movies are playing in the neighbourhood and when?,WHICH ANIMATED MOVIES ARE PLAYING IN THE NEIGHBOURHOOD AND WHEN,SearchScreeningEvent
3344,snips-train-13006,is Dishyum at the cinema,IS THE SHU MATE CINIMA,SearchScreeningEvent
3345,snips-train-13007,i want to watch Mister Cool,I WANT TO WATCH MISTER COOL,SearchScreeningEvent
3346,snips-train-13008,Find me The Age for Love playing at the closest movie house .,FIND ME THE AGE FOR LOVE PLAYING AT THE CLOSEST MOVIE HOUSE,SearchScreeningEvent
3347,snips-train-13009,Where can I get movie schedule,WHERE CAN I GET MOVISHEBOU,SearchScreeningEvent
3348,snips-train-1301,for my té para tres list add cut the world,FOR MIGHT APARATRESLISTAD CUT THE WORLD,AddToPlaylist
3349,snips-train-13010,What movies are playing one hour from now at Cooper Foundation ?,WHAT MOVIS ARE PLAYING ONE HOUR FROM NOW AT COOPER FOUNDATION,SearchScreeningEvent
3350,snips-train-13011,find Kebab Connection,FINE COBOB CONNECTION,SearchScreeningEvent
3351,snips-train-13012,What animated movies are at the closest movie theatre,WHAT ANIMATED MOVIES ARE AT THE CLOSEST MOVI THEATR,SearchScreeningEvent
3352,snips-train-13013,Tell me what movies are at AMC Theatres .,TELL ME WHAT MOVIS AR ATIEN SITHEATRS,SearchScreeningEvent
3353,snips-train-13014,Is Judgment Day The John List Story playing at Megaplex Theatres ?,IS JUDGMENT DE THE JAUNLIST STORY PLAYING AT MEGOPLEX THEATRES,SearchScreeningEvent
3354,snips-train-13015,Give me the movie schedules for National Amusements .,GIVE ME THE MOVY CHADULES FOR NATIONAL AMUSEMENTS,SearchScreeningEvent
3355,snips-train-13016,When and where can I watch National Priority ?,WHEN AND WHERE CAN I WATCH NATIONAL PREORITY,SearchScreeningEvent
3356,snips-train-13017,Find the schedule for The Solitude of Prime Numbers at the nearest cinema in 1 hour .,FIND THE SHADEW FOR THE SOLITUDE OF PRIME NUMBERS AT THE NEAREST CINAMA IN ONE HOUR,SearchScreeningEvent
3357,snips-train-13018,I'd like to watch movies now right nearby,I'D LIKE TO WATCH MOVIES NOW RIGHT NEARBY,SearchScreeningEvent
3358,snips-train-13019,What is the nearest movie theatre playing Kate y Leopold ?,WHAT IS THE NEARDEST MOVIED HEAT OF PLAYING CATE LEOPOLD,SearchScreeningEvent
3359,snips-train-1302,Add album to princesas indie,ADD ALBUM TO PRINCESSES INDI,AddToPlaylist
3360,snips-train-13020,showtimes for the closest movie theatre that is showing Operation Autumn,SHORE TIMES FOR THE CLOSEST MOVED HERTE THAT SHOWING OPERATION AUTOMN,SearchScreeningEvent
3361,snips-train-13021,what movie house is showing Sherlock Holmes and the Secret Weapon,WHAT MOVIE HOUSE IS SHOWING SHIRLOC CHOMES AND THE SECRET WEAPON,SearchScreeningEvent
3362,snips-train-13022,What's the closest movie theatre that's showing Dough Nuts ?,WARDS THE CLOSEST MOVE IT HITER THAT'S SHOWING DOUGH NOTS,SearchScreeningEvent
3363,snips-train-13023,What time does the next movie play around here,WHAT TIME DOES THE NEXT MOVIE PLAYR ROUND HERE,SearchScreeningEvent
3364,snips-train-13024,Find time for All About Hash,FIND DIME FOR ALL ABOUT HASH,SearchScreeningEvent
3365,snips-train-13025,Find the schedule for A Kiss Before Dying .,FIND THE SHADU FOR A KISS BEFORE DYING,SearchScreeningEvent
3366,snips-train-13026,Show me the movie schedule,SHOW ME THE MOUVI CHEBU,SearchScreeningEvent
3367,snips-train-13027,what theaters are showing A Lonely Place to Die – Todesfalle Highlands starting at 1440,WHAT THEATRES ARE SHOWING A LONELY PLACE TO DIE TO RISH FARRY HIGHLANDS STARTING AT ONE THOUSAND FOUL HUNDRED FORTY,SearchScreeningEvent
3368,snips-train-13028,give me the movie schedule at Santikos Theatres,GIVE ME THE MOVICHADU LATS ON TICOS TETRES,SearchScreeningEvent
3369,snips-train-13029,What films and movie times are close by,WHAT FILMS AND MOVI TIMES ARE CLOSE BY,SearchScreeningEvent
3370,snips-train-1303,add song to Sleepytime,ADD SONG TO SLEEPY TIME,AddToPlaylist
3371,snips-train-13030,What films are playing at 1 PM at Showcase Cinemas,WHAT FILMS ARE PLAYING AT ONE PE A MAT SHOKY CINAMARS,SearchScreeningEvent
3372,snips-train-13031,What is the movie schedule for today?,WHAT IS THE MOVI SHEDYOU FOR TO DAY,SearchScreeningEvent
3373,snips-train-13032,What's the movie schedule for films in the neighbourhood,WHAT'S THE MOVI SHADOU FULFILMS IN THE NEIGHBORHOOD,SearchScreeningEvent
3374,snips-train-13033,what animated movies are showing in the neighborhood,WHAT ANIMATED MOVIES ARE SHOWING IN THE NEIGHBOURHOOD,SearchScreeningEvent
3375,snips-train-13034,What time is Cold Prey 3 playing at cinema,WHAT TIMIS COLD PRA TRY PLAYING AT SENEMA,SearchScreeningEvent
3376,snips-train-13035,find Plitt Theatres now showing Poverty and Nobility,FIND PLIT THEATRES NOW SHOWING POVERTY AND NOBILITY,SearchScreeningEvent
3377,snips-train-13036,What time is Last Exit to Brooklyn playing at movie house ?,WHAT TIME IS LAST EXIT TO BROKEN PLAYING AT MOVI HOUSE,SearchScreeningEvent
3378,snips-train-13037,Find the schedule for for The Day of the Jackal at Pacific Theatres .,FIND THE SHADE FOR FOR THE DAY OF THE JACOLADE PACIFECTHEATRES,SearchScreeningEvent
3379,snips-train-13038,what time is Achilles and the Tortoise showing,WHAT TIME IS ACHILLES AND THE TORTISE SHOWING,SearchScreeningEvent
3380,snips-train-13039,Find movie schedules for movies around here at nineteen o'clock .,FINE MOVI SHADULS FOR MOVIES AROUND HERE AT NINETEEN O'CLOCK,SearchScreeningEvent
3381,snips-train-1304,Add a track to my classical feast playlist.,ID ATTRACT TO MY CLASSICL FEAST PLALIST,AddToPlaylist
3382,snips-train-13040,Can I get the movie schedules for Marcus Corporation .,CAN I GET THE MOOVY SHADULES FOR MACCES CORPERATION,SearchScreeningEvent
3383,snips-train-13041,is The Singing Nun at Regal Entertainment Group,IS THE SINGING NUN AT REGAL ENTERTAINMENT GROUP,SearchScreeningEvent
3384,snips-train-13042,What movies are playing Dickinson Theatres,WHAT MOVIES ARE PLAYING DICKENSON TETERS,SearchScreeningEvent
3385,snips-train-13043,What movie theatre is playing Sherlock Holmes and Dr. Watson fifteen hours and one minute from now,WHAT MOVI TETTER IS PLAYING SHERLOCK HOMES AND DOCTOR WATSON FIFTEEN HOURS AND ONE MINUTE FROM NOW,SearchScreeningEvent
3386,snips-train-13044,what's the closest movie house showing Night in May,WHAT'S THE CLOSEST MOVIE HOUSE SHOWING NIGHT IN MAY,SearchScreeningEvent
3387,snips-train-13045,What is the nearest movie theatre showing Ocean’s 13 ?,WHAT IS THE NEAREST MOVI TATOR SHOWING OCEANS TAR BEEN,SearchScreeningEvent
3388,snips-train-13046,what's the closest movie house showing The Legend of Ben Hall,WARDS THE CLOSEST MOVING HOUSE SHOWING THE LEGEND OF BEN HALL,SearchScreeningEvent
3389,snips-train-13047,show me movies in the area,SHOW ME MOVIES IN THE AREA,SearchScreeningEvent
3390,snips-train-13048,What time is The Daring Dobermans playing,WHAT TIME IS THE DARING DOBEMEN'S PLAYING,SearchScreeningEvent
3391,snips-train-13049,what is the nearest movie house showing animated movies,WHAT IS THE NEAREST MOVIE HOUSE SHOWING ANIMATED MOVIES,SearchScreeningEvent
3392,snips-train-1305,add Michael LePond to electronic bliss,ADD MICHAEL LAPON TO ELECTRONIC BLISS,AddToPlaylist
3393,snips-train-13050,Find the schedule for for Corn at eleven A.M. at Loews Cineplex Entertainment .,FIND THE SHADU FOR FOCORNAT ELEVEN AM AT LOW SINOPLEX ENTERTAINMENT,SearchScreeningEvent
3394,snips-train-13051,What is the nearest cinema playing The Hour of Temptation,WHAT IS THE NEAREST SYNAMAR PLAYING THE HOUR OF TEMPTATION,SearchScreeningEvent
3395,snips-train-13052,What is the nearest movie theatre playing The Collaborators,WHAT IS THE NEAREST MOVI ATO PLAYING THE COLLABORATORS,SearchScreeningEvent
3396,snips-train-13053,find Fox Theatres with The Caretaker,FINE FOX THEATRES WIT THE CAIR DAKER,SearchScreeningEvent
3397,snips-train-13054,find the nearest movie theatre with The Witness Chair,FIND THE NEAREST MOVI TETO WITH THE WITNESS CHAIR,SearchScreeningEvent
3398,snips-train-13055,Find me the showtimes for How to Commit Marriage .,FIND ME THE SHORT TIMES FOR HOW TO COMMIT MARRIAGE,SearchScreeningEvent
3399,snips-train-13056,Find a movie schedule .,FIND MOVI SHEDU,SearchScreeningEvent
3400,snips-train-13057,Find time for films at the nearest movie theatre,FINE TIME FOR FILMS AT THE NEAREST MOVI THEATRE,SearchScreeningEvent
3401,snips-train-13058,What animated movies are showing in the neighborhood,WHAT ANIMATED MOVIES ARE SHOWING IN THE NEIGHBOURHOOD,SearchScreeningEvent
3402,snips-train-13059,Where is Priorities on Parade playing,WHERE IS PRIORITY IS ON PRAT PLAIN,SearchScreeningEvent
3403,snips-train-1306,Add a billy strayhorn song to my the selektor playlist,AT A BILLY STRIHON SONG TO MY THE SELECTOR PLAYLIST,AddToPlaylist
3404,snips-train-13060,Is Green Grass Widows playing at the cinema,IS GREEN GRASS WIDOWS PLAYING AT THE CINEMA,SearchScreeningEvent
3405,snips-train-13061,find The Swindlers at the closest movie house,FIND THE SWINDLERS AT THE CLOSEST MOVIE HOUSE,SearchScreeningEvent
3406,snips-train-13062,What time is In the Crosswind playing at Marcus Corporation ?,WHAT TIME IS IN THE CROSS WHEN PLAYING AT MARCES CORPERATION,SearchScreeningEvent
3407,snips-train-13063,When will The Honor of an Outlaw be showing?,WHEN WILL THE HONOR OF AN OUTLAW BE SHOWING,SearchScreeningEvent
3408,snips-train-13064,Find movie times for movies in the neighbourhood .,FIND MOVIE TIMES FOR MOVIES IN THE NEIGHBOURHOOD,SearchScreeningEvent
3409,snips-train-13065,show movie schedules,SHOW MOVI TRIBULES,SearchScreeningEvent
3410,snips-train-13066,Please provide me with movie schedules .,PLEASE PROVIDE ME WITH MOUVICHADULS,SearchScreeningEvent
3411,snips-train-13067,find Worldly Goods starting now at a movie house,FINE WORLDLY GOOD STARTING NOW AT A MOVIE HOUSE,SearchScreeningEvent
3412,snips-train-13068,What time is The Brat playing at the movie house ?,WHAT TIME IS THE BRAD PLAYING AT THE MOVIE HOUSE,SearchScreeningEvent
3413,snips-train-13069,Find movie schedules .,FINE MOVI SHIBULES,SearchScreeningEvent
3414,snips-train-1307,add als het om de liefde gaat to my this is handel playlist,ADDE ALAS HAT ONDE LIF DE GOD TO MY DISSES HANDLE PLAYLIST,AddToPlaylist
3415,snips-train-13070,Show movie times of movies in the neighbourhood,SHOW MOVI TIMES OF MOVIES IN THE NEIGHBOURHOOD,SearchScreeningEvent
3416,snips-train-13071,What films and movie schedule are in the area,WHAT FILMS AND MOVI SHADULA IN THE AREA,SearchScreeningEvent
3417,snips-train-13072,Find animated movies at Landmark Theatres at dinner time.,FIND ANIMATED MOVIES AT LAND MARK TITTERS AT DINNER TIME,SearchScreeningEvent
3418,snips-train-13073,Can I get the showtimes for The Man Who Could Talk to Kids ?,CAN I GET THE SHOW TIMES FOR THE MAN WHO COULD TALK TO KIDS,SearchScreeningEvent
3419,snips-train-13074,show the movie schedule,SHOW THE MOUVI CHEBULE,SearchScreeningEvent
3420,snips-train-13075,What are the movie schedules at ArcLight Hollywood,WHAT ARE THE MOOVY SHADELS AT ARK LIGHT HOLLYWOOD,SearchScreeningEvent
3421,snips-train-13076,Which movies are playing at B&B Theatres at 2 pm ?,WHICH MOVIES ARE PLAYING AT BE AND BE THEATRES AT TWO P M,SearchScreeningEvent
3422,snips-train-13077,Tell me what animated movies I can see at the closest movie theatre,TELL ME WHAT ANIMATED MOVIES I CAN SEE AT THE CLOSEST MOVI THEATR,SearchScreeningEvent
3423,snips-train-13078,find National Amusements showing The Sea Is Behind,FINE NATIONAL AMUSEMENTS SHOWING THE SE IRS BEHIND,SearchScreeningEvent
3424,snips-train-13079,find a Consolidated Theatres showing The Good Old Naughty Days,FIND THE CONSOLIDATED THEATRES SHOWING THE GOOD OLD NAUGHTY DAYS,SearchScreeningEvent
3425,snips-train-1308,Go to cali fire and add refrain to my playlist,GO TO COLLE FIRE AND ADD REFRAIN TO MY PLAILEST,AddToPlaylist
3426,snips-train-13080,where can i see animated movies in the neighborhood,WHERE KIN I SEE ANIMATED MOVIES IN THE NEIGHBOURHOOD,SearchScreeningEvent
3427,snips-train-13081,Showtimes for animated movies in the area .,SHORE TIMES FORANIMATED MOVIES IN THE AREA,SearchScreeningEvent
3428,snips-train-13082,Which animated movies are playing at Megaplex Theatres at tea time?,WHICH ANIMATED MOVIES ARE PLAYING AT MEGIPLEX THEATRES AT THE TIME,SearchScreeningEvent
3429,snips-train-13083,What movie schedules start at sunset ?,WHAT MOVY SHADEWS START AT SUNSET,SearchScreeningEvent
3430,snips-train-1309,add Paul Franklin to my The Bachelor Party,AD PAUL FRANKLIN TO MY THE BACHELOR PARTY,AddToPlaylist
3431,snips-train-131,Add album to my grandes unplugged,AD ALBUN TO MY GRAND AS UNPLUGGED,AddToPlaylist
3432,snips-train-1310,add artist to my Trance Life group,AD ARTES TO MYTRONS LIFE GROUP,AddToPlaylist
3433,snips-train-1311,add album to mellow bars,AD ALBUN TE MELLOW BARS,AddToPlaylist
3434,snips-train-1312,Add Scarred to my This Is Zezé Di Camargo & Luciano,AD SCOTT TO MY THIS IS SESI BE CAMAGO AND UCHANO,AddToPlaylist
3435,snips-train-1313,Put Pedro Navaja onto my flamenco pa ti playlist.,PUT PEDRONA WAZAR ONTO MY FLEMENCO PARTY PLAYLIST,AddToPlaylist
3436,snips-train-1314,Add the patty patty sound to my metal talks kreator playlist,AT THE PATTY PATTY SOUND TO MY METAL TOCKS CREATOR PLAILEST,AddToPlaylist
3437,snips-train-1315,Put this song on legendary guitar solos,PUT THE SONG ON LEGEND RIGITARSOLOS,AddToPlaylist
3438,snips-train-1316,add artist abdel halim hafez to my conexiones playlist,I DARTIST HAV DOL HALIM HOFFEST TO MY CONNUXIONES PLAILEST,AddToPlaylist
3439,snips-train-1317,Add song to orgánica,ADSONG TO OUGONICA,AddToPlaylist
3440,snips-train-1318,Add daigo to indietronic,AD DIGO TO INDIATRONIC,AddToPlaylist
3441,snips-train-1319,add Funtwo to disco fever track,ADD FUN TO TO DISCO FEVER TRACK,AddToPlaylist
3442,snips-train-132,Can 50 minute technicolor dream be added to meredith's Cierra La Puerta playlist?,CAN FIFTEEN MINUTE TECHNICALOR DREAM BE ADDED TO MERITED CERA LA PORTO PLAY LIST,AddToPlaylist
3443,snips-train-1320,add the artist to my indietronic playlist,ADD THE ARTIST TO MY INDIATRONIC PLAYLIST,AddToPlaylist
3444,snips-train-1321,add git to Domingo Indie,ID GIT TO THE MINGL IN THE,AddToPlaylist
3445,snips-train-1322,my indietronic playlist needs until the end of time added,MY ANDIATRONIC PLAY LIST NEEDS UNTIL THE END OF TIME ADDED,AddToPlaylist
3446,snips-train-1323,Add album to my French N' Heavy list,AD ALBUM DE MY FRIENCHAN HEAVY LIST,AddToPlaylist
3447,snips-train-1324,add to my mac 'n cheese playlist with Tsūzetsu,ADD TO MY MACKIN CHEESE PLAYLEST WITH SUSETTE SOUS,AddToPlaylist
3448,snips-train-1325,put this track on Alok House Party playlist,PUT THIS TRACK ON OUR LO COW'S BORTY PLEALEST,AddToPlaylist
3449,snips-train-1326,add Put Your Hand Inside the Puppet Head to the playlist named Lazy Chill Afternoon,AND PUT YOUR HAND INSIDE THE POPPED HEAD TO THE PLAILEST NAME LAZY CHILL AFTERNOON,AddToPlaylist
3450,snips-train-1327,Add silver apples to teh sin estrés playlist.,ADD SILVER RAPPLES TO TASINAS DRESS PLAILEST,AddToPlaylist
3451,snips-train-1328,The enamorándose playlist needs another album .,THE ENAMORANDOS PLAY LISS NEEDS ANOTHER RALBUM,AddToPlaylist
3452,snips-train-1329,Put Ron Wood in the Digster Reggae playlist.,PUT ONWOOD IN THE DIXTER REGGY PLAYLIST,AddToPlaylist
