,train_index,train_sentence,brian_sentence,train_label
1954,snips-train-11756,Can i get the movie schedule for films nearby .,CAN I GET THE MOVY SHUDGULE FOR FOAMS NEAR BY,SearchScreeningEvent
1955,snips-train-11757,where is the nearest movie theatre showing movies,WHERE IS THE NEAREST MOVING THEATOR SHOWING MOVIS,SearchScreeningEvent
1956,snips-train-11758,I want a list of films that are going to be shown in the neighborhood .,I WANT A LIST OF FOAMS THAT ARE GOING TO BE SHOWN IN THE NEIGHBOURHOOD,SearchScreeningEvent
1957,snips-train-11759,what movies are playing at the Alamo Drafthouse Cinema,WHAT MOVIES ARE PLAYING IT THE ALUMO DRAGT HOUSE CINEMA,SearchScreeningEvent
1958,snips-train-1176,add 3 Natsu Natsu Mini Berryz to my rock classics playlist,ADD THREE KNATS TO KNATS TO MANY BERRIES TO MY ROCK CLASSICS PLAINIST,AddToPlaylist
1959,snips-train-11760,Please find the movie schedule for animated movies playing in the neighbourhood,PLEASE FIND THE MOVI SHEGUL FOR ANIMATED MOVE IS PLAYING IN THE NEIGHBORHOOD,SearchScreeningEvent
1960,snips-train-11761,Show movie schedules for Marcus Corporation,TOR MOVI SHURGINGS FOR MARCOS COPERATION,SearchScreeningEvent
1961,snips-train-11762,Give me the current showtimes for Tarass Boulba .,GIVE ME THE CURRENT SHOR TIMES FOR TARASH BOONING BAR,SearchScreeningEvent
1962,snips-train-11763,Which cinema can I go to to see Lilly the Witch The Dragon and the Magic Book ?,WHICH SENHIMER CAN I GO TO TESELILIE WHICH THE DRAGON AND THE MAGIC BOOK,SearchScreeningEvent
1963,snips-train-11764,find movie schedules for Loews Cineplex,FAME MOVISHURGES FOLYNGE SOMEPLERT,SearchScreeningEvent
1964,snips-train-11765,What time will the Amco Entertainment be plying The Teeth of the Tiger,WHAT TIME WILL THE AMCHER ENTERTAINMENT BE PLYING THE CEETH OF THE TIGER,SearchScreeningEvent
1965,snips-train-11766,Go to movie times at IMAX Corporation,GO TO MOVE E TIMES THE TIME MAC CORPORATION,SearchScreeningEvent
1966,snips-train-11767,Where can I watch The Sword of Ali Baba at two p.m. ?,WHERE CAN I WATCH THE SCENE F TO VARLEY BARBA TO P M,SearchScreeningEvent
1967,snips-train-11768,I'd like to watch Mission to Mir,I'D LIKE TO WATCH MISSION TO MEE,SearchScreeningEvent
1968,snips-train-11769,I want to know the films playing at the closest movie house .,I WANT TO KNOW THE FILMS PLAYING AT THE CLOSEST MOVIE HOUSE,SearchScreeningEvent
1969,snips-train-1177,put jtr on the Top Classical playlist,POT JKE AR ON THE TOP CLASSICAL PLANIST,AddToPlaylist
1970,snips-train-11770,Is The Strange Case of the End of Civilization as We Know It playing at the movie theatre,IS THE STRANGE CASE OF THE END OF CIVILIZATION AS WE KNOW IT PLAYING AT THE MOVIE THEATRE,SearchScreeningEvent
1971,snips-train-11771,What time is My Son Shall Be Armenian playing at Plitt Theatres,WHAT TIME IS MY SON SHALL BE ARMEMY AN PLAYING AT PLAT THEATRES,SearchScreeningEvent
1972,snips-train-11772,Please tell me what the movie schedule looks like for the AMC Theatres in twenty one hours,PLEASE TELL ME WHAT THE MOOVY SHEDGUL LOOKS LIKE FOR THE M C THEATRES IN TWENTY ONE HOURS,SearchScreeningEvent
1973,snips-train-11773,is The Sleeping Beauty playing at 8 A.M. at Cobb Theatres,IS THE SLEEPING BEAUTY PLAYING AT EH A M AT COMP THEATRES,SearchScreeningEvent
1974,snips-train-11774,Find the movie schedule for animated movies in the neighbourhood .,FIND THE MOVI SHEGULE FOR ANIMORATED MOVIES IN THE NEIGHBORHOOD,SearchScreeningEvent
1975,snips-train-11775,Whats the closest cinema that shows movies at 12 A.M.,WATCH THE CLOSEST SYNOM OF THE CHOS MOVIES AT TWELVE A M,SearchScreeningEvent
1976,snips-train-11776,What time is Balkan Rhapsodies 78 Measures of War playing at Malco Theatres ?,YEIR TIME IS BEING CONRUPTED YS SEVENTY EIGHT MEASURES OF LINK PLAYING AT MILCROTHEATRES,SearchScreeningEvent
1977,snips-train-11777,Where is the closest cinema playing Soapsuds and Sapheads,WHERE IS THE CLOSEST SYNAMOR PLAYING SOAP SUCH AND SAPPEDS,SearchScreeningEvent
1978,snips-train-11778,Show me when Scandalous John is playing.,SUW ME ONE SCANDALOUS JOHN IS PLAYING,SearchScreeningEvent
1979,snips-train-11779,Find movie times for close by movies .,FIND MOVY TIMES FOR CORSEPA MOVES,SearchScreeningEvent
1980,snips-train-1178,Add Eef Barzelay to the Trad Folk playlist.,ADIF BARS ELATE O THE TROD FOLK PLAINLIST,AddToPlaylist
1981,snips-train-11780,What films are playing now at the closest movie house ?,YET FOAMS ARE PLAYING NOW AT THE CLOSEST MOVIE HOUSE,SearchScreeningEvent
1982,snips-train-11781,I'd like to watch Apocalypse 2024,I'D LIKE TO REACTURE POCALIPS TWENTY TWENTY FOUR,SearchScreeningEvent
1983,snips-train-11782,Is the films 19 hours from now playing at Landmark Theatres,IS THE FOAMS NINETEEN HOURS FROM NOW PLAYING AT LAND MARK THEATRES,SearchScreeningEvent
1984,snips-train-11783,"Where can I watch Portrait of a Woman, Nude in 1 hour ?",OR A CARMA WATCH PATRIT OF ANEMUN NED IN ONE HOUR,SearchScreeningEvent
1985,snips-train-11784,What time is Tasher Desh playing at the nearest movie house,WHAT TIME IS TASHADESH PLAYING AT THE NEAREST MOVIE HOUSE,SearchScreeningEvent
1986,snips-train-11785,Find the movie times for animated movies around here .,FIND THE MOVIE TIMES FOR ANIMATED MOVIES AROUND HERE,SearchScreeningEvent
1987,snips-train-11786,Find the movie schedule for animated movies in the area .,FIND THE MOVE CHEGIL FOR ANIMATED MOVINEGS IN THE AREA,SearchScreeningEvent
1988,snips-train-11787,What movies are playing nearby ?,YET MOV IJI PLAYING ME ABY,SearchScreeningEvent
1989,snips-train-11788,Where is The Toxic Avenger II playing,WHERE IS THE TALKS YHI AVENGE YOU TWO PLAYING,SearchScreeningEvent
1990,snips-train-11789,I want to see a list of local movie times .,I WANT TO SEE A LIST OF LOCAL MOVY TIMES,SearchScreeningEvent
1991,snips-train-1179,Add alexia to women of classical,I DELECT ER TO WOMEN OF CLASSICAL,AddToPlaylist
1992,snips-train-11790,When will the Blonde Ambition be playing,WHEN WILL ABLONT AMBITION BE PLAYING,SearchScreeningEvent
1993,snips-train-11791,Can you give me a local and current movie schedule,CAN YOU GIVE ME A LOCAL AND CURRENT MOVA SHEDYUL,SearchScreeningEvent
1994,snips-train-11792,Find movie times .,FIN MOVE TIMES,SearchScreeningEvent
1995,snips-train-11793,Is The Belles of St. Clements playing at Star Theatres in 8 minutes ?,IS THE BELLS OF SAINT CLARENT'S PLAYING AT STAR THEATRES IN EIGHT MINUTES,SearchScreeningEvent
1996,snips-train-11794,show me the movie schedule in the area near my home at seven AM for animated movies,SHALL ME THE MOVE ECHEGUL IN THE ARINE  MY HOME BAT SEVEN AM PHERANIMATED MOVIES,SearchScreeningEvent
1997,snips-train-11795,Show me the current movie times,SHOW ME THE CURRENT MOVI TIMES,SearchScreeningEvent
1998,snips-train-11796,What are the movie schedules,THET HATHER MOVE WE SHUD YUINGS,SearchScreeningEvent
1999,snips-train-11797,Please give me the movie schedules .,PLEASE GIVE ME THE MOVE ICHEDULS,SearchScreeningEvent
2000,snips-train-11798,Find movie times for Great Escape Theatres,FIND MOVI TIMES FOR GREATEST CAPE THEATRES,SearchScreeningEvent
2001,snips-train-11799,When is For One Night playing at Loews Cineplex Entertainment ?,WHEN IS FOR ONE NIGHT PLAYING AT LOE ANE PLEX ENTERTAINMENT,SearchScreeningEvent
2002,snips-train-118,add Split the Difference to my Women's Lit playlist,AND SPLIT THE DIFFERENCE TO MY WOMEN'S LITE PLAYLIST,AddToPlaylist
2003,snips-train-1180,add a mina caputo album to my after hours party,I DEMEANA TO PUTER ALBUN TO MY HAFTER HOUR'S PARTY,AddToPlaylist
2004,snips-train-11800,find Mann Theatres movie schedule,FIND MA'AM THEATRES MOVE SHEDYOOM,SearchScreeningEvent
2005,snips-train-11801,What movie times,WHAT MOVE TARMS,SearchScreeningEvent
2006,snips-train-11802,Can I get showtimes for films in the neighborhood .,CAM I GET  SHOW TIMES FOR FILMS IN THE NEIGHBORHOOD,SearchScreeningEvent
2007,snips-train-11803,What time will the movie house be showing On the Beat,WHAT TIME WILL THE MOVE HAUF BE SHOWING ON THE BEACH,SearchScreeningEvent
2008,snips-train-11804,find movie schedules with animated movies close by,FIVE MOVING SHEGOMS WITH UNIMATED MOVIES CLOSE BY,SearchScreeningEvent
2009,snips-train-11805,movie schedule for animated movies in the neighborhood,MOVI SHEGUM FOR ANIMATED MOVIES IN THE NEIGHBORHOOD,SearchScreeningEvent
2010,snips-train-11806,Where is the closest cinema that is playing The Honeymoon Killers,WHERE IS THE CLOSEST SYNOMER THAT IS PLAYING THE HONEYMOON KILLERS,SearchScreeningEvent
2011,snips-train-11807,what time can i see The Conflicts of Life,THAT TIME COME I SHOVE THE CONFLICT OF LIFE,SearchScreeningEvent
2012,snips-train-11808,I'm wondering if I can watch Heyy Babyy at a cinema .,I'M WONDERING IF I CAN WATCH HA BABY YO TO SENEMA,SearchScreeningEvent
2013,snips-train-11809,Show me movie times,FIRMLY MOVIN TIMES,SearchScreeningEvent
2014,snips-train-1181,put Ron Grainer on my disco fever playlist,PUTER ON GRANER ON MY DISCO PHEVER PLAMIST,AddToPlaylist
2015,snips-train-11810,Find the movie schedules for Great Escape Theatres .,FIND THE MOOVI SHERE CANGS FOR GREATEST CAPE THEATRES,SearchScreeningEvent
2016,snips-train-11811,Find time for films at the North American Cinemas,FINE TARM FOR FAMES OF THE NATH AMERICAN SINEMAGE,SearchScreeningEvent
2017,snips-train-11812,Find the schedule for Blood Orgy of the Leather Girls at a movie house .,FINE THE CHAJUN THINK LOT DONGY OF THE LEVER GIRLS AT A MOVIE HOUSE,SearchScreeningEvent
2018,snips-train-11813,i want to see Return to Yesterday,I WANT TO SEE YOU RETURN TO YESTERDAY,SearchScreeningEvent
2019,snips-train-11814,find Careless Love,FINE CARELESS NOUG,SearchScreeningEvent
2020,snips-train-11815,Tell me where I can watch Common Law Cabin,TELL ME WHERE I CAN WATCH COMUMNE CABRUN,SearchScreeningEvent
2021,snips-train-11816,What films are playing around here,YET THOME JAPLAN AROUND HERE,SearchScreeningEvent
2022,snips-train-11817,Show me the new showings for animated movies in the neighborhood,SHOW ME THE NEW SHILLINGS FOR ANIMATED MOVIES IN THE NEIGHBORHOOD,SearchScreeningEvent
2023,snips-train-11818,List films at the nearest movie house,LIST FILMS OF THE NEAREST MOVIE HOUSE,SearchScreeningEvent
2024,snips-train-11819,Need the closest movie house playing The Flamingo Rising,LEED THE CLOSEST MOVIE HOUSE PLAYING THE FLEAMIN GA RISING,SearchScreeningEvent
2025,snips-train-1182,add Sara Carter to my Nothing But A Party R&B,AD SIRRECARTER TO MY NOTHING BUT A PARTY ARAND B,AddToPlaylist
2026,snips-train-11820,Show me the movie times for animated movies that are in theaters close by,SHOW ME THE MOVI TIMES FOR ANIMATED MOVIES THAT ARE IN THEATRES CLOSE BY,SearchScreeningEvent
2027,snips-train-11821,When is Dead Birds playing?,ONE IS TET BURGS PLAYING,SearchScreeningEvent
2028,snips-train-11822,what's the nearest movie theatre showing movies,WATCH THE NEAREST MOVING THEATER SHOWING MOVIES,SearchScreeningEvent
2029,snips-train-11823,What cinema is playing The Strongest Instinct now ?,WHAT SIR NAMU'S PLAYING THE STRONGEST INSTINCT NOW,SearchScreeningEvent
2030,snips-train-11824,What is the movie schedule at Loews Cineplex Entertainment,WHAT IS THE MOVI SHEGUL AT LOAS SINOPLEX ENTERTAINMENT,SearchScreeningEvent
2031,snips-train-11825,What cinema has the closest movies,WHAT SYNAMA HAS THE CLOSEST MOVES,SearchScreeningEvent
2032,snips-train-11826,Show me the movie schedule for Star Theatres,SHOW ME THE MOVI SHEGUL FOR STARF THEATRES,SearchScreeningEvent
2033,snips-train-11827,Is The Angel of Vengeance – The Female Hamlet playing at the cinema at 6 am,IS THE ANGEL OF VENGEANCE THE FEMALE HARMOLET PLAYING AT THE SENEMUAC SIX A M,SearchScreeningEvent
2034,snips-train-11828,What time will In the Name of the Son be playing?,WHAT TIME WILL IN THE NAME OF THE SUN BE PLAYING,SearchScreeningEvent
2035,snips-train-11829,find the closest movie theatre with films,FIND THE CLOSEST MOVI THEATRE WITH FIAMS,SearchScreeningEvent
2036,snips-train-1183,Add from the ashes to my rock gaming playlist,ADD FROM THE USHES TO MY ROCK GAMING PLAYLIST,AddToPlaylist
2037,snips-train-11830,Find movie times .,FIN MOVE TIMES,SearchScreeningEvent
2038,snips-train-11831,What is the movie schedules for films in the neighborhood,YET IS THE MOVIS SHARE CHANGE FOR FOAMS IN THE NEIGHBORHOOD,SearchScreeningEvent
2039,snips-train-11832,List films in the neighborhood .,LIST FILMS IN THE NEBYHOOD,SearchScreeningEvent
2040,snips-train-11833,What movie schedule ?,WHAT MOVE SHURE JUEL,SearchScreeningEvent
2041,snips-train-11834,I'd like to watch movies at the closest movie theatre,I'D LIKE TO WATCH MOVE EUS AT THE CLOSEST MOVI THEATRE,SearchScreeningEvent
2042,snips-train-11835,What time is Too Young to Marry showing,WHAT TIME IS TOO YOUNG TO MARRY SHOWING,SearchScreeningEvent
2043,snips-train-11836,What are the movie times for films playing in the area ?,WHAT HARE THE MOVI TONS FOR FILMS PLAYING IN THE AREA,SearchScreeningEvent
2044,snips-train-11837,What animated movies are playing at Dipson Theatres ?,WHAT ARE THE MATED MOVES ARE PLAYING EDYPS AND THEATRES,SearchScreeningEvent
2045,snips-train-11838,show movie schedules for Fox Theatres,JO MUVI SHERDINS FOR FOX THEATRES,SearchScreeningEvent
2046,snips-train-11839,can i have the movie schedule for IMAX Corporation,CAN I HAVE THE MOVI SHAGUL FOR OR MAX CORPORATION,SearchScreeningEvent
2047,snips-train-1184,add agua y sal in Classic Jazz Funk,A DAG WA WY SALIM PLACITAS FUNK,AddToPlaylist
2048,snips-train-11840,What are the animated movies in the neighbourhood for the recent movie times,WHAT ARE THE ANIMATED MOVIES IN THE NEIGHBORHOOD FOR THE RECENT MOVIE TIMES,SearchScreeningEvent
2049,snips-train-11841,Find the schedule for movie times .,FIND WE SHAGU FOR MOVI TIMES,SearchScreeningEvent
2050,snips-train-11842,What is the movie schedule at Caribbean Cinemas,WHAT IS THE MOVI SHEDULE THAT CARABE AN CINNAMENS,SearchScreeningEvent
2051,snips-train-11843,Is Redacted playing at the closest cinema ?,IS REDACTED PLAYING AT THE CLOSEST SYNEMBA,SearchScreeningEvent
2052,snips-train-11844,I'd like to watch In High Places,I'D LIKE TO WATCH IN HIGH PLACES,SearchScreeningEvent
2053,snips-train-11845,find The World Is Ours at a movie theatre,FIND THE WAN DIZOUS AT A MOVI THEATRE,SearchScreeningEvent
2054,snips-train-11846,Please show me the movies playing at Amco Entertainment .,PLEASE SHOW ME THE MOOVEIS PLAYING A TAMKAR ENTERTAINMENT,SearchScreeningEvent
2055,snips-train-11847,where is Puthri playing,WHERE IS POTHRY PLAYING,SearchScreeningEvent
2056,snips-train-11848,Can I get the movie times for the newest movies around here ?,CAN I GET THE MOVIE TIMES FOR THE NEWEST MOVIES AROUND HERE,SearchScreeningEvent
2057,snips-train-11849,show me movie schedules,SHOR ME MUVI SHED YOULS,SearchScreeningEvent
2058,snips-train-1185,Can you add a eviatar banai album to my tgif playlist,CAN YOU ADER EVIER TO BENAALBUM TO MART G I F PLALIST,AddToPlaylist
2059,snips-train-11850,Find time for the movie schedule at Cineplex Odeon Corporation,FINE TIME FOR THE MOOVI SHAGULE A CENIPLEX ARDY INCORPORATION,SearchScreeningEvent
2060,snips-train-11851,What movie times are at Bow Tie Cinemas ?,YET MOVE TIMES ARE AT BOTICE CINNAMUS,SearchScreeningEvent
2061,snips-train-11852,when is Hefner Unauthorized showing at Magic Johnson Theatres,ONE IS HALF NORANAUTHORIZED SHOWING AT MAGIC JOHN SONTHEATOS,SearchScreeningEvent
2062,snips-train-11853,List movie times at Cinemark Theatres,LIST MOVEE TIMES AT SINEMARC THEATRES,SearchScreeningEvent
2063,snips-train-11854,Which animated movies are being screened at Marcus Corporation ?,WHICH HANIMATED MOVE IS ABEL SCREAMED AT MACCUS CORPORATION,SearchScreeningEvent
2064,snips-train-11855,find animated movies close by with a movie schedule,FINE BAMINATED MOVE IS CLOSE BY WITH A MOVI SHEDUL,SearchScreeningEvent
2065,snips-train-11856,what are the movietimes for films in the neighbourhood,WHAT HAR THE MOVI TIMES FORFILLS IN THE NEIGHBOURHOOD,SearchScreeningEvent
2066,snips-train-11857,find movie times nearby for animated movies,FIND MOVIE TIMES NEARBY FOR ANIMATED MOVIS,SearchScreeningEvent
2067,snips-train-11858,What time is Three Cuckoo Clocks playing?,WHAT TIME IS THREE CUCUTECS PLAYING,SearchScreeningEvent
2068,snips-train-11859,what movies are showing in the neighborhood,WHAT MOVES OFF SHOWING IN THE MABYHOOT,SearchScreeningEvent
2069,snips-train-1186,put this tune playing into my La Mejor Música Dance 2017 playlist,PUT THIS TEAM PLAYING INTO MY LARMA HOME OF CICET ANCE TWENTY SEVENTEEN PLAYLIST,AddToPlaylist
2070,snips-train-11860,What movies are playing at Cobb Theatres,YET MOVIES ARE PLAYING AT KIPE THEATRES,SearchScreeningEvent
2071,snips-train-11861,Can I get the movie schedule for the Bow Tie Cinemas .,CANNAR GET THE MOVI SHEDUL FOR THE BOTAR CENAMUS,SearchScreeningEvent
2072,snips-train-11862,What is the movie schedules at for Douglas Theatre Company at 0 p.m. ?,WHAT IS THE MOOVISHEDULS AT FODOGINAS THEATRE COMPANY OF SERO P M,SearchScreeningEvent
2073,snips-train-11863,What time is Living Is Easy with Eyes Closed playing,WHAT TIME IS LIVING IS EASY WITH EYES CLOSED PLAYING,SearchScreeningEvent
2074,snips-train-11864,I'd like to watch Take This Waltz,I'D LIKE TO YACH TAKE THIS MEATE,SearchScreeningEvent
2075,snips-train-11865,Show me the films currently playing at the nearest movie theatre,SHOW ME THE FILMS CURRENTLY PLAYING AT THE NEAREST MOVI THEATRE,SearchScreeningEvent
2076,snips-train-11866,What are the movie times at Goodrich Quality Theaters,WHAT OF THE MOVI TIMES AT GUDRICH QUALITY THEATRES,SearchScreeningEvent
2077,snips-train-11867,find animated movies movie schedule in the neighborhood,FINE BAMINATED MOVIES MOVIE SHEGUL IN THE NEIGHBORHOOD,SearchScreeningEvent
2078,snips-train-11868,What is the movie schedule at Douglas Theatre Company,WHAT IS THE MOVI SHEDUL THE DOUGLAS THEA TO COMPANY,SearchScreeningEvent
2079,snips-train-11869,Find the movie times at Consolidated Theatres .,FIND THE MOVI TIMES OF CONSOLIDATED THEATRES,SearchScreeningEvent
2080,snips-train-1187,Add this tune to my Indie Reflection Playlist,AD THISTUNE TO MY ENDY REFLECTION PLAYLIST,AddToPlaylist
2081,snips-train-11870,Find the movie schedule for the Cineplex Odeon Corporation .,FIND MOVY SHAGU FOR THE CENOPLEXURDIIN CORPORATION,SearchScreeningEvent
2082,snips-train-11871,show me the schedule of movie Thirty Two Short Films About Glenn Gould in 14 minutes,SHOW ME THE SHADULE OF MOVIG THIRTY TWO SHORT HOAMS ABOUT GLANGULD IN FORTEEN MINUTES,SearchScreeningEvent
2083,snips-train-11872,Can i get the movie times for Fox Theatres ?,CAN I GET THE MOVI TIMES FOR FOX THEATRES,SearchScreeningEvent
2084,snips-train-11873,showings for animated movies in the area,SHOWING PHERONIMATED MOVIES IN THE AREA,SearchScreeningEvent
2085,snips-train-11874,find the nearest movie house for The Mystery of Picasso,FIND THE NEAREST MOVIE HOUSE FOR THE MYSTERY OF PRECASTO,SearchScreeningEvent
2086,snips-train-11875,What is the movie schedule like,WHAT IS THE MOVE E SHAD YOU LIKE,SearchScreeningEvent
2087,snips-train-11876,in the neighborhood find movie times for movies,IN THE NEIGHBOURHOOD FIND MOVI TIMES FOR MOVES,SearchScreeningEvent
2088,snips-train-11877,What movies are showing at the nearest movie theatre in 8 minutes ?,WHAT MOVE IS OR SHOWING UP THE NEAREST MOVE E THEATRE IN EIGHT MINUTES,SearchScreeningEvent
2089,snips-train-11878,Are there any animated movies playing at the Mann Theatres ?,ARE THERE ANY ANIMATED MOVE IS PLAYING WITH THE MAND THEATRES,SearchScreeningEvent
2090,snips-train-11879,What is the movie schedule for films that are playing nearby in 15 minutes,WHAT IS THE MOVI SHADUL FOR FIAMS THAT ARE PLAYING NEAR BY IN FIFTEEN MINUTES,SearchScreeningEvent
2091,snips-train-1188,put this album on my conexiones list,POT THIS SALBAM ON MY CONYXEONIS LIST,AddToPlaylist
2092,snips-train-11880,When can I see Journey to the End of the Night ?,WHEN CAN I SEE JOURNEY TO THE END OF THE NIGHT,SearchScreeningEvent
2093,snips-train-11881,What time is 30 Days of Night playing?,WHAT TIME E THIRTY DAYS OF NIGHT PLAYING,SearchScreeningEvent
2094,snips-train-11882,Show the movie schedule at Regal Entertainment Group,SHOW THE MOVI CHEGUL AT REGAL ENTERTAINMENT GROUP,SearchScreeningEvent
2095,snips-train-11883,show me the schedule of movie The Da Vinci Code,SHOW ME THE SHEDULE OF MOVE I THE DEVINCE CODE,SearchScreeningEvent
2096,snips-train-11884,where is The Yellow Star The Persecution of the Jews in Europe 1933-45 playing,WHERE IS THE YELLOW STAR THE PERSECUTION OF THE JEWS IN EUROPE NINETEEN THIRTY THIRTE FORTY FIVE PLAYING,SearchScreeningEvent
2097,snips-train-11885,When will Third Person Singular Number be playing?,WHEN WILL THIRD PERSON SINGULAR NUMBER BE PLAYING,SearchScreeningEvent
2098,snips-train-11886,find animated movies close by with a movie schedule,FINE BAMINATED MOVE IS CLOSE BY WITH A MOVI SHEDUL,SearchScreeningEvent
2099,snips-train-11887,What is the movie schedule for the movies that are playing nearby ?,WHAT IS THE MOVI SHEGUL FOR THE MOVIES THAT ARE PLAYING NEAR BY,SearchScreeningEvent
2100,snips-train-11888,Is The Matinee Idol 0630 cinema sold out?,IS THE MATINIER ADU SIX THREE O SINEMU SOLD OUT,SearchScreeningEvent
2101,snips-train-11889,I want the movie schedule for animated movies in the area,I WANT THE MOVI SHEDUL FOR ANIMRATED MOVIES IN THE AREA,SearchScreeningEvent
2102,snips-train-1189,add hold tight to my throwback party,OUT HAGE TITE TO MY THROWBACK PARTY,AddToPlaylist
2103,snips-train-11890,Find the schedule for Screen Souvenirs at Cinemark Theatres .,FIND THE CHADUL FOR SCREEN SOUVENIRS AT SENYMARK THEATRES,SearchScreeningEvent
2104,snips-train-11891,Where can I see animated movies that's nearby ?,WHERE CAN I SEE ONIMATED MOVIE NATCH NEAR BY,SearchScreeningEvent
2105,snips-train-11892,What is the movie schedule for films in the neighbourhood,WHAT IS THE MOVI SHAGULE FOR FILMS IN THE NEIGHBORHOOD,SearchScreeningEvent
2106,snips-train-11893,I'd like to watch Demolition Man at 1109 PM,I'D LIKE TO ECCAMOLITION MAN IT ONE THOUSAND ONE HUNDRED AND NINE P M,SearchScreeningEvent
2107,snips-train-11894,Tell me the movie schedules for Loews Cineplex Entertainment,TELL ME VENUVISHAGINSE FOENCH SENOPLEX ENTERTAINMENT,SearchScreeningEvent
2108,snips-train-11895,What time is Wild and Wooly playing,WHAT TIME IS WILD AND WOOLLY PLAYING,SearchScreeningEvent
2109,snips-train-11896,Show me schedules to see A Film with Me in It .,SHOW ME SHEDUNS TO SEE A FOAM WITH ME EMIT,SearchScreeningEvent
2110,snips-train-11897,Find the schedule for movies at Southern Theatres .,FIND THE CHEJUN FOR MOVIES AT SOUTHERN THEATRES,SearchScreeningEvent
2111,snips-train-11898,Show me the movie schedules for any animated movies playing close by ?,SHOW ME THE MOVI SHEDGONES FOR ANY ANIMATED MOVE IS PLAIN CLOSE BY,SearchScreeningEvent
2112,snips-train-11899,movie schedule at Speakeasy Theaters,MOVI SHEGIL LET SPEAK EASY THEATRES,SearchScreeningEvent
2113,snips-train-119,put Joseph Utsler on All Out 70s,PORT JOSEFOTSLER ON ALL OUT SERVANTIES,AddToPlaylist
2114,snips-train-1190,Put Conway Twitty in the This Is Tchaikovsky playlist.,POT KONWA TWERTY INTER THIS IS TCHAKOVSKE PLAINLIST,AddToPlaylist
2115,snips-train-11900,Is The Wash playing at the cinema in one minute,ITS THE WAFH PLAYING OT THE CENIMURY ONE MINUTE,SearchScreeningEvent
2116,snips-train-11901,What films are playing at Pacific Theatres,WHAT FOAMS ARE PLAYING OF PACIFIC THEATRES,SearchScreeningEvent
2117,snips-train-11902,What is the movie schedule for General Cinema Corporation ?,WHAT IS THE MUVI SHADULE FOR GENERAL SENEMAL CORPORATION,SearchScreeningEvent
2118,snips-train-11903,find On Dress Parade,FIND ON VERSE PARADE,SearchScreeningEvent
2119,snips-train-11904,What time is The Message playing at Loews Cineplex ?,YOUR TIME IS THE MESSAGE PLAYING AT LONES CINOPLEX,SearchScreeningEvent
2120,snips-train-11905,Find the schedule for Across the Line at the closest movie house .,FIND THE SHADU FOR ACROSS THE LINE OF THE CLOSEST MOVIE HOUSE,SearchScreeningEvent
2121,snips-train-11906,She me that movie schedule,TE ME THAT MOVE HE SHED YOU,SearchScreeningEvent
2122,snips-train-11907,find a movie schedule,FIND A MOVE SHED YOU,SearchScreeningEvent
2123,snips-train-11908,What time is Exploits of a Young Don Juan playing?,WHAT TIME ES EXPOIT OF E YOUNG DOMWAN PLAYING,SearchScreeningEvent
2124,snips-train-11909,show me the movie schedule in the neighbourhood movies,SHOW ME THE MOVI SHIRCHILL IN THE NEIGHBOURHOOD MOVIES,SearchScreeningEvent
2125,snips-train-1191,I want to add Broken Hearted Melody to the playlist Post Garage Wave Revival,I WANT TO ADD BROKEN HEARTED MELODY TO THE PLAINESTPOST GARRAGE WAY OF REVIVAL,AddToPlaylist
2126,snips-train-11910,What animated movies are in the neighbourhood,AT HANENITID MOVIES OR IN THE NEIGHBOURHOOD,SearchScreeningEvent
2127,snips-train-11911,What films are playing at Marcus Corporation ?,YET FIAMS ARE PLAYING AT MARCUS CORPERATION,SearchScreeningEvent
2128,snips-train-11912,What are the movie times,YET HAL THE MOVI CHARMS,SearchScreeningEvent
2129,snips-train-11913,What time do the movies play at Southern Theatres ?,YET TIME DO THE MOVE EACH PLAY AT SOUTHERN THEATRES,SearchScreeningEvent
2130,snips-train-11914,what time is Bordertown Trail showing,WHAT TIME HE'S BEEN TO TARM TRAIL SHOWING,SearchScreeningEvent
2131,snips-train-11915,when does Miss Sloane play at IMAX Corporation,WHEN DOSMA SLOW PLAY A TYMAX CORPERATION,SearchScreeningEvent
2132,snips-train-11916,Check the movie schedule for Wanda Group,CHECK THE MIVI SHAGI FOR WONDER GROUP,SearchScreeningEvent
2133,snips-train-11917,What movie theatre is playing Shed No Tears,WHAT MOVI THEATRE IS PLAYING SHED NO TEARS,SearchScreeningEvent
2134,snips-train-11918,Is The Right to Strike playing at Star Theatres,IS THE RIGHT TO STRIKE PLAYING AT STAR THEATRES,SearchScreeningEvent
2135,snips-train-11919,what's the nearest movie house showing Their Last Love Affair,YETS THE MEREST  MOVIE HOUSE SHOWING THEIR LAST LOVE AFFAIR,SearchScreeningEvent
2136,snips-train-1192,Add the Spirit of Life to nação reggae,AD THE SPIRIT OF LIFE TO NOSSALE REGER,AddToPlaylist
2137,snips-train-11920,show movie schedule in the neighbourhood films at five hours from now,SHALL WE WE SHEGEL IN THE NEIGHBOURHOOD FOAMS AT FIVE HOURS FROM NOW,SearchScreeningEvent
2138,snips-train-11921,What is the movie schedule for Train,WHAT IS THE MOVI SHADUL FOR TRME,SearchScreeningEvent
2139,snips-train-11922,What films are showing at National Amusements,WHAT FOAMS ARE SHOWING OF NATIONAL AMUSEMENT,SearchScreeningEvent
