,train_index,train_sentence,emma_sentence,train_label
4066,snips-train-1882,Book me a table at a romanian brasserie in Rixford,VOCEMEA TABLE AT A REMANIAN BRASERY IN RIGFORD,BookRestaurant
4067,snips-train-1883,book a table at a restaurant in Lucerne Valley that serves chicken nugget,BOOK AT TABLE AT A RESTAURANT IN LUSENE VALLEY THAT SERVES CHICKEN NUGGET,BookRestaurant
4068,snips-train-1884,book a taverna for a party of 10,BOCETAVERNA FOR A PARTY OF TEN,BookRestaurant
4069,snips-train-1885,I need to book a restaurant in the same area as Thompsontown for emma and karen johnson,I NEED DE BUC CA RESTAURANT IN THE SAME ARIA AS THOMPSON TOWN FOR REMER AND CAREN JOHNSON,BookRestaurant
4070,snips-train-1886,Make me a reservation in NE at a distant resturant that is a pizzeria,MAKE ME A RESERVATION IN ME IT A DISTANT RISTURANT THAT IS A PEATS REA,BookRestaurant
4071,snips-train-1887,book a spot in town in the same area as me,BOOK A SPORT IN TOWN IN THE SAME ARIA AS ME,BookRestaurant
4072,snips-train-1888,Reserve me a resturant for 5 at seventeen o'clock,RESERVE ME A RESTYRANT FOR FIVE AT SEVENTEEN O'CLOCK,BookRestaurant
4073,snips-train-1889,I want to eat at a pickled cucumber brasserie in 12 months,I WANT TO EAT AT A PICKLED CUCAMBERBRASERY IN TWELVEMONTHS,BookRestaurant
4074,snips-train-189,Add the song to my R&B Movement playlist.,ADD THE SONG TO MY ARE AND BE MOVEMENT PLAILEST,AddToPlaylist
4075,snips-train-1890,book a spot for ten at a top-rated caucasian restaurant not far from Selmer,BOOK A SPORT FOR TEN ADITO RATED COCASIAN RESTAURANT NOT FAR FROM SELMER,BookRestaurant
4076,snips-train-1891,I'd like to take a party of five today to a place in Colorado,I'D LIKE TO TAKE A PARTY OF FIVE TO DAY TO A PLACE IN COLORADO,BookRestaurant
4077,snips-train-1892,Book me a table for a party of eight in Germany .,BOOK ME A TABLE FOR A PARTY OF EIGHT IN GERMANY,BookRestaurant
4078,snips-train-1893,"I want to book a restaurant in a distant ID spa for lidia, latasha and diann .",I WANT TO BOOK A RESTAURANT IN A DISTANT HIDESPA FOR LYDIA LETACHA AND DIANE,BookRestaurant
4079,snips-train-1894,Book a breakfast in a restaurant for eight .,BOOK A BREAKFAST IN A RESTAURANT FOR EIGHT,BookRestaurant
4080,snips-train-1895,"at two am , I need reservations for my friends and I at Irma Hotel .",AT TU AM I NEED RESERVATIONS FOR MY FRIENDS AND I AT ERMA HOTEL,BookRestaurant
4081,snips-train-1896,Book a table for doris and I in New Tulsa,BOOK AT TABLE FOR DORIS AND I INNEW TYTLESIR,BookRestaurant
4082,snips-train-1897,Book table on the 23 in Illinois at the Maison Parthenais-Perrault II .,BOOK TABLE ON THE TWENTY THREE AN ILLINOIS AT THE MASON PARTANAPERO TOO,BookRestaurant
4083,snips-train-1898,book in Romania for christian and susana at David Carpenter House,BOOK IN RHUMANIA FOR CHRISTIAN AND SUSANNA AT DAVID CARPINTE HOUSE,BookRestaurant
4084,snips-train-1899,book a bar close by with a smoking room in MA,BOOK BAR CLOSE BY WITH TA SMOKING ROOM INAME,BookRestaurant
4085,snips-train-19,Please put maimi yajima 's song onto Operación Bikini .,PLEASE PUT MY MI YAJIMA'S SONG ONTO OBRACION BUCUINI,AddToPlaylist
4086,snips-train-190,Add the artist Gwenno Pipette to the sexy as folk playlist.,AD THE ARTIST GWENAUPEPETH TO THE SEXI AS FOLK PLAILIST,AddToPlaylist
4087,snips-train-1900,book a spot for 9 at a churrascaria that serves ammonia cookie in Volga,BOOK A SPOT FOR NINE AT TURUS CAREER THAT SERVES AMMONIA COOKIE IN VULGAR,BookRestaurant
4088,snips-train-1901,I want to eat at the Trout Creek restaurant for 9 people for bougatsa that is the best,I WANT TO EAT THE TROUT CREEK RESTAURANT FOR NINE PEOPLE FOR BOOGITS SO THAT IS THE BEST,BookRestaurant
4089,snips-train-1902,I need to book a pub in Cammack Village Wyoming for a party of seven,I NEED TO BOOK A PUBENCAMAC VILLAGE WYOMING FOR A PARTY OF SEVEN,BookRestaurant
4090,snips-train-1903,Please make reservations for nine at 3 am .,PLEASE MAKE RESERVATIONS FOR NINE AT THREE A M,BookRestaurant
4091,snips-train-1904,Book a restaurant close by downtown for nine in seven months,BOOK A RESTAURANT CLOSE BY DOWN TOWN FOR NINE IN SEVEN MONTHS,BookRestaurant
4092,snips-train-1905,I'd like to eat at the best restaurant,I'D LIKE TO EAT A THE BEST RESTAURANT,BookRestaurant
4093,snips-train-1906,Book the Space Aliens Grill & Bar in Hord WY for Feb. the twenty-seventh .,BOOK THE SPACE ALIANS GRILLINBAR IN HORD WYOMING FOR FEBRUARY TWENTY SEVENTH,BookRestaurant
4094,snips-train-1907,I need a reservation for Chapter One in West Odessa for a party of one,I NEED A RESERVATION FOR CHAPTER ONE IN WESTO DESSER FOR A PARTY OF ONE,BookRestaurant
4095,snips-train-1908,Book a table for 1 person at a popular brasserie in Jansen that serves english food,BOOK AT TABLE FOR ONE PERSON AT A POPULAR BRASSERY IN JANTSON THAT SERVED ENGLISH FOOD,BookRestaurant
4096,snips-train-1909,book a eggo serving brasserie for ten,BOOK O EGOS ERVING BRASRI FOR TEN,BookRestaurant
4097,snips-train-191,Incorporate Nao Kawakita into the epic classical playlist.,INCORPORATE NOW COWACITER INTO THE EPIC CLASSICAL PLAYLIST,AddToPlaylist
4098,snips-train-1910,please book a restaurant with parking facility at taverna,PLEASE BOOK A RESTAURANT WITH PARKING FACILITY AT AVERNA,BookRestaurant
4099,snips-train-1911,reserve a table for two at the restaurant at 9 pm,RESERVE A TABLE FOR TWO AT THE RESTAURANT AT NINE P M,BookRestaurant
4100,snips-train-1912,I need a reservation for a restaurant that serves cupcakes in OH,I NEED A RESERVATION FOR A RESTAURANT THAT SERVES CUPCAKES INNO,BookRestaurant
4101,snips-train-1913,Locate a cafeteria for two that serves deviled crab,LOCATE A CAFITERIOR FOR TWO THAT SERVES DEVILED CRAB,BookRestaurant
4102,snips-train-1914,Book me a restaurant ten minutes from now,BOOK MERE RESTAURANT TEN MINUTES FROM NOW,BookRestaurant
4103,snips-train-1915,I want to eat at a indoor bar for two,I WANT TO EAT AT A INDOOR BARFOR TOO,BookRestaurant
4104,snips-train-1916,I want to book a bistro that serves pasta salad in Brazil .,I WANT TO BOOK A BESTRE THAT SERVES PAST A SALAD IN BREZILE,BookRestaurant
4105,snips-train-1917,Can  book a pizzeria that will serve a cupcake ?,CANGBU APETE SEREA THAT WILL SERVE A CUPCAKED,BookRestaurant
4106,snips-train-1918,Book a table for 2 at the Seward Community Cafe within the same area in Shabbona,BOOK AT TABLE FOR TWO AT THE SUAS COMMUNITY CAFE WITHIN THE SAME MAREA IN CHABRONA,BookRestaurant
4107,snips-train-1919,Book a taverna in Wisconsin for 2254 .,BOOK AT TO VERNO IN WISCONSIN FOR TWO THOUSAND TWO HUNDRED AND FIFTY FOUR,BookRestaurant
4108,snips-train-192,Add the album to my Heavy Gamer playlist.,ADD THE ALBUM TO MY HEAVY GAME A PLAYLIST,AddToPlaylist
4109,snips-train-1920,book a molecular gastronomy serving restaurant on march the 20th,BOOK AN MOLECULAR GASTRONOMY SERVING RESTAURANT ON MARCH TWENTIETH,BookRestaurant
4110,snips-train-1921,I need fast food for nine within the same area as Bowers that has a pool nearby on 4/17/2033,I NEED FAST FOOD FOR NINE WITHIN THE SAME ARIA AS BOWERS THAT HAS A POOL NEAR BY ON THE SEVENTEENTH OF APRIL TWENTY THIRTY THREE,BookRestaurant
4111,snips-train-1922,Book reservations at a restaurant for eight people in New Jersey,BOOK RESERVATIONS AT A RESTAURANT OR EIGHT PEOPLE IN NEW JERSEY,BookRestaurant
4112,snips-train-1923,"book a table at a restaurant within the same area as The Octagon, Christchurch in Allentown",BOOK AT TABLE AT A RESTAURANT WITHIN THE SAME ARIA AS THE OCTAGEN CHRISTCHURCH IN ALLEN TOWN,BookRestaurant
4113,snips-train-1924,I need a reservation for 7 people at a bar in Chile that serves bio .,I NEED A RESERVATION FOR SEVEN PEOPLE ATIBAR IN CHILIE THAT SERVES BYE,BookRestaurant
4114,snips-train-1925,Book reservations at Phase 1 in La Jara,BOOK RESERVATIONS AND PASE ONE IN LAERA,BookRestaurant
4115,snips-train-1926,I want a table for seven at twenty three o'clock in Angola .,I WANT AT TABLE FOR SEVEN AT TWENTY THREE O'CLOCK IN ANGOLA,BookRestaurant
4116,snips-train-1927,book fast food that is highly rated,BOOK FAST FOOD THAT IS HIGHLY RATED,BookRestaurant
4117,snips-train-1928,book a cafe table for one that has internet access,BOOK A CAFE TABLE OR ONE THAT HAS INTINETE EXCESS,BookRestaurant
4118,snips-train-1929,"book a spot for robyn martinez, maude and I at a steakhouse not far from their place",BOOK A SPOT FOR ROBIN MARTINUS MOURD AND I AT A STAKE HOUSE NOT FAR FROM THEIR PLACE,BookRestaurant
4119,snips-train-193,Add big bill broonzy to my Impulso Creativo,AD BIG BILL BRULLINSY TO MY IMPULSO CRAATIVO,AddToPlaylist
4120,snips-train-1930,Book me a table at The Restaurant at Meadowood within the same area in Kentucky,BOCMEA TABLE AT THE RESTAURANT AT MEADOW WOULD WITHIN THE SAME MAREA IN KENTUCKY,BookRestaurant
4121,snips-train-1931,Book a table at Crown Candy Kitchen for lacy and I,VOOK AT TABLE AT CROWN CANDY KITCHEN FOR LACY AND DYE,BookRestaurant
4122,snips-train-1932,I want to book a spot at the local food court,I WANT TO BROOK A SPOT AT THE LOCAL FOOD COURT,BookRestaurant
4123,snips-train-1933,I need a reservation for Maid-Rite Sandwich Shop in Home Gardens,I NEED A RESERVATION FOR MADE RIGHT SAND WID SHOP IN HOME GARDENS,BookRestaurant
4124,snips-train-1934,Book a table at a osteria type restaurant in SD,BOOK AT TABLE AT OSTERIA TYPE RESTAURANT IN ASTI,BookRestaurant
4125,snips-train-1935,Book Laurelhurst Theater for 8 people.,BO LAUREL HAST THEATRE FOR EIGHT PEOPLE,BookRestaurant
4126,snips-train-1936,Book a restaurant faraway from Albertson now .,BOOK A RESTAURANT FAR AWAY FROM MALBUS TON NOW,BookRestaurant
4127,snips-train-1937,Book a reservation for seven people at a steakhouse in Kenya,BOOK I RESERVATION FOR SEVEN PEOPLE AT A STAKE HOUSE IN CANYA,BookRestaurant
4128,snips-train-1938,book a restaurant in Montverde in Marshall Islands,BOOK A RESTAURANT IN MONTVERD IN MARTIAL ISLANDS,BookRestaurant
4129,snips-train-1939,"Book a table for lois, effie price and I for next Summer in Italy .",BOOK AT TABLE FOR LOWIS FY PRICE AND I FOR NEXT SUMMER IN ITALY,BookRestaurant
4130,snips-train-194,Add suffer little children to this is racionais mc's playlist,AD SUFFER LITTLE CHILDREN TO THIS IS HASSINISEMCES PLAILIST,AddToPlaylist
4131,snips-train-1940,Book a table at a restaurant in the Cayman Islands two hundred ninety six days from now,BOOK AT TABLE AT A RESTAURANT IN THE CAYMAN ISLANDS TWO HUNDRED NINETY SIX DAYS FROM NOW,BookRestaurant
4132,snips-train-1941,Need a booking for 6 in OK for the city of Boonton,NEED A BOOKING FOR SIX IN OK FOR THE CITY OF BOUNTON,BookRestaurant
4133,snips-train-1942,I want to go to that popular ethiopian restaurant,I WANT TO GO TO THAT POPULARETHIOPIAN RESTAURANT,BookRestaurant
4134,snips-train-1943,I need a reservation for Red Square on aug. the 9th,I NEED A RESERVATION FOR RED SQUARE ON AUGUST  THE NINTH,BookRestaurant
4135,snips-train-1944,"Make a reservation at a diner which serves chowder in MT for august the 17th, 2024 .",MAKE A RESERVATION AT A DIANA WHICH SERVES CHOWDER IN MOUNT FOR AUGUST THE SEVENTEENTH TWENTY TWENTY FOUR,BookRestaurant
4136,snips-train-1945,casey and I will be in Kentucky for food,CASEY AND I WILL BE IN KENTUCKY FOR FOOD,BookRestaurant
4137,snips-train-1946,book a restaurant this year in Manning,BOOK A RESTAURANT THIS HER IN MINING,BookRestaurant
4138,snips-train-1947,"Can I get a restaurant reserved in Luquillo , District Of Columbia ?",CAN I GET A RESTAURANT PRESERVED IN LUQUELO DISTRICT OF COLUMBIA,BookRestaurant
4139,snips-train-1948,Book a joint in sixteen minutes for 9 .,BOK A JOINT IN SIXTEEN MINUTES FOR NINE,BookRestaurant
4140,snips-train-1949,Make a restaurant reservation for me and my son at twenty three o'clock .,MAKE A RESTAURANT RESERVATION FOR ME AND MY SON AT TWENTY THREE O'CLOCK,BookRestaurant
4141,snips-train-195,Add thomas a dorsey to my Big Band,ADD THOMAS ADOSE TO MY BIG BAND,AddToPlaylist
4142,snips-train-1950,I need to book a table for 7 in Estonia,I NEED TO BROK A TABLE FOR SEVEN IN ASTONIA,BookRestaurant
4143,snips-train-1951,book verdure serving restaurant in Bloom City,BUCVERDU SERVING RESTAURANT IN BLOOM CITY,BookRestaurant
4144,snips-train-1952,I'm in MI and want to eat somwhere nearby Midday .,I'M IN ME AND WANT TO EAT SOMEWHERE NEAR BY MIDDAY,BookRestaurant
4145,snips-train-1953,"book a restaurant this week for joni, wilda sanders and I in AL",BOOK A RESTAURANT THIS WEEK FOR JONY WILDESANDES AND AENAL,BookRestaurant
4146,snips-train-1954,We want to eat at a brasserie with sicilian food in Nebraska,WE WANT TO EAT AT A BRASARY WITH SICILIAN FOOD IN NOBRASKA,BookRestaurant
4147,snips-train-1955,need a table for nine in East Prairie LA,KNEED A TABLE OR NINE IN EAST PRAIRIE LOUISIANA,BookRestaurant
4148,snips-train-1956,Book a reservation for seven people at a bakery in Osage City,BOOK A RESERVATION FOR SEVEN PEOPLE AT A BAKERY AN OSAGE CITY,BookRestaurant
4149,snips-train-1957,I would like to book a restaurant within the same area as Myrtle Av for 6,I WOULD LIKE TO BOOK A RESTAURANT WITHIN THE SAME ARIA AS MYRTLE ARE FOR SIX,BookRestaurant
4150,snips-train-1958,Please make a reservation at ten at a bakery which serves burrito .,PLEASE MAKE A RESERVATION ATTEN AT BAKERY WHICH SERVES PERITO,BookRestaurant
4151,snips-train-1959,Book a table at T-Rex in one minute in Osierfield,BOOK AT TABLE AT HEREX IN ONE MINUTE IN OSEEFIELD,BookRestaurant
4152,snips-train-196,Add some patrick stump to maritza's disco fever list,ADD SOME PATRIC STUMP TO MARETZ'S DISCO FEVER LIST,AddToPlaylist
4153,snips-train-1960,"book a table at an oyster bar that serves apple butter on Jul. 10th, 2028",BOOK AT TABLE AT AN OYST TO BAR THAT SERVES APPLE BUTTER ON JULY TENTH TWENTY TWENTY EIGHT,BookRestaurant
4154,snips-train-1961,book a restaurant for 4 that's not far from CA,BOOK A RESTAURANT FOR THAT'S NOT FAR FROM C A,BookRestaurant
4155,snips-train-1962,I'd like to eat at an internet restaurant with a party of four,I HAD LIKED TO EAT AT AN INTIRNETTE RESTAURANT WITH A PARTY EFOUR,BookRestaurant
4156,snips-train-1963,"book a table for jasmine, jeannie and leta",BOOK AT TABLE FOR JASMINE JENIE AND LETA,BookRestaurant
4157,snips-train-1964,Book a reservation for six people at a churrascaria restaurant in Cook Islands one minute from now,BOOK IRRESERVATION FOR SIX PEOPLE AT A CUROUS CAREER RESTAURANT IN COOK ISLANDS ONE MINUTE FROM NOW,BookRestaurant
4158,snips-train-1965,Please book a Uncommon Grounds Coffeehouse restaurant,PLEASE BOOK IN UNCOMMON GROUNDS COFFEE HOUSED RESTAURANT,BookRestaurant
4159,snips-train-1966,Book Mars 2112 in Rwanda for 4 people.,BOOK MAST TWO THOUSAND ONE HUNDRED AND TWELVE ENRUANDE FOR FOUR PEOPLE,BookRestaurant
4160,snips-train-1967,"Book a table at Central Grocery on Mar. 22nd, 2020",BOOK AT TABLE A CENTRAL GROCERY ON MARCH TWENTY SECOND TWENTY TWENTY,BookRestaurant
4161,snips-train-1968,Book a food truck in Argusville that has fish chips,BOOK A FOOD DRUCK IN ARGUSVIL THAT HAS FISH CHIPS,BookRestaurant
4162,snips-train-1969,book San Francisco Brewing Company for two located at AL,BOOK SAN FRANCISCO BREWING COMPANY FOR TOO LOCATED AT AL,BookRestaurant
4163,snips-train-197,add this album to my de camino a clase playlist,ADD THIS ALBUM TO MY DACOMINO A CLASE PLAILIST,AddToPlaylist
4164,snips-train-1970,book me and my grandparents a restaurant in Saint Helens South Dakota,BUKMIAN MY GRANDPARENTS IR RESTAURANT IN SAINT HELEN SOUTH TACOTA,BookRestaurant
4165,snips-train-1971,"I want to go to the pub with angelita, susan reed and ashlee watson after us parking",I WANT TO GO TO THE PUB WITH AGELITA SUSAN READ AND ASHLEY WATS IN AFTER US PARKING,BookRestaurant
4166,snips-train-1972,"Book a diner place or me and my best friend on Holy Saturday , capital of United Arab Emirates , where they serve pepperoni dishes",BOCADINA PLAYS ORMI AND MY BEST FRIEND ON HOLY SATURDAY CAPITAL OF UNITED ARABEMERATS WHERE THEY SERVE PEPYRONE DISHES,BookRestaurant
4167,snips-train-1973,book a table for eight in Graf far away,BOOK AT TABLE FREIGHT AND GRAFF FAR AWAY,BookRestaurant
4168,snips-train-1974,"book a spa in pizzeria on November 24, 2036",BOCASPA IMPETE SREA ON NOVEMBER TWENTY FOURTH TWENTY THIRTY SIX,BookRestaurant
4169,snips-train-1975,I'd like to get a restaurant booked on mar. fourteenth in MD .,I'D LIKE TO GET A RESTAURANT BOOK ON MARCH FOURTEENTH EN M D,BookRestaurant
4170,snips-train-1976,book a spot for nine at a top-rated brasserie that has swiss within the same area of New York,BOOK A SPOT FOR NINE AT A TOPERATED BRASSARY THAT IS SWIZ WITHIN THE SAME AREA OF NEW YORK,BookRestaurant
4171,snips-train-1977,book trentino serving bar for 4,BOOK DRENTINO SERVING BARVEFOUR,BookRestaurant
4172,snips-train-1978,I am looking for a top-rated restaurant near bougatsa that can feed 3 that is close to Pelham Bay Park,I AM LOOKING FOR A TOP RAITED RESTAURANT NEAR BUGET SO THAT CAN FEED THREE THAT IS CLOSE TO PELLAM BAYPARK,BookRestaurant
4173,snips-train-1979,"Please find me a table at a place that serves glace , has room for six and a pub atmosphere",PLEASE FIND ME A TABLE AT A PLACE THAT SERVES GLASS HAS ROOM FOR SIX AND A PUB ATMOSPHERE,BookRestaurant
4174,snips-train-198,Add artist to my working day,ADD ARTIS TO MY WORKING DAY,AddToPlaylist
4175,snips-train-1980,I want to book a restaurant in Glenarden South Dakota for two people.,I WANT TO BOOK A RESTAURANT IN GLENARD AND SOUTH DACOTA FOR TWO PEOPLE,BookRestaurant
4176,snips-train-1981,I need a reservation for The Berghoff in Jamaica in 18 seconds,I NEED A RESERVATION FOR THE BERG CAF IN JAMAICA IN EIGHTEEN SECONDS,BookRestaurant
4177,snips-train-1982,Need a table within the same area as Beach 105th St for a party of 6,KNEED AT TABLE WITHIN THE SAME AREA AS BEACH ONE HUNDRED AND FIFTH STREET FOR A PARTY OF SIX,BookRestaurant
4178,snips-train-1983,Book a table at the Montreal Pool Room in North Carolina for 7 AM,BOOK AT TABLE AT THE MONTRIOL POOL ROOM IN NORTH CAROLINA FOR SEVEN A M,BookRestaurant
4179,snips-train-1984,book a spot at a pub with tatar in Cambodia,BOOK A SPORT T PUBWITH TO DAR IN CAMBODIA,BookRestaurant
4180,snips-train-1985,"Book a brasserie restaurant in Enfield , North Dakota for rosie and I that has tarte tatin",BOKBRASERI RESTAURANT IN LANFIELD NORTH DACOTA FOROSI AND ITHAR DAS TART TAT AN,BookRestaurant
4181,snips-train-1986,book a southeastern restaurant in Heard Island and McDonald Islands,BOOK A SOUTHEASTERN RESTAURANT IN HERD ISLAND AND MACDONALD ISLANDS,BookRestaurant
4182,snips-train-1987,Book a restaurant in Almyra in 10 years,BOOK A RESTAURANT IN AU MIRO IN TEN YEARS,BookRestaurant
4183,snips-train-1988,Book a reservation for three at Clinton Street Baking Company & Restaurant,BOOK A RESERVATION FOR THREE AT CLINTON STREET BAKING COMPANY AND RESTAURANT,BookRestaurant
4184,snips-train-1989,Book reservations at a restaurant for me and my ex husband in West Virginia,BOOK RESERVATIONS AT A RESTAURANT FOR ME AND MY EX HUSBAND IN WEST VIRGINIA,BookRestaurant
4185,snips-train-199,add this track to my epic wall of sound playlist,ADD THIS TRACK TO MY ARPIC WOL OF SOUND PLAYLIST,AddToPlaylist
4186,snips-train-1990,Can you get me reservations for a highly rated restaurant in Seychelles,CAN YOU GET ME RESERVATIONS FOR A HIGHLY RATED RESTAURANT IN SECHELLES,BookRestaurant
4187,snips-train-1991,I would like reservations for Cliff House in seven months for six people.,I WOULD LIKE RESERVATIONS FOR CLIFF HOUSE IN SEVEN MONTHS FOR SIX PEOPLE,BookRestaurant
4188,snips-train-1992,"I'd like a reservation at a place in Iran for neva, alice and maggie parker .",HAD LIKE A RESERVATION AT A PLACE IN ERAN FOR NEVA PALICE AND MAGGI PARKER,BookRestaurant
4189,snips-train-1993,book a restaurant that serves trottole in Tillicum,BOOK A RESTAURANT THAT SERVES DROTTO LINTILICUM,BookRestaurant
4190,snips-train-1994,I need a reservation for next week with a party of six,I NEED A RESERVATION FOR NEXT WEEK WITH A PARTY OF SIX,BookRestaurant
4191,snips-train-1995,"bar restaurant for November the twelfth, 2030 that is popular and for a party of ten",BAR RESTAURANT FOR NOVEMBER THE TWELFTH TWENTY THIRTY THAT IS POPULAR AND FOR A PARTY OF TEN,BookRestaurant
4192,snips-train-1996,book a table at a restaurant for 10/24/2028 for me and lauren,BOOK AT TABLE AT A RESTAURANT FOR THE TWENTY OURTH OF OCTOBER TWENTY TWENTY EIGHT FOR ME EN LORIN,BookRestaurant
4193,snips-train-1997,Book a table in a Haines Borough restaurant for nine that is within walking distance .,VOKE A TABLE IN A HEINES BY A RESTAURANT THE NINE THAT IS WITHIN WALKING DISTANCE,BookRestaurant
4194,snips-train-1998,I need a dinner reservation in three months for a restaurant in Hills and Dales .,I NEEDE DINNER RESERVATION IN THREE MONTHS FOR A RESTAURANT IN HILLS AND DALES,BookRestaurant
4195,snips-train-1999,book a bistro for 4 at sunset,BOOK A BEAST STROKE FOR OR AT SUNSET,BookRestaurant
4196,snips-train-2,add the tune by misato watanabe to the Trapeo playlist,ADD THE TUNE BY MISS ARTO WATON ARBE TO THE TROPEO PLALIST,AddToPlaylist
4197,snips-train-20,For my playlist chill add the name Cater Fe She,FOR MY PLAYLESS CHIRAD THE NAME CATA FA SHE,AddToPlaylist
4198,snips-train-200,Add this tune to the Spinnin' Records Top 100 list,ADD THIS TUNE TO THE SPINLING RECORDS TOP ONE HUNDRED LIST,AddToPlaylist
4199,snips-train-2000,I have six people who would like to eat at a cafe that serves american chinese cuisine in TX .,I HAVE SIX PEOPLE WHO WOULD LIKE TO EAT AT A CAFE THAT SERVES AMERICAN CHINESE QUIZINE ENPTY EX,BookRestaurant
4200,snips-train-2001,book a spot at an osteria that has goiano in Ward Springs,BOOK A SPORT S IN US TEREA THAT T IS GOYANU IN WOOD SPRINGS,BookRestaurant
4201,snips-train-2002,book a spot for me and my great grandfather at a brasserie with a pool at 7 am,BOOK A SPORT FOR ME AND MY GREAT GRANDFATHER AT ABRASARIE WITHEPOOL AT SEVEN A M,BookRestaurant
4202,snips-train-2003,book a bar in San Marino for five,BUCIBAR AND SAN MERINO FOR FIVE,BookRestaurant
4203,snips-train-2004,Book a restaurant in Belgium for ten in 24 weeks .,BOOK A RESTAURANT IN BELGIUM FOR TEN IN TWENTY FOUR WEEKS,BookRestaurant
4204,snips-train-2005,book a churrascaria in Macao on May the twenty-third,BOOKET CUROS CAREER IN MACAU ON MAY THE TWENTY THIRD,BookRestaurant
4205,snips-train-2006,"renee sanders, marlene and jewel want to go to a gastropub in the spa",RANESANDERS MALING AND JUWEL WANT TO GO TO A GAS TROPE PUB IN THE SPAR,BookRestaurant
4206,snips-train-2007,I would like to book a food truck for my friend and I,I WOULD LIKE TO BOOK A FOOD DRUG FOR MY FRIEND AND I,BookRestaurant
4207,snips-train-2008,party for 2 in Cleveland,PARTY FOR TWO IN CLEVELAND,BookRestaurant
4208,snips-train-2009,Need table for two in Pleasant City,NEED TABLE FOR TWO IN PLEASANT CITY,BookRestaurant
4209,snips-train-201,Add track to Afternoon Train Ride,AD TRACK TO AFTERNOON TRAIN RIDE,AddToPlaylist
4210,snips-train-2010,at 4 am book a bar in the spa in Shamrock for eight,AT FOUR A EMBUQEBAR IN THE SPA IN SHAMROCK RATE,BookRestaurant
4211,snips-train-2011,Book an indoor restaurant near Wallington for 2,BOOK AND INDOOR RESTAURANT NEAR WALLINGTON FOR TWO,BookRestaurant
4212,snips-train-2012,Book a top-rated restaurant in Milton-Freewater .,BOOKET TOP RATED RESTAURANT IN MILTON FREE WATER,BookRestaurant
4213,snips-train-2013,Take me to the top-rated taverna in Sealy for trattoria next week for 5,TAKE ME TO THE TOP RATE DID TO VERNER AND SEALI FOR TRAT TO REAR NEXT WEEK FFOR FIVE,BookRestaurant
4214,snips-train-2014,I need reservations for a party of 8 within the same area at 014835 at a restaurant in Armenia that serves tuscan cuisine.,I NEED RESERVATIONS FOR A PARTY OF EIGHT WITHIN THE SAME MARIA AT O ONE FOUR EIGHT THREE FIVE AT A RESTAURANT IN ARMENIA THAT SERVES TUSCAN QUESINE,BookRestaurant
4215,snips-train-2015,book a bar for 2 in Hayden Row on friday,BOOKA BAR FOR TWO IN HADEN ROW ON FRIDAY,BookRestaurant
4216,snips-train-2016,book a table for 0 pm in Fayette for rachael morris and shannon near there,BOOK AT TABLE FEZIRO P M IN FIET FOR RACHEL MORRIS AND SHANNON NEA THERE,BookRestaurant
4217,snips-train-2017,I need a reservation for four this year at a restaurant,I NEED A RESERVATION FOR OUR THIS YEAR AT A RESTAURANT,BookRestaurant
4218,snips-train-2018,"I need seats for six at a pub on January 15th, 2030",I NEED SEATS FOR SIX AT A PABON JANUARY FIFTEEN TWENTY THIRTY,BookRestaurant
4219,snips-train-2019,I need to book a reservation in Searsport at eleven am,I NEED DE BUK RESERVATION IN SEUSPOOL AT LEVEN AM,BookRestaurant
4220,snips-train-202,add keltech to my 70s road trip playlist,AD CELTEC TO MY SEVENTI'S ROAD TRIP PLAYLIST,AddToPlaylist
4221,snips-train-2020,Find a reservation for a party of six in Tuvalu,FIND A RESERVATION FOR A PARTY OF SIX INTER VALUE,BookRestaurant
4222,snips-train-2021,Book a restaurant with parking facility for 3 .,BOOK A RESTAURANT WITH PARKING FACILITY FOR THREE,BookRestaurant
4223,snips-train-2022,I need a top-rated pub in Friona,I NEED A TOPERATED POBIN FRIONA,BookRestaurant
4224,snips-train-2023,Make me a reservation within walking distance in WY for 6 pm,MAKE ME A RESERVATION WITHIN WALKING DISTANCE IN WHY FOR SIX P M,BookRestaurant
4225,snips-train-2024,I'd like to go to the popular bistro in OH,I'D LIKE TO GO TO THE POPULAR BISTRO INNO,BookRestaurant
4226,snips-train-2025,restaurant scandinavian in Grenada,RESTAURANT SCANDINAVIAN AND GRANADA,BookRestaurant
4227,snips-train-2026,I want to book a close restaurant in SC for seven,I WANT TO BOOK A CLOSE RESTAURANT IN S C FOR SEVEN,BookRestaurant
4228,snips-train-2027,Find a reservation for a highly rated brasserie for me and my step sister,FIND A RESERVATION FOR A HIGHLY RATED BRASSERY FOR ME AND MY STERP SISTER,BookRestaurant
4229,snips-train-2028,I want a table to seat 10 at a close-by to Ottumwa that serves osteria and ranch dressing .,I WANT A TABLE TO SEAT TEN AT A CLOSE BY TO A TAMA THAT SERVES ASTEREA AND RANCH DRESSING,BookRestaurant
4230,snips-train-2029,Book a table for ten people in Eucalyptus Hills .,BROOK AT TABLE FOR TEN PEOPLE IN NEW CALYPTUS HILLS,BookRestaurant
4231,snips-train-203,I need another artist in the New Indie Mix playlist.,I NEED ANOTHER ARTIST IN THE NEW INDI MIX PLAYLIST,AddToPlaylist
4232,snips-train-2030,Book a table for nine people next mar .,ROOK AT TABLE FOR NINE PEOPLE NEX MA,BookRestaurant
