,train_index,train_sentence,russell_sentence,train_label
1446,snips-train-11299,Give me the movie listings at the closest cinema please.,GIVE ME THE MERVY LISTINGS OF THE CLORSEST CINAMA PLACE,SearchScreeningEvent
1447,snips-train-113,put dj green lantern on my Targeted playlist,PUTIJI GREEN LANTEN ON MY TOGGETED PLAALIST,AddToPlaylist
1448,snips-train-1130,Put hampartsoum limondjian in running to rock 170 to 190 bpm,PUT HAMPOT SUN THE MINGINE IN RUNNING TO ROK ONE HUNDRED AND SEVENTY TO ONE HUNDRED AND NINETY B P M,AddToPlaylist
1449,snips-train-11300,what animated movies are showing in the area,WAR TYNOMITED MOVE HE SAW SHOWING IN THE AERIA,SearchScreeningEvent
1450,snips-train-11301,Please inform me when I can see The Abdication at a movie theatre .,PLEASE INFORM ME WHEN I CAN SEE THE ABJUCATION AT A MERVHY THEOTRE,SearchScreeningEvent
1451,snips-train-11302,Find the schedule for Without Witness twenty two hours from now .,FOND THE SHADUAL FOR WITHOUT WITNESS TWENTY TWO HOURS ROM MAIL,SearchScreeningEvent
1452,snips-train-11303,I'd like to watch movies at the closest movie theatre,I'D LIKE TO WATCH MERVY'S AT THE CLARSEST MERVY THEATRE,SearchScreeningEvent
1453,snips-train-11304,Find the movie schedule at Malco Theatres .,FIND THE MURVY SHEDEL AT MALCAR THEATRES,SearchScreeningEvent
1454,snips-train-11305,what are the movie times for United Paramount Theatres,WHAT O THE MOVIE TIMES FOR UNITED PARAMOUND THEATRES,SearchScreeningEvent
1455,snips-train-11306,what is the movie schedules for movies in the area,WHAT IS THE MOVI SHEDULS FORMOVIES IN THE AREA,SearchScreeningEvent
1456,snips-train-11307,Is The Skull playing at Loews Cineplex,ES THE SKULL PLYING IT LOY CINOPLEX,SearchScreeningEvent
1457,snips-train-11308,what is the movie schedule for Cineplex Odeon Corporation,WHAT IS THE MOVI SHEDUAL PHOR CINOPLEX ARDI INCORPORATION,SearchScreeningEvent
1458,snips-train-11309,find animated movie at Landmark Theatres,FIND ANIMATED MOVIOF LAMARC THEATRES,SearchScreeningEvent
1459,snips-train-1131,Put Molly and Tenbrooks in the French N' Heavy playlist.,PUT MULLY AND TEN BROOKS IN THE FRENCH AND HEAVY PLAALIST,AddToPlaylist
1460,snips-train-11310,What is the movie schedule for any films playing close by at Sunset,WHAT IS THE MOVI SHEDEL FOR ANY FILMS PLAYING CLOSE BY AT SUNSET,SearchScreeningEvent
1461,snips-train-11311,What time is The Mailman playing,WHAT TIME IS THE MALD MAN PLAYING,SearchScreeningEvent
1462,snips-train-11312,When is Romance on the Range playing at movie house ?,WHEN IS ROMANCE ON THE RANGE PLYING AT MOVIE HOUSE,SearchScreeningEvent
1463,snips-train-11313,what are the movie schedules ?,WHAT HAL THE MOVYE SHEDULES,SearchScreeningEvent
1464,snips-train-11314,Can I get The Marine 2 showtimes.,CAN I GET THE MARINE TWO SHOTOMS,SearchScreeningEvent
1465,snips-train-11315,Tell me the movie schedule for Warren Theatres,TELL ME THE MOVE YE SHEDYU'LL FOR WARRANT THEORIES,SearchScreeningEvent
1466,snips-train-11316,Show the movie schedule for animated movies in the neighbourhood,SHOT A MORVY SHEDULE FOR ANIMATED MURVIES IN THE NIVALHOORD,SearchScreeningEvent
1467,snips-train-11317,What are the movie schedules for the Loews Cineplex,WHAT HAR THE MOVY SHEDULES FOR THE LOERS CENOPLIKES,SearchScreeningEvent
1468,snips-train-11318,When is The Woman going to be scheduled at the closest movie house ?,WHEN IS THE WOMAN GOING TO BE SHEDLED AT THE CLOSEST MERVY HOUSE,SearchScreeningEvent
1469,snips-train-11319,Show me movie times at MJR Theatres at 023923 pm,SHAMY MOVI TIME SAT EMPTA THEATRS AT AR TO THREE NINE TO THREE P M,SearchScreeningEvent
1470,snips-train-1132,Add this song to indie hipster,AT THIS SONGTO IN THE HIPSTER,AddToPlaylist
1471,snips-train-11320,What time is The Bride from Hell playing at Malco Theatres,WHAT TIME IS THE BRIDE FROM HELL PLAYING AT MALGAR THEATRES,SearchScreeningEvent
1472,snips-train-11321,Can I see the upcoming movie schedule ?,CAN I SEE THE UPCOMING MOVE YE SHEDULE,SearchScreeningEvent
1473,snips-train-11322,What movies are playing at the closest cinema,WHAT REVIES ARE PLYING AT THE CLOSEST CINAMA,SearchScreeningEvent
1474,snips-train-11323,show movie schedules for animated movies in the neighbourhood,SHANMUVI SHEDULS FAANIMATED MOVIES IN THE NEIBORHOOD,SearchScreeningEvent
1475,snips-train-11324,Show the movie schedule,SHITHE MOVE SEDULE,SearchScreeningEvent
1476,snips-train-11325,What movies are at Malco Theatres,WHAT MORVIES ARE AT MALCO THEATRES,SearchScreeningEvent
1477,snips-train-11326,Where will The Blonde from Peking be playing,WHERE WILL THE BOND FROM PEAKING REPLYING,SearchScreeningEvent
1478,snips-train-11327,Can I get the showtimes for The Kitchen Toto at Cineplex Odeon Corporation .,CAN I GET THE SCHARTOMS FOR THE KITCHEN TARTO AT CINOPLEXARDI INCORPORATION,SearchScreeningEvent
1479,snips-train-11328,She me movie times,SHE MAY MOVY TARMS,SearchScreeningEvent
1480,snips-train-11329,is These Girls at the cinema,IS THESE GIRLS AT THE SINEMA,SearchScreeningEvent
1481,snips-train-1133,add Roger Nichols to Punk Rock Workout,ABROGA NICKLES TO PONRO WART OUT,AddToPlaylist
1482,snips-train-11330,show me the schedule of movie Michel Strogoff,SHOW ME THE SHADUL OF MOVING MICHEL STRAGOLF,SearchScreeningEvent
1483,snips-train-11331,Find the movie schedules for Cobb Theatres .,FIND THE MERVY SHEDULES FOR COB THEATRS,SearchScreeningEvent
1484,snips-train-11332,find the movie schedules,FOND THE MOVI SHEDULS,SearchScreeningEvent
1485,snips-train-11333,find Kerasotes Theatres with movie times,FOND CARASITES THEATRES WITH MERVI TANS,SearchScreeningEvent
1486,snips-train-11334,What are the movie times one second from now at the Alamo Drafthouse Cinema,WHAT ARE THE MOVI TIMES ONE SECOND FROM NOW AT THE ALMADRAF HAUS CINEMA,SearchScreeningEvent
1487,snips-train-11335,find animated movies at Amco Entertainment,FOND ANIMATED MOVIES AT AMKORIMSITTIREMENT,SearchScreeningEvent
1488,snips-train-11336,Show me when and where I can see Song of Summer,SHUN ME WHEN AND WHERE I CAN SEE SONG OF SOMMA,SearchScreeningEvent
1489,snips-train-11337,When is Youth Without Youth being shown at the nearest movie house ?,WHEN IS YEUTH WITHOUT YEUTH BEING SHUN AT THE NEAREST MORVY HOUSE,SearchScreeningEvent
1490,snips-train-11338,Please find me the movies playing nearby,PLEASE FUND ME THE MERVYS PLAYING ME ABON,SearchScreeningEvent
1491,snips-train-11339,Show me the movie schedules for movies playing around here today.,SHAH ME THE MURVY SHEDDULS FOR MURVY'S PLYING AROUND HERE TO DAY,SearchScreeningEvent
1492,snips-train-1134,Add LaGaylia Frazier to my emotron,AD LONG GALLEPHRASED TO MY EMATRON,AddToPlaylist
1493,snips-train-11340,show the movie schedules and films in the area,SHOT THE MOVY SHEDULES AND FILMS IN THE AERIEL,SearchScreeningEvent
1494,snips-train-11341,I'd like to watch A Storm in the Stars at North American Cinemas,I'D LIKE TO WATCH AS STORM IN THE STARS OF NORTH AMERICAN CINIMES,SearchScreeningEvent
1495,snips-train-11342,Does The Yacoubian Building start at 0839 pm,DOES THE EUCUBIAN BUILDING START AT I THRTY NINE P M,SearchScreeningEvent
1496,snips-train-11343,find the nearest movie theatre with movies,FOND THE NEAREST MERVY THEATRE WITH MURVYS,SearchScreeningEvent
1497,snips-train-11344,show animated movies in nearest movie theatre,SHE ANIMATED MOVIES IN THEREST MOVIE THEOTOLE,SearchScreeningEvent
1498,snips-train-11345,She me the movie schedule for animated movies at the place nearby,SHE MADE TA MOVY SHEDULE FOR ANIMATED MOVIES AT THE PLACE NEARBY,SearchScreeningEvent
1499,snips-train-11346,Is People of the Cumberland playing at Landmark Theatres now,HES PEOPLE OF THE CUMBELE AND PLAYING AT LAN MARK THEATRES NOW,SearchScreeningEvent
1500,snips-train-11347,What are the movie times at General Cinema Corporation,WHAT ARE THE MOVI TIMES OF GENERAL CYNEMAR CORPORATION,SearchScreeningEvent
1501,snips-train-11348,Which films are playing close by ?,WHICH FILMS ARE PLYING CLOSE BY,SearchScreeningEvent
1502,snips-train-11349,show the movie schedules,SHOW THE MOVE SHEDULES,SearchScreeningEvent
1503,snips-train-1135,I want to add Black Ribbons to the i love my neo soul playlist,I WANT TO ADD BLACK RIBBONS TO THEE I LOVE MY NEAR SOUL PLIALIST,AddToPlaylist
1504,snips-train-11350,What is the nearest movie house playing George Washington Slept Here,WHAT IS THE NEAREST MAVY HOUSE PLAING GEORGE WASHINGTON SSLEPT HERE,SearchScreeningEvent
1505,snips-train-11351,find movies in the neighbourhood with movie times,FON MERVYS IN THE NEIGHBOURHOOD WITH MURVY TOMS,SearchScreeningEvent
1506,snips-train-11352,tell me what films are around here,TELL ME WHAT FILMS ARE AROUND HERE,SearchScreeningEvent
1507,snips-train-11353,find a movie house with Ulterior Motive that is closest,FIND A MOVI HOUSE WITH H ULTERIOR MOTIVE THAT IS CLOSEST,SearchScreeningEvent
1508,snips-train-11354,I need information on movie schedules,UNEEV INFORMATION ON MURVY SHEDULS,SearchScreeningEvent
1509,snips-train-11355,What movie house is playing Something for the Birds,WHAT MOVIE HOUSE IS PLAYING SOMETHING FOR THE BIRDS,SearchScreeningEvent
1510,snips-train-11356,in the neighbourhood find 11 p.m. movie schedules for movies,IN THE NEIGHBOURHOOD FOND ELEVEN P M MURVEY SHEDULES FOR MURVEYS,SearchScreeningEvent
1511,snips-train-11357,What are the movie schedules,WHAT HAL THE MOVYE SHEDULES,SearchScreeningEvent
1512,snips-train-11358,what animated movies are at the nearest cinema,WATANIMATED MOVIES ARE AT THE NEAREST CCINAMA,SearchScreeningEvent
1513,snips-train-11359,What films are showing at three o'clock at the Neighborhood Cinema Group ?,WHAT FILMS WAR SHOWING AT THREE O'CLOCK AT THE NEIGHBOURHOOD INIMA GROUP,SearchScreeningEvent
1514,snips-train-1136,Add Shangri-La to the African Heat playlist.,AD SHANGRELA TO THE AFRICAN HEAT PLIALIST,AddToPlaylist
1515,snips-train-11360,in 1 hour and 1 minute find a cinema nearest for films,IN ONE HOUR AND ONE MINUTE FIND A CINIMONEAREST FOR FILMS,SearchScreeningEvent
1516,snips-train-11361,Show me movie times at the Pacific Theatres for the movie The Hot Rock,SHAMI MURVI TIMES AT THE PACIFIC THEATRES FOR THE MURVY THE HOT ROCK,SearchScreeningEvent
1517,snips-train-11362,Where can I find Paranormal Activity 3 playing near me 1 hour from now,WHERE CAN I FIND PARANOMAL ACTIVITY TO REPLYING ME EMMY ONE HOW FROM NOW,SearchScreeningEvent
1518,snips-train-11363,Show the latest animated movies movie times for the nearest movie house,SHOW THE LIGHTEST ANIMATED MOVIES MOVIE TIMES FOR THE NEAREST MOVIE HOUSE,SearchScreeningEvent
1519,snips-train-11364,I would like to see a schedule for movies at the nearest movie house .,I WOULD LIKE TO SEE A SHEDAL FOR MOVIES AT THE NEAREST MOVIE HOUSE,SearchScreeningEvent
1520,snips-train-11365,I'd like to see showings for All the Way Home at Kerasotes Theatres .,I'D LIKE TO SEE SHOINGS FOR ALL THE WAY HAME OUT TARASARDES THEATERS,SearchScreeningEvent
1521,snips-train-11366,Show movie schedule at Amco Entertainment,SCHANRI VI SHEDUL OF AMKORIMSITTINMENT,SearchScreeningEvent
1522,snips-train-11367,find a movie theatre with animated movies that is closest to me,FIND A MOVI THEATRE WITH ANIMATED MOVIES THAT IS CLOSEST TO ME,SearchScreeningEvent
1523,snips-train-11368,give me the movie times for movies showing in the neighborhood,GIVE MEE THE MURVY TAMS FOR MUERVYS SHOWING IN THE NABAHOORD,SearchScreeningEvent
1524,snips-train-11369,What are movie times for movies playing in the neighborhood ?,WHAT AL MUERVY TOMS FOR MERVY'S PLYING IN THE NIBEHOOD,SearchScreeningEvent
1525,snips-train-1137,Add Sweet Black Angel to my Diarios de Bicicleta playlist,OUT SWEEP BLACK ANGEL TO MY GEL YOSTER BEASY CLET APLIALIST,AddToPlaylist
1526,snips-train-11370,what films are on the movie schedule for ten at a close by theater,WHAT FILMS ARE ON THE MOVE SHEDULL FOR TEM OUT A CLOSE BY THEATRE,SearchScreeningEvent
1527,snips-train-11371,Please tell me the current and local movie times,PLEASE TELL ME THE CONT AND LOCAL MERVY TONS,SearchScreeningEvent
1528,snips-train-11372,Show movie schedules at AMC Theaters,SHAMMIVI SHEDULES AT A AM SETHEATRS,SearchScreeningEvent
1529,snips-train-11373,What's the nearest movie theatre playing Testament of Orpheus ?,WHAT'S THE NEAREST MAVY TEIT APPLYING TESTAMENT OF OLPHEUS,SearchScreeningEvent
1530,snips-train-11374,I'd like to see the current showtimes for His Kind of Woman,I'D LIKE TO SEE THE CORRANT SHIT ARMS FOR HIS KIND OF WOMAN,SearchScreeningEvent
1531,snips-train-11375,What are the movie schedules at the IMAX Corporation,WHAT ARE THE MOVIE SHEDUILS OF THE ARMAX CORPORATION,SearchScreeningEvent
1532,snips-train-11376,When is Longwave going to be playing?,WHEN HIS LONE WIFE GOING TO BE PLAYING,SearchScreeningEvent
1533,snips-train-11377,Can I get the showtimes for animated movie in the neighbourhood ?,CAN I GET THE CHARTONS FOR ANIMATED MUVI IN THE NEIGHBORHOOD,SearchScreeningEvent
1534,snips-train-11378,show movie times for animated movies nearby,SHAHMUVI TIMES FOR ANIMATED MERVIES NEAR BY,SearchScreeningEvent
1535,snips-train-11379,What time is Truth About Kerry playing at movie house,WHAT TOM IS TRUTH ABOUT CARRY PLAYING AT MUVIE HOUSE,SearchScreeningEvent
1536,snips-train-1138,Add Every Song Is a Cry for Love to my playlist Soul 'n' The City,AT EVERY SONG IS A CRY FOR LOVE TO MY PLONEST SOIN THE CITY,AddToPlaylist
1537,snips-train-11380,Where is The Penthouse playing,WHERE IS THE PENT HOUSE PLYING,SearchScreeningEvent
1538,snips-train-11381,"i want to see Love, Speed and Thrills at the nearest cinema",I WANT TO SEE LOVE SPEED AND THRILLS IT THE NEAREST CINEMA,SearchScreeningEvent
1539,snips-train-11382,I'd like to know the movie times for movies nearby me,I'D LIKE TO NAW THE MERVY TIMES FOR MERVIES MEABARME,SearchScreeningEvent
1540,snips-train-11383,What films are scheduled at the closest cinema ?,WHAT FILMS ARE SHADUAL ITH THE CLOSEST SINAMAR,SearchScreeningEvent
1541,snips-train-11384,where can i watch Key to the City,WHERE CAN I WATCH KEATS OF THE CITY,SearchScreeningEvent
1542,snips-train-11385,Is Love and Other Troubles playing,IS LOVE IN OTHER TROUBLES PLAYING,SearchScreeningEvent
1543,snips-train-11386,What time is The Ladies Diplomat playing?,WHAR TIME IS THE LIGHTY DIPLOMAT PLAYING,SearchScreeningEvent
1544,snips-train-11387,What movies are playing at the closest cinema,WHAT REVIES ARE PLYING AT THE CLOSEST CINAMA,SearchScreeningEvent
1545,snips-train-11388,I need an animated movies in the area for dinner time,I NEED INANIMATED MOVIES IN THE AREA FOR DINNER TOM,SearchScreeningEvent
1546,snips-train-11389,Can i get the showtimes for films in the area .,CAN I GET THE SCHARTAMS FUL FILMS IN THE AREA,SearchScreeningEvent
1547,snips-train-1139,Can you put the album onto Cierra La Puerta ?,CAN YE PUT THE ALBAMON TO SEE ER A LA POITA,AddToPlaylist
1548,snips-train-11390,find films closest to a cinema,FINE FILMS CLOISES TO A SILAMA,SearchScreeningEvent
1549,snips-train-11391,find movie times,FONE MERVIT ARMS,SearchScreeningEvent
1550,snips-train-11392,when can i see We and Our Mountains,WHEN KEN I SEE WEE A BOU MOUNTAINS,SearchScreeningEvent
1551,snips-train-11393,"What time is Careful, He Might Hear You playing at the cinema",WHAT TIME IS CAREFUL HE MAGTER YOU PLYING AT THE CINAMA,SearchScreeningEvent
1552,snips-train-11394,find Wild at Heart,FINE WALDERD HAWS,SearchScreeningEvent
1553,snips-train-11395,Is The Lady and the Highwayman playing at 7 A.M. at Dipson Theatres ?,IS THE LIGHTY AND THE HIGHWAYMEN PLAYING AT SEVEN A M A DIPSEN THEATRS,SearchScreeningEvent
1554,snips-train-11396,What time is Goodbye Mothers playing?,WHAT TOM IS GOOD BARMOT IS PLYING,SearchScreeningEvent
1555,snips-train-11397,Is You Will Meet a Tall Dark Stranger at Bow Tie Cinemas,IS YOU WILL MEET A TALL DARK STRANGER AT BATICINAMAS,SearchScreeningEvent
1556,snips-train-11398,Find time for the movie schedule,FIND TIME FOR THE MERVY SHEDUL,SearchScreeningEvent
1557,snips-train-11399,Is Hercules and Xena The Battle for Mount Olympus playing at the closest cinema,IS HERCULES AND ZENA THE BATTLE FOR MOUNT OLYMPUS PLAYING AT THE CLOSEST CINAMA,SearchScreeningEvent
1558,snips-train-114,Add Jermaine Fagan to spring music,AD GERMAINE FAGIN TO SPRING MUSIC,AddToPlaylist
1559,snips-train-1140,Add Written in Red to my cleaning the house playlist.,AD WRITTEN IN RITE TO MONT CLANING THE HOUSE PLAALIST,AddToPlaylist
1560,snips-train-11400,Recite the movie schedule .,RECITE THE MOVIE SHEDULE,SearchScreeningEvent
1561,snips-train-11401,Which animated movies are playing today at KB Theatres ?,WHICH ANIMATED MOVIES APPLYING TO DAY AT CIBITHEATRES,SearchScreeningEvent
1562,snips-train-11402,what time is The Clutching Hand playing at Amco Entertainment,WHAT TIME IS THE CLUTCHING HAND PLYING IT ANCHOR ENTERTAINMENT,SearchScreeningEvent
1563,snips-train-11403,Which films are playing at the closest movie house ?,WHICH FILMS ARE PLYING AT THE CLOSEST MOVI HOUSE,SearchScreeningEvent
1564,snips-train-11404,can i get the showtimes for films in the neighbourhood,CAN I GET THE SHIRE TIMES FOR FILMS IN THE NEIGHBORHOOD,SearchScreeningEvent
1565,snips-train-11405,show nearest movie theatre to watch Black Jesus,SHANGRIST MAYBE THEATRE TO WATCH BLACK JESUS,SearchScreeningEvent
1566,snips-train-11406,what films are showing in the neighborhood,WHAT FILMS ARE SHOWING IN THE NEIGHBORHOOD,SearchScreeningEvent
1567,snips-train-11407,When is Scaramouche playing?,WHEN HIS SCOUR MOUSH PLYING,SearchScreeningEvent
1568,snips-train-11408,I'd like to watch Dirty Laundry at the movie house,I'D LIKE TO WATCH DIRDY LAUNDRY AT THE MURVY HOUSE,SearchScreeningEvent
1569,snips-train-11409,What movies are playing in the area,WHAT MAVIES ARE PLYING IN THE AREA,SearchScreeningEvent
1570,snips-train-1141,add this peter iwers album to my ntc gym strong,ADD THIS PETER I WAS ALBUM TO MY ANTHE SEE JIM STRONG,AddToPlaylist
1571,snips-train-11410,Can I know what animated movies are scheduled in the neighbourhood ?,CAN I KNOW WHAT ANIMATED MOVE YOU SAW SHEDULED IN THE NEIGHBORHOOD,SearchScreeningEvent
1572,snips-train-11411,what animated movie are at the theater in the neighborhood,WA TIMEMITED MOUVIARE AT THE THEATRE IN THE NEIGHBORHOOD,SearchScreeningEvent
1573,snips-train-11412,what time is The Bodyguard at Malco Theatres playing,WHAT TIME IS THE BODY GODET MALGAR THEAT IS PLAYING,SearchScreeningEvent
1574,snips-train-11413,Give me the showtimes for animated movies at the nearest cinema .,GIVE ME THE SHOW TIMES FOR ANIMATED MOVIES OF THE NEAREST CINEMA,SearchScreeningEvent
1575,snips-train-11414,What time is The Bride’s Journey playing at Star Theatres ?,WHAT TIME IS THE BRIDE'S GERMY PLAYING AT STAR THEATRES,SearchScreeningEvent
1576,snips-train-11415,Advise me on the movie schedule of films that will be playing at 073132 pm at a place close by .,ADVISE ME ON THE MOVY SHEDULE OF FILMS THAT WILL BE PLAYING AT OUR SEVEN THREE ONE THREE TWO P M ATO PLACE CLOSE BY,SearchScreeningEvent
1577,snips-train-11416,Find the schedule for Vanishing of the Bees at a movie house .,FIND THE SHADUAL FOR VANISHING OF THE BEES AT A MURVY HOUSE,SearchScreeningEvent
1578,snips-train-11417,Where is the nearest movie theatre I can go watch films today?,WHERE IS THE NEAREST MAVY THEATRE I CAN GUN WATCH FILMS TO DAY,SearchScreeningEvent
1579,snips-train-11418,What time is Phil Ochs There but for Fortune playing at the movie house,WHAT TIME IS PHELAX THERE BUT FOR FORTUNE PLAYING AT THE MURVY HOUSE,SearchScreeningEvent
1580,snips-train-11419,What time is Sontha Ooru playing,WHAT TIME IS SOMTH REPLYING,SearchScreeningEvent
1581,snips-train-1142,add artist to my friendesemana playlist,ADATUS TO MY FRIEND E SUMONOPLAALIST,AddToPlaylist
1582,snips-train-11420,show movie times,SHOMUVITAMS,SearchScreeningEvent
1583,snips-train-11421,Show a movie schedule with Bow Tie Cinemas,SHALL MOVE YE SHEDULE WITH BOTICINAMES,SearchScreeningEvent
1584,snips-train-11422,Are any animated movies playing at Magic Johnson Theatres ?,ARE ANY ANIMATED MOVIES PLAYING AT MAGIC JOHNSON THEATRES,SearchScreeningEvent
1585,snips-train-11423,Is there a movie theatre showing Last Cab to Darwin today?,IS THERE EMOVEE THEATER SHOWING THE LOST CALPS O DAL WIND TO DAY,SearchScreeningEvent
1586,snips-train-11424,find a Loews Cineplex with films,FIND A LOYS SINNERPLEX WITH FILMS,SearchScreeningEvent
1587,snips-train-11425,Can you let me know where I can watch The Nest ?,CAN YOU LET ME KNOW WHERE I CAN WATCH THE NEST,SearchScreeningEvent
1588,snips-train-11426,What are the local movie times,WHAT AR THE LOCAL MOV ITS ARMS,SearchScreeningEvent
1589,snips-train-11427,What time is Swarna Trishna playinh at Loews Cineplex,WHAT TOM IS SWAN A TRITIAN APPLY ON AT LOS CINOPLAX,SearchScreeningEvent
1590,snips-train-11428,Can you give me the movie schedules for films close by ?,CAN YE GIVE ME THE MOVEYO SHADDULES FOR FILMS CLOSE BY,SearchScreeningEvent
1591,snips-train-11429,What time is film showing at Southern Theatres,WHAT TIME IS FILM SHOWING AT SOUTHERN THEATERES,SearchScreeningEvent
1592,snips-train-1143,put donnie g don gorilla on my classical romance playlist,PUT TOMMY GID ON GUERILLA ON MY CLASSICAL ROMANCE PLIOLOST,AddToPlaylist
1593,snips-train-11430,Where is the nearest cinema playing Compound Fracture,WHERE IS THE NEAREST SOONIN MY PLYING COMPOUN FRACTA,SearchScreeningEvent
1594,snips-train-11431,What is the local movie times,WHAT IS THE LOCAL MERPHY TIMES,SearchScreeningEvent
1595,snips-train-11432,Show movies in the neighborhood,CHARMURVY'S IN THE NEIGHBORHOOD,SearchScreeningEvent
1596,snips-train-11433,Will you show me a schedule for movies around here ?,WILL YOU SHOW ME A SHADUAL FOR MOVIES AROUND HERE,SearchScreeningEvent
1597,snips-train-11434,find National Amusements showing The Trouble with Harry,FOND NATIONAL AMUSEMENTS SHOWING THE TROUBLE WITH HARRY,SearchScreeningEvent
1598,snips-train-11435,Find movie times .,FONE MERVIT ARMS,SearchScreeningEvent
1599,snips-train-11436,Tell me when Howling II Your Sister Is a Werewolf is playing.,TELL ME WHENHOWLING TO YOUR SISTER IS A WHERE WORF IS PLAYING,SearchScreeningEvent
1600,snips-train-11437,What are the movie times for animated movies playing close by,WHAT ARE THE MOVIE TIMES FOR ANIMATED MOVIES PLUYING CLOSE BY,SearchScreeningEvent
1601,snips-train-11438,whats the movie schedules for General Cinema Corporation,WHAT'S THE MOVI SHEDULES FOR GENERAL CYNAMA CORPORATION,SearchScreeningEvent
1602,snips-train-11439,What time is High Schools playing,WHAT TOM IS HAW SCHOOLS PLING,SearchScreeningEvent
1603,snips-train-1144,add artist to my playlist primavera sound 2016 barcelona,ADATIS TO MY PLILIST PRIMOVERA SOUND TWENTY SIXTEEN BOSSELARNO,AddToPlaylist
1604,snips-train-11440,find Alamo Drafthouse Cinema with animated movies,FIND THE OLMER DRAFT HOUSE CINNIMON WITH ANIMATED MURVYES,SearchScreeningEvent
1605,snips-train-11441,What animated movies are at Dipson Theatres,MOTANOMATED MURVIES ARE AT DIPS AND THEATRS,SearchScreeningEvent
1606,snips-train-11442,will Dick Tracy e il gas misterioso start twenty one hours from now,WE'LL DICK TRICY E IL GASMAY TERRY ALSO STOPP TWENTY ONE HOURS FROM NOW,SearchScreeningEvent
1607,snips-train-11443,What time is cinema playing The Village Priest ?,WHAT TOM IS SINIMOR PLYING THE VILLAGE PRIEST,SearchScreeningEvent
1608,snips-train-11444,What cinema is the closest showing movies,WHAT CINAMA IS THE CLOSEST SHINE MOVIES,SearchScreeningEvent
1609,snips-train-11445,find movie times,FONE MERVIT ARMS,SearchScreeningEvent
1610,snips-train-11446,is Transcending Fear at Malco Theatres,HIS TRANSCENDING FIR AT MALCO THEATRES,SearchScreeningEvent
1611,snips-train-11447,When can I go see The Untold Story ?,ONE CAN I GO SEE THE ON TOLD STORY,SearchScreeningEvent
1612,snips-train-11448,Which animated movies are playing at Fox Theatres ?,WHICH ANIMATED MURVIES ARE PLYING AT FOLKS THEATRES,SearchScreeningEvent
1613,snips-train-11449,I'd like to watch May Blossom,I'D LIKE TO WATCH MYY BLOSSOM,SearchScreeningEvent
1614,snips-train-1145,"I want to add Aprite le finestre to my playlist entitled This Is Earth, Wind & Fire",I WANT TO ADD OUR PRETALAPHINA STRAIT TO MY PLILUST ENTITLED TIS ISEARTH WIND AND FILE,AddToPlaylist
1615,snips-train-11450,Show the movie schedules at KB Theatres,SHOW THE MOVI SHEDULES OF CYBI THEATRES,SearchScreeningEvent
1616,snips-train-11451,find movie times,FONE MERVIT ARMS,SearchScreeningEvent
1617,snips-train-11452,find Goodrich Quality Theaters films,FINE GOODRICH QUALITY THEATERES FILMS,SearchScreeningEvent
1618,snips-train-11453,Is I Was an American Spy playing at 11 a.m. at Southern Theatres,E'S ALWAYS AN AMERICAN SPOT PLAYING OUT ELEVEN A M AT SOUTHERN THEATRES,SearchScreeningEvent
1619,snips-train-11454,Which movies are playing at AMC Theaters ?,WHICH MOVIES A PLYING OF AAM SETHEATRES,SearchScreeningEvent
1620,snips-train-11455,What are the movie schedule for the movies in the neighborhood,WHAT ARE THE MERVY SHADUL FOR THE MERVIES IN THE NEIGHBORHOOD,SearchScreeningEvent
1621,snips-train-11456,Show me the movie times for Caribbean Cinemas in 1 second .,SHAME THE MURVI TIMES FOR CARBIAN CINAMUS IN ONE SECOND,SearchScreeningEvent
1622,snips-train-11457,I'm wondering what movies will be laying around here .,I'M WONDERING WHAT MOVIES WILL BE LYING AROUND HERE,SearchScreeningEvent
1623,snips-train-11458,movie schedule at Cinemark Theatres,MOVI SHEDULE AT CINEMAR THEATRES,SearchScreeningEvent
1624,snips-train-11459,What movies are in the neighbourhood,WHAT MERVIES ARE IN THE NEIGHBOURHOOD,SearchScreeningEvent
1625,snips-train-1146,"put this song in my funk playlist, please",PUT THIS SONG IN MY FUNG PLIALIST PLEASE,AddToPlaylist
1626,snips-train-11460,When is Game in the Sand playing at the movie house ?,WHEN HIS GAME IN THE SAND PLYING AT THE MURVY HOUSE,SearchScreeningEvent
1627,snips-train-11461,Give me the showtimes for Sign of the Anchor .,GIVE ME GE SHIRT ARMS FORSON OF THE ANGA,SearchScreeningEvent
1628,snips-train-11462,when is Our Story showing next at North American Cinemas,WHEN IZASTORI SHOWING NEXT TO NORTH AMERICAN CINAMAS,SearchScreeningEvent
1629,snips-train-11463,I'd like to watch movies at KB Theatres,I'D LIKE TO WATCH MURVYS AT CABYTHEARRES,SearchScreeningEvent
1630,snips-train-11464,Find the nearest movie house that's showing movies,FIND THE NEAREST MOVI HOUSE THATS SHOWIN MOVIES,SearchScreeningEvent
1631,snips-train-11465,Which is the nearest cinema showing A Cooler Climate that starts now ?,WHICH IS THE NEAREST SYNEM A SHELLING A COOL OF CLONIT THAT'S DOD SNELL,SearchScreeningEvent
1632,snips-train-11466,Where and at what time can I see Paragraphe 78,WHERE AND AT WHAT TIME CAN I SEE PARAGRAPHOR SEVENTY EIGHT,SearchScreeningEvent
