,train_index,train_sentence,justin_sentence,train_label
2409,snips-train-12165,Show me Dombey and Son movies .,SHOW ME DALMIAN SON MOVIES,SearchScreeningEvent
2410,snips-train-12166,What animated movies are around here,WHAT ANIMATED MOVIES ARE ROUND HERE,SearchScreeningEvent
2411,snips-train-12167,What time is Showcase Cinemas playing Straight Is the Way,WHAT TIME IS SHOKI SENT HIM IS PLAYING STRAIGHT EN IS THE WAY,SearchScreeningEvent
2412,snips-train-12168,Find me showtimes for A Christmas Story starting at eleven o'clock .,FIND ME SHOW TIMES FOR A CHRISTMAS STORY STARTING AT ELEVEN O'CLOCK,SearchScreeningEvent
2413,snips-train-12169,What is the movie schedule for the North American Cinemas,WHAT IS THE MOOVIE SCHEDULE FOR THE NORTH AMERICAN CINTAMES,SearchScreeningEvent
2414,snips-train-1217,Please add Iris DeMent to my playlist this is selena,PLEASE AT IRIS COMMENT TO MY PLAYLAS THIS IS SALENA,AddToPlaylist
2415,snips-train-12170,find start time in 12 seconds for National Bomb,FIND START TIME IN TWELVE SECONDS FOR NATIONAL BOM,SearchScreeningEvent
2416,snips-train-12171,where is Beyblade Fierce Battle playing,WHERE IS BABELADE FIERCE BATTLE PLAY,SearchScreeningEvent
2417,snips-train-12172,Give me the local movie times .,GIVE ME THE LOCAL MOVYOU TIMES,SearchScreeningEvent
2418,snips-train-12173,What time is Just Around the Corner playing,WHAT TIME IS JUST AROUND THE CORNER PLAY,SearchScreeningEvent
2419,snips-train-12174,I want to go see A Troll in Central Park .,I ONE WHO GO S ATROLAND CENTRAL PARK,SearchScreeningEvent
2420,snips-train-12175,Is Thenaruvi playing at the Douglas Theatre Company in one hour ?,AS THEN A RUBY PLAYING AT THE DOUGLAS THEATRE COMPANY IN ONE HOUR,SearchScreeningEvent
2421,snips-train-12176,I need a list of places in the area that I can see animated movies in six minutes,I NEED A LIST OF PLACES IN E AREA THAT I CAN SEE ANIMATED MOVIES IN SIX MINUTES,SearchScreeningEvent
2422,snips-train-12177,Where animated movies does North American Cinemas feature,WHERE ANIMATED MOVIES DOES NORTH AMERICAN CINIMA'S FEATURE,SearchScreeningEvent
2423,snips-train-12178,Which movie theatre with Clean and Sober is closest to me?,WHICH MOVI THEATRE WITH CLEAN AND SOBERS CLOSEST TO ME,SearchScreeningEvent
2424,snips-train-12179,What time is 楽園追放 -Expelled from Paradise-,BUT TIME IS EXPELLED FROM PARADISE,SearchScreeningEvent
2425,snips-train-1218,Add this marilyn manson tune to Latin Party Anthems,AD THUS MARYLAND MANSIN TUNE TO LATIN PARDIANTHUMS,AddToPlaylist
2426,snips-train-12180,Fine movie times .,FINE MOVIE TIMES,SearchScreeningEvent
2427,snips-train-12181,show me the schedule of movie Shadow of a Woman,SHOW ME THE SCHEDUL OF THE MOOVY SHADOW OF A WOMAN,SearchScreeningEvent
2428,snips-train-12182,What theater is playing Haunted Honeymoon,WHAT THEATRES PLAYING HAUNTED HONEY MOON,SearchScreeningEvent
2429,snips-train-12183,Find movie schedules .,FINE MOVI SCHEDULES,SearchScreeningEvent
2430,snips-train-12184,What time is Crawlspace playing at the Caribbean Cinemas,WHAT TIME HAS CRAWL SPACE PLAYING AT THE CYRIBIAN CINNMUS,SearchScreeningEvent
2431,snips-train-12185,Can you give me a list of films at Cinemark Theatres ?,CAN YOU GIVE ME A LIST OF FILMS AT SENEMARK THEATRES,SearchScreeningEvent
2432,snips-train-12186,find Mysterious Castles of Clay,FINE MYSTERIOUS CASTLES OF CLAY,SearchScreeningEvent
2433,snips-train-12187,what movie theatre closest to me is playing animated movies and when,WHAT MOVI THEATRE CLOSEST TO ME IS PLAYING AN IMATED MOVIES AND WHEN,SearchScreeningEvent
2434,snips-train-12188,when is Red Shirts showing at Dickinson Theatres,ONE IS RAD CHURCH SHOWING AT DICKENS AND THEATRES,SearchScreeningEvent
2435,snips-train-12189,Is this film going to be at Malco Theatres ?,IS THIS FILM GOING TO BE AT MALCO THEATRES,SearchScreeningEvent
2436,snips-train-1219,add zion golan to my signed xoxo playlist,ADIN GO ON TO MY SIN EXOEXO PLAYALIST,AddToPlaylist
2437,snips-train-12190,Where is the nearest movie theatre that is playing The King Maker,WHERE IS THE NEAREST MOVI THEATR THAT IS PLAYING THE KINGMAKER,SearchScreeningEvent
2438,snips-train-12191,What time is The Face in the Moonlight showing?,WHAT TIME IS THE FACE IN THE MOONLIGHT JOING,SearchScreeningEvent
2439,snips-train-12192,Find movie schedules .,FINE MOVI SCHEDULES,SearchScreeningEvent
2440,snips-train-12193,Where is All Night Long 3 playing 1 hour from now,WHEREIS ALL NIGHT LONG THREE PLAYING ONE HOUR FROM NOW,SearchScreeningEvent
2441,snips-train-12194,Where the The Housemaid playing and when,WHERETE THE HOUSE MADE PLAYING AND WENT,SearchScreeningEvent
2442,snips-train-12195,what films are playing at KB Theatres,WHAT FILMS ARE PLAYING AT C B THEATRES,SearchScreeningEvent
2443,snips-train-12196,When is One by One playing?,WHEN IS ONE BY ONE PLAY,SearchScreeningEvent
2444,snips-train-12197,Give me a list of films that play in the neighbourhood,GIVE ME A LIST OF FILMS THAT PLAY IN THE NEIGHBORHOOD,SearchScreeningEvent
2445,snips-train-12198,Which movies are playing at AMC Theaters 1 second from now ?,WHICH MOVIES ARE PLAYING AT AM C THEATRES ONE SECOND FROM NOW,SearchScreeningEvent
2446,snips-train-12199,find a cinema closest with animated movies,IM A SENTIMEN CLOSEST WITH ANIMATED MOVIES,SearchScreeningEvent
2447,snips-train-122,add a shot at glory to calm before the storm,ADD A SHOD OF GLORY TO COME BEFORE THI STORM,AddToPlaylist
2448,snips-train-1220,Add the artist to the nuclear blast novelties playlist.,ADD THE ARTIST OF THE NUWCLEER BLAST NOVELTY'S PLAALIST,AddToPlaylist
2449,snips-train-12200,I'd like to watch The Utopian Society,I'D LIKE TO WATCH THE UTOPIAN SOCIETY,SearchScreeningEvent
2450,snips-train-12201,When is Twentynine Palms playing at Plitt Theatres ?,WHEN HIS TWENTY NINE PALMS PLAYING A BLET THEATRES,SearchScreeningEvent
2451,snips-train-12202,Is the start eim 23 hours twenty one minutes and one second from now for Morgan – A Suitable Case for Treatment at Santikos Theatres,IS THE STARTAM TWENTY THREE HOURS TWENTY ONE MINUTES IN ONE SECOND FROM NOWFOR MORGAN A SUITABLE CASE FOR TREATMENT AT SANTICOS THEATRES,SearchScreeningEvent
2452,snips-train-12203,Show me the movie schedule for Caribbean Cinemas,SHOW ME THE MOVY SCHEDULE FOR CURUBIAN CINAMUS,SearchScreeningEvent
2453,snips-train-12204,What time is Summer School playing?,BUT TIME IS SUMMER SCHOOL PLAY,SearchScreeningEvent
2454,snips-train-12205,Is The Day of the Beast playing at three p.m. ?,IS THE DAY OF THE BEASTS PLAYING AT THREE P M,SearchScreeningEvent
2455,snips-train-12206,What is the movie schedule,WHAT IS THE MOVY SCIDULE,SearchScreeningEvent
2456,snips-train-12207,find Partners in Action at Dickinson Theatres,FINE PARTNERS AND ACTION AT DEAKONS AND THEATRES,SearchScreeningEvent
2457,snips-train-12208,Show me the movie schedule,SHOW ME THE MOVY SCHESUL,SearchScreeningEvent
2458,snips-train-12209,i want to watch Ghosts of the Abyss at Kerasotes Theatres,I WANT O WASH GHOSTS OF THE EBYSSAT CARISOTUS THEATRS,SearchScreeningEvent
2459,snips-train-1221,Add the time warp to Wild & Free Workout,HAD THE TIME WORP TO WILD AND FREE WORKOUT,AddToPlaylist
2460,snips-train-12210,What films are playing at the closest cinema,WHAT FILMS ARE PLAYING AT THE CLOSEST CINAMA,SearchScreeningEvent
2461,snips-train-12211,Find the schedule for The Voice in the Fog at night at the closest movie house .,FIND THE SCHEDULE FOR THE VOICE IN THE FOG AT NIGHT AT THE CLOSEST MOVY HOUSE,SearchScreeningEvent
2462,snips-train-12212,What is the films with movie times in the area,WHAT IS THE FILMS WITH MOVI TIMES IN THE AREA,SearchScreeningEvent
2463,snips-train-12213,What movie times start in 22 seconds at Magic Johnson Theatres,WHAT MOVI TIMES START IN TWENTY TWO SECONDS AT MAGIC JOHN SYNTHEATRES,SearchScreeningEvent
2464,snips-train-12214,Where is the nearest cinema that has Southside 1-1000 ?,WEAR IS THE NEAREST CYNTAMEN THAT AS SEUF SIDE ONE TO ONE THOUSAND,SearchScreeningEvent
2465,snips-train-12215,Find a movie schedule .,FINE EN MOVY SCEZU,SearchScreeningEvent
2466,snips-train-12216,what time is The World According to John Coltrane playing,WHAT TIME IS THE WORLD ACCORDING TO JOHN COLD TRAIN PLAYING,SearchScreeningEvent
2467,snips-train-12217,find a movie schedule,FINE EN MOVY SCEZU,SearchScreeningEvent
2468,snips-train-12218,When is Sins of the Fathers playing?,WHEN HIS SONS OF THE FATHERIS PLAYING,SearchScreeningEvent
2469,snips-train-12219,Find the movie schedule for ArcLight Hollywood .,FIND THE MOVY SCHEDULE FOR OUR GLIHT HOWLE WOUD,SearchScreeningEvent
2470,snips-train-1222,I want you to add must b 21 to acoustic covers the mash ups .,I WANT YOU TO ADD MUST BE TWENTY ONE TO HOOSI COVERS AND MASHUPS,AddToPlaylist
2471,snips-train-12220,When is Stripped to Kill II Live Girls playing at the nearest movie house ?,ONE IS STRIPPED TO KILT WHO LIVE GIRLS PLAYING AT THE NEAREST MOVIE HOUSE,SearchScreeningEvent
2472,snips-train-12221,in the neighbourhood find movies starting in thirteen hours,IN THE NEIGHBOURHOOD FINE MOVIES STARTING IN THIRTEEN HOURS,SearchScreeningEvent
2473,snips-train-12222,What are the movie times at Landmark Theatres,WHAT ARE THE MOVING TIMES AT LANDMARK THEATRES,SearchScreeningEvent
2474,snips-train-12223,show movie times at Megaplex Theatres,SHOW MOVI TIMES AT MAGGEPLUX THEATRES,SearchScreeningEvent
2475,snips-train-12224,whats the closest cinema showing Swamp Water,WHAT'S THE CLOSEST CINIMA SHOWING SWAMP WATER,SearchScreeningEvent
2476,snips-train-12225,Can you let me know the films that are on the movie schedules in the area at noon ?,CAN YOU LET ME KNOW THE FILMS THAT ARE ON THE MOVY SCHADULES IN THE AREA AVERNOON,SearchScreeningEvent
2477,snips-train-12226,"When and where is Nefertiti, Queen of the Nile playing?",WHEN AND WHERE IS NEPHERTIDI QUEEN OF THE NILE PLAYING,SearchScreeningEvent
2478,snips-train-12227,find the nearest movie house with Pirates of the 20th Century,FIND THE NEAREST MOOVIE HOUSE WITH PIRATES OF THE TWENTIETH CENTURY,SearchScreeningEvent
2479,snips-train-12228,When is Ode to Billy Joe playing at the closest movie house ?,WHEN AS ODE BELLIGIO PLAYING AT THE CLOSEST MOVIE HOUSE,SearchScreeningEvent
2480,snips-train-12229,Which films are playing in the neighborhood one second from now ?,WHICH FILMS ARE PLAYING IN THE NEIGHBORHOOD ONE SECOND FROM NOW,SearchScreeningEvent
2481,snips-train-1223,add ths album to my Pachangueo Total,AT T H HA S ALBUM DO MY PETRON WA OU TOTO,AddToPlaylist
2482,snips-train-12230,what movies are playing at Warren Theatres,WHAT MOVEES ARE PLAYING AT WAR AN THEATRES,SearchScreeningEvent
2483,snips-train-12231,What cinema is playing The White Stadium ?,WHAT CENIMES PLAYING THE WHITE STADIUM,SearchScreeningEvent
2484,snips-train-12232,find Kerasotes Theatres showing animated movies,FINE CARSOTUS THEATRES SHOWING ANIMATED MOVIES,SearchScreeningEvent
2485,snips-train-12233,What time is the nearest cinema playing The Hopes of Blind Alley,WHAT TIME IS THE NEAREST CINAMEN PLAN THE HOPES OF BLYOND ALLEY,SearchScreeningEvent
2486,snips-train-12234,What animated movies are at Pacific Theatres,WHAT ANIMATED MOVIES ARE AT PACIFIC THEATRES,SearchScreeningEvent
2487,snips-train-12235,find movies at the nearest cinema,FINE MOVIES AT THE NEAREST CINEMA,SearchScreeningEvent
2488,snips-train-12236,Can I get the movie schedules in the neighbourhood for the newest films,CAN I GET THE MOVI SCHADULES IN THE NEIGHBORHOOD FOR THE NEWEST FELMS,SearchScreeningEvent
2489,snips-train-12237,What is the showtime for Arsho,WHAT IS THE SHOWTIME FOR ARSHU,SearchScreeningEvent
2490,snips-train-12238,What animated movies are playing at the closest cinema ?,WHAT ANIMATED MOVIES ARE PLAYING TAT THE CLOSEST CINIMA,SearchScreeningEvent
2491,snips-train-12239,give me the Morning movie schedules,GIVE ME THE MORNING MOVY SCHEDULES,SearchScreeningEvent
2492,snips-train-1224,add an album in Sweet Soul Chillout,AD AN ALBUM IN SWEET SULCHILOUT,AddToPlaylist
2493,snips-train-12240,what films are on the movie schedule around here,WHAT FILMS ARE ON THE MOVI SCHEDULE AROUND HERE,SearchScreeningEvent
2494,snips-train-12241,Show me the current movie times,SHOW ME THE CURREN MOVIE TIMES,SearchScreeningEvent
2495,snips-train-12242,Find the schedule for Salt of the Black Earth at the closest movie house .,FIND THE SCHEDULE FOR SALT OF THE BLACK HEARTH AT THE CLOSEST MOVIE HOUSE,SearchScreeningEvent
2496,snips-train-12243,What movie times are there at ArcLight Hollywood,WHAT MOVI TIMES ARE THERE AT AR QUITE HOLLYWOOD,SearchScreeningEvent
2497,snips-train-12244,Can I get the showtimes for the closest movie theatre that has the newest films .,CAN I GET THE SHOW TIMES FOR THE CLOSEST MOVING THEATR THAT HAS THE NEWEST FELMS,SearchScreeningEvent
2498,snips-train-12245,What time will The Age of Success be showing?,WHAT TIME WILL THE AGE OF SUCCESS BE SHOWING,SearchScreeningEvent
2499,snips-train-12246,Find a movie schedule .,FINE EN MOVY SCEZU,SearchScreeningEvent
2500,snips-train-12247,What animated movies are playing in the neighbourhood and when?,WHAT ANIMATED MOVIES ARE PLAYING IN THE NEIGHBORHOOD AND WEN,SearchScreeningEvent
2501,snips-train-12248,Is Amco Entertainment showing Cień Caseya today?,IS AMCAL ENTERTAINMENT SHOWING SIANCIS EERE TO DAY,SearchScreeningEvent
2502,snips-train-12249,Find the schedule for films at night at Great Escape Theatres .,FIND THE SCHADULE FOR FILMS AT NIGHT AT GREAT ESCAPE THEATRES,SearchScreeningEvent
2503,snips-train-1225,add Embryo to lessie's hands up,ADEMBRIODILUSI'S HANDS OF,AddToPlaylist
2504,snips-train-12250,I'd like to watch Abbott and Costello Meet Captain Kidd at the nearest cinema,I'D LIKE TO WASH ABET IN COST TELL I ME CAPTAIN KIT AT THE NEAREST CINAMA,SearchScreeningEvent
2505,snips-train-12251,Find the movie schedules for Speakeasy Theaters .,FIND THE MOVI SCHEDULES FOR SPEEKIEASY THEATRES,SearchScreeningEvent
2506,snips-train-12252,find a movie house with Hollow Reed,FINE A MOVY HOUSE WITH HALLO REED,SearchScreeningEvent
2507,snips-train-12253,Is The Missing Clerk playing,IS A MUSSING CLERK PLAYIN,SearchScreeningEvent
2508,snips-train-12254,What time is The Glass Key playing at Caribbean Cinemas,WHAT TIME IS ZHE GLASS KEEP PLAYING AT CURUBIAN CINIMUS,SearchScreeningEvent
2509,snips-train-12255,Find the schedule for films at the Douglas Theatre Company .,FIND THE SCHADULE FOR FILMS AT THE DOUGLAS THEATRE COMPANY,SearchScreeningEvent
2510,snips-train-12256,is The Couch Trip at the nearest cinema,IS THE COUCH TRIP OF THE NEAREST CINIMA,SearchScreeningEvent
2511,snips-train-12257,List movie times playing animated movies nearby,LIST MOVI TIMES PLAYING AND IMATED MOVIES NEAR BY,SearchScreeningEvent
2512,snips-train-12258,Give me the movie schedule for Cineplex Odeon Corporation,GIVE ME THE MOVY SCHADULE FOR CYNOPLEXODIAN CORPORATION,SearchScreeningEvent
2513,snips-train-12259,Which films are playing in the neighbourhood ?,WHICH FILMS ARE PLAYING IN THE NEIGHBORHOOD,SearchScreeningEvent
2514,snips-train-1226,add tune to NUSIC,ABTINDE NUSRECS,AddToPlaylist
2515,snips-train-12260,find a movie house nearest for films,FINE A MOVY HOUSE NEAREST FOR FILMS,SearchScreeningEvent
2516,snips-train-12261,What time is Unholy Women playing?,BUT TIME IS UNHOLY WOMEN PLAY,SearchScreeningEvent
2517,snips-train-12262,What is the movie times,WHAT IS THE MOVIE TIMES,SearchScreeningEvent
2518,snips-train-12263,find nearby films with movie schedules,FINE NEAR BY FILMS WITH MOVI SCHEDULES,SearchScreeningEvent
2519,snips-train-12264,What animated movies are playing at the closest movie theatre,WHAT ANIMATED MOVIES ARE PLAYING AT THE CLOSEST MOVING THEATRE,SearchScreeningEvent
2520,snips-train-12265,I want to see the movie schedule for North American Cinemas,I WANT TO SEE THE MOVI SCHEDULE FOR NORTH AMERICAN CINTIMENS,SearchScreeningEvent
2521,snips-train-12266,Find the schedule for Death Valley Manhunt .,FIND THE SCHEDULE FOR DEATH VALLEY MAN HUNT,SearchScreeningEvent
2522,snips-train-12267,Find the schedule for Wenn Lucy springt now at a movie theatre .,FINE THE SCHEDULE FOR VENLUCI SPRINGED NOW AT A MOVI THEATRE,SearchScreeningEvent
2523,snips-train-12268,Can I get the newest movie schedule in the area for animated movies ?,CAN I GET THE NEWEST MOVI SCHEGUL AND THE AREA FORANIMATED MOVIES,SearchScreeningEvent
2524,snips-train-12269,find Now and Forever,FIND NOWON FOR EVER,SearchScreeningEvent
2525,snips-train-1227,Add etta james to my anochecer urbano playlist.,I TENNA JAMES MYA NOTE TO SERBANO PLAALIST,AddToPlaylist
2526,snips-train-12270,Find movie times .,FINE MOVIE TIMES,SearchScreeningEvent
2527,snips-train-12271,Show me the movie times at Star Theatres,SHOW ME THE MOVI TIMES HAT STAR THEATRES,SearchScreeningEvent
2528,snips-train-12272,FInd the movie schedule for nearby movies .,FIND THE MOVIE SCHEDULE FOR NEAR BY MOVIES,SearchScreeningEvent
2529,snips-train-12273,What time is The Cobbler playing  at the closest movie theatre ?,WHAT TIME IS THE COBBLER PLAYING AT THE CLOSEST MOVI THEATRE,SearchScreeningEvent
2530,snips-train-12274,Is And the Ship Sails On playing at Douglas Theatre Company 1 minute from now ?,IS'N THE SHIP SAILS ON PLAYING A DOUGLAS THEATRE COMPANY ONE MINUTE FROM NOW,SearchScreeningEvent
2531,snips-train-12275,I'd like to know what movies are on the movie schedules nearby .,I'D LIKE TO KNOW WHAT MOVEES ARE ON THE MOVY SCHEDULES NEAR BY,SearchScreeningEvent
2532,snips-train-12276,Find the movie schedule .,FIND THE MOVI SCEZUL,SearchScreeningEvent
2533,snips-train-12277,What are the movie schedules for Santikos Theatres ?,WHAT ARE THE MOVI SCHEDULES FOR SANTIGOS THEATRES,SearchScreeningEvent
2534,snips-train-12278,give me the movie schedule,GIVE ME THE MOVY SCHEDULE,SearchScreeningEvent
2535,snips-train-12279,whats the movie schedule for movies nearby,HAT'S THE MOVIE SCHEDULE FROM MOVIES NEAR BY,SearchScreeningEvent
2536,snips-train-1228,Add this tune to my 70s road trip list,A THIS TUNE TO MY SEVENTIES RODE TRIP LIST,AddToPlaylist
2537,snips-train-12280,find movie schedules for me,FINE MOVY SCHEDULES FOR ME,SearchScreeningEvent
2538,snips-train-12281,Look up the movie schedule,LOOK OP THE MOVY SCEDUL,SearchScreeningEvent
2539,snips-train-12282,show movie times at Cinemark Theatres,SHOW MOVE TIMES AT CINEMARK THEATRES,SearchScreeningEvent
2540,snips-train-12283,what are the movie schedules for Great Escape Theatres,WHAT ARE THE MOVY SCHEDULES FOR GREAT ESCAPE THEATRES,SearchScreeningEvent
2541,snips-train-12284,Find the schedule for Project Shadowchaser II at the cinema in eighteen hours .,FIND THE SCHEDULE FOR PROJECT SHADOWCASE OR TO OT THE CINNAMENT EIGHTEEN HOURS,SearchScreeningEvent
2542,snips-train-12285,Can you bring up the movie schedule for ArcLight Hollywood ?,NEEVERING UP THE MOVY SCHADULE FOR OUR GELIGHT HOLLYWOOD,SearchScreeningEvent
2543,snips-train-12286,What cinema is The Railway Children,WHAT SENAVES THE RAILWAY CHILDREN,SearchScreeningEvent
2544,snips-train-12287,Are there any movies playing at 5 am at North American Cinemas ?,ARE THERE ANY MOVIES PLAYING AT FAVI M NORTH AMERICAN CINIMES,SearchScreeningEvent
2545,snips-train-12288,show me animated movies with movie times close by,SHOW ME ANIMATED MOVIES WITH MOVI TIMES CLOSE BY,SearchScreeningEvent
2546,snips-train-12289,What are the movie schedules for Kerasotes Theatres,WHAT ARE THE MOVY SCHEDULES FOR CARISOTAS THEATRS,SearchScreeningEvent
2547,snips-train-1229,Add the tune to my chill hits playlist.,AD THE TUNDE MY CHILL IS PLAYALIST,AddToPlaylist
2548,snips-train-12290,Which animated movies are playing at the nearest movie house ?,WHICH ANIMATED MOVIES ARE PLAYING AT THE NEAREST MOVIE HOUSE,SearchScreeningEvent
2549,snips-train-12291,show movie schedules,SHOW MOVY SCHEGULES,SearchScreeningEvent
2550,snips-train-12292,Where is Road to the Stage playing,WHERE IS ROADS IN THE STAGE PLAY,SearchScreeningEvent
2551,snips-train-12293,What movies are in the area,WHAT MOVIES ARE IN THE AREA,SearchScreeningEvent
2552,snips-train-12294,What time is The Rumyantsev Case playing at the closest cinema,WHAT TIME IS THE ROMYANDS OF CASE PLAYING AT THE CLOSEST CINIMA,SearchScreeningEvent
2553,snips-train-12295,find Santikos Theatres showing animated movies,FINE SANTIGOS THEATRS SHOWING ANIMATED MOVIES,SearchScreeningEvent
2554,snips-train-12296,Where is the nearest movie theatre that is playing Honeysuckle Rose,WHERE IS THE NEAREST MOVI THEATRE THAT IS PLAYING HONEYSUCKLE ROSE,SearchScreeningEvent
2555,snips-train-12297,find Whosoever Shall Offend at Showcase Cinemas,FIND WHOSOEVER SHALL EFFEND ITS SHOW KEES CINEMUS,SearchScreeningEvent
2556,snips-train-12298,When is Girls Just Want to Have Fun playing at the movie house ?,WHEN AS GIRLS JUST WANT TO HAVE FUN PLAYING AT THE MOVIE HOUSE,SearchScreeningEvent
2557,snips-train-12299,find a movie schedule for United Paramount Theatres,FINE A MOVY SCHEDULE FOR A UNITED PARAMOUNT THEATRES,SearchScreeningEvent
2558,snips-train-123,add tune Digster Reggae,ADTUNDITRUMERGE,AddToPlaylist
2559,snips-train-1230,Add song to Kids Workout,AD SONG TO KIS WORKOUT,AddToPlaylist
2560,snips-train-12300,What time is Crush and Blush playing at Kerasotes Theatres,WHAT TIME IS CRUSH AND BLUSH PLAYING AT CURASOTUS THEATRES,SearchScreeningEvent
2561,snips-train-12301,find A Feather in Her Hat at Magic Johnson Theatres,FIN DAY FEATHER IND HER HADE MAGIC JOHN SAN THEATRES,SearchScreeningEvent
2562,snips-train-12302,Give me the movie schedules for Neighborhood Cinema Group,GIVE ME THE MOVY SCHEDULES FOR NEIGHBORHOOD SENT HIM A GROUP,SearchScreeningEvent
2563,snips-train-12303,Show me a movie schedule .,SHOW ME A MOVY SCHEZEL,SearchScreeningEvent
2564,snips-train-12304,Let me know when I can watch Actrices .,LET ME KNOW WHEN I KIN WATCH ACDRESSES,SearchScreeningEvent
2565,snips-train-12305,What films are playing at Great Escape Theatres,WHAT FILMS ARE PLAYING YOUR GREAT ESTCEEPE THEATRES,SearchScreeningEvent
2566,snips-train-12306,What movie times at Megaplex Theatres,WHAT MOVI TIMES A MAGAPLEX THEATRES,SearchScreeningEvent
2567,snips-train-12307,Tell me what animated movies are being played at the closest movie house at 011900 AM,TELL ME WHAT ANIMATED MOVIES ARE BEING PLAYED AT THE CLOSEST MOVIE HOUSE AT O ON MONAN O O A M,SearchScreeningEvent
2568,snips-train-12308,Find time for Enkitta Mothathe at Pacific Theatres,FINE TIMES ROM KIDAMATHE AT PACIFIC THEATRES,SearchScreeningEvent
2569,snips-train-12309,Is Happy Ghost III at Caribbean Cinemas,IS HAPPY GHOST THREE AT CRUBIAN CINEMUS,SearchScreeningEvent
2570,snips-train-1231,add The Go Find to Sólo para dos,IVE THE GOPHINE DE SOLE PAIR OF DOSS,AddToPlaylist
2571,snips-train-12310,Which animated movies are showing at the Neighborhood Cinema Group ?,WHICH ANIMATED MOVIES ARE SHOWING AT THE NEIGHBORHOOD SENT HIM A GROUP,SearchScreeningEvent
2572,snips-train-12311,Can I get the movie schedules for Landmark Theatres,CAN I GET THE MOVY SCHEDULES FOR LANDMARKED THEATRES,SearchScreeningEvent
2573,snips-train-12312,find a movie theatre showing The Tailor of Panama,FINE AD MOVI THEATRE SHOWING THE TAILOR OF PANAMA,SearchScreeningEvent
2574,snips-train-12313,Is the Wandering Detective Black Wind in the Harbor playing at Cinemark Theatres,IS THE WONDERING DETECTIVE BLACK WIND AND THE HARBOR PLAYING AT CINEMARC THEATRES,SearchScreeningEvent
2575,snips-train-12314,When is Barbary Coast playing?,WHEN HIS BARBARY HOST PLAY,SearchScreeningEvent
2576,snips-train-12315,find Naomi & Wynonna Love Can Build a Bridge,FIN NAOMEAN WINONA LUV KIN BUILD A BRIDGE,SearchScreeningEvent
2577,snips-train-12316,What is the movie schedules,WHAT IS THE MOVY SCIDULES,SearchScreeningEvent
2578,snips-train-12317,What animated movies are playing nearby ?,WHAT ANIMATED MOVIES ARE PLAYING NEAR BY,SearchScreeningEvent
2579,snips-train-12318,Find movie schedules .,FINE MOVI SCHEDULES,SearchScreeningEvent
2580,snips-train-12319,what films are showing at Century Theatres,WHAT FILMS ARE SHOWING AT CENTURY THEATRES,SearchScreeningEvent
2581,snips-train-1232,Add Nightmares That Surface from Shallow Sleep to michael's Rock Solid playlist,ADD NIGHTMARES ITS SURFACE FROM SHALLOW SLEEP TO MICHAEL'S ROCK SOLID PLAY ALIST,AddToPlaylist
2582,snips-train-12320,I want to see movie schedules at Plitt Theatres .,I WANT TO SEE MOVI SCHADULES EPULET THEATRES,SearchScreeningEvent
2583,snips-train-12321,find Warren Theatres films,FINE WORRIN THEATRS FELMS,SearchScreeningEvent
2584,snips-train-12322,I need to know what theatre is playing A Happy Coersion,I NEED TO KNOW WHAT THEATRE IS PLAYING A HAPPY COERCION,SearchScreeningEvent
2585,snips-train-12323,Please show me the movie schedule for today.,PLEASE SHOW ME THE MOOVY SCHEDUL FOR TO DAY,SearchScreeningEvent
2586,snips-train-12324,where is The Country Bears playing,WHERE AS THE COUNTRY BEARS PLAY,SearchScreeningEvent
2587,snips-train-12325,find a cinema showing The Mandrake nearest at one o'clock,FIND A SENTIMIS SHOWING THE MAN DRAKE NEAREST AT ONE O'CLOCK,SearchScreeningEvent
2588,snips-train-12326,"find Good Night, and Good Luck at a Cinemark Theatres",FINE GOOD NIGHT AND GOOD LUCK AT E SINEMARK THEATRES,SearchScreeningEvent
2589,snips-train-12327,Fine movie schedules for Speakeasy Theaters .,FINE MOVY SCHEDULES FOR SPEEKEASY THEATRES,SearchScreeningEvent
2590,snips-train-12328,what kind of films are at the closest movie house,WHAT KIND OF FILMS ARE AT THE CLOSEST MOVIE HOUSE,SearchScreeningEvent
2591,snips-train-12329,Show me some movie times,SHOW ME SOME MOVI TIMES,SearchScreeningEvent
2592,snips-train-1233,add Olga Souza to virginia's femme fatale playlist,ADOLGASUSIDOF VIRGINIA'S PHIMPHITALIPLAALIST,AddToPlaylist
2593,snips-train-12330,What time is The Secretary playing at the movie theatre ?,WHAT TIME IS THE SECRETARY PLAYING AT THE MOVIE THEATRE,SearchScreeningEvent
2594,snips-train-12331,where can i see A Slice of Life,WHERE CAN I SEE A SLICE OF LIFE,SearchScreeningEvent
2595,snips-train-12332,Give me showtimes for films in the neighbourhood .,GIVE ME SHOW TIMES FOR FILMS IN THE NEIGHBORHOOD,SearchScreeningEvent
2596,snips-train-12333,Are there movies at Malco Theatres,ARE THER MOVIES THAT MOWCO THEATRES,SearchScreeningEvent
2597,snips-train-12334,list movies in the neighbourhood,LISTS MOVIES IN THE NEIGHBORHOOD,SearchScreeningEvent
2598,snips-train-12335,What is the movie schedule near me?,WHAT IS THE MOVE YE SKETTE NEAR ME,SearchScreeningEvent
2599,snips-train-12336,What movie times are Harkins Theatres,WHAT MOVI TIMES ARE HARKINS THEATRES,SearchScreeningEvent
