,train_index,train_sentence,aditi_sentence,train_label
4114,snips-train-1925,Book reservations at Phase 1 in La Jara,BOOK RESERVATIONS AT FREZWAN IN LAZARA,BookRestaurant
4115,snips-train-1926,I want a table for seven at twenty three o'clock in Angola .,I WANT A TABLE FOR SEVEN AT TWENTY THREE O'CLOCK IN ANGOLA,BookRestaurant
4116,snips-train-1927,book fast food that is highly rated,BOOK FAST FOOD THAT IS HIGHLY RATED,BookRestaurant
4117,snips-train-1928,book a cafe table for one that has internet access,BUCAGAFETABLE FOR ONE THAT HAS INTINETE ACCESS,BookRestaurant
4118,snips-train-1929,"book a spot for robyn martinez, maude and I at a steakhouse not far from their place",BOOK A SPOT FOR ROBIN MARTINES MORE THAN I AT A STAKE HOUSE NOT FAR FROM THEIR PLACE,BookRestaurant
4119,snips-train-193,Add big bill broonzy to my Impulso Creativo,AD BIG BILBRONZI TO MY IMPULSE O CREATIVO,AddToPlaylist
4120,snips-train-1930,Book me a table at The Restaurant at Meadowood within the same area in Kentucky,BOOK ME A TABLE AT THE RESTAURANT AT MEADOW WOOD WITHIN THE SAME MERIAR IN KENTUCKY,BookRestaurant
4121,snips-train-1931,Book a table at Crown Candy Kitchen for lacy and I,BOOK A TABLE AT CROWN CANDY KITCHEN FOR LICIE AND I,BookRestaurant
4122,snips-train-1932,I want to book a spot at the local food court,I WANT TO BOOK A SPOT AT THE LOCALFOOT COURT,BookRestaurant
4123,snips-train-1933,I need a reservation for Maid-Rite Sandwich Shop in Home Gardens,I NEED A RESERVATION FOR MAD RIGHT SANVICE SHOP IN HOME GARDENS,BookRestaurant
4124,snips-train-1934,Book a table at a osteria type restaurant in SD,BOCATI BULLETTA AUSTRIATIPE RESTAURANT IN NESTI,BookRestaurant
4125,snips-train-1935,Book Laurelhurst Theater for 8 people.,BOOK LAUREL HUST HETER FOR EACH PEOPLE,BookRestaurant
4126,snips-train-1936,Book a restaurant faraway from Albertson now .,BOOK A RESTAURANT FAR AWAY FROM ALBESTON NOW,BookRestaurant
4127,snips-train-1937,Book a reservation for seven people at a steakhouse in Kenya,BOOK A RESERVATION FOR SEVEN PEOPLE AT A STAKEHOUSE IN CANYA,BookRestaurant
4128,snips-train-1938,book a restaurant in Montverde in Marshall Islands,BOGE RESTAURANT IN MONTVERD IN MARSHAL ISLANDS,BookRestaurant
4129,snips-train-1939,"Book a table for lois, effie price and I for next Summer in Italy .",BOOK A TABLE FOR LOWIS EFFY PRICE AND I FOR NEXT SUMMER IN ITALY,BookRestaurant
4130,snips-train-194,Add suffer little children to this is racionais mc's playlist,AD SUFFER LITTLE CHILDREN TO THIS IS HASSY NICE EMCES PLAILIST,AddToPlaylist
4131,snips-train-1940,Book a table at a restaurant in the Cayman Islands two hundred ninety six days from now,BOCATIBUL ETA RESTAURANT IN THE CEMUN ISLANDS TWO HUNDRED NINETY SIX DAYS FROM NOW,BookRestaurant
4132,snips-train-1941,Need a booking for 6 in OK for the city of Boonton,NEEDA BOOKING FOR SIX INO KI FOR THE CITY OF BUNTEN,BookRestaurant
4133,snips-train-1942,I want to go to that popular ethiopian restaurant,I WANT TO GO TO THAT POPULARLY THEOPIAN RESTAURANT,BookRestaurant
4134,snips-train-1943,I need a reservation for Red Square on aug. the 9th,I NEED A RESERVATION FOR RED SQUARE ON AUGUST THE NINTH,BookRestaurant
4135,snips-train-1944,"Make a reservation at a diner which serves chowder in MT for august the 17th, 2024 .",MAKE A RESERVATION AT A DINAH WHICH SERVES COWDER IN MOUNT FOR AUGUST SEVENTEEN TWENTY TWENTY FOUR,BookRestaurant
4136,snips-train-1945,casey and I will be in Kentucky for food,CACY AND I WILL BE IN KENTUCKY FOR FOOD,BookRestaurant
4137,snips-train-1946,book a restaurant this year in Manning,BOCA RESTAURANT TE SEERIN MANNING,BookRestaurant
4138,snips-train-1947,"Can I get a restaurant reserved in Luquillo , District Of Columbia ?",CAN I GET A RESTAURANT RESERVED IN LOQUELLO DISTRICT OF COLUMBIA,BookRestaurant
4139,snips-train-1948,Book a joint in sixteen minutes for 9 .,BOKA JOINT IN SIXTEEN MINUTES FOR NINE,BookRestaurant
4140,snips-train-1949,Make a restaurant reservation for me and my son at twenty three o'clock .,MAKE A RESTAURANT RESERVATION FOR ME AND MY SON AT TWENTY THREE O'CLOCK,BookRestaurant
4141,snips-train-195,Add thomas a dorsey to my Big Band,AT DOMASA DOZI TO MY BIG BAND,AddToPlaylist
4142,snips-train-1950,I need to book a table for 7 in Estonia,I NEED TO BOOK A TABLE FOR SEVEN IN MESTONIA,BookRestaurant
4143,snips-train-1951,book verdure serving restaurant in Bloom City,BUCK RODIE SERVING RESTAURANT IN BLOOM CITY,BookRestaurant
4144,snips-train-1952,I'm in MI and want to eat somwhere nearby Midday .,I'MAN ME AND WANT TO EAT SOME BEB NEAR BY MIDDAY,BookRestaurant
4145,snips-train-1953,"book a restaurant this week for joni, wilda sanders and I in AL",BUKE RESTAURANT THIS WEEK FOR JOURNEY WILUSANDERS AND I INAL,BookRestaurant
4146,snips-train-1954,We want to eat at a brasserie with sicilian food in Nebraska,WE WANT TO EAT AT A BRASSERY WITH SICILIAN FOOD IN NABRASKA,BookRestaurant
4147,snips-train-1955,need a table for nine in East Prairie LA,NEED A TABLE FOR NINE IN EAST PRAIRIE LOUISIANA,BookRestaurant
4148,snips-train-1956,Book a reservation for seven people at a bakery in Osage City,BOOK A RESERVATION FOR SEVEN PEOPLE AT ABAKERY IN ORCID CITY,BookRestaurant
4149,snips-train-1957,I would like to book a restaurant within the same area as Myrtle Av for 6,I WOULD LIKE TO BOOK A RESTAURANT WITHIN THE SAME AREA AS MOTELAV FOR SIX,BookRestaurant
4150,snips-train-1958,Please make a reservation at ten at a bakery which serves burrito .,PLEASE MAKE A RESERVATION AT AN AT A BACKERY WICH SOLVES BERITO,BookRestaurant
4151,snips-train-1959,Book a table at T-Rex in one minute in Osierfield,BOCATIBUL AT TI RE IN ONE MINUTE IN HOSIA FIELD,BookRestaurant
4152,snips-train-196,Add some patrick stump to maritza's disco fever list,ADD SOME PATTRIC STUMP TO MARITZA'S DE SCO FEVER LIST,AddToPlaylist
4153,snips-train-1960,"book a table at an oyster bar that serves apple butter on Jul. 10th, 2028",BOOK ATIBLE AT AN OYSTER BAR THAT SELVS APPLE BUTTER ON JULY TENTH TWENTY TWENTY EIGHT,BookRestaurant
4154,snips-train-1961,book a restaurant for 4 that's not far from CA,BOOK A RESTAURANT FOR FOOD THAT'S NOT FAR FROM SEE,BookRestaurant
4155,snips-train-1962,I'd like to eat at an internet restaurant with a party of four,I'D LIKE TO EAT AT AN INTINATE RESTAURANT WITH A PARTY O FO,BookRestaurant
4156,snips-train-1963,"book a table for jasmine, jeannie and leta",BOOK A TABLE FOR JESMINE GENIE AND LITA,BookRestaurant
4157,snips-train-1964,Book a reservation for six people at a churrascaria restaurant in Cook Islands one minute from now,BOOK A RESERVATION FOR SIX PEOPLE AT A CHORAS CAREER RESTAURANT IN COOK ISLANDS ONE MINUTE FROM NOW,BookRestaurant
4158,snips-train-1965,Please book a Uncommon Grounds Coffeehouse restaurant,PLEASE POOK A UNCOMMON GROUND SCOFFEE HOUSE RESTAURANT,BookRestaurant
4159,snips-train-1966,Book Mars 2112 in Rwanda for 4 people.,BOKMA'S TWO THOUSAND ONE HUNDRED TWELVE IN RUANDA FOR FOUR PEOPLE,BookRestaurant
4160,snips-train-1967,"Book a table at Central Grocery on Mar. 22nd, 2020",BUCCATABLE ET CENTRAL GROCERY ON MARCH TWENTY SECOND TWENTY TWENTY,BookRestaurant
4161,snips-train-1968,Book a food truck in Argusville that has fish chips,BOKAFOT TROKINAGUSVILLE THAT HAS FRESH CHIPS,BookRestaurant
4162,snips-train-1969,book San Francisco Brewing Company for two located at AL,BOOKS AND FRANCISCO BRUIN COMPANY FOR TOO LUCITE DATALE,BookRestaurant
4163,snips-train-197,add this album to my de camino a clase playlist,AT THE SALBUM TO MA THEY COME NOA CLASSE PLAILIST,AddToPlaylist
4164,snips-train-1970,book me and my grandparents a restaurant in Saint Helens South Dakota,BOKMI AND MY GRAND PARENTS A RESTAURANT IN SAINT HELEN SOUT DE COTA,BookRestaurant
4165,snips-train-1971,"I want to go to the pub with angelita, susan reed and ashlee watson after us parking",I WANT TO GO TO THE POB WEDENGELITA SUSANRINE AND ASHLEY WATSON AFTER A SPARKING,BookRestaurant
4166,snips-train-1972,"Book a diner place or me and my best friend on Holy Saturday , capital of United Arab Emirates , where they serve pepperoni dishes",BOCADINA PLACE AR ME AND MY BEST FRIEND ON HOLY SATURDAY CAPITAL OF UNITED ARABEMERITZ WHERE THEY SERVE PEPERONI DISHES,BookRestaurant
4167,snips-train-1973,book a table for eight in Graf far away,BOOK A TABLE FOR IT AND GROFF FAR AWAY,BookRestaurant
4168,snips-train-1974,"book a spa in pizzeria on November 24, 2036",BOGAS PY IN PETSARIA ON NOVEMBER TWENTY FOURTH TWENTY THIRTY SIX,BookRestaurant
4169,snips-train-1975,I'd like to get a restaurant booked on mar. fourteenth in MD .,I'D LIKE TO GET A RESTAURANT BOOKED  ON MARCH FOURTEENTH AMEMDY,BookRestaurant
4170,snips-train-1976,book a spot for nine at a top-rated brasserie that has swiss within the same area of New York,BOOK A SPOT FOR NYNEETT A TOPERATED BRASERY THAT HAS SWISS WITHIN THE SAME AREA OF NEW YOK,BookRestaurant
4171,snips-train-1977,book trentino serving bar for 4,BOOK TRENTINO SERVING BAR FOR FOUR,BookRestaurant
4172,snips-train-1978,I am looking for a top-rated restaurant near bougatsa that can feed 3 that is close to Pelham Bay Park,I AM LOOKING FOR A TO OPERATED RESTAURANT NEAR BOGATSA TAT GANFITRI THAT IS CLOSE TO PELAMBE PARK,BookRestaurant
4173,snips-train-1979,"Please find me a table at a place that serves glace , has room for six and a pub atmosphere",PLEASE FIND ME A TABLE AT A PLEACE THAT SERVES GLASS HAS ROOM FOR SIX AND A POB ATMOSPHERE,BookRestaurant
4174,snips-train-198,Add artist to my working day,ADOTTES TO MY WALKING DAY,AddToPlaylist
4175,snips-train-1980,I want to book a restaurant in Glenarden South Dakota for two people.,I WANT TO BOOK A RESTAURANT IN GLENARDIN OUTH O THE QUARTER FOR TWO PEOPLE,BookRestaurant
4176,snips-train-1981,I need a reservation for The Berghoff in Jamaica in 18 seconds,I NEED A RESERVATION FOR THE BERGHOF IN JAMAICA IN EIGHTEEN SECONDS,BookRestaurant
4177,snips-train-1982,Need a table within the same area as Beach 105th St for a party of 6,NEAD A TABLE WITHIN THE SAME AREA AS BEACH ONE HUNDRED FIFTH STREET FOR A PARTY OF SIX,BookRestaurant
4178,snips-train-1983,Book a table at the Montreal Pool Room in North Carolina for 7 AM,BOOK A TABLE AT THE MONTRIOL PUL ROOM IN NORTH CAROLINA FOR SEVEN A M,BookRestaurant
4179,snips-train-1984,book a spot at a pub with tatar in Cambodia,BOOK A SPOTTER TO PUBLIC THA THARIM CAMBORDIA,BookRestaurant
4180,snips-train-1985,"Book a brasserie restaurant in Enfield , North Dakota for rosie and I that has tarte tatin",BOCOBRASERI RESTAURANT NENFIELD NOT THE COTA FOR ROSI AND IDATASTATATAN,BookRestaurant
4181,snips-train-1986,book a southeastern restaurant in Heard Island and McDonald Islands,BOKA SOUTHEASTERN RESTAURANT IN HERD ISLAND AND MACDONALD ISLANDS,BookRestaurant
4182,snips-train-1987,Book a restaurant in Almyra in 10 years,BOOKARESTAURANT IN A LMERIN TEN YEARS,BookRestaurant
4183,snips-train-1988,Book a reservation for three at Clinton Street Baking Company & Restaurant,BOOK A RESERVATION FOR TREE AT GLINTON STREET BAKING COMPANY AND RESTAURANT,BookRestaurant
4184,snips-train-1989,Book reservations at a restaurant for me and my ex husband in West Virginia,BOOK RESERVATIONS AT A RESTAURANT FOR ME AND MY EX HUSBAND IN REST VIRGINIA,BookRestaurant
4185,snips-train-199,add this track to my epic wall of sound playlist,AT THE TRACT TO MY EPIQUALL OF SOUND PLAILIST,AddToPlaylist
4186,snips-train-1990,Can you get me reservations for a highly rated restaurant in Seychelles,CAN YOU GET ME RESERVATIONS FOR A HIGHLY RATED RESTAURANT IN SECHELS,BookRestaurant
4187,snips-train-1991,I would like reservations for Cliff House in seven months for six people.,I WOULD LIKE RESERVATIONS FOR CLIFF HOUSE IN SEVEN MONTHS FOR SIX PEOPLE,BookRestaurant
4188,snips-train-1992,"I'd like a reservation at a place in Iran for neva, alice and maggie parker .",I'D LIKE A RESERVATIONER TO PLEASE IN ARAND FOR NIVO ALICE AN MAGGI POCKER,BookRestaurant
4189,snips-train-1993,book a restaurant that serves trottole in Tillicum,BOOKA RESTAURANT THAT SELVES TROTO IN TILICUM,BookRestaurant
4190,snips-train-1994,I need a reservation for next week with a party of six,I NEED A RESERVATION FOR NEXT WEEK WITH A PARTY OF SIX,BookRestaurant
4191,snips-train-1995,"bar restaurant for November the twelfth, 2030 that is popular and for a party of ten",BAR RESTAURANT FOR NOVEMBER THE TWELVE TWENTY THIRTY THAT IS POPULAR AND FOR A PARTY OF TEN,BookRestaurant
4192,snips-train-1996,book a table at a restaurant for 10/24/2028 for me and lauren,BOOK A TABLE AT A RESTAURANT FOR THE TWENTY FOURTH OF OCTOBER TWENTY TWENTY EIGHT FOR ME AND LORIN,BookRestaurant
4193,snips-train-1997,Book a table in a Haines Borough restaurant for nine that is within walking distance .,BOOK A TABLE IN A HANSBOROUGH RESTAURANT FOR NINE THAT IS WITHIN WALKING DISTANCE,BookRestaurant
4194,snips-train-1998,I need a dinner reservation in three months for a restaurant in Hills and Dales .,I NEED A DINNER RESERVATION IN THREE MONTHS FOR A RESTAURANT IN HILLS AND DALES,BookRestaurant
4195,snips-train-1999,book a bistro for 4 at sunset,BOKABISTRO OR FOR AT SUNSET,BookRestaurant
4196,snips-train-2,add the tune by misato watanabe to the Trapeo playlist,AD THE TUNE BY MISS ARTO WAT NABE TO THE TROPIO PLAILIST,AddToPlaylist
4197,snips-train-20,For my playlist chill add the name Cater Fe She,FOR MY PLAYLIST CHELADBANEME GAT A FISH HE,AddToPlaylist
4198,snips-train-200,Add this tune to the Spinnin' Records Top 100 list,ADD THE STUNE TO THE SPINNIN RECORD STTOP ONE HUNDRED LIST,AddToPlaylist
4199,snips-train-2000,I have six people who would like to eat at a cafe that serves american chinese cuisine in TX .,I HAVE SIX PEOPLE WHO WOULD LIKE TO EAT AT A CAFE THAT SELVES AMERICAN CHINESE QUIZINE IN T X,BookRestaurant
4200,snips-train-2001,book a spot at an osteria that has goiano in Ward Springs,BOOK A SPORT AT AN AUSTRIA THAT HAS GOANU IN WARSPRINGS,BookRestaurant
4201,snips-train-2002,book a spot for me and my great grandfather at a brasserie with a pool at 7 am,BOOK A SPOT FOR ME AND MY GREAT GRANDFATHER AT A BRASSARI WITH THE POOL AT SEVEN A M,BookRestaurant
4202,snips-train-2003,book a bar in San Marino for five,BOOKA BAR AND SAN MORINO FOR FIVE,BookRestaurant
4203,snips-train-2004,Book a restaurant in Belgium for ten in 24 weeks .,BOOK A RESTAURANT IN BELGIUM FOR TEN AND TWENTY FOUR WEEKS,BookRestaurant
4204,snips-train-2005,book a churrascaria in Macao on May the twenty-third,BOKACORUS CAREE IN MAKAWON MAY THE TRENTY THIRD,BookRestaurant
4205,snips-train-2006,"renee sanders, marlene and jewel want to go to a gastropub in the spa",RENA SANDES MALINE AND JUL WAN TO GO TO A GUEST ROPE UB IN THE SPA,BookRestaurant
4206,snips-train-2007,I would like to book a food truck for my friend and I,I WOULD LIKE TO BOOK A FOO TRUG FOR MY FRIEND AND I,BookRestaurant
4207,snips-train-2008,party for 2 in Cleveland,PARTY FOR TWO IN CLEVELAND,BookRestaurant
4208,snips-train-2009,Need table for two in Pleasant City,NEED TABLE FOR TWO IN PLEASANT CITY,BookRestaurant
4209,snips-train-201,Add track to Afternoon Train Ride,AT TRACT TO OFTERNOON TRAIN RIDE,AddToPlaylist
4210,snips-train-2010,at 4 am book a bar in the spa in Shamrock for eight,AT FORY EM BOOK A BAR IN THE SPINE SHAMROCK FOR IT,BookRestaurant
4211,snips-train-2011,Book an indoor restaurant near Wallington for 2,BOOKAN INDO RESTAURANT NEAR WALLINGTON FORTO,BookRestaurant
4212,snips-train-2012,Book a top-rated restaurant in Milton-Freewater .,BUKATOPERATED RESTAURANT IN MILTON FREEWATER,BookRestaurant
4213,snips-train-2013,Take me to the top-rated taverna in Sealy for trattoria next week for 5,TAKE ME TO THE TOPERATED TIVONA AND SEALY FOR TRATTERY AND NEXT WEEK FOR FIVE,BookRestaurant
4214,snips-train-2014,I need reservations for a party of 8 within the same area at 014835 at a restaurant in Armenia that serves tuscan cuisine.,I NEED RESERVATIONS FOR A PARTY OF EIGHT WITHIN THE SAME AREA AT ZERO WAN FOR EIGHTTRY FIVE AT A RESTAURANT IN ARMENIA THAT SERVES TASCAN CUSINE,BookRestaurant
4215,snips-train-2015,book a bar for 2 in Hayden Row on friday,BOOK A BAR FOR TWO INHEADEN RUW ON FRIDAY,BookRestaurant
4216,snips-train-2016,book a table for 0 pm in Fayette for rachael morris and shannon near there,BOOK A TABLE FOR ZERO P M IN FAERED FOR RICHAL MORRIS AND SHANONIL THERE,BookRestaurant
4217,snips-train-2017,I need a reservation for four this year at a restaurant,I NEED A RESERVATION FOR FOR TESILL AT A RESTAURANT,BookRestaurant
4218,snips-train-2018,"I need seats for six at a pub on January 15th, 2030",I NEAT SEATS FOR SIX AT A BABON JANUARY FIFTEENTH TWENTY THIRTY,BookRestaurant
4219,snips-train-2019,I need to book a reservation in Searsport at eleven am,I NEED TO BOOK A RESERVATION IN SE A SPORT AT ELEVENAM,BookRestaurant
4220,snips-train-202,add keltech to my 70s road trip playlist,AD GELDECK TO MY SEVENTEEN ROA TRIP PLAYLIST,AddToPlaylist
4221,snips-train-2020,Find a reservation for a party of six in Tuvalu,FIND A RESERVATION FOR A PARTY OF SIX EN TO VALU,BookRestaurant
4222,snips-train-2021,Book a restaurant with parking facility for 3 .,BOOK A RESTAURANT WITH BARKING FACILITY FOR TREE,BookRestaurant
4223,snips-train-2022,I need a top-rated pub in Friona,I NEEDE TO OPERATED BAVINFRIONA,BookRestaurant
4224,snips-train-2023,Make me a reservation within walking distance in WY for 6 pm,MAKE ME A RESERVATION WITHIN WALKING DISTANCE IN WIFE OR SIX P M,BookRestaurant
4225,snips-train-2024,I'd like to go to the popular bistro in OH,I'D LIKE TO GO TO THE POPULAR BISTROIN A,BookRestaurant
4226,snips-train-2025,restaurant scandinavian in Grenada,RESTAURANT SCANDINAVIAN INGRUNIDA,BookRestaurant
4227,snips-train-2026,I want to book a close restaurant in SC for seven,I WANT TO BOOK A CLOSE RESTAURANT IN A SEA FOR SEVEN,BookRestaurant
4228,snips-train-2027,Find a reservation for a highly rated brasserie for me and my step sister,FIND A RESERVATION FOR A HIGHLY RATED BRASERI FOR ME AND MY STEPSISTER,BookRestaurant
4229,snips-train-2028,I want a table to seat 10 at a close-by to Ottumwa that serves osteria and ranch dressing .,I WANT A TABLE TO SEET DENETA CLOSE BY TO ATAMOR THAT SERVES AUSTERIA AND RANCH DRESSING,BookRestaurant
4230,snips-train-2029,Book a table for ten people in Eucalyptus Hills .,BOOK A TABLE FOR TEN PEOPLE IN EUCLYPTUS HILLS,BookRestaurant
4231,snips-train-203,I need another artist in the New Indie Mix playlist.,I NEED ANOTHER ARTIST IN THE NEW INDI MIXED PLAYLIST,AddToPlaylist
4232,snips-train-2030,Book a table for nine people next mar .,BOK A TABLE FOR NINE PEOPLE NEXT MAR,BookRestaurant
4233,snips-train-2031,restaurant in Zambia that is close for a party of 10,RESTAURANT IN ZAMBIA THAT IS CLOSE FOR A PARTY OF TEN,BookRestaurant
4234,snips-train-2032,I need a diner,I NEED A DIMER,BookRestaurant
4235,snips-train-2033,"Please book a restaurant for party of 1 in Seeley Lake on july the fourteenth, 2022 .",PLEASE BOK A RESTAURANT FOR PARTY OF ONE AND SILLY LAKE ON JULY T FOURTEENTH TWENTY TWENTY TWO,BookRestaurant
4236,snips-train-2034,Find a reservation for a restaurant in Hong Kong for seven people,FIND A RESERVATION FOR A RESTAURANT IN HONG KONG FOR SEVEN PEOPLE,BookRestaurant
4237,snips-train-2035,Book a restaurant in Papua New Guinea for me and my daughters,BOOK A RESTAURANT AND PAPOUA NEW GUINEA FOR ME AND MY DAUGHTERS,BookRestaurant
4238,snips-train-2036,"Reserve a table for 3 people at The Cubby Bear ,  in Comoros .",RESERVE A TABLE FOR THREE PEOPLE AT THE CABIBERE IN COMEROS,BookRestaurant
4239,snips-train-2037,Reserve a table for teresa and elnora at a fast food joint which serves fish and chips,RESERVE A TABLE FOR TERESA AND ELL NORO AT A FAST FOO JOIND WITHSELVES FISH AND CHIPS,BookRestaurant
4240,snips-train-2038,"Book a table for 6 at a restaurant in Pershing Square, Manhattan at two am",BOOK A TABLE FOR SIX SET A RESTAURANT IN PERSHING SQUARE MAN HATNAT TO EM,BookRestaurant
4241,snips-train-2039,book a table for 6 at a restaurant in Nebraska,BOOK A TABLE FOR SIX SETE RESTAURANT IN NABRASQER,BookRestaurant
4242,snips-train-204,add the song to the Dub On The Beach playlist,AD THE SONG TO THE DUB ON THE BEECH PLAILIST,AddToPlaylist
4243,snips-train-2040,I need seats for 6 at a place in AK,I NEED SEATS FOR SIX AT A PLACE IN AG,BookRestaurant
4244,snips-train-2041,"I'd like a table for natasha, bettye and kimberley at a coffeehouse with a smoking room",I'D LIKE A TABLE FOR NATASHA BETTY AND KIMBOLY AT A COFFEE HOUSE WITH A SMOKING ROOM,BookRestaurant
4245,snips-train-2042,book a restaurant for five in karnataka,BOOKA RESTAURANT FOR FIVE IN CORNATACA,BookRestaurant
4246,snips-train-2043,Book me a reservation for Fatty Crew in 13 weeks in Haskell,BOOK MERE RESERVATION FOR FATTY CRUE IN THIRTEEN WEEKS AND HASCELL,BookRestaurant
4247,snips-train-2044,I want to go to a highly rated fast food restaurant around Togo with two people total.,I WANT TO GO TO A HIGHLY RATED FAST FORD RESTAURANT AROUND TOGO WITH TWO PEOPLE TOTAL,BookRestaurant
4248,snips-train-2045,"book a table in Mississippi on May nineteenth, 2034 for me, silvia and sandy",BOKA TABLE AND MISSISSIPPI ON MAY NINETEENTH TWENTY THIRTY FOUR FOR ME SILVIA AND SANDY,BookRestaurant
4249,snips-train-2046,Book a tavern in Colorado for two,BOCA TAVELIN COLORADO FOR TWO,BookRestaurant
4250,snips-train-2047,Book a restaurant in Delhi Arkansas for three people.,BOOK A RESTAURANT IN DELLI ARCANSO FOR THREE PEOPLE,BookRestaurant
4251,snips-train-2048,"Book reservations at restaurant in Edgemoor NM on august 3, 2024",BOOK RESERVATIONS AT RESTAURANT AND LEG MORE NEW MEXICO ON AUGUST THIRD TWENTY TWENTY FOUR,BookRestaurant
4252,snips-train-2049,"I want to take christy, louise and alexandra to eat at 173804 anywhere in NE",I WANT TO TAKE CHRISTE LOUISE ANDR ALEXANDRA TO EAT AT ONE LACK SEVENTY THREE THOUSAND EIGHT HUNDRED FOR ANYWERE IN MAY,BookRestaurant
4253,snips-train-205,add the album to the Six string peacefulness playlist,AD THE ALBOM TO THE SIX STRING PEACEFULNESS PLAILEST,AddToPlaylist
4254,snips-train-2050,Book a restaurant for 3 people at eighteen oclock in Saint Vincent and the Grenadines .,BOOK A RESTAURANT FOR THREE PEOPLE AT EATEIN O'CLOCK IN SAINT VINCENT AND THE GRENODINES,BookRestaurant
4255,snips-train-2051,"Reserve a spot at indoor restaurant on june the 15th , 3 guests",RESERVE A SPOT AT INDO RESTAURANT ON JUNE FIFTEENTH THREE GUESTS,BookRestaurant
4256,snips-train-2052,Find a reservation at Berowra Waters Inn in Australia in 2 years,FIND A RESERVATION AT BORARA WATERS IN INAUSTRALIA IN TWO YEARS,BookRestaurant
4257,snips-train-2053,I would like to book Thomas Hynes House for 6 in Minnesota,I WOULD LIKE TO BOOK THOMAS HYNE'S HOUSE FOR SIX AN MINNISOTA,BookRestaurant
4258,snips-train-2054,Book reservations at a restaurant in MI seven weeks from now,BOOK RESERVATIONS AT A RESTAURANT IN ME SEVEN WEEKS FROM NOW,BookRestaurant
4259,snips-train-2055,book a table at Atlantic Grill in Lofgreen,BUCATIBLE ET ATLANTIC GRILLIN LOF GREEN,BookRestaurant
4260,snips-train-2056,I need a restaurant on july 18th in Rose Bud,I NEED A RESTAURANT ON JULY EIGHTEENTH IN ROSEBUD,BookRestaurant
4261,snips-train-2057,John Ross House restaurant in town and close-by,JOHN RO'S HOUSE RESTAURANT AN TOWN AND CLOSE BY,BookRestaurant
4262,snips-train-2058,Make me a reservation in Crugers at Marlton Circle for a party of eight,MAKE ME A RESERVATION IN CRUDERS AT MALTON CIRCLE FOR A PARTY OF EIGHT,BookRestaurant
4263,snips-train-2059,Find me a nice restaurant in Mulvane .,FIND ME AN ICE RESTAURANT IN MALVAINE,BookRestaurant
4264,snips-train-206,I want this album on my Indie Alternativa playlist,I WANT THE SALBUM ON MY IN THE ALTERNATIV A PLAILIST,AddToPlaylist
4265,snips-train-2060,"I'd like to eat at a top-rated place on nov. the twenty-sixth in the food court , I need reservations for 7 in the city of Kane or somewhere near there.",I'D LIKE TO IT AT A TOOPERATED PLACE ON NOVEMBER THE TWENTY SIXTH IN THE FOOT COART I NEED RESERVATIONS FOR SEVEN IN THE CITY OF KINE OR SOMEWHERE NEAR THERE,BookRestaurant
4266,snips-train-2061,antoinette and I want to eat at an oyster bar that serves pizzette in South Duxbury ME,AND WHEN TAT AND I WANT TO EAT AT AN OYSTER BAR THAT SOUVE SPEED CERTIN SOUTH DEXPERYMANY,BookRestaurant
4267,snips-train-2062,"Book a reservation at a restaurant with me, matilda and deana",BOOK A RESERVATION AT A RESTAURANT WITH ME MATILDA AND IENNA,BookRestaurant
4268,snips-train-2063,book a osteria with smoking room in Creola,BOOK ASTRIA WITH SMOKING ROOM IN CREOLA,BookRestaurant
4269,snips-train-2064,book a cafe in Romania,BUCACAFEAN RUMENIA,BookRestaurant
4270,snips-train-2065,I'd like to get reservations for four at a restaurant that serves apple sauce .,I'D LIKE TO GET RESERVATIONS FOR FOUR AT A RESTAURANT THAT SERVES APPLE SAUCE,BookRestaurant
4271,snips-train-2066,book a table in Tennessee for 1 for next August,BOOK A TABLE IN TENNESSY FOR ONE FOR NEXT AUGUST,BookRestaurant
4272,snips-train-2067,me and my mummy want to go to an indian bar next winter within the same area of Cortelyou Rd,ME AND MY MUMMY WANT TO GO TO AN ENDIAN BAR NEXT WINTER WITHIN THE SAME MEREA OF CATELURODE,BookRestaurant
4273,snips-train-2068,I need reservations at a restaurant at 20 o'clock in FM,I NEED RESERVATIONS AT A RESTAURANT AT TWENTY O'CLOCK IN EF EM,BookRestaurant
4274,snips-train-2069,I want top-rated veneto cuisine at a restaurant in Antietam for 2 .,I WANT DE OPERATED WENITO CUSINE AT A RESTAURANT INANTITUM FOR TWO,BookRestaurant
4275,snips-train-207,Add the current tune to my Evening Groove list,AT THE CURRENT TUNE TO MY EVENING GREW LIST,AddToPlaylist
4276,snips-train-2070,I want to book The Commons Restaurant for five on Dec. the eighth,I WANT TO BOOK THE COMMONS RESTAURANT FOR FIVE ON DECEMBER THE EIGHTH,BookRestaurant
4277,snips-train-2071,I need a table in East Timor for a party of nine at 5 North St,I NEED A TABLE IN ES TEAMER FOR A PARTY OF NINE AT FIVE NORTH STRAT,BookRestaurant
4278,snips-train-2072,Book a highly rated restaurant with northeastern for 10 in Satanta,BOOK A HIGHLY RATED RESTAURANT WITH NORTHEASTERN FORTENAN SETANTA,BookRestaurant
4279,snips-train-2073,Please book reservations for 3 people at a restaurant in Alderwood Manor,PLEASE POOK RESERVATIONS FOR THREE PEOPLE AT A RESTAURANT IN ALL THE GOOD MANNER,BookRestaurant
