,train_index,train_sentence,ivy_sentence,train_label
722,snips-train-10647,Where can I find the novel Meast,WHERE CAN I FIND THE NOVEL MEAST,SearchCreativeWork
723,snips-train-10648,Find The Gamble .,FINE THE GAMBLE,SearchCreativeWork
724,snips-train-10649,I want to play the video game ESPN Major League Soccer,I WANT TO PLAY THE VIDIO GAME ME AS P N MAJOR LEAK SUCKER,SearchCreativeWork
725,snips-train-1065,Can my electro sur have this song added to it?,CAN MY ELECTROCER HAVE THIS SONG ADDED TO IT,AddToPlaylist
726,snips-train-10650,"find I Love You Too , a saga",FIND I LOVE YOU TOO ASAGA,SearchCreativeWork
727,snips-train-10651,"I need Top Gear 2 , please search it for me.",I NEED TOP GER TOO PLEASE SEARCH IT FOR ME,SearchCreativeWork
728,snips-train-10652,Where can I find Conduct Unbecoming ?,WHERE CAN I FIND CONDUCT ON BECOMING,SearchCreativeWork
729,snips-train-10653,Find The International Journal of Robotics Research soundtrack,FIND THE INTERNATIONAL JOURNAL OF ROBADICS RESEARCH SOUND TRACK,SearchCreativeWork
730,snips-train-10654,Get me information on The Riverfront Times,GET ME INFORMATION ON THE RIVER FRONT TIMES,SearchCreativeWork
731,snips-train-10655,Show Acta Mathematicae Applicatae Sinica TV show,SHOW ACTAMATHEMATA KEY APPLICATY SINTA GET TEVY SHOW,SearchCreativeWork
732,snips-train-10656,Find a song called Be Quick or Be Dead .,FIND A SONG CALLED BE QUICK OR BE DEAD,SearchCreativeWork
733,snips-train-10657,look up Adobe Brackets soundtrack,LOOK UP ADOBY BRACKET'S SOUND TRACK,SearchCreativeWork
734,snips-train-10658,Show me the show Goldimouse and the Three Cats,SHOW ME THE SHOWGOLDEN MOUSE AND THE THREE CATS,SearchCreativeWork
735,snips-train-10659,I'd like to see the book City University of Hong Kong Law Review,I'D LIKE TO SEE THE BOOK SINY UNIVERSITY OF HONG KONG LORLEVIEU,SearchCreativeWork
736,snips-train-1066,add the album to the metalcore playlist,ADD THE ALBUM TO THE METAL CORPLAOLIST,AddToPlaylist
737,snips-train-10660,Find The Best Man Holiday saga,FIND THE BEST MAN HOLIDAY SAGA,SearchCreativeWork
738,snips-train-10661,Find the TV series The Almighty Johnsons,FINE THE T V CERIES THE ALMIGHTY JOHNSONS,SearchCreativeWork
739,snips-train-10662,Find a painting called The Book of Folly .,FIND A PAINTING CALLED THE BOOK A FOLLY,SearchCreativeWork
740,snips-train-10663,Show The Information A History picture,SHOW THE INFORMATION A HISTORY PICTURE,SearchCreativeWork
741,snips-train-10664,I want to play the video game Miss Castaway And The Island Girls,I WANTE TER PLAY THE VIRIOGAME MIS CAST AWAY AND THE ISLAND GIRLS,SearchCreativeWork
742,snips-train-10665,Where can I find the Sounds to Consume album ?,WHERE CAN I FIND THE SOUNDS TO CONSUME ALBUM,SearchCreativeWork
743,snips-train-10666,Find book called Dreams and All That Stuff,FIND BOOK CALLED DREAMS AND ALL THAT STUFF,SearchCreativeWork
744,snips-train-10667,"find Love Will Tear Us Apart , a photograph",FINE LOVE WILL TEAR US APART A PHOTOGRAPH,SearchCreativeWork
745,snips-train-10668,show creativity in Call Me Joe,SHELL CREATIVITY AN CALL ME JOE,SearchCreativeWork
746,snips-train-10669,I'd like to hear the song Daimidaler Prince vs Penguin Empire,I'D LIKE TO HEAR THE SONG DAIMEN IN LAR PRINCE VERSE'S PINGUIN EMPIRE,SearchCreativeWork
747,snips-train-1067,Add Third Stone from the Sun to the Concentración playlist.,AD THIRDSTONE FROM THE SUN TO THE CONCENTRATION PLAOLIST,AddToPlaylist
748,snips-train-10670,I want to read the book The Minotaur,I WANT TO READ THE BOOK THE MINITOR,SearchCreativeWork
749,snips-train-10671,Search for the Complots,SEARCH FOR THE COMPLOTS,SearchCreativeWork
750,snips-train-10672,show the trailer of Deadly Skies,SHOW THE TRAILER OF DEADLY SKIES,SearchCreativeWork
751,snips-train-10673,find Wintersong game,FIND WINDER SONG GAME,SearchCreativeWork
752,snips-train-10674,Can you find the TV show Faithless Street,CAN YOU FIND THAT EVE SHOW FAITHLESS STREET,SearchCreativeWork
753,snips-train-10675,I want to listen to the song Shamus,I WANT TO LISTEN TO THE SONG SHAMESS,SearchCreativeWork
754,snips-train-10676,Show me Rapid City Muscle Car .,SHOW ME RAPID CITY MUSSL CAR,SearchCreativeWork
755,snips-train-10677,play The Widow of Saint-Pierre saga,PLAY THE WIDOW OF SANPIER SAGA,SearchCreativeWork
756,snips-train-10678,find a television show called Happy Trails,FIND A TELIVISION SHO CALLED HAPPY DRAILS,SearchCreativeWork
757,snips-train-10679,Find a picture called Neighbourhood .,FIND A PICTURE CALLED NEIGHBORHOOD,SearchCreativeWork
758,snips-train-1068,add track to kickass metal,AD TRACK TO KICKHAS METAL,AddToPlaylist
759,snips-train-10680,Find a picture called Ready .,FIND A PICTURE CALLED READY,SearchCreativeWork
760,snips-train-10681,find the photograph Canaich,FIND THE PHOTOGRAPH CINACH,SearchCreativeWork
761,snips-train-10682,Find the game Just Dance Greatest Hits,FIND THE GAME JUST DANCE GREATEST HETS,SearchCreativeWork
762,snips-train-10683,show schedule for Loved by Thousands,SHOWSCEDUL FORLOVED BY THOUSANDS,SearchCreativeWork
763,snips-train-10684,I want to watch the movie X Window Display Manager,I WANT TO WATCH THE MOVY EX WINDOW DISPLAY MANAGER,SearchCreativeWork
764,snips-train-10685,Find the picture of The Harsh Light of Day,FIND THE PICTURE OF THE HARSH LIGHT OF DAY,SearchCreativeWork
765,snips-train-10686,Where can I see the trailer for Experienced II Embrace Tour 2013 Budokan ?,WHERE CAN I SEE THE TRAILER FOR EXPERIENCE TO EMBRACE TO A TWENTY HIRTEEN BU DACON,SearchCreativeWork
766,snips-train-10687,find the painting Strong Enough,FIND THE PAINTING STRONG ENOUGH,SearchCreativeWork
767,snips-train-10688,Play me the saga The Party’s Over,PLAY ME THE SOGGED THE PARTIES OVER,SearchCreativeWork
768,snips-train-10689,find the video game Thale,FIND THE VIDIO GAME TALLA,SearchCreativeWork
769,snips-train-1069,I want to add Robin Hood and Queen Katherine to my playlist entitled Genuine R&B,I WANT TO ADROBIN HOOD AND QUEEN KATHARINE TO MY PLAYLIST ENTITLED GENUINE R M B,AddToPlaylist
770,snips-train-10690,Find The Earth Is a Sinful Song,FIND THE EARTH IS A SINFUL SONG,SearchCreativeWork
771,snips-train-10691,"find Touch of Eva , a TV show I want to see",FINDS HUCH OF EVE A TEVISH SHOW I WANT TO SEE,SearchCreativeWork
772,snips-train-10692,show me the picture Totally True Love,SHOW ME THE PICTURE TOTALLY TRUE LOVE,SearchCreativeWork
773,snips-train-10693,Look for Summer with Monika,LOOK FOR SUMMER WITH MONICA,SearchCreativeWork
774,snips-train-10694,Show me Tears On My Pillow .,SHOW ME DEARS ON MY PILLOW,SearchCreativeWork
775,snips-train-10695,Can you find the trailer for The Young Martyr ?,CAN YOU FIND THE TRAILER FOR THE YOUNG MORNER,SearchCreativeWork
776,snips-train-10696,Find Your Personal Touch .,FIND YOUR PERSONAL TOUCH,SearchCreativeWork
777,snips-train-10697,Please search the Songs for the Deaf video game .,PLEASE SEARCH THE SONGS FOR THE DEF VIDIO GAME,SearchCreativeWork
778,snips-train-10698,Where can I view the photograph The Phantom Horse,WHERE CAN I VIEW THE PHOTOGRAPH THE PHANTOM HORSE,SearchCreativeWork
779,snips-train-10699,I want to play the game Show Me the Wonder,I WANT TO PLAY THE GAME SHOW ME THE WONDER,SearchCreativeWork
780,snips-train-107,Add I Almost Lost My Mind to my bossa nova dinner playlist.,HAD I ALMOST LOST MY MIND TO MY BOSSON OVERDENNER PLAOLIST,AddToPlaylist
781,snips-train-1070,Add Beverley Knight to my mellow beats playlist,ADD BEVERLY NIGHD TO MY MELLOW BEATS PLAALIST,AddToPlaylist
782,snips-train-10700,find the TV series The Farewell Tour,FINE THE T V CERIES THE FAREWELL TOUR,SearchCreativeWork
783,snips-train-10701,When and where is DistroWatch playing,WHIN AND WHEREAS DISTROW WATCH PLAYING,SearchCreativeWork
784,snips-train-10702,"I need Chapter One of the show , get it for me please.",I NEED CHAPTER ONE OF THE SHOW GET IT FOR ME PLEASE,SearchCreativeWork
785,snips-train-10703,Please find me Glass Cloud – Single .,PLEASE FIND ME GLASS CLOUD SINGLE,SearchCreativeWork
786,snips-train-10704,Play me the TV show SEAL Team,PLAY ME THE T V SHOCIAL TEAM,SearchCreativeWork
787,snips-train-10705,Help me locate a game called The Master of Ballantrae .,HELP ME LOCATE A GAIN CALLED THE MASTER OF BALANDREE,SearchCreativeWork
788,snips-train-10706,Play The Last Mile album,PLAY THE LAST MILE ALBUM,SearchCreativeWork
789,snips-train-10707,What song is Detective Conan Dimensional Sniper,WHAT SONG IS DETECTIVE CONINDIMENSIONAL SNIPER,SearchCreativeWork
790,snips-train-10708,Bombshells saga download,BOMB SHELLS SAGGE DOWNLOAD,SearchCreativeWork
791,snips-train-10709,play the Home Is Where the Music Is TV series,PLAY THE HOME IS WHERE THE MUSIC IS T V CYRES,SearchCreativeWork
792,snips-train-1071,please put this tune on the irish folk – jigs & reels playlist,PLEASE PUT THIS TUNE ON THE IRISH FOLK JIGS AND REELS PLAOLIST,AddToPlaylist
793,snips-train-10710,Find the Innocent When You Dream saga,FIND THE INNOCENT WHEN YOU DREAM SAGA,SearchCreativeWork
794,snips-train-10711,Find a TV show called The Ambient Collection .,FIND A T V SHOW CALLED THE AMBIANT COLLECTION,SearchCreativeWork
795,snips-train-10712,I'm looking for The Birth of a Nation,I'M LOOKING FOR THE BIRTH OF A NATION,SearchCreativeWork
796,snips-train-10713,Find Returned to Your Mind .,FINE RETURN TO YOUR MIND,SearchCreativeWork
797,snips-train-10714,Look up The Dock of the Bay show,LOOK UP THE DOCK OF THE BAY SHOW,SearchCreativeWork
798,snips-train-10715,Find a photograph called Cope Park .,FIND A PHOTOGRAPH CALLED COPARK,SearchCreativeWork
799,snips-train-10716,Please look for the TV show Memoirs from a Bedroom Issue 1,PLEASE LOOK FOR THE T VY SHOW MEMOIRS FROM A BEDROOM IS SOU ON,SearchCreativeWork
800,snips-train-10717,show creativity of novel Lock,SHOW CREATIVITY OF NOVEL LOCK,SearchCreativeWork
801,snips-train-10718,Where can I find the creative works The Very Best of Simply Red,WHERE CAN I FIND THE CREATIVE WORKS THE VERY BEST OF SIMPHLY READ,SearchCreativeWork
802,snips-train-10719,Go to the photograph The Inflated Tear,GO TO THE PHOTOGRAPH THE INFLATED TIER,SearchCreativeWork
803,snips-train-1072,Add Stuck on Nothing to my Sax and the City playlist,ADD STUCK ON NOTHING TO MY SAX AND THE CINY PLAOLIST,AddToPlaylist
804,snips-train-10720,find the album Just for Laughs,FIND THE ALBUM JUST FOR LAUGS,SearchCreativeWork
805,snips-train-10721,find Flesh and Bullets,FINED FLUSH AND BULLETS,SearchCreativeWork
806,snips-train-10722,Play the Food Uncut soundtrack,PLAY THE FOOD ON CUTSOUND TRACK,SearchCreativeWork
807,snips-train-10723,Show me a copy of the picture Double Deal .,SHOW ME A COPY OF THE PICTURED DEBOUDILLE,SearchCreativeWork
808,snips-train-10724,Look for the Editor & Publisher TV series,LOOK FOR THE EDITOR AND PUBLISH YOUR T V CIRIES,SearchCreativeWork
809,snips-train-10725,find the game Endangered Species,FIND THE GAME AN DANGERED SPECIES,SearchCreativeWork
810,snips-train-10726,Can you find the painting The Crow Original Motion Picture Soundtrack,CAN YOU FIND THE PAINTING THE CRUO ORIGINAL MOTION PICTURE SOUND TRACK,SearchCreativeWork
811,snips-train-10727,Find the Return to Grace saga,FIND THE RETURN TO GRACE SOGA,SearchCreativeWork
812,snips-train-10728,find the movie Yoshimi Battles the Hip-Hop Robots,FIND THE MOVI YORSHIMI BATTLES THE HIMPOPROBONTS,SearchCreativeWork
813,snips-train-10729,find Cut the Rope,FIND CATTE ROPE,SearchCreativeWork
814,snips-train-1073,add Yoshiki to the 35 Soul Classics 1970 to 1975 playlist,AD YUSHEKI TO THE THIRTY FIVE SOL CLASSICS NINETEEN SEVENTY TO NINETEEN SEVENTY FIVE PLAOLIST,AddToPlaylist
815,snips-train-10730,"I need Journal of Pediatric Oncology Nursing , help me find",I NEED JOURNAL OF PEDIATRIC ON COLLEGY NURSING HELP ME FIND,SearchCreativeWork
816,snips-train-10731,show the show The Son of Tarzan,SHOW THE SHOW THE SON OF THARZAN,SearchCreativeWork
817,snips-train-10732,I'm looking for the novel From a Scream to a Whisper,I'M LOOKING FOR THE NOVEL FROM A SCREAM TO A WHISPER,SearchCreativeWork
818,snips-train-10733,find me a game called Spaceball,FIND ME A GAME CALLED SPACE BLALL,SearchCreativeWork
819,snips-train-10734,Find Night of Passion,FIME KNIGHT OF PASSION,SearchCreativeWork
820,snips-train-10735,Where can I find the picture of House Foundation,WHERE CAN I FIND THE PICTURE OF HOUSE FOUNDATION,SearchCreativeWork
821,snips-train-10736,Show The Invisible Hook trailer,SHOW THE INVISIBLE HOOK DRAILER,SearchCreativeWork
822,snips-train-10737,find the show Go with the Flow,FIND THE SHOW GO WITH THE FLOW,SearchCreativeWork
823,snips-train-10738,I'm looking for the video game called The Supernatural Events on Campus,I'M LOOKING FOR THE VIDIO GAME CALLED THE SUPERNATURAL EVENTS ON CAMPUS,SearchCreativeWork
824,snips-train-10739,Show Transformers The Game,SHOW TRANSFORMERS THE GAME,SearchCreativeWork
825,snips-train-1074,add xsuie in Your Favorite Coffeehouse,ADECSWE IN YOUR FAVOURITE COFFEE HOUSE,AddToPlaylist
826,snips-train-10740,Show Saison 5 de Game of Thrones,SHOW SIZUIN FIVED A GAME OF THRONES,SearchCreativeWork
827,snips-train-10741,find the song Occasional Wife,FIND THE SONG OCCASIONAL WIFE,SearchCreativeWork
828,snips-train-10742,find the TV series Truly Fine Citizen,FIN THE T V CERIES TRULY FINE CITIZEN,SearchCreativeWork
829,snips-train-10743,"find The Girlfriend Experience , a television show",FIND THE GIRL FRIEND EXPERIENCE A TELA VISION SHOW,SearchCreativeWork
830,snips-train-10744,find Check In,FINE CHECK IN,SearchCreativeWork
831,snips-train-10745,show creativity of The Oxford Companion to Beer TV show,SHOW CREATIVITY OF THE OXFORD COMPANION TO BIRT V SHOW,SearchCreativeWork
832,snips-train-10746,play The Catholic Sun album,PLAY THE CATHOLIC SON ALBUM,SearchCreativeWork
833,snips-train-10747,find a TV show called Ride the Wind,FIND A T VE SHOW CALLED DRY THE WIND,SearchCreativeWork
834,snips-train-10748,where do I see the trailer for Live Dates,WHERE DO I SEE THE TRAILER FOR LIVE DATES,SearchCreativeWork
835,snips-train-10749,Look for the Public Toilet painting,LOOK FOR THE PUBLIC TOILET PAINTING,SearchCreativeWork
836,snips-train-1075,Add tune to Genuine R&B,ADD TUNE TO GENUINE R AND B,AddToPlaylist
837,snips-train-10750,Find Trust in the Lord – Live Worship with Don Moen .,FIND TRUST IN THE LORD LIVE WORSHIP WITH DON MOWEN,SearchCreativeWork
838,snips-train-10751,Play me the trailer for Chasing After Shadows... Living with the Ghosts .,PLAY METHE TRAIL OR FOR CHASING AFTER SHADOWS LIVING WITH THE GHOSTS,SearchCreativeWork
839,snips-train-10752,find book In the Valley,FIND BOOK IN THE VALLEY,SearchCreativeWork
840,snips-train-10753,Find The Tyrant,FIND THE TYRANT,SearchCreativeWork
841,snips-train-10754,find the show How to Meet the Lucky Stars,FIND THE SHOW HOW TO MEET THE LUCKY STARS,SearchCreativeWork
842,snips-train-10755,Find a painting called Smash Crusher .,FIND A PAINTING CALLED SMASH GRUSHER,SearchCreativeWork
843,snips-train-10756,Show The Blue Meaning television show,SHOW THE BLUE MEANING TELAVISION SHOW,SearchCreativeWork
844,snips-train-10757,Find Wish You Were Here .,FIND WISH YOU WERE HERE,SearchCreativeWork
845,snips-train-10758,Can I hear the song American High .,CAN I HEAR THE SONGUMERICAN HIE,SearchCreativeWork
846,snips-train-10759,I'd like to watch the TV series Sailor Moon SuperS The Movie,I'D LIKE TO WATCH THE T V CYRES SAILOR MOON SUPERS THE MOVI,SearchCreativeWork
847,snips-train-1076,Add album to Pop Rising,ADD ALBUM TO PA PRIZING,AddToPlaylist
848,snips-train-10760,I need to find Best of the West Rides Again,I NEED TO FIND BEST OF THE WEST TRIDES AGAIN,SearchCreativeWork
849,snips-train-10761,I'd like to find the Limited Lovers novel,I'D LIKE TO FIND THE LIMITED LOVER'S NOVEL,SearchCreativeWork
850,snips-train-10762,Find The International Journal of Robotics Research soundtrack,FIND THE INTERNATIONAL JOURNAL OF ROBADICS RESEARCH SOUND TRACK,SearchCreativeWork
851,snips-train-10763,Please get me Exploring the Reef TV show,PLEASE GIV ME EXPLORING THE REEF T V SHOW,SearchCreativeWork
852,snips-train-10764,Search for Man in a Garage,SSEARCH FOR MAN AND THE GARRAGE,SearchCreativeWork
853,snips-train-10765,Where do I play the video game The Wild Geese ?,WHERE DO I PLAY THE VIRIO GAME THE WILD GEESE,SearchCreativeWork
854,snips-train-10766,Bring up the book Perfume The Story of a Murderer,BRING UP THE BOOK PERFUME THE STORY OF A MURDERER,SearchCreativeWork
855,snips-train-10767,What is the release date for the DVD called Wild Is the Wind ?,WHAT IS THE RELEASED ATE FOR THE D V D CALLED WILD IS THE WIND,SearchCreativeWork
856,snips-train-10768,find Racing the Beam The Atari Video Computer System,FINE RACING THE BEAM THE ATARI VIDIO KIMPUTERE SYSTEM,SearchCreativeWork
857,snips-train-10769,"where can Ifind You Know Me , a saga",WHERE CAN I FIND YOU KNOW ME ASAGA,SearchCreativeWork
858,snips-train-1077,add count von cosels obsession to Jazzy Romance,AD COUNT VON COZEL'S OBSESSION TO JASY ROMANCE,AddToPlaylist
859,snips-train-10770,find a television show called Milagros Girl from Away,FIND A TELAVISION SHO CALLED MILL LAGROS GIRL FROM AWAY,SearchCreativeWork
860,snips-train-10771,What is the cheapest price I can pay for the DVD called The Darkest Cloud ?,WHAT IS THE CHEAPEST PRICE I CAN PAY FOR THE D V D CALLED THE DARKEST GLOUD,SearchCreativeWork
861,snips-train-10772,I am looking for the work Nikki,I AM LOOKING FOR THE WORK NICKY,SearchCreativeWork
862,snips-train-10773,Show me the book Playlist The Very Best of Dolly Parton,SHOW ME THE BOOK PLAYLIS THE VERY BEST OF DOWLY PARDON,SearchCreativeWork
863,snips-train-10774,What is the TV show Journal of Personality and Social Psychology ?,WHAT IS THE T V SHOWED JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,SearchCreativeWork
864,snips-train-10775,show creativity of The Greatest Movie Ever Sold,SHOW CREATIVITY OF THE GREATEST MOVE HE EVER SOLD,SearchCreativeWork
865,snips-train-10776,Show me The Advocate,SHOW ME THE ADVOCATE,SearchCreativeWork
866,snips-train-10777,find me a game called Thesis Eleven,FIND ME A GAME CALLED THESES ELEVEN,SearchCreativeWork
867,snips-train-10778,How do I see the TV series To See the Invisible Man ?,HOW DO I SEE THE T V CERIES TO SEE THE INVISIBLE MAN,SearchCreativeWork
868,snips-train-10779,Show the Feed the Kitty painting,SHOW THE FEED THE KIDDY PAINTING,SearchCreativeWork
869,snips-train-1078,put paula abdul on Musica Española 2017,PUT PALAR ABJEL ON MOOSY KITUS PON YOLA TWENTY SEVENTEEN,AddToPlaylist
870,snips-train-10780,I want to listen to Keep the Faith,I WANT TO LISTEN TO KEEP THE FAITH,SearchCreativeWork
871,snips-train-10781,find a game called So Long Self,FIND A GAME CALLED SO LONG SELF,SearchCreativeWork
872,snips-train-10782,I want to listen to the soundtrack Adobe Digital Editions,I WANT TO LISTEN TO THE SOUND TRACK IT O BE DIGITALEDITIONS,SearchCreativeWork
873,snips-train-10783,Play the soundtrack for The Lord of the Rings Conquest,PLAY THE SOUND TRACK FOR THE LORD OF THE RING'S CONQUEST,SearchCreativeWork
874,snips-train-10784,Looking for video game For Those Who Would Walk with the Gods,LOOKING FOR VIDIO GAME FOR THOSE WHO WOULD WALK WITH THE GODS,SearchCreativeWork
875,snips-train-10785,Find a painting called Satisfaction Is the Death of Desire .,FIND A PAINTING CALLED SATISFACTION IS THE DEATH OF DESIRE,SearchCreativeWork
876,snips-train-10786,Where can I listen to Willy and the Poor Boys,WHERE CAN I LISTEN TO WILLE AND THE POOR BOYS,SearchCreativeWork
877,snips-train-10787,I'm looking for River Disturbance,I'M LOOKING FOR RIVER DISTURBANCE,SearchCreativeWork
878,snips-train-10788,Find a photograph called Shout It Out .,FIND A PHOTOGRAPH CALLED SHOUTED OUT,SearchCreativeWork
879,snips-train-10789,Find the Steady as She Goes saga,FIND THE STEADY AS SHE GOS SARGER,SearchCreativeWork
880,snips-train-1079,add maschi e altri to my this is john williams,AD MASQUY EALTRY TO MY THIS IS JOHN WILLIAMS,AddToPlaylist
881,snips-train-10790,Please get me the Critical Condition show .,PLEASE GIVE ME THE CRITICAL CONDITION SHOW,SearchCreativeWork
882,snips-train-10791,Please get me the AiON show .,PLEASE GIVE ME THE EYE ON SHOW,SearchCreativeWork
883,snips-train-10792,play Myth II Soulblighter,PLAYMYTH TO SOUL BLIGHTER,SearchCreativeWork
884,snips-train-10793,Find me the Travel Weekly,FIND ME THE TRAVEL WEAKLY,SearchCreativeWork
885,snips-train-10794,I'm looking for an album called The Orchestrion Project .,I'M LOOKING FOR AN ALBUM CALLED THE ORCESTRION PROJECT,SearchCreativeWork
886,snips-train-10795,I want Sugarfoot,I WANT SUGAR FOOT,SearchCreativeWork
887,snips-train-10796,Show me the picture Gas Wars,SHOW ME THE PICTURE GAS WARS,SearchCreativeWork
888,snips-train-10797,"find The Most Important People , a television show",FIND THE MOST IMPORTANT PEOPLE A TELL A VISION SHOW,SearchCreativeWork
889,snips-train-10798,find Becoming Royston,FIND BECOMING ROYSTON,SearchCreativeWork
890,snips-train-10799,Find the TV series From the Top,FINE THE T V CERIES FROM THE TOP,SearchCreativeWork
891,snips-train-108,Add another tune to my Soft Rock playlist.,ADD ANOTHER TUNE TO MY SOFT ROCK PLAOLIST,AddToPlaylist
892,snips-train-1080,Add this track by horace andy to acoustic soul,ADD THIS TRACK BY HARA SENDE TO A COUSTIC SOUL,AddToPlaylist
893,snips-train-10800,I want to read the book Crash Landing,I WANT TO READ THE BOOK CRASHLANDING,SearchCreativeWork
894,snips-train-10801,I'd like to see Completely Well,I'D LIKE TO SEE COMPLETELY WELL,SearchCreativeWork
895,snips-train-10802,Can you help me find the We No Who U R game ?,CAN YOU HELP ME FIND THE WENOW WHO YOU ARE GAME,SearchCreativeWork
896,snips-train-10803,I want to watch The Original Recordings,I WANT TO WATCH THE ORIGINAL RECORDINGS,SearchCreativeWork
897,snips-train-10804,I'm looking for the video game Masterful Mystery Tour,I'M LOOKING FOR THE VIDIO GAMEMASTERFUL MYSTRY TOUR,SearchCreativeWork
898,snips-train-10805,I'm looking for the trailer of Highlands Today,I'M LOOKING FOR THE TRAILER OF HIGHLANDS TO DAY,SearchCreativeWork
899,snips-train-10806,show me the picture Sex and Drugs and Jesus Christ,SHOW ME THE PICTURE SEX AND DRUGS AND JESUS CHRIST,SearchCreativeWork
900,snips-train-10807,I'd like to see the saga Song of the Saurials,I'D LIKE TO SEE THE SAGA SONG OF HIS ORIOLES,SearchCreativeWork
901,snips-train-10808,show creativity of The Album saga,SHOW CREATIVITY OF THE ALBUMSAGA,SearchCreativeWork
902,snips-train-10809,Where can I purchase the TV show Time for Heroes,WHERE CAN I PURCHASE THE TEVI SHOW TIME FOR HEROES,SearchCreativeWork
903,snips-train-1081,Add something by ritchie valens to my playlist virales de siempre,ADD SOMETHING BYRICHE VALANCE TO MY PLAYLESS VERALES TO CIEN PRE,AddToPlaylist
904,snips-train-10810,What is the painting Forever Malcolm Young ?,WHAT IS THE PAINTING FOR EVER MALCOLM YOUNG,SearchCreativeWork
905,snips-train-10811,Can you find me the movie The Countess ?,CAN YOU FIND ME THE MOVI THE COUNTESS,SearchCreativeWork
906,snips-train-10812,Find a picture of A Breed Apart,FIND A PICTURE OF A BRIED APART,SearchCreativeWork
907,snips-train-10813,Find Just South of Heaven,FIND JUST SOUTH OF HEAVEN,SearchCreativeWork
908,snips-train-10814,Can you find the song Bleach Hell Chapter,AN YOU FIND THIS SONG BLEECHH HAIL CHAPTER,SearchCreativeWork
909,snips-train-10815,Find the show The Sword of the Lictor,FIND THE SHOW THE SORT OF THE LIQTORR,SearchCreativeWork
910,snips-train-10816,Where can I find the Ricky Skaggs discography,WHERE CAN I FIND THE RECKY SCAGS TOSCOGRAPHY,SearchCreativeWork
911,snips-train-10817,show me Convicted,SHOW ME CONVICTED,SearchCreativeWork
912,snips-train-10818,Find the Sing When You’re Winning TV show,FINENESS IN WIN YOUR WILLING T VE SHOW,SearchCreativeWork
913,snips-train-10819,Find a soundtrack called Meet The Vogues .,FIND A SOUND TRACK CALLED MEAT THE ROGUES,SearchCreativeWork
914,snips-train-1082,add paulinho da viola to my Radio Rock song list,ADD PAULINO DI VIOLA TO MY RADIO ROC SONG LIST,AddToPlaylist
915,snips-train-10820,Find a movie called No. 1 In Heaven .,FIND A MOVIE CALLED NUMBER ONE AND HEAVEN,SearchCreativeWork
916,snips-train-10821,Please find the show Kim Hyun-joong discography,PLEASE FIND THE SHOW KIM HE UNJUNGED IS COGRAPHY,SearchCreativeWork
917,snips-train-10822,Give me a link to the saga called Copper – Justice is brutal,GIVE ME A LINK TO THE TSAGA CALLED COPPER JUSTICE IS BRUTAL,SearchCreativeWork
918,snips-train-10823,Show me a video game made by TMPGEnc .,SHOW ME A VIRIO GAME MADE BY MGINIK,SearchCreativeWork
919,snips-train-10824,Find me The Wild Boys,FIND ME THE WILD VOICE,SearchCreativeWork
920,snips-train-10825,Please search for The Legend of Korra book .,PLEASE SEARCH FOR THE LEGEND OF QUARTER BOOK,SearchCreativeWork
921,snips-train-10826,Find a TV show called The God Boy .,FIND A TE V SHOW CALLED THE GOD BOY,SearchCreativeWork
922,snips-train-10827,Can you help me find the Author! Author ! trailer ?,CAN YOU HELP ME FIND THE AUTHOR AUTHOR DRAYLER,SearchCreativeWork
923,snips-train-10828,where can I find the game A Little Bit of Mambo,WHERE CAN I FIND THE GAME MAY A LITTLE BIT OF MOMBO,SearchCreativeWork
924,snips-train-10829,Can you pull up My Name Is Brain Brian,CAN YOU PULL UP MY NAME IS BRAIN BRYAN,SearchCreativeWork
925,snips-train-1083,add artist to acoustic soul,ADD ARTIST TO A COUSTIC SOUL,AddToPlaylist
926,snips-train-10830,Show me the saga My Darling,SHOW ME THI SALG AND MY DARLING,SearchCreativeWork
927,snips-train-10831,Where can I find the painting of Without Condition,WHERE CAN I FIND THE PAINTING OF WITHOUT CONDITION,SearchCreativeWork
928,snips-train-10832,find Journal of the Society for American Music,FINE JOURNAL OF THE SOCIETY FOR AMERICAN MUSIC,SearchCreativeWork
929,snips-train-10833,I want watch The Sun And The Moon,I WANT WATCH THE SUN AND THE MOON,SearchCreativeWork
930,snips-train-10834,show More Questions Than Answers trailer,SHOW MORE QUESTIONS THAN ANSWER'S TRAILER,SearchCreativeWork
931,snips-train-10835,I'm looking for Sherlock Holmes contre Arsène Lupin .,I'M LOOKING FOR SHIRLOCK HOLMES CONDRE OR SAINT LUPIN,SearchCreativeWork
932,snips-train-10836,"find To Each His Own Cinema , an album",FINE TO EACH HIS OWN CINAMA AN AUBUM,SearchCreativeWork
933,snips-train-10837,Can you find me the My Father My King game ?,CAN YOU FIND ME THE MY FATHER MY KING GAME,SearchCreativeWork
934,snips-train-10838,I need to find the saga Trail of the Yukon,I NEED TO FIND THE SAGU TRAIL OF THE UKON,SearchCreativeWork
935,snips-train-10839,Where can I purchase the TV series The Mating Season,WHERE CAN I PURCHASE THE T V CERAES THE MADING SEASON,SearchCreativeWork
