,train_index,train_sentence,salli_sentence,train_label
2188,snips-train-11967,Is Millions in the Air playing at the cinema,IS MILLIONS IN THE AIR PLAYING AT THE CINAMA,SearchScreeningEvent
2189,snips-train-11968,show movie times for AMC Theatres,SHOW MOVY TIMES FOR E M C THEATRES,SearchScreeningEvent
2190,snips-train-11969,Find the schedule for The Devil Diamond at a movie theatre .,FIND THE SCHADULE FOR THE DEVIL DIAMOND AT A MOVIE THEATRE,SearchScreeningEvent
2191,snips-train-1197,Add a track to my dinner playlist,ADD A TRACT TO MY DINNER PLAYALIST,AddToPlaylist
2192,snips-train-11970,find close by movie schedule movies,FINE CLOSE BY MOVIE SCHEDULE MOVIES,SearchScreeningEvent
2193,snips-train-11971,movie schedules at Southern Theatres,MOVI SCHEDULS AT SOUTHERN THEATRES,SearchScreeningEvent
2194,snips-train-11972,What time is High Tide at Noon showing,WHAT TIME IS HEIHTHEIGHT AT NOON SHOWING,SearchScreeningEvent
2195,snips-train-11973,What films are playing at the nearest movie theatre,WHAT FILMS ARE PLAYING AT THE NEAREST MOVIE THEATRE,SearchScreeningEvent
2196,snips-train-11974,Is A Tree Grows in Brooklyn playing in one hour,IS A TREE GROWS IN BRO CLING PLAYING IN ONE HOUR,SearchScreeningEvent
2197,snips-train-11975,When is Up the Yangtze playing at Goodrich Quality Theaters,WHEN IS UP THE YOUNG SEE PLAYING AT GOOD RICH QUALITY THEATRES,SearchScreeningEvent
2198,snips-train-11976,please give me the movie schedule,PLEASE GIVE ME THE MOVI SCHADULE,SearchScreeningEvent
2199,snips-train-11977,Show me the closest 12 A.M. showing at a movie house of an animated movie,SHOW ME THE CLOSEST TWELVE EIGHT M SHOWING AT A MOVI HOUSE OF AN ANIMATED MOVIE,SearchScreeningEvent
2200,snips-train-11978,Check movie schedules and find which animated movies are being aired in the neighborhood movie halls.,CHECK MOVIE SCHEDULES AND FIND WHICH ANIMATED MOVIES ARE BEING AIRED IN THE NEIGHBORHOOD MOVIE HALLS,SearchScreeningEvent
2201,snips-train-11979,What time can I watch Son of Rambow Tonight at Fox Theatres,WHAT TIME CAN I WATCH SON OF RAMBOU TO NIGHT AT FOX THEATRES,SearchScreeningEvent
2202,snips-train-1198,Can the artist big mama thornton be put onto my Trabajo Relax playlist?,CAN THE ARTIST BIG MAMMATHORINTON BE PUT UNTO MY TRABA HO RULAX PLAYLIST,AddToPlaylist
2203,snips-train-11980,What movies are playing in the area ?,WHAT MOVIES ARE PLAYING AND THE AREA,SearchScreeningEvent
2204,snips-train-11981,What films are scheduled around here ?,WHAT FILMS ARE SCHEDULED AROUND HERE,SearchScreeningEvent
2205,snips-train-11982,Can I get the Cineplex Odeon Corporation showings for Small Town Story ?,CAN I GET THE SYNOPLUX SODIAN CORPORATION SHOWINGS FOR SMALL TOWN STORY,SearchScreeningEvent
2206,snips-train-11983,Is The Country Doctor on the schedule at any theater near me?,IS THE COUNTRY DOCTOR ON THE SCHEDULE AT ANY THEATRE NEAR ME,SearchScreeningEvent
2207,snips-train-11984,What time are movies showing at Megaplex Theatres,WHAT TIME OUR MOVIES SHOWING AT MEGIPLEX THEATRES,SearchScreeningEvent
2208,snips-train-11985,what films are showing nearby,WHAT FILMS ARE SHOWING NEAR BY,SearchScreeningEvent
2209,snips-train-11986,What time is The Corner playing,WHAT TIME IS THE CORNER PLAYING,SearchScreeningEvent
2210,snips-train-11987,I'd like to watch films at Marcus Corporation at twelve P.M.,I'D LIKE TO WATCH FILMS AT MARGUS CORPORATION AT TWELVE P M,SearchScreeningEvent
2211,snips-train-11988,Find me the movie schedule for ArcLight Hollywood,FIND ME THE MOVY SCHEDULE FOR ARK LIGHT HOLLY WOOD,SearchScreeningEvent
2212,snips-train-11989,Can i get todays movie schedule for the movies that are close by ?,CAN I GET TO DAY'S MOVIE SCHEDULE FOR THE MOVIES THAT ARE CLOSE BY,SearchScreeningEvent
2213,snips-train-1199,Can you add Esquivando charcos to my playlist entitled the piano bar,AN YOU ADASQUAIVANDO HARCOS TO MY PLAILIST ENTITLED THE PIANO BAR,AddToPlaylist
2214,snips-train-11990,Give me Pacific Theatres movie schedules,GIVE ME PACIFIC THEATRES MOVY SCHEDULES,SearchScreeningEvent
2215,snips-train-11991,Find movie schedules .,FIND MOVIE SCHEDULES,SearchScreeningEvent
2216,snips-train-11992,What animated movies are playing at the closest cinema,WHAT ANIMATED MOVIES ARE PLAYING AT THE CLOSEST CINEMA,SearchScreeningEvent
2217,snips-train-11993,find movies nearest to a movie house,FIND MOVIES NEAREST TO A MOVIE HOUSE,SearchScreeningEvent
2218,snips-train-11994,find Hear Me Good,FINDS HERE ME GOOD,SearchScreeningEvent
2219,snips-train-11995,can I get the movie schedules,CAN I GET THE MOVI SCHEDULES,SearchScreeningEvent
2220,snips-train-11996,show the schedule of movie times,SHOW THE SCHEDULE OF MOVI TIMES,SearchScreeningEvent
2221,snips-train-11997,Find movie schedules for animated movies in the area,FIND MOVIE SCHADULES FOR ANIMATED MOVIES IN THE AREA,SearchScreeningEvent
2222,snips-train-11998,She me the movie times,SHEW ME THE MOVE TIMES,SearchScreeningEvent
2223,snips-train-11999,When is The Great Question playing at the closest movie house ?,WHEN IS THE GREAT QUESTION PLAYING AT THE CLOSEST MOVIE HOUSE,SearchScreeningEvent
2224,snips-train-12,add Classic Punk by Chab,ADD CLASSIC PUNK BY CHAB,AddToPlaylist
2225,snips-train-120,Put a track by lil mama into my guest list sneaky zebra playlist.,PUT A TRACK BY LITTLE MAMMA INTO MY GUESTLESS SNEAKISE BROPLAOLIST,AddToPlaylist
2226,snips-train-1200,add Tracy Chapman to Late Night Jazz,ADD TRACY CHAPMAN TO LATE NIGHT JAS,AddToPlaylist
2227,snips-train-12000,What time does Tie a Yellow Ribbon play at Magic Johnson Theatres ?,WHAT TIME DOES TIE YELLOW RIBBON PLAY AT MAGIC JOHNSON THEATERS,SearchScreeningEvent
2228,snips-train-12001,I want to see the movie schedule for KB Theatres .,I WANT TO SEE THE MOVIE SCHEDULE OR K B THEATRES,SearchScreeningEvent
2229,snips-train-12002,what animated movies can i see at Malco Theatres,WHAT ANIMATED MOVIES CAN I SEE AT MOW CO THEATRES,SearchScreeningEvent
2230,snips-train-12003,find movie schedules,FIND MOVIE SCHEDULES,SearchScreeningEvent
2231,snips-train-12004,What are the movie schedules for movies playing in the neighborhood,WHAT ARE THE MOVI SCHEDULES FOR MOVIES PLAYING IN THE NEIGHBORHOOD,SearchScreeningEvent
2232,snips-train-12005,What local movie house is playing Beat the Drum,WHAT LOCAL MOVIE HOUSE IS PLAYING BEAT THE DRUM,SearchScreeningEvent
2233,snips-train-12006,i need movie times for movies in the area,I NEED MOVE TIMES FOR MOVIES IN THE AREA,SearchScreeningEvent
2234,snips-train-12007,I'd like to watch Bound for Glory at the closest movie theatre at 214108,I'D LIKE TO WATCH BOUND FOR GLORY AT THE CLOSEST MOVI THEATRE AT TWO HUNDRED FOURTEEN THOUSAND ONE HUNDRED EIGHT,SearchScreeningEvent
2235,snips-train-12008,find a movie schedule in the neighborhood for animated movies,FIND A MOVIE SCHEDULE IN THE NEIGHBORHOOD FOR ANIMATED MOVIES,SearchScreeningEvent
2236,snips-train-12009,Find Captain Kronos - Vampire Hunter .,FIND CAPTAIN CRUNOS VAMPIRE HUNTER,SearchScreeningEvent
2237,snips-train-1201,Add another tune to kristine's laundry playlist.,ADD ANOTHER TUNE TO CHRISTINE'S LAUNDRY PLAOLIST,AddToPlaylist
2238,snips-train-12010,what movie is at Loews Cineplex Entertainment,WHAT MOVI IS THAT LOS C ENOPLEX ENTERTAINMENT,SearchScreeningEvent
2239,snips-train-12011,List movie schedule,LIST MOVI SCHEDULE,SearchScreeningEvent
2240,snips-train-12012,find some close by movies,FIND SOME CLOSE BY MOVIES,SearchScreeningEvent
2241,snips-train-12013,show movie schedules at Megaplex Theatres,SHOW MOVI SCHEDULES AT MEGAPLEX THEATRES,SearchScreeningEvent
2242,snips-train-12014,What are the movie times for Amco Entertainment,WHAT ARE THE MOVI TIMES FOR AMCO ENTERTAINMENT,SearchScreeningEvent
2243,snips-train-12015,"I'd like to watch movies around here , can I see the movie schedules",I'D LIKE TO WATCH MOVIES AROUND HERE CAN I SEE THE MOVIE SCHEDULES,SearchScreeningEvent
2244,snips-train-12016,what movies are playing in the neighborhood,WHAT MOVIES ARE PLAYING IN THE NEIGHBORHOOD,SearchScreeningEvent
2245,snips-train-12017,What time is Sontha Ooru playing,WHAT TIME IS SENTH A REPLAYING,SearchScreeningEvent
2246,snips-train-12018,Can I get the movie schedules for Southern Theatres at around 1502,CAN I GET THE MOVY SCHEDULES FOR SOUTHERN THEATRES THAT AROUND ONE THOUSAND FIVE HUNDRED TWO,SearchScreeningEvent
2247,snips-train-12019,Find me a showing of The Vanquished that starts nine hours and 1 second from now .,FIND ME A SHOWING OF THE VANQUISH THAT STARTS NINE HOURS AND ONE SECOND FROM NOW,SearchScreeningEvent
2248,snips-train-1202,Put this shelter from the storm on r&b party classics,PUT THIS SHELTER FROM THE STORM ON OUR AND BE PARTY CLASSICS,AddToPlaylist
2249,snips-train-12020,What animated movies are playing nearby right now ?,WHAT ANIMATED MOVIES ARE PLAYING NEAR BY RIGHT NOW,SearchScreeningEvent
2250,snips-train-12021,What animated movies are playing at Pacific Theatres,WHAT ANIMATED MOVIES ARE PLAYING AT PACIFIC THEATRES,SearchScreeningEvent
2251,snips-train-12022,Show me the nearest movie house showing He Won a Ranch,SHOW ME THE NEAREST MOVY HOUSE SHOWING HE ONE A RANCH,SearchScreeningEvent
2252,snips-train-12023,find animated movies at the nearest movie theatre,FIND ANIMATED MOVIES AT THE NEAREST MOVIE THEATR,SearchScreeningEvent
2253,snips-train-12024,Fine a movie schedule .,FINE A MOVI SCHEDULE,SearchScreeningEvent
2254,snips-train-12025,Can i get the movie schedule for Megaplex Theatres .,CAN I GET THE MOVY SCUDULE FOR MAGIPLEX THEATRES,SearchScreeningEvent
2255,snips-train-12026,Which movie theatre nearest me is showing animated movies starting now ?,WHICH MOVI THEATRE NEAREST ME IS SHOWING ANIMATED MOVIES STARTING NOW,SearchScreeningEvent
2256,snips-train-12027,Give me showtimes for The Tenth Woman at the movie house .,GIVE ME SHOW TIMES FOR THE TENTH WOMAN AT THE MOVIE HOUSE,SearchScreeningEvent
2257,snips-train-12028,find a cinema closest with animated movies,FIND A CINIMER CLOSEST WITH ANIMATED MOVIES,SearchScreeningEvent
2258,snips-train-12029,Show me the movie schedules for the nearest movie theatre in Invasion U.S.A. .,SHOW ME THE MOVI SCHEDULES FOR THE NEAREST MOVIE THEATRE AND INVASION YOU SS AY,SearchScreeningEvent
2259,snips-train-1203,add scarlet begonias to my para entrenar playlist,ADD SCARLET PEGONIAS TO MY PERA ENTERING OUR PLAYALIST,AddToPlaylist
2260,snips-train-12030,Tell me what movies are showing at seven am at the closest movie house .,TELL ME WHAT MOVIES ARE SHOWING AT SEVENUM AT THE CLOSEST MOVIE HOUSE,SearchScreeningEvent
2261,snips-train-12031,Can I get the newest listings for movies at Harkins Theatres,CAN I GET THE NEWEST LISTINGS FOR MOVIES AT HEARKENS THEATRS,SearchScreeningEvent
2262,snips-train-12032,What are the movie schedules for animated movies playing in the neighborhood,WHAT ARE THE MOVIE SCHADULES OR ANIMATED MOVIES PLAYING IN THE NEIGHBOURHOOD,SearchScreeningEvent
2263,snips-train-12033,Show films at the nearest cinema,SHOW FILMS AT THE NEAREST CINEMA,SearchScreeningEvent
2264,snips-train-12034,What time is Stranger in Town playing at the nearest cinema ?,WHAT TIME IS STRANGER IN TOWN PLAYING AT THE NEAREST CINEMA,SearchScreeningEvent
2265,snips-train-12035,show movie schedule at Cinemark Theatres,SHOW MOVI SCHEDULEAT CINEMARC THEATRES,SearchScreeningEvent
2266,snips-train-12036,Find the schedule for films at the closest movie house .,FIND THE SCHADULE FOR FILMS AT THE CLOSEST MOVIE HOUSE,SearchScreeningEvent
2267,snips-train-12037,I'd like to watch Abbott and Costello Meet the Keystone Kops at Amco Entertainment at 040811 AM,I'D LIKE TO WATCH OUBIT AND COSTELLO MEET THE KEYSTONE COPS AT AMCU ENTERTAINMENT AT HO OR O EIGHT ONE ONE A M,SearchScreeningEvent
2268,snips-train-12038,Which cinema is currently showing The Youngest Profession ?,WHICH CINNIMEN IS CURRENTLY SHOWING THE YOUNGEST PROFESSION,SearchScreeningEvent
2269,snips-train-12039,What movie times are around here playing animated movies,WHAT MOVI TIMES ARE ROUND HERE PLAYING ANIMATED MOVE IS,SearchScreeningEvent
2270,snips-train-1204,Add this Nozomi Tsuji tune to my Hot House playlist,ADD THIS NOSO MEETS UGI TUNE TO MY HOT HOUSE PLAALIST,AddToPlaylist
2271,snips-train-12040,what movie house is the closest playing animated movies,WHAT MOVIE HOUSE IS THE CLOSEST PLAYING ANIMATED MOVIES,SearchScreeningEvent
2272,snips-train-12041,Where is the nearest movie house that is playing Teaching to See,WHERE IS THE NEAREST MOVY HOUSE THAT IS PLAYING TEACHING TO SEE,SearchScreeningEvent
2273,snips-train-12042,can I get the showings for films at the nearest cinema in 1 minute,CAN I GET THE SHOWINGS FOR FILMS AT THE NEAREST CINTAMENT IN ONE MINUTE,SearchScreeningEvent
2274,snips-train-12043,find a movie house closest with animated movies,FIND A MOVIE HOUSE CLOSEST WITH ENEMATED MOVIES,SearchScreeningEvent
2275,snips-train-12044,Is The Butcher Boy playing anywhere at supper time?,IS THE BUTCHER BOY PLAYING ANYWHERE AT SUPPER TIME,SearchScreeningEvent
2276,snips-train-12045,i need movie times for films in the neighbourhood,I NEED MOVE TIMES FOR FILMS IN THE NEIGHBORHOOD,SearchScreeningEvent
2277,snips-train-12046,Is Proudly She Marches playing anywhere?,IS PROUDLY SHE MARCHES PLAYING ANYWHERE,SearchScreeningEvent
2278,snips-train-12047,What films are showing at Kerasotes Theatres,WHAT FILMS ARE SHOWING AT CARASOTUS THEATRES,SearchScreeningEvent
2279,snips-train-12048,i want to watch The Shamrock Handicap right now,I WANT TO WATCH THE SHAMROCK HANDY CAPRIGHT NOW,SearchScreeningEvent
2280,snips-train-12049,what time is Bhoot Returns showing at Douglas Theatre Company,WHAT TIME IS POOT RETURNS SHOWING AT DOUGLAS THEATRE COMPANY,SearchScreeningEvent
2281,snips-train-1205,Put more Unbelievable in my grandes unplugged playlist.,PUT MORE UNBELIEVABLE IN MY GRANDSUNPLUGGED PLAALIST,AddToPlaylist
2282,snips-train-12050,whats the closest movie theatre showing animated movies,WHAT'S THE CLOSEST MOVI THEATRE SHOWING ANIMATED MOVE ES,SearchScreeningEvent
2283,snips-train-12051,find Berlin to the Samba Beat,FINE BERLINTO THE SAMBEBITE,SearchScreeningEvent
2284,snips-train-12052,show movie times in North American Cinemas,SHOW MOVI TIMES IN NORTH AMERICAN CENEMAS,SearchScreeningEvent
2285,snips-train-12053,What is the movie schedule at Dipson Theatres,WHAT IS THE MOVISCHEDULE AT DIPSAN THEATRES,SearchScreeningEvent
2286,snips-train-12054,what's the closest movie theatre showing Harbour Beat,WHAT'S THE CLOSEST MOVI THEATRE SHOWING HARBOUR BEAT,SearchScreeningEvent
2287,snips-train-12055,is Young Policemen In Love at the local movie theatre,IS YOUNG POLICEMAN IN LOVE AT TE LOCAL MOVI THEATRE,SearchScreeningEvent
2288,snips-train-12056,Is The Mystical Adventures of Billy Owens playing at the closest movie house,IS THE MYSTICAL ADVENTURES OF BILLY OWEN'S PLAYING AT THE CLOSEST MOVE HOUSE,SearchScreeningEvent
2289,snips-train-12057,Is The Love Guru playing,IS THE LOVE GIRL PLAYING,SearchScreeningEvent
2290,snips-train-12058,I need a movie schedule for any films playing close by,I NEED A MOVY SCHEDULE FOR ANY FELMS PLAYING CLOSE BY,SearchScreeningEvent
2291,snips-train-12059,find films in the neighborhood,FIND FILMS IN THE NEIGHBORHOOD,SearchScreeningEvent
2292,snips-train-1206,Add riddim driven engine 54 & humanity letha's All Things Post,AD RIDAM DRIVEN ENGIN FIFTY FOUR AND HUMANITY LEATHES ALL THINGS POST,AddToPlaylist
2293,snips-train-12060,Find the movie schedule .,FIND THE MOVI SCHEDULE,SearchScreeningEvent
2294,snips-train-12061,show me the schedule of films in Cobb Theatres,SHOW ME THE SCHEDULE OF FILMS IN COB THEATRES,SearchScreeningEvent
2295,snips-train-12062,What time does The Maze start at Cineplex Odeon Corporation,WHAT TIME DOES THE MAY START AT SCYNIPLEX SODIAN CORPORATION,SearchScreeningEvent
2296,snips-train-12063,What are the Mann Theatres showtimes for Secret Sunshine,WHAT ARE THE MAN THEATRS SHOW TIMES FFOR SECRET SUNSHINE,SearchScreeningEvent
2297,snips-train-12064,Where can I watch The Mark in a cinema,WHERE CAN I WATCH THE MARK INA CINAME,SearchScreeningEvent
2298,snips-train-12065,Which Cinemark Theatres is playing A Is for Atom ?,WHICH CINAMARCH THEATRES IS PLAYING E IS FRATOM,SearchScreeningEvent
2299,snips-train-12066,What time is Children of Divorce playing,WHAT TIME IS CHILDREN OF DIVORCE PLAYING,SearchScreeningEvent
2300,snips-train-12067,Find movie schedules at IMAX Corporation,FIND MOVIE SCHEDULES AT IMMAX CORPORATION,SearchScreeningEvent
2301,snips-train-12068,show movie schedule of films in the area,SHOW MOVI SCHEDULE OF FILMS IN THE AREA,SearchScreeningEvent
2302,snips-train-12069,What are the current movie schedules for AMC Theatres ?,WHAT ARE THE CURRENT MOVI SCHADULS FOR A M C THEATRES,SearchScreeningEvent
2303,snips-train-1207,please add Secrets of the Alibi to the playlist called keep calm,PLEASE AT SECRETS OF THE ALIBI TO THE PLAYLIST CALLED KEEP CALM,AddToPlaylist
2304,snips-train-12070,Find movie times for Century Theatres .,FIND MOVY TIMES FFOR CENTURY THEATRS,SearchScreeningEvent
2305,snips-train-12071,When is the next showing of Star Wars The Clone Wars ?,WHEN IS THE NEXT SHOWING OF STAR WARS THE CLONE WARS,SearchScreeningEvent
2306,snips-train-12072,Is The Umbrellas of Cherbourg playing near me?,IS THE UMBRELLAS OF SHERBOURG PLAYING NEAR ME,SearchScreeningEvent
2307,snips-train-12073,Find the movie schedules for me,FIND THE MOVI SCHEDULES FOR ME,SearchScreeningEvent
2308,snips-train-12074,show me movie times,SHOW ME MUVIE TIMES,SearchScreeningEvent
2309,snips-train-12075,What are the movie times of films in the neighbourhood,WHAT ARE THE MOVI TIMES OF FILMS IN THE NEIGHBORHOOD,SearchScreeningEvent
2310,snips-train-12076,What is the movie schedule 1 second from now,WHAT IS THE MOVIE SCHEDULE WHEN SECOND FROM NOW,SearchScreeningEvent
2311,snips-train-12077,is The Clowns at the nearest cinema,IS THE CLOWNS AT THE NEAREST CINAMA,SearchScreeningEvent
2312,snips-train-12078,What time is Kerasotes Theatres playing animated movies,WHAT TIME IS CARISOTAS THEATRES PLAYING ANIMATED MOVIES,SearchScreeningEvent
2313,snips-train-12079,What is the movie schedules for animated movies in the neighbourhood,WHAT IS THE MOVIE SCHEDULES FOR ANIMATED MOVIES IN THE NEIGHBOURHOOD,SearchScreeningEvent
2314,snips-train-1208,put Johnny Wakelin on my té para tres lis,PUT JOHNNY WAKLEN ON MY TAPE PARA TRACELEESE,AddToPlaylist
2315,snips-train-12080,Are any animated movies scheduled for release in Mann Theatres ?,ARE ANY ANIMATED MOVIES SCHEDULED FOR RELEASE IN MANTHEATRES,SearchScreeningEvent
2316,snips-train-12081,What's the movie schedule for animated movies in the neighborhood,WHAT'S THE MOVIE SCHEDULE FOR ANIMATED MOVIES IN THE NEIGHBOURHOOD,SearchScreeningEvent
2317,snips-train-12082,Can I see movie schedules for movies this evening in the neighbourhood ?,CAN I SOU MOVI SCHADULES FOM MOVIES THIS EVENING IN THE NEIGHBORHOOD,SearchScreeningEvent
2318,snips-train-12083,Find the movie schedule .,FIND THE MOVI SCHEDULE,SearchScreeningEvent
2319,snips-train-12084,what movie theatre is showing Titanic The Legend Goes On,WHAT MOVING THEATR IS SHOWING TITANIC THE LEGEND GOES ON,SearchScreeningEvent
2320,snips-train-12085,"During tea time, what animated movies will be screening at the closest movie house ?",DURING TEA TIME WHAT ANIMATED MOVIES WILL BE SCREENING AT THE CLOSEST MOVIE HOUSE,SearchScreeningEvent
2321,snips-train-12086,show me the schedule of movies in Pacific Theatres,SHOW ME THE SCHEDULE OF MOVIES IN PACIFIC THEATRES,SearchScreeningEvent
2322,snips-train-12087,Show me the films close by and the movie times for today.,SHOW ME THE FILMS CLOSE BY AND THE MOVIE TIMES FOR TO DAY,SearchScreeningEvent
2323,snips-train-12088,FInd the movie times for films in the neighbourhood .,FIND THE MOVI TIMES FOR FELMS IN THE NEIGHBORHOOD,SearchScreeningEvent
2324,snips-train-12089,What is the movie schedule for movies in the neighborhood,WHAT IS THE MOVIE SCHEDULE FOR MOVIES IN THE NEIGHBORHOOD,SearchScreeningEvent
2325,snips-train-1209,please put the artist Matt McKenna in my This Is Shakira playlist,PLEASE PUT THE ARTIST MAPMAC KENNA IN MY THIS IS SHIKERO PLAYALIST,AddToPlaylist
2326,snips-train-12090,what animated movies are at Cobb Theatres,WHAT ANIMATED MOVIES ARE AT COB THEATRES,SearchScreeningEvent
2327,snips-train-12091,What are the movie times for animated movies in the area ?,WHAT ARE THE MOVIE TIMES FFOR ANIMATED MOVIES IN THE AREA,SearchScreeningEvent
2328,snips-train-12092,Check the movie schedules .,CHECK THE MOVE E SCHEDULES,SearchScreeningEvent
2329,snips-train-12093,show me the schedule of Letters from a Porcupine in Alamo Drafthouse Cinema,SHOW ME THE SCHEDULE OF LETTERS FFROM A PORCUPINE IN ALAMUDRAHTAU CINAMA,SearchScreeningEvent
2330,snips-train-12094,Where can I watch Hank Williams The Show He Never Gave ?,WHERE CAN I WATCH HANG WILLIAMS THE SHOW HE NEVER GAVE,SearchScreeningEvent
2331,snips-train-12095,What is the movie schedule of animated movies nearby,WHAT IS THE MOVI SCHEDULE OF ANIMATED MOVIES NEAR BY,SearchScreeningEvent
2332,snips-train-12096,find movies close by,FINE MOVIES CLOSE BYY,SearchScreeningEvent
2333,snips-train-12097,Which movie theatre is playing The Good Guys and the Bad Guys ?,WHICH MOVI THEATR IS PLAYING THE GOOD GUISE AND THE BAD GUISE,SearchScreeningEvent
2334,snips-train-12098,What are the movie times for films playing nearby,WHAT ARE THE MOVI TIMES FOR FILMS PLAYING NEAR BY,SearchScreeningEvent
2335,snips-train-12099,Fine movie times for Loews Cineplex Entertainment .,FIND MOVI TIMES FOR LOW CENIPLEX ENTERTAINMENT,SearchScreeningEvent
2336,snips-train-121,I would like Ignacio Figueredo 's tune added to electroNOW .,I WOULD LIKE IGNOCEO FEAGER ADOS TOUN ADDED TO ELECTRONAW,AddToPlaylist
2337,snips-train-1210,Add this album to my Adrenaline Workout .,ADD THIS ALBUM TO MY DRENALIN WORKOUT,AddToPlaylist
2338,snips-train-12100,Show me the movie schedules for movies playing nearby .,SHOW ME THE MOVI SCHEDULES FOR MOVIES PLAYING NEAR BY,SearchScreeningEvent
2339,snips-train-12101,Find the movies and movie times in the neighbourhood,FIND THE MOVIES AND MOVIE TIMES IN THE NEIGHBORHOOD,SearchScreeningEvent
2340,snips-train-12102,I'd like to watch The Details at the cinema,I'D LIKE TO WATCH THE DETAILS AT THE SINAMA,SearchScreeningEvent
2341,snips-train-12103,find animated movies in the neighborhood,FIND ANIMATED MOVIES IN THE NEIGHBORHOOD,SearchScreeningEvent
2342,snips-train-12104,I'd like to see movie times for animated movies playing in the neighborhood that are starting now .,I'D LIKE TO SEE MOVIE TIMES FOR ANIMATED MOVIES PLAYING IN THE NEIGHBORHOOD THAT ARE STARTING NOW,SearchScreeningEvent
2343,snips-train-12105,Is A Charming Man playing at lunch time?,IS AT CHARMING MAN PLAYING AT LUNCH TIME,SearchScreeningEvent
2344,snips-train-12106,does Red e Toby nemiciamici start thirteen hours from now,DOES READY TOBY NEMASIAMIS I START THIRTEEN HOURS FROM NOW,SearchScreeningEvent
2345,snips-train-12107,What animated movies are showing at Loews Cineplex,WHAT ANIMATED MOVIES ARE SHOWING AT LOS CINIPLEX,SearchScreeningEvent
2346,snips-train-12108,Find the schedule for films around here .,FIND THE SCHADULE FOR FILMS AROUND HERE,SearchScreeningEvent
2347,snips-train-12109,Find the movie schedule .,FIND THE MOVI SCHEDULE,SearchScreeningEvent
2348,snips-train-1211,Add this song to noreen's fresh finds six strings,ADD THE SONG TO NOURINE'S FRESH FINDS SIX STRINGS,AddToPlaylist
2349,snips-train-12110,What is the movie schedule for films nearby,WHAT IS THE MOVIE SCHEDULE FOR FILMS NEAR BY,SearchScreeningEvent
2350,snips-train-12111,whats the movie schedules for animated movies close by,WHAT'S THE MOVI SCHEDULES FOR ANIMATED MOVIES CLOSE BY,SearchScreeningEvent
2351,snips-train-12112,Is The Swan available to watch at the movie house now ?,IS THIS ONE AVAILABLE TO WATCH AT THE MOVYE HOUSE NOW,SearchScreeningEvent
2352,snips-train-12113,I need current movie schedules .,INUTE CURRENT MOVI SCHEDULES,SearchScreeningEvent
2353,snips-train-12114,Show me movie times for two a.m. at any nearby movies .,SHOW ME MOV E TIMES FOR TWO A M AT ANY NEAR BY MOVE ES,SearchScreeningEvent
2354,snips-train-12115,What time is Adam at Six A.M. playing,WHAT TIME IS ATOM AT SIX EIGHT OWM PLAYING,SearchScreeningEvent
2355,snips-train-12116,show me movie schedules,SHOW ME MOVY SCHEDULES,SearchScreeningEvent
2356,snips-train-12117,Find the movie times for nearby films .,FIND THE MOVIE TIMES FOR NEARBY FILMS,SearchScreeningEvent
2357,snips-train-12118,show movie times of films close by,SHALL MOVY TIMES OF FILMS CLOSE BY,SearchScreeningEvent
2358,snips-train-12119,What is the movie schedule for the Pacific Theatres,WHAT IS THE MOVI SCHADULE FOR THE PACIFIC THEATRES,SearchScreeningEvent
2359,snips-train-1212,Add the artist to my This Is Mozart playlist.,ADD THE ARTIST TO MYTIS IS MODEZART PLAOLIST,AddToPlaylist
2360,snips-train-12120,What time is Always Brando showing,WHAT TIME IS ALWAYS BRANDO SHOWING,SearchScreeningEvent
2361,snips-train-12121,When is Heat playing near me?,WENNIS HE PLAYING NEAR ME,SearchScreeningEvent
2362,snips-train-12122,What films can I see at Malco Theatres ?,WHAT FILMS CAN I SEE AT MOW CO THEATRES,SearchScreeningEvent
2363,snips-train-12123,what time can i see Mojave Phone Booth,WHAT TIME CAN I SEEMO HOVY PHONED BOOTH,SearchScreeningEvent
2364,snips-train-12124,What are the movie times ?,WHERE ARE THE MOVIE TIMES,SearchScreeningEvent
2365,snips-train-12125,what films are at Cinemark Theatres,WHAT FILMS ARE AT SENNEMARK THEATRES,SearchScreeningEvent
2366,snips-train-12126,Find the schedule for animated movies in the area .,FIND THE SCHEDULE FOR ANIMATED MOVIES IN THE AREA,SearchScreeningEvent
2367,snips-train-12127,Can a I get the movie schedule for Sympathy for the Devil,CAN E I GET THE MOVY SCHEDULE FOR SYMPATHY FOR THE DEVIL,SearchScreeningEvent
2368,snips-train-12128,Find the schedule for Kingsman The Secret Service at a movie theatre .,FIND THE SCHADULE FOR KINGSMEN THE SECRET SERVICE AT A MOVY THEATRE,SearchScreeningEvent
2369,snips-train-12129,find films in 12 hours at the nearest movie theatre,FINE FILMS IN TWELVE HOURS AT THE NEAREST MOVIE THEATRE,SearchScreeningEvent
2370,snips-train-1213,I want to put roberto valverde into my Ultra Metal list,I WANT TO PUT RUBERT O VOLVERIDE INTO MY ULTAR METAL LIST,AddToPlaylist
2371,snips-train-12130,I would like to see the closest cinema playing films .,I WOULD LIKE TO SEE THE CLOSEST CINIMON PLAYING FILMS,SearchScreeningEvent
2372,snips-train-12131,when can i see Dinosaur from the Deep,WHEN CAN I SEE DINAS OR FROM THE DEEP,SearchScreeningEvent
