,train_index,train_sentence,nicole_sentence,train_label
1857,snips-train-11669,Find the movie schedule for close by films .,FIND THE MEVI SHEGEOF OR CLOSE BY FILMS,SearchScreeningEvent
1858,snips-train-1167,add Harry J to my dubstep dangles dirty,ADD HARRY JAY TO MY DOB STEP DANGLES DURTY,AddToPlaylist
1859,snips-train-11670,what time is Twin Peaks Fire Walk with Me showing,WHAT TIME IS TWIN PAGS FIRE WALK WITH ME SHOWING,SearchScreeningEvent
1860,snips-train-11671,could you please show me movie schedules,COULD YOU PLEASE SHOW ME MEVI SHEGEULS,SearchScreeningEvent
1861,snips-train-11672,show movie times of Regal Entertainment Group,SHOW MEVI TIMES OF REGAL ENTERTAINMENT GROUP,SearchScreeningEvent
1862,snips-train-11673,Find movie times for nine PM .,FIND MOVY TIMES FOR NINE P M,SearchScreeningEvent
1863,snips-train-11674,Find the schedule for The Tale of Sweeney Todd at seven o'clock .,FIND THE SCHEDULE FOR THE TALE OF SWEINI TOD AT SEVEN O'CLOCK,SearchScreeningEvent
1864,snips-train-11675,find The Dead Matter at Speakeasy Theaters,FIND THE DEAD MATTER AT SPEAK AZY THEATRES,SearchScreeningEvent
1865,snips-train-11676,What time is 26 Years Diary showing in the movie house ?,WHAT TIME IS TWENTY SIX YEARS DIARY SHOWING IN THE MOVIE HOUSE,SearchScreeningEvent
1866,snips-train-11677,where can i watch animated movies around here,WHERE CAN I WATCH ANIMATED MOVIES AROUND HERE,SearchScreeningEvent
1867,snips-train-11678,movie times at Consolidated Theatres,MEVE TIMES TAT CONSOLIDATED THETES,SearchScreeningEvent
1868,snips-train-11679,What are the movie times for Malco Theatres,ONE OF THE MAVY TIMES FEMALCATHICES,SearchScreeningEvent
1869,snips-train-1168,Add another track to my Women of Latin Music playlist,ADD ANOTHER TRACK TO MY WOMEN OF LETTEN MUSIC PLAINLIST,AddToPlaylist
1870,snips-train-11680,show movie times now,SHAMEVI TIMES NOW,SearchScreeningEvent
1871,snips-train-11681,find The Branded Woman,FIND THE BRANDED WOMAN,SearchScreeningEvent
1872,snips-train-11682,What time is Chandranath playing MJR Theatres,WHAT TIME HES CHANDRONETH PLAYING EMDRUVETERS,SearchScreeningEvent
1873,snips-train-11683,Find the movie schedule .,FIND THE MOVI SHEGEL,SearchScreeningEvent
1874,snips-train-11684,Find me showtimes for animated movies in the neighbourhood .,FIND ME SHOW TIMES FOR ANIMATED MOVIES IN THE NEIGHBOURHOOD,SearchScreeningEvent
1875,snips-train-11685,Fine movie times for animated movies in the neighborhood .,FINE MOVING TIMES FOR ANIMATED MOVIES IN THE NEIGHBORHOOD,SearchScreeningEvent
1876,snips-train-11686,Find movie times .,FINE MOVI TIMES,SearchScreeningEvent
1877,snips-train-11687,What are the movie times for films playing in the area ?,ONE OF THE MEVY TIMES FORFILMS PLAYING IN THE AEREA,SearchScreeningEvent
1878,snips-train-11688,Can I get the showtimes for films at Malco Theatres .,CAN I GET THE SHIW TIMES FERFILMS AT MALCO THETRES,SearchScreeningEvent
1879,snips-train-11689,Is The Ghost Breakers playing at Plitt Theatres in two hours,IS THE GHOST BREAKERS PLAYING AT LITHEATRES IN TWO HOURS,SearchScreeningEvent
1880,snips-train-1169,Add this tune by rod argent to propuesta alternativa playlist,ADD THIS CIN BY ROD URGENT TO PROPERESS TO ALTERNATY THE PLY LIST,AddToPlaylist
1881,snips-train-11690,Where theater is playing The Ranger and the Lady at 10 AM,WHERE THEATRE IS PLAYING THE RANGER AND THE LADY AT TEN A M,SearchScreeningEvent
1882,snips-train-11691,what's the movie schedules for Magic Johnson Theatres,WHAT'S THE MOODY SHEGELS FOR MAGIC JONS AND THEATRES,SearchScreeningEvent
1883,snips-train-11692,what time can i see Girls to Marry,WHAT TIME CAN I SEE GIRLS TO MARRY,SearchScreeningEvent
1884,snips-train-11693,what movies are showing in the neighbourhood,WHAT MEVIES ARE SHOWING IN THE NEIGHBORHOOD,SearchScreeningEvent
1885,snips-train-11694,What animated movies are playing at the nearest movie theatre ?,WHAT ANIMATED MOVIES ARE PLAYING AT THE NEAREST MOVIE THETE,SearchScreeningEvent
1886,snips-train-11695,What are the movie schedules for the Dipson Theatres,ONE OF THE MOVY SHEGELS FOR THE DIPSAND FIETURES,SearchScreeningEvent
1887,snips-train-11696,find animated movies nearby,FIND ANIMATED MOVIES NEAR BY,SearchScreeningEvent
1888,snips-train-11697,Please tell me movie times,PLEASE TELL ME MEVI TIMES,SearchScreeningEvent
1889,snips-train-11698,List movies by movie times in the neighbourhood,THIS MOVES BY MOVI TIMES IN THE NEIGHBOURHOOD,SearchScreeningEvent
1890,snips-train-11699,Find the schedule for films in the neighborhood .,FIND THE CHEDULE FULFILMS IN THE NEIGHBOURHOOD,SearchScreeningEvent
1891,snips-train-117,add No Secrets to power gaming playlist,ADD NO SECRETS TO POWER GAMING PLAINLEAST,AddToPlaylist
1892,snips-train-1170,find lesley's epic classical playlist and add this tune,FIND LESLIE'S EPIC CLASSICAL PLIALIST AND AT THIS TUNE,AddToPlaylist
1893,snips-train-11700,What animated movies are playing AMC Theaters,WHAT ANIMATED MEVIES ARE PLAYING A M C THEATRES,SearchScreeningEvent
1894,snips-train-11701,What movie theatre is the closest that is playing Cheat You Fair The Story of Maxwell Street right now,WHAT MOVY THEATRE IS THE CLOSEST TEDI'S PLAYING CHEECH YOU FARE THE STORY OF MAXWELL STREET RIGHT NOW,SearchScreeningEvent
1895,snips-train-11702,Where is Among the Great Apes with Michelle Yeoh playing and when,WHERE IS AMONG THE GREAT HAPES WITH MICHEL EUR PLAYING AND WHEN,SearchScreeningEvent
1896,snips-train-11703,Where and when can I see The Image Makers,WHEREIN WHEN CAN I SEE THE EMAGE MAKERS,SearchScreeningEvent
1897,snips-train-11704,can I get the movie times,CAN I GET THE MOVI TIMES,SearchScreeningEvent
1898,snips-train-11705,find movies with movie schedules in the neighborhood,FINE MEVIES WITH MAVI SHEDELS IN THE NEIGHBOURHOOD,SearchScreeningEvent
1899,snips-train-11706,find Plitt Theatres showing animated movies,FINE PLI THEATRES SHOWING ANIMATED MOVIES,SearchScreeningEvent
1900,snips-train-11707,Show movie schedules with movies in the neighborhood,SHAMEVI SHEGELS WITH MEVIES IN THE NEIGHBORHOOD,SearchScreeningEvent
1901,snips-train-11708,what are the movie times for Consolidated Theatres,ONE OF THE MEVI TIMES FOR CONSOLIDATED TETES,SearchScreeningEvent
1902,snips-train-11709,What movies are playing at the nearest cinema,WHAT MOVIES ARE PLAYING AT THE NEAREST SINAMA,SearchScreeningEvent
1903,snips-train-1171,Add So Far to my Retrovisor playlist.,ADD SO FAR TO MY WRETCH ROVY SAW PLAINLEST,AddToPlaylist
1904,snips-train-11710,I want to know what movies are showing at the nearest movie house .,I WANT TO KNOW WHAT MEVIES ARE SHOWING AT THE NEAREST MEVI HOUSE,SearchScreeningEvent
1905,snips-train-11711,I want to go see A Simple Noodle Story in seventeen seconds at Goodrich Quality Theaters .,I WANT TO GO SEE A SIMPLE NOODLE STORY IN SEVENTEEN SECOND SO COULD RICH QUALITY THEATRES,SearchScreeningEvent
1906,snips-train-11712,is Tomorrow at Dawn at Harkins Theatres,IS TO MORROW AT DAWN AT HARKENS THEATRES,SearchScreeningEvent
1907,snips-train-11713,Which films are playing at Consolidated Theatres ?,WHICH FILMS OUR PLAYING AT CONSOLIDATED THEATRES,SearchScreeningEvent
1908,snips-train-11714,whats the closest movie house showing Medal of Honor,WHAT'S THE CLOSEST MEVE HOUSE SHOWING MIDDLE A VONA,SearchScreeningEvent
1909,snips-train-11715,where can i watch Willy Wonka & the Chocolate Factory,WHERE CAN I WATCH WILI WONKA AND THE CHOCOLATE FACTORY,SearchScreeningEvent
1910,snips-train-11716,Where is the closest cinema that features animated movies,WHERE IS THE CLOSEST CYNIMA THAT FACHES ANIMATED MOVIES,SearchScreeningEvent
1911,snips-train-11717,Please show me the movie schedule for animated movies playing in the neighborhood .,PLEASE SHOW ME THE MEVI SHEDEL FOR ANIMATED MEVIES PLAYING IN THE NEIGHBOURHOOD,SearchScreeningEvent
1912,snips-train-11718,What movie schedules at Consolidated Theatres,WHAT MOVI SHEGEL'S ACCINSOLIDATED THEATRES,SearchScreeningEvent
1913,snips-train-11719,Where does The Return of the Whistler play at the Bow Tie Cinemas at 030148 A.M.,WHERE DOES THE RETURN OF THE WHISTLER PLAY AT THE BOTIE SYNAMUS AT O THREE E ONE FOUR A T M,SearchScreeningEvent
1914,snips-train-1172,Add tune to my hot 50,AD CHEIN TO MY HOT FIFTY,AddToPlaylist
1915,snips-train-11720,What is the local movie schedule,WHAT IS THE LOCAL MEVI SHEDUL,SearchScreeningEvent
1916,snips-train-11721,Tell me the films playing at the closest movie house to me,TELL ME THE FILM'S PLAYING AT THE CLOSEST MOVIE HOUSE TO ME,SearchScreeningEvent
1917,snips-train-11722,What is the closest movie theatre that is playing animated movies,WHAT IS THE CLOSEST MOVI THEATRE THAT IS PLAYING ANIMATED MOVIES,SearchScreeningEvent
1918,snips-train-11723,Tell me the closest movie house playing Black Rage,TELL ME THE CLOSEST MEVY HOUSE PLAYING BLACK RAGE,SearchScreeningEvent
1919,snips-train-11724,I'd like to watch I Wish at the nearest movie theatre,I'D LIKE TO WATCH I WISH AT THE NEAREST MIVI THETRE,SearchScreeningEvent
1920,snips-train-11725,Is Lord Jim at the movie house,IS LORD GIMET THE MOVIE HOUSE,SearchScreeningEvent
1921,snips-train-11726,movie schedules for animated movies playing in the neighbourhood,MODY SHEDELS FOR ANIMATED MOVIES PLAYING IN THE NEIGHBORHOOD,SearchScreeningEvent
1922,snips-train-11727,I want to watch Looney Tunes Platinum Collection Volume 1 at a movie theatre,I WANT TO WATCH LEONICIN'Z PLATINUM COLLECTION VOLUME ONE AT AMEVI THETRA,SearchScreeningEvent
1923,snips-train-11728,Show the movie schedule,SO GE MEBE SEGUL,SearchScreeningEvent
1924,snips-train-11729,Find the movie schedule for animated movies in the area .,FIND THE MAVI SHEDUL FOR ANIMATED MOVIES IN THE AEREA,SearchScreeningEvent
1925,snips-train-1173,The Sleep Machine Rainforest playlist needs another tune,THE SLEEP MACHING REIN FOREST PLILESS NEEDS ANOTHER DUNE,AddToPlaylist
1926,snips-train-11730,is One Night Surprise at the cinema,EAST ONE NIGHT SURPRISED AT THE SINEMAN,SearchScreeningEvent
1927,snips-train-11731,Find the movie schedule for animated movies close by .,FIND THE MEVI SHEGEL FOR ANIMATED MOVIES CLOSE BY,SearchScreeningEvent
1928,snips-train-11732,I'm wondering when I can see Hurry Sundown .,I'M WONDERING WHEN I CAN SEE HOW HY SUN DOWN,SearchScreeningEvent
1929,snips-train-11733,Find the movie schedule for the Douglas Theatre Company .,FIND THE MAVI SHEDEL FOR THE DOUGLAS DEE TO COMPANY,SearchScreeningEvent
1930,snips-train-11734,Find the schedule for Metallica Through the Never .,FIND THE SHEDUL FOR METALICA THROUGH THE NEVA,SearchScreeningEvent
1931,snips-train-11735,Is Goodbye Mr. Chips showing twelve minutes from now,IS GOOD BYE MISTER CHIP SHOWING TWELVE MINUTES FROM NOW,SearchScreeningEvent
1932,snips-train-11736,Find the movie schedule for Amco Entertainment 1 minute from now .,FIND THE MEVI SHEGEL FOR AMCO ENTERTAINMENT ONE MINUTE FROM NOW,SearchScreeningEvent
1933,snips-train-11737,"show me the schedule of A Man, a Woman, and a Bank in nearest Neighborhood Cinema Group",SHOW ME THE CHEDUL OF A MAN A WOMAN AND A BANKING NEAREST NEIGHBORHOOD CINEMA GROUP,SearchScreeningEvent
1934,snips-train-11738,"Can I get the showtimes for the closest cinema showing I’m a Cyborg, But That’s OK .",CAN I GET THE SHOW TIMES FOR THE CLOSEST SINIME SHOWING I'M A SYBORG BUT THAT'S O KE,SearchScreeningEvent
1935,snips-train-11739,What films are in the neighborhood,WHAT FILMS ARE IN THE NEIGHBORHOOD,SearchScreeningEvent
1936,snips-train-1174,Add another artist to my soul bpm playlist,AND ANOTHER ARTIST TO MY SOUL BEPI AND PLAINIST,AddToPlaylist
1937,snips-train-11740,What movies are currently playing at the Caribbean Cinemas,WHAT MOVIES APPARENTY PLAYING AT THE CARABINE CINAMAS,SearchScreeningEvent
1938,snips-train-11741,What are the movie times for movies around here,WHAT OF EMEVI TIMES FAMEVIS AROUND HEO,SearchScreeningEvent
1939,snips-train-11742,What's the closest movie house that's showing animated movies ?,WHAT'S THE CLOSEST MOVIE HOUSE THAT SHOWING ANIMATED MOVIES,SearchScreeningEvent
1940,snips-train-11743,What time does Military history of African Americans play,WHAT TIME DOES MILITARY HISTORY OF AFRICAN AMERICANS PLAY,SearchScreeningEvent
1941,snips-train-11744,find a brunch time cinema nearest with The President Is Coming,FIND A BRUNCH TIME SENAMANIRIST WITH THE PRESIDENT IS COMING,SearchScreeningEvent
1942,snips-train-11745,Find the schedule for movies at Plitt Theatres .,FIND THE SHEGEL EMUVIES AT BLIT THEATRES,SearchScreeningEvent
1943,snips-train-11746,find nearby movies,FINE NEARBY MOVIES,SearchScreeningEvent
1944,snips-train-11747,Give me the showtime for Bobby Yeah playing at the cinema,GIVE ME THE SHOW TIME FOR BOBILLIERE PLAYING AT THE CINEMA,SearchScreeningEvent
1945,snips-train-11748,What animated movies are showing in the area ?,WHAT ANIMATED MAVES E SHOWING IN THE AEREA,SearchScreeningEvent
1946,snips-train-11749,Show me the movie schedules for Santikos Theatres .,SHOW ME THE MUVI SHEGULS FOR SCIANTICOS THEATRES,SearchScreeningEvent
1947,snips-train-1175,Add ramble on to Halloween Teens,AD RAMBOLON TO HALLOW INTAINS,AddToPlaylist
1948,snips-train-11750,What is the movie schedule in five minutes for movies playing in the neighborhood,WHAT IS THE MODY SHEDUL IN FIVE MINUTES FOR MEVIS PLAYING IN THE NEIGHBOURHOOD,SearchScreeningEvent
1949,snips-train-11751,When is Man in Outer Space playing at Megaplex Theatres,WHEN THESE MEN INOU TO SPACE PLYING AT MEGOPLEX THETES,SearchScreeningEvent
1950,snips-train-11752,I need a schedule for the cinema that is showing The Shiralee,I NEED A SHEDULE FOR THE THINAMA THATT IS SHOWING THE SHEERLY,SearchScreeningEvent
1951,snips-train-11753,I'd like to watch The Wedding Ring at the movie theatre,I'D LIKE TO WATCH THE WEDDING RING AT THE MEVI THETAL,SearchScreeningEvent
1952,snips-train-11754,What movies are currently at Star Theatres ?,WHAT MOVIES APPARENTLY AT STAR THEATRES,SearchScreeningEvent
1953,snips-train-11755,Find the movie schedules for nearby movies .,FIND THE MOVIE SHEDGELS FOR NEAR BY MOVIES,SearchScreeningEvent
1954,snips-train-11756,Can i get the movie schedule for films nearby .,AN I GET THE MOODY SHEGEL FULFILMS ME BY,SearchScreeningEvent
1955,snips-train-11757,where is the nearest movie theatre showing movies,WHERE IS THE NEAREST MAVITHE TO SHOWING MOVIES,SearchScreeningEvent
1956,snips-train-11758,I want a list of films that are going to be shown in the neighborhood .,I WANT A LIST OF GOMS THAT ARE GOING TO BE SHOWN IN THE NEIGHBOURHOOD,SearchScreeningEvent
1957,snips-train-11759,what movies are playing at the Alamo Drafthouse Cinema,WHAT MOVIES ARE PLAYING AT THE ALAMA DRAUGHT HOUSE CINEMA,SearchScreeningEvent
1958,snips-train-1176,add 3 Natsu Natsu Mini Berryz to my rock classics playlist,ADD THREE NET SUNET SO MANY BERRIES TO MY RAW CLASSIXS PLAILIST,AddToPlaylist
1959,snips-train-11760,Please find the movie schedule for animated movies playing in the neighbourhood,PLEASE FIND THE MEVI SHEGEL FOR ANIMATED MEVIES PLAYING IN THE NEIGHBORHOOD,SearchScreeningEvent
1960,snips-train-11761,Show movie schedules for Marcus Corporation,SHAMUDI SHEGULS FERMACUS CORPORATION,SearchScreeningEvent
1961,snips-train-11762,Give me the current showtimes for Tarass Boulba .,GIVE ME THE CURRENT SHOW TIMES FOR TO RASS BUBA,SearchScreeningEvent
1962,snips-train-11763,Which cinema can I go to to see Lilly the Witch The Dragon and the Magic Book ?,WHICH SINOMECANI GO TO TO SEE LEARLY THE WITCH THE DRAGON AND THE MAGIC BOOK,SearchScreeningEvent
1963,snips-train-11764,find movie schedules for Loews Cineplex,FIVE MEVI SHEDUS FELOISINA PLAKE,SearchScreeningEvent
1964,snips-train-11765,What time will the Amco Entertainment be plying The Teeth of the Tiger,WHAT TIME WILL THE AMCER ENTERTAINMENT BE PLYING THE TEETH OF THE TIGON,SearchScreeningEvent
1965,snips-train-11766,Go to movie times at IMAX Corporation,GO TO ME V TIMES AT IM EX CORPORATION,SearchScreeningEvent
1966,snips-train-11767,Where can I watch The Sword of Ali Baba at two p.m. ?,WHERE CAN I WATCH THE SWORT OF ALI BARBA AT TWO P M,SearchScreeningEvent
1967,snips-train-11768,I'd like to watch Mission to Mir,I'D LIKE TO WATCH MISSION TO ME,SearchScreeningEvent
1968,snips-train-11769,I want to know the films playing at the closest movie house .,I WANT TO KNOW THE FILMS PLAYING AT THE CLOSEST MOVIE HOUSE,SearchScreeningEvent
1969,snips-train-1177,put jtr on the Top Classical playlist,PUT JETI A ON THE TOP CLASSICAL PLAINLIST,AddToPlaylist
1970,snips-train-11770,Is The Strange Case of the End of Civilization as We Know It playing at the movie theatre,IS THES STRANGE CASE OF THE END OF CIVILIZATION AS WE KNOW IT PLAYING AT THE MOVI THETR,SearchScreeningEvent
1971,snips-train-11771,What time is My Son Shall Be Armenian playing at Plitt Theatres,WHAT TIME IS MY SON SHALL BE OUR MANIAN PLAYING AT LITHEATRES,SearchScreeningEvent
1972,snips-train-11772,Please tell me what the movie schedule looks like for the AMC Theatres in twenty one hours,PLEASE TELL ME WHAT THE MAVYSHEDEL LOOKS LIKE FOR THE A M SA THEATRS IN TWENTY ONE HOURS,SearchScreeningEvent
1973,snips-train-11773,is The Sleeping Beauty playing at 8 A.M. at Cobb Theatres,IS THE SLEEPING BEAUTY PLAYING AT ATA AMAC COB THEATRES,SearchScreeningEvent
1974,snips-train-11774,Find the movie schedule for animated movies in the neighbourhood .,FIND THE MEVI SHEGEL FOR ANIMATED MOVIES IN THE NEIGHBORHOOD,SearchScreeningEvent
1975,snips-train-11775,Whats the closest cinema that shows movies at 12 A.M.,WHAT'S THE CLOSEST SYNAME THAT SHOWS MEVIES AT TWELVE A M,SearchScreeningEvent
1976,snips-train-11776,What time is Balkan Rhapsodies 78 Measures of War playing at Malco Theatres ?,WHAT TIME IS BALL CONRAPSODY SEVENTY EIGHT MEASURES OF WAR PLAYING AT MALCO THEATRES,SearchScreeningEvent
1977,snips-train-11777,Where is the closest cinema playing Soapsuds and Sapheads,WHERE IS THE CLOSEST CINAMER PLAYING SOAP SUNS AND SEPEDS,SearchScreeningEvent
1978,snips-train-11778,Show me when Scandalous John is playing.,SHOW ME WHEN SCANDALOUS JOHNN IS PLAYING,SearchScreeningEvent
1979,snips-train-11779,Find movie times for close by movies .,FIND MOVIN TIMES FOR CLOSE BY MOVIES,SearchScreeningEvent
1980,snips-train-1178,Add Eef Barzelay to the Trad Folk playlist.,ADIF BARSELET TO THE TREAD FOLK PLAINIST,AddToPlaylist
1981,snips-train-11780,What films are playing now at the closest movie house ?,WHAT FILMS ARE PLAYING NOW AT THE CLOSEST MUVIE HOUSE,SearchScreeningEvent
1982,snips-train-11781,I'd like to watch Apocalypse 2024,I'D LIKE TO WATCH A POCALYPSE TWENTY TWENTY FOUR,SearchScreeningEvent
1983,snips-train-11782,Is the films 19 hours from now playing at Landmark Theatres,IS THE FILM'S NINETEEN HOURS FROM NOW PLAYING AT LANDMARK THEATRES,SearchScreeningEvent
1984,snips-train-11783,"Where can I watch Portrait of a Woman, Nude in 1 hour ?",WHERE CAN I WATCH PORTRAIT OF A WOMAN NUDING ONE HOUR,SearchScreeningEvent
1985,snips-train-11784,What time is Tasher Desh playing at the nearest movie house,WHAT TIME HE'S TASHA DISH PLAYING AT THE NEAREST MOVY HOUSE,SearchScreeningEvent
1986,snips-train-11785,Find the movie times for animated movies around here .,FIND THE MOVI TIMES FOR ANIMATED MOVIES AROUND HERE,SearchScreeningEvent
1987,snips-train-11786,Find the movie schedule for animated movies in the area .,FIND THE MAVI SHEDUL FOR ANIMATED MOVIES IN THE AEREA,SearchScreeningEvent
1988,snips-train-11787,What movies are playing nearby ?,WHAT MEVIES ARE PLAYING NE BY,SearchScreeningEvent
1989,snips-train-11788,Where is The Toxic Avenger II playing,WHERE IS THE TOCIC OVENGA TOO PLAYING,SearchScreeningEvent
1990,snips-train-11789,I want to see a list of local movie times .,I WANT TO SEE A LIST OF LOCAL MOVIE TIMES,SearchScreeningEvent
1991,snips-train-1179,Add alexia to women of classical,AT ALEXIA TO WOMEN OF CLASSICAL,AddToPlaylist
1992,snips-train-11790,When will the Blonde Ambition be playing,WHEN WILL THE BLOND AMBITION BE PLAYING,SearchScreeningEvent
1993,snips-train-11791,Can you give me a local and current movie schedule,CAN YE GIVE ME A LOCAL AND CURRANT MEVI SEDUL,SearchScreeningEvent
1994,snips-train-11792,Find movie times .,FINE MOVI TIMES,SearchScreeningEvent
1995,snips-train-11793,Is The Belles of St. Clements playing at Star Theatres in 8 minutes ?,IS THE BELLS OF SAINT CLEMENT'S PLAYING AT STARTHICHES IN EIGHT MINUTES,SearchScreeningEvent
1996,snips-train-11794,show me the movie schedule in the area near my home at seven AM for animated movies,SHOW ME THE MUVI SHEDUL IN THE AREA NE MY HOME AT SEVEN A M FOR ANIMATED MOVIES,SearchScreeningEvent
1997,snips-train-11795,Show me the current movie times,SHAW ME THE CARENT NAVY TIMES,SearchScreeningEvent
1998,snips-train-11796,What are the movie schedules,ONE OF THE MEVI SHAJULS,SearchScreeningEvent
1999,snips-train-11797,Please give me the movie schedules .,PLAYSE GIVE ME THE MEVI SHEJOLS,SearchScreeningEvent
2000,snips-train-11798,Find movie times for Great Escape Theatres,FIND MOVI TIMES FOR GREAT ESCAPE THEATRES,SearchScreeningEvent
2001,snips-train-11799,When is For One Night playing at Loews Cineplex Entertainment ?,WHEN I'S FOR ONE NIGHT PLAYING AT LOW CYNOPLEX ENTERTAINMENT,SearchScreeningEvent
2002,snips-train-118,add Split the Difference to my Women's Lit playlist,AD SPLIT THE DIFFERENCE TO MY WOMEN'S LIP PLAINLIST,AddToPlaylist
2003,snips-train-1180,add a mina caputo album to my after hours party,ADEMENA CUPUTO ALBUM TO MY AFTER ROWER'S PARTY,AddToPlaylist
2004,snips-train-11800,find Mann Theatres movie schedule,FIND MANTHETA'S MOVI SHEGU,SearchScreeningEvent
2005,snips-train-11801,What movie times,WHAT MOVI TIMES,SearchScreeningEvent
2006,snips-train-11802,Can I get showtimes for films in the neighborhood .,AN I GET SHORTIMES FULFILMED IN THE NEIGHBOURHOOD,SearchScreeningEvent
2007,snips-train-11803,What time will the movie house be showing On the Beat,WHAT TIME WILL THE MOVIE HOUSE BE SHOWING ON THE BAT,SearchScreeningEvent
2008,snips-train-11804,find movie schedules with animated movies close by,FIVE MOVIE SHEDGELS WITH ANIMATED MOVIES CLOSE BY,SearchScreeningEvent
2009,snips-train-11805,movie schedule for animated movies in the neighborhood,MOVI SHEGILE FOR ANIMATED MOVIES IN THE NEIGHBOURHOOD,SearchScreeningEvent
2010,snips-train-11806,Where is the closest cinema that is playing The Honeymoon Killers,WHERE IS THE CLOSEST CINAMA THAT IS PLAYING THE HONEY MEN TILLARS,SearchScreeningEvent
2011,snips-train-11807,what time can i see The Conflicts of Life,WHAT TIME CAN I SEE THE CONFLICTS OF LIFE,SearchScreeningEvent
2012,snips-train-11808,I'm wondering if I can watch Heyy Babyy at a cinema .,I'M WONDERING IF I CAN WATCH HE BABY AGASINAMA,SearchScreeningEvent
2013,snips-train-11809,Show me movie times,SHAR ME MEVE TIMES,SearchScreeningEvent
2014,snips-train-1181,put Ron Grainer on my disco fever playlist,PUT RONGRENO ON MY DISCIRFY THE PLAINLIEST,AddToPlaylist
2015,snips-train-11810,Find the movie schedules for Great Escape Theatres .,FIND THE MEVI SCHEGELS FOR GREAT ESCAPE THEATRES,SearchScreeningEvent
2016,snips-train-11811,Find time for films at the North American Cinemas,FINE TIME FOR FILMS AT THE NORTH AMERICAN SENAMAS,SearchScreeningEvent
2017,snips-train-11812,Find the schedule for Blood Orgy of the Leather Girls at a movie house .,FIND THE SHEDE OF THE BLOOD DORGY OF THE LEATER GIRLS AT A MOVIE HOUSE,SearchScreeningEvent
2018,snips-train-11813,i want to see Return to Yesterday,I WANT TO SEE RETURN TO YESTERDAY,SearchScreeningEvent
2019,snips-train-11814,find Careless Love,FINE CARELESS LOVE,SearchScreeningEvent
2020,snips-train-11815,Tell me where I can watch Common Law Cabin,TELL ME WHERE I CAN WATCH COMMEN LOW CAVIN,SearchScreeningEvent
2021,snips-train-11816,What films are playing around here,WHAT FILMS ARE PLAYING AROUND HERE,SearchScreeningEvent
2022,snips-train-11817,Show me the new showings for animated movies in the neighborhood,SHOW ME THE NEW SHOWINGS FOR ANIMATED MOVIES IN THE NEIGHBOURHOOD,SearchScreeningEvent
2023,snips-train-11818,List films at the nearest movie house,LIST FOMES AT THE NEAREST MAVE HOUSE,SearchScreeningEvent
2024,snips-train-11819,Need the closest movie house playing The Flamingo Rising,MEEDE THE CLOSEST MOVIE HOUSE PLAYING THE FLIMINGO RISING,SearchScreeningEvent
2025,snips-train-1182,add Sara Carter to my Nothing But A Party R&B,ADD SARI CATA TO MY NOTHING BUT A PATTI A AND BA,AddToPlaylist
2026,snips-train-11820,Show me the movie times for animated movies that are in theaters close by,SHOW ME THE MOVIE TIMES FOR ANIMATED MOVIES THAT ARE IN THETERS CLOSE BY,SearchScreeningEvent
2027,snips-train-11821,When is Dead Birds playing?,WHEN HIS DEAD BIRDS PLAYING,SearchScreeningEvent
2028,snips-train-11822,what's the nearest movie theatre showing movies,WHAT'S THE NEAREST MAY BE TEE TO SHOWING MOVIES,SearchScreeningEvent
2029,snips-train-11823,What cinema is playing The Strongest Instinct now ?,WHAT SINEME IS PLAYING THE STRONGEST INSTINCT NOW,SearchScreeningEvent
2030,snips-train-11824,What is the movie schedule at Loews Cineplex Entertainment,WHAT IS THE MUVI SCHEGUL AT LOS INOPLEX ENTERTAINMENT,SearchScreeningEvent
2031,snips-train-11825,What cinema has the closest movies,WHATSINAME HAS THE CLOSEST MOVIES,SearchScreeningEvent
2032,snips-train-11826,Show me the movie schedule for Star Theatres,SHOW ME THE MOVI SHEDEL FOR STARTHEATRS,SearchScreeningEvent
2033,snips-train-11827,Is The Angel of Vengeance – The Female Hamlet playing at the cinema at 6 am,IS THE ANGEL OF VENGEANCE THE FEMALE HAMLET PLAYING AT THE SINAMERAT SIX A M,SearchScreeningEvent
2034,snips-train-11828,What time will In the Name of the Son be playing?,WHAT TIME WILL IN THE NAME OF THE SUN BE PLAYING,SearchScreeningEvent
2035,snips-train-11829,find the closest movie theatre with films,FIND THE CLOSEST MEVI THEASURE WITH FILMS,SearchScreeningEvent
2036,snips-train-1183,Add from the ashes to my rock gaming playlist,ADD FROM THE ASHES TO MY ROCK GAMING PLAILIAST,AddToPlaylist
2037,snips-train-11830,Find movie times .,FINE MOVI TIMES,SearchScreeningEvent
2038,snips-train-11831,What is the movie schedules for films in the neighborhood,WHAT IS THE MOOGY SHEDELS FURFILMS IN THE NEIGHBORHOOD,SearchScreeningEvent
2039,snips-train-11832,List films in the neighborhood .,LISTTHOMS IN THE NEIGHBOURHOOD,SearchScreeningEvent
2040,snips-train-11833,What movie schedule ?,WHAT MAYBE SAID YUL,SearchScreeningEvent
2041,snips-train-11834,I'd like to watch movies at the closest movie theatre,I'D LIKE TO WATCH MOVIES AT THE CLOSEST MOVI THEATRE,SearchScreeningEvent
2042,snips-train-11835,What time is Too Young to Marry showing,WHAT TIME IS TOO YOUNG TO MARRY SHOWING,SearchScreeningEvent
